"Sample Name","Reservoir","Site","DateTime","Depth_m","Rep","Dilution"
"20231030_C300_30JUN23_0_1m_r1.csv","CCR",300,2023-06-30,0.1,1,1
"20231030_C101_30JUN23_0_1m_r1.csv","CCR",101,2023-06-30,0.1,1,1
"20231106_C50_4MAY23_1_5m_r2.csv","CCR",50,2023-05-04,1.5,2,1
"20231106_C50_4MAY23_6_m_r1.csv","CCR",50,2023-05-04,6,1,1
"20231106_C50_4MAY23_20_m_r1.csv","CCR",50,2023-05-04,20,1,1
"20231106_C201_4MAY23_CCS_r2.csv","CCR",201,2023-05-04,0.1,2,1
"20231106_C500_4MAY23_CCT_r2.csv","CCR",500,2023-05-04,0.1,2,1
"20240206_sample6.csv","CCR",50,2023-06-30,0.1,1,1
"20240206_sample4.csv","CCR",50,2023-06-30,1.5,2,1
"20240206_sample12.csv","CCR",50,2023-06-30,6,2,1
"20240206_sample11.csv","CCR",50,2023-06-30,20,2,1
"20240614_CC1_22may24_BOTr1.csv","CCR",94,2024-05-22,1.5,1,1
"20240614_CS1_22may24_01r2.csv","CCR",101,2024-05-22,0.1,2,1
"20240614_CC4_22may24_15r2.csv","CCR",90,2024-05-22,1.5,2,1
"20240614_CC1_22may24_01r2.csv","CCR",94,2024-05-22,0.1,2,1
"20240614_CP1_22may24_BOTr1.csv","CCR",98,2024-05-22,0.5,1,1
"20240614_CP2_22may24_BOTr2.csv","CCR",96,2024-05-22,1.5,2,1
"20240614_CS2_22may24_01r2.csv","CCR",100,2024-05-22,0.1,2,1
"20240614_CP2_22may24_01r1.csv","CCR",96,2024-05-22,0.1,1,1
"20240614_CC4_22may24_BOTr1.csv","CCR",90,2024-05-22,6,1,1
"20240614_CC4_22may24_01r1.csv","CCR",90,2024-05-22,0.1,1,1
"20240614_CP1_22may24_01r2.csv","CCR",98,2024-05-22,0.1,2,1
"20240614_CC2_22may24_01r1.csv","CCR",92,2024-05-22,0.1,1,1
"20240614_CC2_22may24_BOTr1.csv","CCR",92,2024-05-22,2,1,1
"20240708_CC4_19jun24_15r1.csv","CCR",88,2024-06-19,1.5,1,1
"20240708_CC3_19jun24_BOTr1.csv","CCR",90,2024-06-19,6,1,1
"20240708_CC2_19jun24_BOTr1.csv","CCR",92,2024-06-19,1.5,1,1
"20240708_CC3_19jun24_15r2.csv","CCR",90,2024-06-19,1.5,2,1
"20240708_CC3_19jun24_15r1.csv","CCR",90,2024-06-19,1.5,1,1
"20240708_CC3_19jun24_01r2.csv","CCR",90,2024-06-19,0.1,2,1
"20240708_CC2_19jun24_BOTr2.csv","CCR",92,2024-06-19,1.5,2,1
"20240708_CC1_19jun24_BOTr1.csv","CCR",94,2024-06-19,1,1,1
"20240708_CC1_19jun24_01r1.csv","CCR",94,2024-06-19,0.1,1,1
"20240708_CS2_19jun24_01r1.csv","CCR",100,2024-06-19,0.1,1,1
"20240708_CP2_19jun24_01r2.csv","CCR",96,2024-06-19,0.1,2,1
"20240708_CP1_19jun24_01r2.csv","CCR",98,2024-06-19,0.1,2,1
"20240708_CP1_19jun24_BOTr1.csv","CCR",98,2024-06-19,0.3,1,1
"20240708_CS1_19jun24_01r1.csv","CCR",101,2024-06-19,0.1,1,1
"20240708_CP2_19jun24_BOTr2.csv","CCR",96,2024-06-19,1,2,1
"20240725_CP1_11jul24_01r2.csv","CCR",98,2024-07-11,0.1,2,1
"20240725_CC1_11jul24_01r1.csv","CCR",94,2024-07-11,0.1,1,1
"20240725_CS1_11jul24_01r1.csv","CCR",101,2024-07-11,0.1,1,1
"20240725_CC3_11jul24_15r2.csv","CCR",90,2024-07-11,1.5,2,1
"20240725_CC4_11jul24_BOTr2.csv","CCR",88,2024-07-11,12,2,1
"20240725_CC4_11jul24_9r2.csv","CCR",88,2024-07-11,9,2,1
"20240725_CP2_11jul24_BOTr2.csv","CCR",96,2024-07-11,0.5,2,1
"20240725_CC2_11jul24_01r1.csv","CCR",92,2024-07-11,0.1,1,1
"20240725_CC4_11jul24_15r1.csv","CCR",88,2024-07-11,1.5,1,1
"20240725_CP2_11jul24_01r1.csv","CCR",96,2024-07-11,0.1,1,1
"20240725_CC4_11jul24_6r1.csv","CCR",88,2024-07-11,6,1,1
"20240725_CC3_11jul24_01r2.csv","CCR",90,2024-07-11,0.1,2,1
"20240725_CC1_11jul24_BOTr2.csv","CCR",94,2024-07-11,0.5,2,1
"20240725_CC4_11jul24_01r1.csv","CCR",88,2024-07-11,0.1,1,1
"20240726_CC2_19jun24_01r2.csv","CCR",92,2024-06-19,0.1,2,1
"20240726_CC3_11jul24_15r1.csv","CCR",90,2024-07-11,1.5,1,1
"20240726_CC3_11jul24_BOTr1.csv","CCR",90,2024-07-11,5,1,1
"20240726_CC4_19jun24_01r1.csv","CCR",88,2024-06-19,0.1,1,1
"20240726_CC4_19jun24_6r1.csv","CCR",88,2024-06-19,6,1,1
"20240726_CC4_19jun24_9r2.csv","CCR",88,2024-06-19,9,2,1
"20240726_CC4_19jun24_BOTr2.csv","CCR",88,2024-06-19,13,2,1
"20240726_CC5_22may24_01r1.csv","CCR",88,2024-05-22,0.1,1,1
"20240726_CC5_22may24_13r1.csv","CCR",88,2024-05-22,13,1,1
"20240726_CC5_22may24_15r2.csv","CCR",88,2024-05-22,1.5,2,1
"20240726_CC5_22may24_6r2.csv","CCR",88,2024-05-22,6,2,1
"20240726_CC5_22may24_9r2.csv","CCR",88,2024-05-22,9,2,1
"20240726_CS2_11jul24_01r2.csv","CCR",100,2024-07-11,0.1,2,1
"20240822_CC2_15aug24_01r2.csv","CCR",92,2024-08-14,0.1,2,1
"20240822_CC2_15aug24_BOTr1.csv","CCR",92,2024-08-14,0.5,1,1
"20240822_CC3_15aug24_01r2.csv","CCR",90,2024-08-14,0.1,2,1
"20240822_CC3_15aug24_15r2.csv","CCR",90,2024-08-14,1.5,2,1
"20240822_CC3_15aug24_BOTr1.csv","CCR",90,2024-08-14,4,1,1
"20240822_CC4_15aug24_01r2.csv","CCR",88,2024-08-14,0.1,2,1
"20240822_CC4_15aug24_15r1.csv","CCR",88,2024-08-14,1.5,1,1
"20240822_CC4_15aug24_6r1.csv","CCR",88,2024-08-14,6,1,1
"20240822_CC4_15aug24_6r2.csv","CCR",88,2024-08-14,6,2,1
"20240822_CP2_15aug24_01r2.csv","CCR",96,2024-08-14,0.1,2,1
"20240822_CS1_15aug24_01r1.csv","CCR",101,2024-08-14,0.1,1,1
"20240822_CS1_15aug24_01r2.csv","CCR",101,2024-08-14,0.1,2,1
"20240822_CS2_15aug24_01r1.csv","CCR",100,2024-08-14,0.1,1,1
"20240823_CC2_22may24_BOTr2.csv","CCR",92,2024-05-22,2,2,1
"20240823_CC3_19jun24_01r1.csv","CCR",90,2024-06-19,0.1,1,1
"20240823_CC3_1aug24_01_6am.csv","CCR",90,2024-08-01,0.1,2,1
"20240823_CC3_1aug24_01_midnight.csv","CCR",90,2024-08-01,0.1,2,1
"20240823_CC3_1aug24_BOT_6am.csv","CCR",90,2024-08-01,4.5,2,1
"20240823_CC3_1aug24_BOT_midnight.csv","CCR",90,2024-08-01,4.5,2,1
"20240823_CC3_31jul24_01_noon.csv","CCR",90,2024-07-31,0.1,2,1
"20240823_CC3_31jul24_BOT_noon.csv","CCR",90,2024-07-31,4.5,2,1
"20240823_CC4_11jul24_9r1.csv","CCR",88,2024-07-11,9,1,1
"20240823_CC4_15aug24_9r2.csv","CCR",88,2024-08-14,9,2,1
"20240823_CC4_15aug24_BOTr2.csv","CCR",88,2024-08-14,10,2,1
"20240823_CS2_19jun24_01r2.csv","CCR",100,2024-06-19,0.1,2,1
"20240923_CC2_16SEP24_01R1.csv","CCR",92,2024-09-16,0.1,1,1
"20240923_CC3_16SEP24_01R1.csv","CCR",90,2024-09-16,0.1,1,1
"20240923_CC3_16SEP24_15R1.csv","CCR",90,2024-09-16,1.5,1,1
"20240923_CC3_16SEP24_BOTR2.csv","CCR",90,2024-09-16,3,2,1
"20240923_CC4_16SEP24_01R2.csv","CCR",88,2024-09-16,0.1,2,1
"20240923_CC4_16SEP24_15R1.csv","CCR",88,2024-09-16,1.5,1,1
"20240923_CC4_16SEP24_15R2.csv","CCR",88,2024-09-16,1.5,2,1
"20240923_CC4_16SEP24_6R1.csv","CCR",88,2024-09-16,6,1,1
"20240923_CC4_16SEP24_9R1.csv","CCR",88,2024-09-16,9,1,1
"20240923_CC4_16SEP24_BOTR1.csv","CCR",88,2024-09-16,10,1,1
"20240923_CS1_16SEP24_01R2.csv","CCR",101,2024-09-16,0.1,2,1
"20241014_CC2_30SEP24_01R1.csv","CCR",92,2024-09-30,0.1,1,1
"20241014_CC2_30SEP24_BOTR2.csv","CCR",92,2024-09-30,0.6,2,1
"20241014_CC3_30SEP24_01R1.csv","CCR",90,2024-09-30,0.1,1,1
"20241014_CC3_30SEP24_15R1.csv","CCR",90,2024-09-30,1.5,1,1
"20241014_CC3_30SEP24_15R2.csv","CCR",90,2024-09-30,1.5,2,1
"20241014_CC3_30SEP24_BOTR2.csv","CCR",90,2024-09-30,4,2,1
"20241014_CC4_30SEP24_01R1.csv","CCR",88,2024-09-30,0.1,1,1
"20241014_CC4_30SEP24_15R2.csv","CCR",88,2024-09-30,1.5,2,1
"20241014_CC4_30SEP24_6R2.csv","CCR",88,2024-09-30,6,2,1
