Sample Name,File Name,Reservoir,Site,DateTime,Depth_m,Rep,Dilution
20221208_C9jun22_6m_r2.csv,p_20221208_C9jun22_6m_r2.csv,CCR,50,6/9/2022,6,2,1
20221208_C9jun22_9m_r2.csv,p_20221208_C9jun22_9m_r2.csv,CCR,50,6/9/2022,9,2,1
20221208_C9jun22_21m_r2.csv,p_20221208_C9jun22_21m_r2.csv,CCR,50,6/9/2022,21,2,1
20221208_C9jun22_CCS_r2.csv,p_20221208_C9jun22_CCS_r2.csv,CCR,201,6/9/2022,0.1,2,1
20221208_C9jun22_CCT_r2.csv,p_20221208_C9jun22_CCT_r2.csv,CCR,500,6/9/2022,0.1,2,1
20221208_C9jun22_SMB_r1.csv,p_20221208_C9jun22_SMB_r1.csv,CCR,301,6/9/2022,0.1,1,1
20221208_C9jun22_TCT_r2.csv,p_20221208_C9jun22_TCT_r2.csv,CCR,400,6/9/2022,0.1,2,1
20230105_C14jul22_6m_r1.csv,p_20230105_C14jul22_6m_r1.csv,CCR,50,7/14/2022,6,1,1
20230105_C14jul22_9m_r1.csv,p_20230105_C14jul22_9m_r1.csv,CCR,50,7/14/2022,9,1,1
20230105_C14jul22_20m_r1.csv,p_20230105_C14jul22_20m_r1.csv,CCR,50,7/14/2022,20,1,1
20230105_C14jul22_CCS_r1.csv,p_20230105_C14jul22_CCS_r1.csv,CCR,201,7/14/2022,0.1,1,1
20230105_C30jun22_0_1m_r1.csv,p_20230105_C30jun22_0_1m_r1.csv,CCR,50,6/30/2022,0.1,1,1
20230105_C30jun22_1_5m_r1.csv,p_20230105_C30jun22_1_5m_r1.csv,CCR,50,6/30/2022,1.5,1,1
20230105_C30jun22_6m_r2.csv,p_20230105_C30jun22_6m_r2.csv,CCR,50,6/30/2022,6,2,1
20230105_C30jun22_9m_r2.csv,p_20230105_C30jun22_9m_r2.csv,CCR,50,6/30/2022,9,2,1
20230105_C30jun22_CCS_r1.csv,p_20230105_C30jun22_CCS_r1.csv,CCR,201,6/30/2022,0.1,1,1
20230105_C30jun22_SMB_r2.csv,p_20230105_C30jun22_SMB_r2.csv,CCR,301,6/30/2022,0.1,2,1
20230106_C14jul22_0_1m_r2.csv,p_20230106_C14jul22_0_1m_r2.csv,CCR,50,7/14/2022,0.1,2,1
20230106_C14jul22_1_5m_r1.csv,p_20230106_C14jul22_1_5m_r1.csv,CCR,50,7/14/2022,1.5,1,1
20230106_C14jul22_SMB_r1.csv,p_20230106_C14jul22_SMB_r1.csv,CCR,301,7/14/2022,0.1,1,1
20230106_C28aug22_SMB_r2.csv,p_20230106_C28aug22_SMB_r2.csv,CCR,301,7/28/2022,0.1,2,1
20230106_C28jul22_0_1m_r1.csv,p_20230106_C28jul22_0_1m_r1.csv,CCR,50,7/28/2022,0.1,1,1
20230106_C28jul22_1_5_r1.csv,p_20230106_C28jul22_1_5_r1.csv,CCR,50,7/28/2022,1.5,1,1
20230106_C28jul22_6m_r1.csv,p_20230106_C28jul22_6m_r1.csv,CCR,50,7/28/2022,6,1,1
20230106_C28jul22_9m_r1.csv,p_20230106_C28jul22_9m_r1.csv,CCR,50,7/28/2022,9,1,1
20230106_C28jul22_20m_r1.csv,p_20230106_C28jul22_20m_r1.csv,CCR,50,7/28/2022,20,1,1
20230125_C19aug22_0_1m_r2.csv,p_20230125_C19aug22_0_1m_r2.csv,CCR,50,8/19/2022,0.1,2,1
20230125_C19aug22_1_5m_r1.csv,p_20230125_C19aug22_1_5m_r1.csv,CCR,50,8/19/2022,1.5,1,1
20230125_C19aug22_6m_r1.csv,p_20230125_C19aug22_6m_r1.csv,CCR,50,8/19/2022,6,1,1
20230125_C19aug22_9m_r1.csv,p_20230125_C19aug22_9m_r1.csv,CCR,50,8/19/2022,9,1,1
20230125_C19aug22_20m_r2.csv,p_20230125_C19aug22_20m_r2.csv,CCR,50,8/19/2022,20,2,1
20230125_C19aug22_CCS_r2.csv,p_20230125_C19aug22_CCS_r2.csv,CCR,201,8/19/2022,0.1,2,1
20230125_C19aug22_SMB_r1.csv,p_20230125_C19aug22_SMB_r1.csv,CCR,301,8/19/2022,0.1,1,1
20230125_C29sep22_6m_r2.csv,p_20230125_C29sep22_6m_r2.csv,CCR,50,9/29/2022,6,2,1
20230125_C29sep22_9m_r2.csv,p_20230125_C29sep22_9m_r2.csv,CCR,50,9/29/2022,9,2,1
