Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.005	0.402	0.395	0.372	0.427	0.396	0.432	0.410	0.491	0.423	0.389	0.365	0.391	0.358	0.369	0.365
191.00	0.005	0.363	0.361	0.343	0.390	0.367	0.396	0.377	0.447	0.392	0.354	0.331	0.356	0.343	0.357	0.331
192.00	0.005	0.332	0.329	0.314	0.358	0.335	0.367	0.345	0.415	0.361	0.327	0.299	0.327	0.330	0.346	0.304
193.00	0.005	0.299	0.293	0.280	0.325	0.302	0.332	0.310	0.378	0.328	0.296	0.267	0.295	0.314	0.331	0.271
194.00	0.004	0.269	0.265	0.254	0.298	0.276	0.306	0.283	0.354	0.303	0.272	0.242	0.270	0.302	0.322	0.246
195.00	0.004	0.243	0.239	0.229	0.273	0.251	0.282	0.258	0.335	0.279	0.249	0.218	0.247	0.291	0.313	0.222
196.00	0.005	0.222	0.219	0.209	0.252	0.230	0.262	0.236	0.322	0.260	0.230	0.198	0.227	0.281	0.307	0.203
197.00	0.004	0.203	0.200	0.191	0.235	0.212	0.244	0.218	0.311	0.243	0.213	0.183	0.210	0.273	0.302	0.185
198.00	0.004	0.187	0.184	0.175	0.219	0.195	0.229	0.201	0.302	0.228	0.198	0.168	0.195	0.266	0.297	0.170
199.00	0.004	0.173	0.170	0.162	0.206	0.182	0.217	0.187	0.295	0.215	0.186	0.156	0.182	0.260	0.294	0.158
200.00	0.004	0.161	0.159	0.151	0.195	0.170	0.206	0.175	0.289	0.204	0.176	0.145	0.172	0.256	0.290	0.148
201.00	0.003	0.150	0.148	0.141	0.184	0.160	0.196	0.164	0.283	0.193	0.166	0.135	0.161	0.250	0.286	0.138
202.00	0.003	0.140	0.138	0.132	0.175	0.151	0.187	0.154	0.277	0.185	0.158	0.127	0.153	0.245	0.283	0.130
203.00	0.003	0.133	0.131	0.125	0.168	0.143	0.180	0.147	0.272	0.178	0.151	0.120	0.146	0.241	0.280	0.122
204.00	0.003	0.126	0.125	0.118	0.161	0.136	0.173	0.139	0.267	0.171	0.144	0.114	0.139	0.237	0.276	0.116
205.00	0.002	0.119	0.119	0.112	0.154	0.130	0.167	0.133	0.261	0.165	0.139	0.108	0.133	0.233	0.272	0.110
206.00	0.002	0.114	0.114	0.107	0.149	0.125	0.161	0.128	0.255	0.160	0.134	0.104	0.128	0.229	0.268	0.106
207.00	0.002	0.110	0.110	0.103	0.144	0.120	0.156	0.123	0.249	0.155	0.129	0.100	0.123	0.225	0.263	0.102
208.00	0.002	0.106	0.106	0.099	0.140	0.116	0.152	0.119	0.242	0.150	0.125	0.097	0.119	0.221	0.258	0.098
