Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.008	0.334	0.326	0.145	3.781	3.752	3.195	-0.009	3.630	1.843	1.006	3.781	1.026	3.879	1.330	0.383
191.00	0.003	0.302	0.296	0.136	3.106	3.031	2.772	-0.011	2.711	1.773	0.935	3.607	1.033	3.853	1.375	0.381
192.00	0.002	0.274	0.269	0.128	3.610	3.123	2.548	-0.009	3.046	1.687	0.883	3.706	1.039	3.704	1.400	0.385
193.00	0.002	0.247	0.242	0.118	3.579	2.925	2.829	-0.008	3.212	1.587	0.837	3.907	1.040	3.993	1.408	0.389
194.00	0.002	0.226	0.224	0.111	3.704	3.557	2.949	-0.008	3.027	1.499	0.798	3.851	1.056	3.587	1.415	0.392
195.00	0.001	0.207	0.205	0.106	3.780	3.659	3.012	-0.007	3.314	1.433	0.757	3.693	1.065	3.950	1.431	0.396
196.00	0.002	0.192	0.190	0.101	3.955	3.440	2.868	-0.006	2.945	1.369	0.725	3.918	1.083	3.746	1.452	0.402
197.00	0.001	0.179	0.177	0.098	3.955	3.514	3.084	-0.006	3.192	1.306	0.693	3.866	1.093	3.829	1.462	0.406
198.00	0.001	0.168	0.165	0.094	3.945	3.829	2.939	-0.006	3.155	1.259	0.664	3.945	1.099	3.808	1.470	0.409
199.00	0.001	0.158	0.155	0.092	3.973	3.546	3.188	-0.004	2.999	1.210	0.640	3.845	1.105	4.000	1.472	0.412
200.00	0.002	0.150	0.147	0.089	3.915	3.983	3.016	-0.004	3.347	1.170	0.617	3.988	1.104	4.000	1.477	0.412
201.00	0.001	0.142	0.139	0.086	3.786	3.552	2.826	-0.003	3.265	1.128	0.595	3.933	1.096	3.838	1.471	0.409
202.00	0.001	0.135	0.132	0.084	3.897	3.544	2.892	-0.003	3.043	1.089	0.574	3.872	1.086	3.849	1.457	0.406
203.00	0.001	0.130	0.127	0.082	3.847	3.499	2.811	-0.002	3.091	1.054	0.557	3.925	1.072	4.000	1.440	0.401
204.00	0.001	0.125	0.122	0.080	3.609	3.786	2.836	-0.002	3.063	1.019	0.539	3.878	1.052	3.922	1.413	0.393
205.00	0.001	0.120	0.117	0.078	3.917	3.587	2.812	-0.002	3.065	0.988	0.522	4.000	1.029	4.000	1.378	0.384
206.00	0.001	0.116	0.113	0.076	3.810	3.839	2.808	-0.002	3.057	0.960	0.506	3.912	1.002	3.919	1.339	0.374
207.00	0.001	0.112	0.109	0.075	3.987	3.622	2.739	-0.002	3.006	0.932	0.492	3.965	0.972	3.707	1.302	0.363
208.00	0.001	0.109	0.106	0.073	3.932	3.865	2.587	-0.001	2.888	0.909	0.479	3.920	0.942	3.786	1.264	0.351
209.00	0.001	0.106	0.102	0.072	3.806	3.801	2.540	-0.002	2.817	0.883	0.466	3.963	0.910	3.835	1.221	0.339
210.00	0.001	0.102	0.099	0.070	3.918	3.814	2.450	-0.002	2.750	0.859	0.453	3.862	0.877	3.552	1.176	0.327
211.00	0.000	0.100	0.096	0.069	3.972	3.557	2.350	-0.002	2.660	0.837	0.441	3.864	0.845	3.495	1.135	0.316
212.00	0.001	0.097	0.094	0.068	3.842	3.493	2.255	-0.001	2.503	0.814	0.430	3.939	0.814	3.323	1.094	0.305
213.00	0.000	0.094	0.091	0.066	3.899	3.799	2.114	-0.001	2.377	0.792	0.418	3.987	0.785	3.312	1.054	0.294
214.00	0.001	0.092	0.089	0.065	3.903	3.856	1.990	-0.001	2.252	0.771	0.407	3.888	0.758	3.091	1.017	0.283
215.00	0.001	0.090	0.087	0.064	3.837	3.644	1.868	-0.001	2.100	0.752	0.397	3.944	0.733	3.062	0.983	0.274
216.00	0.000	0.087	0.085	0.063	3.980	3.541	1.732	-0.001	1.949	0.734	0.387	3.996	0.710	2.932	0.952	0.265
217.00	0.000	0.085	0.082	0.061	3.926	3.556	1.601	-0.001	1.799	0.718	0.378	3.969	0.687	2.821	0.922	0.256
218.00	0.000	0.083	0.081	0.060	3.980	3.322	1.468	-0.001	1.659	0.702	0.371	3.896	0.666	2.773	0.895	0.249
219.00	0.000	0.082	0.079	0.059	3.909	3.088	1.339	-0.001	1.518	0.686	0.362	3.881	0.647	2.659	0.868	0.242
220.00	0.000	0.080	0.077	0.059	3.995	2.830	1.219	-0.001	1.383	0.671	0.354	3.807	0.628	2.567	0.843	0.235
221.00	0.000	0.078	0.076	0.057	3.996	2.642	1.109	-0.001	1.260	0.658	0.348	3.971	0.611	2.500	0.820	0.228
222.00	0.000	0.077	0.074	0.057	3.968	2.429	1.007	-0.001	1.145	0.645	0.341	3.928	0.595	2.439	0.798	0.222
223.00	0.000	0.075	0.073	0.056	3.969	2.201	0.910	-0.001	1.033	0.632	0.334	3.792	0.580	2.385	0.778	0.216
224.00	0.000	0.073	0.071	0.055	3.813	1.991	0.817	-0.001	0.926	0.620	0.328	3.914	0.565	2.310	0.757	0.211
225.00	0.000	0.072	0.070	0.054	3.920	1.793	0.731	-0.001	0.829	0.608	0.322	3.726	0.550	2.249	0.738	0.205
226.00	0.000	0.071	0.068	0.053	3.895	1.608	0.654	-0.001	0.741	0.597	0.316	3.762	0.535	2.196	0.718	0.199
227.00	-0.000	0.069	0.067	0.052	3.863	1.442	0.584	-0.001	0.663	0.586	0.310	3.568	0.520	2.141	0.699	0.194
228.00	0.000	0.068	0.066	0.052	3.737	1.290	0.520	-0.001	0.592	0.575	0.304	3.368	0.505	2.071	0.679	0.189
229.00	0.000	0.067	0.064	0.051	3.358	1.152	0.465	-0.001	0.529	0.564	0.299	3.326	0.491	2.015	0.660	0.183
230.00	0.000	0.065	0.063	0.050	3.115	1.031	0.416	-0.001	0.474	0.554	0.293	3.234	0.476	1.959	0.640	0.178
231.00	-0.000	0.064	0.062	0.049	2.806	0.929	0.374	-0.001	0.427	0.544	0.288	3.175	0.462	1.900	0.621	0.173
232.00	-0.000	0.063	0.061	0.049	2.548	0.837	0.337	-0.000	0.384	0.534	0.283	3.041	0.447	1.839	0.601	0.167
233.00	0.000	0.062	0.060	0.048	2.306	0.756	0.304	-0.001	0.347	0.524	0.277	2.906	0.432	1.778	0.581	0.162
234.00	0.000	0.061	0.059	0.047	2.105	0.690	0.277	-0.000	0.317	0.515	0.273	2.834	0.418	1.717	0.562	0.157
235.00	0.000	0.060	0.058	0.047	1.930	0.633	0.254	-0.000	0.291	0.506	0.268	2.772	0.403	1.660	0.542	0.151
236.00	0.000	0.059	0.057	0.046	1.788	0.584	0.235	-0.001	0.268	0.498	0.264	2.655	0.388	1.600	0.522	0.145
237.00	0.000	0.058	0.056	0.045	1.661	0.543	0.219	-0.001	0.249	0.489	0.259	2.552	0.373	1.538	0.503	0.140
238.00	0.000	0.057	0.055	0.045	1.559	0.508	0.205	-0.000	0.233	0.482	0.255	2.437	0.359	1.477	0.483	0.134
239.00	-0.000	0.056	0.054	0.044	1.471	0.480	0.193	-0.000	0.220	0.475	0.252	2.350	0.345	1.418	0.464	0.129
