SIGNAL2,B,C,D
270,0.01122,492,4.38362E4
272,0.01122,272,2.42346E4
274,0.01122,276,2.45998E4
276,0.01122,224,1.99615E4
278,0.01122,240,2.1385E4
280,0.01121,212,1.89103E4
282,0.01121,240,2.14011E4
284,0.01121,272,2.42563E4
286,0.01122,240,2.13919E4
288,0.01122,284,2.53147E4
290,0.01123,232,2.06641E4
292,0.01121,260,2.31911E4
294,0.01122,224,1.99558E4
296,0.01121,260,2.31837E4
298,0.01122,252,2.24511E4
300,0.01123,280,2.49385E4
302,0.01123,244,2.1736E4
304,0.01123,280,2.49306E4
306,0.01122,336,2.99519E4
308,0.01123,324,2.88554E4
310,0.01122,312,2.77996E4
312,0.01122,300,2.67361E4
314,0.01123,344,3.06388E4
316,0.01122,340,3.0303E4
318,0.01123,296,2.63627E4
320,0.01123,300,2.67113E4
322,0.01122,272,2.42338E4
324,0.01123,372,3.31161E4
326,0.01124,280,2.4911E4
328,0.01123,320,2.85053E4
330,0.01123,356,3.16974E4
332,0.01123,332,2.95658E4
334,0.01122,380,3.38572E4
336,0.01124,272,2.4201E4
338,0.01123,360,3.20433E4
340,0.01124,324,2.88287E4
342,0.01123,328,2.92168E4
344,0.01124,340,3.02577E4
346,0.01123,320,2.85012E4
348,0.01123,312,2.77738E4
350,0.01123,328,2.91971E4
352,0.01123,372,3.31197E4
354,0.01123,284,2.52894E4
356,0.01122,252,2.24591E4
358,0.01122,356,3.17268E4
360,0.01122,368,3.27927E4
362,0.01123,352,3.13424E4
364,0.01123,324,2.88472E4
366,0.01124,396,3.52388E4
368,0.01123,308,2.74265E4
370,0.01123,312,2.77709E4
372,0.01123,300,2.67104E4
374,0.01123,316,2.81369E4
376,0.01123,372,3.31161E4
378,0.01123,372,3.31303E4
380,0.01123,308,2.74226E4
382,0.01123,348,3.09906E4
384,0.01124,284,2.52714E4
386,0.01124,348,3.09719E4
388,0.01124,296,2.63336E4
390,0.01124,332,2.95279E4
392,0.01123,316,2.81419E4
394,0.01123,240,2.13706E4
396,0.01123,308,2.74217E4
398,0.01124,336,2.9906E4
400,0.01124,312,2.7757E4
402,0.01125,344,3.05778E4
404,0.01124,252,2.24263E4
406,0.01124,276,2.45569E4
408,0.01124,312,2.7757E4
410,0.01124,300,2.66885E4
412,0.01123,280,2.49243E4
414,0.01124,300,2.66999E4
416,0.01123,308,2.74177E4
418,0.01124,356,3.16827E4
420,0.01124,336,2.98975E4
422,0.01124,328,2.91732E4
424,0.01125,316,2.81009E4
426,0.01123,288,2.56401E4
428,0.01124,232,2.06457E4
430,0.01124,236,2.09994E4
