SIGNAL2,B,C,D
270,0.00873,448,5.13408E4
272,0.00872,276,3.16441E4
274,0.00873,256,2.93336E4
276,0.00872,232,2.66067E4
278,0.00873,212,2.42974E4
280,0.00873,280,3.20807E4
282,0.00873,228,2.61228E4
284,0.00872,236,2.70531E4
286,0.00873,212,2.42896E4
288,0.00873,256,2.9339E4
290,0.00873,240,2.74977E4
292,0.00874,304,3.47842E4
294,0.00873,260,2.9766E4
296,0.00874,280,3.20498E4
298,0.00873,228,2.61121E4
300,0.00873,240,2.74952E4
302,0.00873,216,2.47434E4
304,0.00873,268,3.06889E4
306,0.00873,220,2.51958E4
308,0.00873,296,3.39123E4
310,0.00873,256,2.93201E4
312,0.00873,324,3.71134E4
314,0.00873,292,3.34372E4
316,0.00872,280,3.20968E4
318,0.00873,264,3.0253E4
320,0.00873,300,3.43784E4
322,0.00873,264,3.02544E4
324,0.00874,324,3.70828E4
326,0.00873,276,3.16224E4
328,0.00873,316,3.6192E4
330,0.00873,308,3.52742E4
332,0.00873,272,3.11441E4
334,0.00874,296,3.38843E4
336,0.00873,308,3.52677E4
338,0.00874,328,3.75423E4
340,0.00874,300,3.43407E4
342,0.00873,316,3.61887E4
344,0.00873,344,3.94025E4
346,0.00873,336,3.84739E4
348,0.00873,352,4.03244E4
350,0.00873,372,4.26039E4
352,0.00873,340,3.8939E4
354,0.00874,396,4.53172E4
356,0.00873,296,3.39092E4
358,0.00873,316,3.61987E4
360,0.00874,364,4.16476E4
362,0.00874,312,3.57094E4
364,0.00874,308,3.52387E4
366,0.00874,328,3.75286E4
368,0.00874,336,3.84316E4
370,0.00874,328,3.75389E4
372,0.00874,340,3.8898E4
374,0.00875,312,3.56767E4
376,0.00874,364,4.16381E4
378,0.00874,352,4.02525E4
380,0.00875,320,3.65882E4
382,0.00874,360,4.11918E4
384,0.00874,304,3.47667E4
386,0.00875,316,3.61341E4
388,0.00875,276,3.15501E4
390,0.00874,332,3.79672E4
392,0.00875,304,3.47476E4
394,0.00875,328,3.74686E4
396,0.00875,312,3.56457E4
398,0.00875,316,3.6111E4
400,0.00874,308,3.52225E4
402,0.00874,324,3.7054E4
404,0.00875,296,3.38425E4
406,0.00874,256,2.92893E4
408,0.00873,336,3.84668E4
410,0.00874,380,4.34743E4
412,0.00874,352,4.02543E4
414,0.00874,352,4.02857E4
416,0.00874,348,3.98078E4
418,0.00874,276,3.15616E4
420,0.00874,340,3.89052E4
422,0.00875,372,4.25376E4
424,0.00875,316,3.61341E4
426,0.00874,256,2.92853E4
428,0.00874,276,3.15789E4
430,0.00874,320,3.66049E4
