Wavelenght,MilliQ,C14jul22_CCS_r1,C30jun22_9m_r2,C14jul22_20m_r1,C30jun22_SMB_r2,C30jun22_0_1m_r1,C30jun22_1_5m_r1,C30jun22_CCS_r1,C14jul22_6m_r1,C14jul22_9m_r1,C30jun22_6m_r2
233,-0.009,0.036,0.055,0.067,0.038,0.054,0.053,0.032,0.056,0.049,0.058
234,-0.009,0.035,0.054,0.066,0.038,0.053,0.052,0.032,0.055,0.048,0.057
235,-0.009,0.035,0.053,0.064,0.037,0.052,0.051,0.031,0.054,0.047,0.056
236,-0.009,0.034,0.052,0.063,0.036,0.051,0.05,0.03,0.053,0.047,0.054
237,-0.009,0.033,0.051,0.062,0.035,0.05,0.049,0.029,0.052,0.046,0.054
238,-0.009,0.032,0.05,0.061,0.035,0.049,0.049,0.029,0.051,0.045,0.053
239,-0.009,0.032,0.049,0.06,0.034,0.049,0.048,0.028,0.05,0.044,0.052
240,-0.009,0.031,0.048,0.059,0.033,0.048,0.047,0.028,0.05,0.044,0.051
241,-0.008,0.031,0.048,0.059,0.033,0.047,0.047,0.028,0.049,0.043,0.05
242,-0.008,0.03,0.047,0.058,0.033,0.047,0.046,0.027,0.048,0.042,0.05
243,-0.008,0.03,0.046,0.057,0.032,0.046,0.045,0.027,0.048,0.042,0.049
244,-0.008,0.029,0.046,0.056,0.032,0.046,0.045,0.026,0.047,0.041,0.048
245,-0.008,0.029,0.045,0.056,0.031,0.045,0.045,0.026,0.047,0.041,0.048
246,-0.008,0.029,0.045,0.056,0.031,0.045,0.044,0.026,0.046,0.041,0.048
247,-0.008,0.028,0.045,0.055,0.031,0.045,0.044,0.025,0.046,0.04,0.047
248,-0.008,0.028,0.044,0.055,0.03,0.044,0.043,0.025,0.045,0.04,0.047
249,-0.008,0.028,0.044,0.054,0.03,0.044,0.043,0.025,0.045,0.039,0.046
250,-0.008,0.028,0.044,0.054,0.03,0.044,0.043,0.025,0.045,0.039,0.046
251,-0.008,0.028,0.044,0.054,0.03,0.044,0.043,0.025,0.045,0.039,0.046
252,-0.008,0.027,0.043,0.053,0.03,0.043,0.042,0.025,0.044,0.039,0.046
253,-0.008,0.027,0.043,0.053,0.029,0.043,0.042,0.024,0.044,0.038,0.045
254,-0.008,0.026,0.043,0.052,0.029,0.043,0.041,0.024,0.043,0.038,0.045
255,-0.007,0.026,0.042,0.052,0.029,0.042,0.041,0.024,0.043,0.037,0.045
256,-0.007,0.026,0.042,0.052,0.029,0.042,0.041,0.024,0.043,0.037,0.044
257,-0.007,0.026,0.042,0.051,0.029,0.042,0.041,0.023,0.042,0.037,0.044
258,-0.007,0.025,0.041,0.051,0.028,0.041,0.04,0.023,0.042,0.037,0.043
259,-0.007,0.025,0.041,0.051,0.028,0.041,0.04,0.023,0.042,0.036,0.043
260,-0.007,0.025,0.041,0.05,0.028,0.041,0.04,0.023,0.041,0.036,0.043
261,-0.007,0.025,0.04,0.05,0.028,0.04,0.04,0.023,0.041,0.036,0.042
262,-0.007,0.024,0.04,0.049,0.027,0.04,0.039,0.022,0.04,0.035,0.042
263,-0.007,0.024,0.039,0.049,0.027,0.039,0.038,0.022,0.04,0.035,0.041
264,-0.007,0.024,0.039,0.048,0.027,0.039,0.038,0.022,0.04,0.034,0.041
265,-0.007,0.023,0.038,0.048,0.027,0.038,0.037,0.021,0.039,0.034,0.041
266,-0.007,0.023,0.038,0.047,0.027,0.038,0.037,0.021,0.039,0.033,0.04
267,-0.007,0.023,0.038,0.047,0.026,0.037,0.037,0.021,0.038,0.033,0.039
268,-0.007,0.023,0.037,0.046,0.026,0.037,0.036,0.021,0.038,0.033,0.039
269,-0.007,0.022,0.036,0.046,0.026,0.036,0.035,0.021,0.037,0.032,0.038
270,-0.007,0.022,0.036,0.045,0.026,0.035,0.035,0.021,0.037,0.032,0.038
271,-0.007,0.022,0.035,0.044,0.026,0.035,0.034,0.02,0.036,0.031,0.037
272,-0.007,0.022,0.035,0.044,0.025,0.034,0.034,0.02,0.035,0.031,0.037
273,-0.007,0.021,0.034,0.043,0.025,0.034,0.033,0.02,0.035,0.03,0.036
274,-0.006,0.021,0.034,0.043,0.025,0.033,0.032,0.02,0.034,0.03,0.036
275,-0.006,0.021,0.033,0.042,0.024,0.032,0.032,0.019,0.034,0.029,0.035
276,-0.006,0.02,0.032,0.042,0.024,0.032,0.031,0.019,0.033,0.029,0.034
277,-0.007,0.02,0.031,0.041,0.024,0.031,0.03,0.019,0.032,0.028,0.034
278,-0.007,0.02,0.03,0.04,0.024,0.03,0.03,0.018,0.032,0.027,0.033
279,-0.006,0.02,0.03,0.04,0.023,0.03,0.029,0.018,0.031,0.027,0.033
280,-0.006,0.02,0.029,0.039,0.023,0.029,0.028,0.018,0.031,0.026,0.032
281,-0.006,0.019,0.029,0.039,0.023,0.028,0.027,0.018,0.03,0.026,0.031
282,-0.006,0.019,0.028,0.038,0.023,0.028,0.027,0.017,0.029,0.025,0.031
283,-0.006,0.019,0.027,0.037,0.022,0.027,0.026,0.017,0.029,0.025,0.03
284,-0.006,0.018,0.027,0.037,0.022,0.026,0.025,0.017,0.028,0.024,0.029
285,-0.006,0.018,0.026,0.036,0.022,0.025,0.024,0.017,0.027,0.023,0.029
286,-0.006,0.018,0.025,0.035,0.022,0.025,0.024,0.017,0.027,0.023,0.028
287,-0.006,0.017,0.024,0.035,0.021,0.024,0.023,0.016,0.026,0.022,0.027
288,-0.006,0.017,0.024,0.034,0.021,0.023,0.023,0.016,0.026,0.021,0.027
289,-0.006,0.017,0.023,0.033,0.021,0.023,0.022,0.015,0.025,0.021,0.026
290,-0.006,0.016,0.022,0.033,0.02,0.022,0.021,0.015,0.024,0.02,0.026
291,-0.006,0.016,0.022,0.032,0.02,0.021,0.021,0.015,0.024,0.02,0.025
292,-0.006,0.016,0.021,0.032,0.02,0.021,0.02,0.015,0.023,0.02,0.025
293,-0.006,0.015,0.02,0.031,0.019,0.02,0.02,0.015,0.023,0.019,0.024
294,-0.006,0.015,0.02,0.031,0.019,0.019,0.019,0.014,0.022,0.018,0.023
295,-0.006,0.015,0.019,0.03,0.019,0.019,0.018,0.014,0.022,0.018,0.023
296,-0.006,0.015,0.019,0.03,0.019,0.018,0.018,0.014,0.021,0.018,0.022
297,-0.006,0.015,0.018,0.029,0.018,0.018,0.017,0.013,0.02,0.017,0.022
298,-0.006,0.014,0.018,0.029,0.018,0.017,0.017,0.013,0.02,0.017,0.021
299,-0.006,0.014,0.017,0.028,0.018,0.017,0.016,0.013,0.019,0.016,0.021
300,-0.006,0.014,0.017,0.028,0.018,0.017,0.016,0.013,0.019,0.016,0.02
301,-0.006,0.014,0.016,0.027,0.017,0.016,0.015,0.013,0.019,0.016,0.02
302,-0.006,0.013,0.016,0.027,0.017,0.016,0.015,0.013,0.018,0.015,0.02
303,-0.006,0.013,0.015,0.027,0.017,0.015,0.015,0.012,0.018,0.015,0.019
304,-0.005,0.013,0.015,0.026,0.017,0.015,0.014,0.012,0.017,0.014,0.019
305,-0.005,0.013,0.015,0.026,0.017,0.015,0.014,0.012,0.017,0.014,0.019
306,-0.005,0.012,0.014,0.025,0.016,0.014,0.014,0.012,0.017,0.013,0.018
307,-0.005,0.012,0.014,0.025,0.016,0.014,0.013,0.011,0.016,0.013,0.018
308,-0.005,0.012,0.013,0.025,0.016,0.014,0.013,0.011,0.016,0.013,0.017
309,-0.005,0.012,0.013,0.024,0.016,0.013,0.012,0.011,0.016,0.012,0.017
310,-0.005,0.012,0.012,0.024,0.015,0.013,0.012,0.011,0.015,0.012,0.017
311,-0.005,0.012,0.012,0.024,0.015,0.013,0.012,0.011,0.015,0.012,0.016
312,-0.005,0.011,0.012,0.024,0.015,0.013,0.011,0.011,0.015,0.012,0.016
313,-0.005,0.011,0.011,0.023,0.015,0.012,0.011,0.01,0.015,0.012,0.016
314,-0.005,0.011,0.011,0.023,0.015,0.012,0.011,0.011,0.014,0.011,0.015
315,-0.005,0.011,0.011,0.023,0.014,0.012,0.011,0.01,0.014,0.011,0.015
316,-0.005,0.011,0.011,0.023,0.014,0.012,0.01,0.01,0.014,0.011,0.015
317,-0.005,0.011,0.011,0.022,0.014,0.011,0.01,0.01,0.013,0.011,0.015
318,-0.005,0.011,0.01,0.022,0.014,0.011,0.01,0.01,0.013,0.01,0.014
319,-0.005,0.01,0.01,0.022,0.014,0.011,0.01,0.009,0.013,0.01,0.014
320,-0.005,0.01,0.01,0.022,0.014,0.011,0.01,0.009,0.013,0.01,0.014
321,-0.005,0.01,0.01,0.022,0.014,0.011,0.009,0.009,0.012,0.01,0.014
322,-0.005,0.01,0.009,0.021,0.013,0.01,0.009,0.009,0.012,0.009,0.013
323,-0.005,0.01,0.009,0.021,0.013,0.01,0.009,0.009,0.012,0.009,0.013
324,-0.005,0.01,0.009,0.021,0.013,0.01,0.009,0.009,0.012,0.009,0.013
325,-0.005,0.01,0.009,0.02,0.013,0.01,0.008,0.009,0.011,0.009,0.013
326,-0.005,0.009,0.008,0.02,0.013,0.009,0.008,0.009,0.011,0.009,0.012
327,-0.005,0.009,0.008,0.02,0.012,0.009,0.008,0.008,0.011,0.008,0.012
