,Blank,F27Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
335,-0.001,0.032,0.033,7.5999,2.028135089,,0.016,0.017,7.8302,2.057988052,,0.11,0.111,25.5633,3.241157729,,0.056,0.057,26.2542,3.267825976,,0.028,0.029,6.6787,1.898923358,,0.035,0.036,8.2908,2.115146466,,0.017,0.018,8.2908,2.115146466,,0.114,0.115,26.4845,3.276559656,,0.053,0.054,24.8724,3.213758755,,0.199,0.2,46.06,3.829944894,,0.052,0.053,24.4118,3.195066622,
336,0,0.032,0.032,7.3696,1.997363431,,0.016,0.016,7.3696,1.997363431,,0.109,0.109,25.1027,3.22297541,,0.056,0.056,25.7936,3.250126399,,0.028,0.028,6.4484,1.863832038,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.113,0.113,26.0239,3.259015347,,0.052,0.052,23.9512,3.176018427,,0.199,0.199,45.8297,3.824932353,,0.052,0.052,23.9512,3.176018427,
337,0,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.108,0.108,24.8724,3.213758755,,0.056,0.056,25.7936,3.250126399,,0.028,0.028,6.4484,1.863832038,,0.035,0.035,8.0605,2.086975589,,0.016,0.016,7.3696,1.997363431,,0.112,0.112,25.7936,3.250126399,,0.052,0.052,23.9512,3.176018427,,0.199,0.199,45.8297,3.824932353,,0.052,0.052,23.9512,3.176018427,
338,-0.001,0.031,0.032,7.3696,1.997363431,,0.015,0.016,7.3696,1.997363431,,0.108,0.109,25.1027,3.22297541,,0.055,0.056,25.7936,3.250126399,,0.027,0.028,6.4484,1.863832038,,0.034,0.035,8.0605,2.086975589,,0.016,0.017,7.8302,2.057988052,,0.112,0.113,26.0239,3.259015347,,0.052,0.053,24.4118,3.195066622,,0.198,0.199,45.8297,3.824932353,,0.052,0.053,24.4118,3.195066622,
339,0,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.107,0.107,24.6421,3.204456362,,0.055,0.055,25.333,3.232107894,,0.028,0.028,6.4484,1.863832038,,0.034,0.034,7.8302,2.057988052,,0.017,0.017,7.8302,2.057988052,,0.111,0.111,25.5633,3.241157729,,0.051,0.051,23.4906,3.156600341,,0.198,0.198,45.5994,3.819894559,,0.052,0.052,23.9512,3.176018427,
340,0.001,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,,0.107,0.106,24.4118,3.195066622,,0.055,0.054,24.8724,3.213758755,,0.029,0.028,6.4484,1.863832038,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.112,0.111,25.5633,3.241157729,,0.052,0.051,23.4906,3.156600341,,0.2,0.199,45.8297,3.824932353,,0.053,0.052,23.9512,3.176018427,
341,0,0.03,0.03,6.909,1.93282491,,0.015,0.015,6.909,1.93282491,,0.104,0.104,23.9512,3.176018427,,0.052,0.052,23.9512,3.176018427,,0.027,0.027,6.2181,1.827464394,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.11,0.11,25.333,3.232107894,,0.05,0.05,23.03,3.136797714,,0.198,0.198,45.5994,3.819894559,,0.052,0.052,23.9512,3.176018427,
342,0,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.103,0.103,23.7209,3.166356516,,0.052,0.052,23.9512,3.176018427,,0.027,0.027,6.2181,1.827464394,,0.032,0.032,7.3696,1.997363431,,0.016,0.016,7.3696,1.997363431,,0.109,0.109,25.1027,3.22297541,,0.05,0.05,23.03,3.136797714,,0.197,0.197,45.3691,3.814831257,,0.051,0.051,23.4906,3.156600341,
343,0,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.103,0.103,23.7209,3.166356516,,0.051,0.051,23.4906,3.156600341,,0.026,0.026,5.9878,1.789724066,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.108,0.108,24.8724,3.213758755,,0.049,0.049,22.5694,3.116595007,,0.197,0.197,45.3691,3.814831257,,0.051,0.051,23.4906,3.156600341,
344,-0.001,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.102,0.103,23.7209,3.166356516,,0.051,0.052,23.9512,3.176018427,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,,0.015,0.016,7.3696,1.997363431,,0.107,0.108,24.8724,3.213758755,,0.049,0.05,23.03,3.136797714,,0.196,0.197,45.3691,3.814831257,,0.051,0.052,23.9512,3.176018427,
345,0,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.102,0.102,23.4906,3.156600341,,0.051,0.051,23.4906,3.156600341,,0.026,0.026,5.9878,1.789724066,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.106,0.106,24.4118,3.195066622,,0.049,0.049,22.5694,3.116595007,,0.196,0.196,45.1388,3.809742187,,0.051,0.051,23.4906,3.156600341,
346,0,0.028,0.028,6.4484,1.863832038,,0.014,0.014,6.4484,1.863832038,,0.101,0.101,23.2603,3.146748045,,0.05,0.05,23.03,3.136797714,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.105,0.105,24.1815,3.185587878,,0.048,0.048,22.1088,3.095975719,,0.195,0.195,44.9085,3.804627086,,0.051,0.051,23.4906,3.156600341,
347,0,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.1,0.1,23.03,3.136797714,,0.049,0.049,22.5694,3.116595007,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.104,0.104,23.9512,3.176018427,,0.048,0.048,22.1088,3.095975719,,0.194,0.194,44.6782,3.799485687,,0.05,0.05,23.03,3.136797714,
348,-0.001,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.099,0.1,23.03,3.136797714,,0.049,0.05,23.03,3.136797714,,0.025,0.026,5.9878,1.789724066,,0.03,0.031,7.1393,1.965614732,,0.015,0.016,7.3696,1.997363431,,0.103,0.104,23.9512,3.176018427,,0.047,0.048,22.1088,3.095975719,,0.194,0.195,44.9085,3.804627086,,0.05,0.051,23.4906,3.156600341,
349,-0.001,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.099,0.1,23.03,3.136797714,,0.049,0.05,23.03,3.136797714,,0.026,0.027,6.2181,1.827464394,,0.03,0.031,7.1393,1.965614732,,0.015,0.016,7.3696,1.997363431,,0.103,0.104,23.9512,3.176018427,,0.047,0.048,22.1088,3.095975719,,0.193,0.194,44.6782,3.799485687,,0.05,0.051,23.4906,3.156600341,
350,-0.001,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.098,0.099,22.7997,3.126747378,,0.048,0.049,22.5694,3.116595007,,0.026,0.027,6.2181,1.827464394,,0.03,0.031,7.1393,1.965614732,,0.014,0.015,6.909,1.93282491,,0.102,0.103,23.7209,3.166356516,,0.047,0.048,22.1088,3.095975719,,0.193,0.194,44.6782,3.799485687,,0.05,0.051,23.4906,3.156600341,
351,0,0.026,0.026,5.9878,1.789724066,,0.013,0.013,5.9878,1.789724066,,0.098,0.098,22.5694,3.116595007,,0.048,0.048,22.1088,3.095975719,,0.026,0.026,5.9878,1.789724066,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.101,0.101,23.2603,3.146748045,,0.047,0.047,21.6482,3.07492231,,0.193,0.193,44.4479,3.794317717,,0.05,0.05,23.03,3.136797714,
352,0,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.097,0.097,22.3391,3.106338506,,0.048,0.048,22.1088,3.095975719,,0.025,0.025,5.7575,1.750503353,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.101,0.101,23.2603,3.146748045,,0.046,0.046,21.1876,3.053416105,,0.192,0.192,44.2176,3.7891229,,0.05,0.05,23.03,3.136797714,
353,0,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.096,0.096,22.1088,3.095975719,,0.047,0.047,21.6482,3.07492231,,0.025,0.025,5.7575,1.750503353,,0.028,0.028,6.4484,1.863832038,,0.014,0.014,6.4484,1.863832038,,0.1,0.1,23.03,3.136797714,,0.046,0.046,21.1876,3.053416105,,0.191,0.191,43.9873,3.783900956,,0.05,0.05,23.03,3.136797714,
354,-0.001,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.095,0.096,22.1088,3.095975719,,0.047,0.048,22.1088,3.095975719,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.014,0.015,6.909,1.93282491,,0.099,0.1,23.03,3.136797714,,0.045,0.046,21.1876,3.053416105,,0.191,0.192,44.2176,3.7891229,,0.05,0.051,23.4906,3.156600341,
355,-0.001,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.095,0.096,22.1088,3.095975719,,0.047,0.048,22.1088,3.095975719,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.014,0.015,6.909,1.93282491,,0.098,0.099,22.7997,3.126747378,,0.045,0.046,21.1876,3.053416105,,0.19,0.191,43.9873,3.783900956,,0.05,0.051,23.4906,3.156600341,
356,0,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.095,0.095,21.8785,3.085504419,,0.046,0.046,21.1876,3.053416105,,0.025,0.025,5.7575,1.750503353,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.097,0.097,22.3391,3.106338506,,0.045,0.045,20.727,3.031437198,,0.189,0.189,43.5267,3.773374543,,0.05,0.05,23.03,3.136797714,
357,0,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.094,0.094,21.6482,3.07492231,,0.046,0.046,21.1876,3.053416105,,0.024,0.024,5.5272,1.709681358,,0.027,0.027,6.2181,1.827464394,,0.013,0.013,5.9878,1.789724066,,0.097,0.097,22.3391,3.106338506,,0.045,0.045,20.727,3.031437198,,0.189,0.189,43.5267,3.773374543,,0.049,0.049,22.5694,3.116595007,
358,0,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.093,0.093,21.4179,3.064227021,,0.046,0.046,21.1876,3.053416105,,0.025,0.025,5.7575,1.750503353,,0.027,0.027,6.2181,1.827464394,,0.013,0.013,5.9878,1.789724066,,0.096,0.096,22.1088,3.095975719,,0.044,0.044,20.2664,3.008964342,,0.188,0.188,43.2964,3.768069491,,0.05,0.05,23.03,3.136797714,
359,0,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.093,0.093,21.4179,3.064227021,,0.045,0.045,20.727,3.031437198,,0.024,0.024,5.5272,1.709681358,,0.027,0.027,6.2181,1.827464394,,0.013,0.013,5.9878,1.789724066,,0.095,0.095,21.8785,3.085504419,,0.044,0.044,20.2664,3.008964342,,0.188,0.188,43.2964,3.768069491,,0.049,0.049,22.5694,3.116595007,
360,-0.001,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.092,0.093,21.4179,3.064227021,,0.045,0.046,21.1876,3.053416105,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.095,0.096,22.1088,3.095975719,,0.044,0.045,20.727,3.031437198,,0.187,0.188,43.2964,3.768069491,,0.049,0.05,23.03,3.136797714,
361,0,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.091,0.091,20.9573,3.042487034,,0.044,0.044,20.2664,3.008964342,,0.024,0.024,5.5272,1.709681358,,0.026,0.026,5.9878,1.789724066,,0.013,0.013,5.9878,1.789724066,,0.094,0.094,21.6482,3.07492231,,0.043,0.043,19.8058,2.985974824,,0.187,0.187,43.0661,3.762736145,,0.049,0.049,22.5694,3.116595007,
362,0,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.091,0.091,20.9573,3.042487034,,0.044,0.044,20.2664,3.008964342,,0.024,0.024,5.5272,1.709681358,,0.026,0.026,5.9878,1.789724066,,0.013,0.013,5.9878,1.789724066,,0.093,0.093,21.4179,3.064227021,,0.043,0.043,19.8058,2.985974824,,0.186,0.186,42.8358,3.757374202,,0.049,0.049,22.5694,3.116595007,
363,0,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.09,0.09,20.727,3.031437198,,0.044,0.044,20.2664,3.008964342,,0.024,0.024,5.5272,1.709681358,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.092,0.092,21.1876,3.053416105,,0.042,0.042,19.3452,2.962444327,,0.185,0.185,42.6055,3.751983353,,0.049,0.049,22.5694,3.116595007,
364,-0.001,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.089,0.09,20.727,3.031437198,,0.043,0.044,20.2664,3.008964342,,0.024,0.025,5.7575,1.750503353,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.092,0.093,21.4179,3.064227021,,0.042,0.043,19.8058,2.985974824,,0.184,0.185,42.6055,3.751983353,,0.049,0.05,23.03,3.136797714,
365,-0.001,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.089,0.09,20.727,3.031437198,,0.043,0.044,20.2664,3.008964342,,0.023,0.024,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.091,0.092,21.1876,3.053416105,,0.042,0.043,19.8058,2.985974824,,0.183,0.184,42.3752,3.746563285,,0.049,0.05,23.03,3.136797714,
366,0,0.022,0.022,5.0666,1.622669981,,0.011,0.011,5.0666,1.622669981,,0.089,0.089,20.4967,3.020263898,,0.043,0.043,19.8058,2.985974824,,0.024,0.024,5.5272,1.709681358,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.091,0.091,20.9573,3.042487034,,0.042,0.042,19.3452,2.962444327,,0.182,0.182,41.9146,3.735634215,,0.049,0.049,22.5694,3.116595007,
367,0,0.022,0.022,5.0666,1.622669981,,0.011,0.011,5.0666,1.622669981,,0.088,0.088,20.2664,3.008964342,,0.043,0.043,19.8058,2.985974824,,0.023,0.023,5.2969,1.667121744,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.09,0.09,20.727,3.031437198,,0.041,0.041,18.8846,2.938346775,,0.182,0.182,41.9146,3.735634215,,0.049,0.049,22.5694,3.116595007,
368,0,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.088,0.088,20.2664,3.008964342,,0.042,0.042,19.3452,2.962444327,,0.023,0.023,5.2969,1.667121744,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.089,0.089,20.4967,3.020263898,,0.041,0.041,18.8846,2.938346775,,0.181,0.181,41.6843,3.730124559,,0.048,0.048,22.1088,3.095975719,
369,0,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.087,0.087,20.0361,2.997535646,,0.042,0.042,19.3452,2.962444327,,0.023,0.023,5.2969,1.667121744,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.088,0.088,20.2664,3.008964342,,0.041,0.041,18.8846,2.938346775,,0.18,0.18,41.454,3.724584379,,0.048,0.048,22.1088,3.095975719,
370,0,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.087,0.087,20.0361,2.997535646,,0.041,0.041,18.8846,2.938346775,,0.023,0.023,5.2969,1.667121744,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.088,0.088,20.2664,3.008964342,,0.04,0.04,18.424,2.913654163,,0.179,0.179,41.2237,3.719013334,,0.048,0.048,22.1088,3.095975719,
371,0,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.086,0.086,19.8058,2.985974824,,0.041,0.041,18.8846,2.938346775,,0.023,0.023,5.2969,1.667121744,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.087,0.087,20.0361,2.997535646,,0.04,0.04,18.424,2.913654163,,0.179,0.179,41.2237,3.719013334,,0.048,0.048,22.1088,3.095975719,
372,0,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.085,0.085,19.5755,2.974278784,,0.041,0.041,18.8846,2.938346775,,0.023,0.023,5.2969,1.667121744,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.086,0.086,19.8058,2.985974824,,0.04,0.04,18.424,2.913654163,,0.178,0.178,40.9934,3.713411078,,0.048,0.048,22.1088,3.095975719,
373,0,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.085,0.085,19.5755,2.974278784,,0.041,0.041,18.8846,2.938346775,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.086,0.086,19.8058,2.985974824,,0.039,0.039,17.9634,2.888336355,,0.178,0.178,40.9934,3.713411078,,0.047,0.047,21.6482,3.07492231,
374,0,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.084,0.084,19.3452,2.962444327,,0.04,0.04,18.424,2.913654163,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.085,0.085,19.5755,2.974278784,,0.039,0.039,17.9634,2.888336355,,0.177,0.177,40.7631,3.70777726,,0.047,0.047,21.6482,3.07492231,
375,0,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.084,0.084,19.3452,2.962444327,,0.04,0.04,18.424,2.913654163,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.085,0.085,19.5755,2.974278784,,0.039,0.039,17.9634,2.888336355,,0.176,0.176,40.5328,3.702111523,,0.047,0.047,21.6482,3.07492231,
376,0,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.083,0.083,19.1149,2.950468136,,0.04,0.04,18.424,2.913654163,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.084,0.084,19.3452,2.962444327,,0.038,0.038,17.5028,2.862360868,,0.175,0.175,40.3025,3.696413502,,0.047,0.047,21.6482,3.07492231,
377,0,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.082,0.082,18.8846,2.938346775,,0.039,0.039,17.9634,2.888336355,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.083,0.083,19.1149,2.950468136,,0.038,0.038,17.5028,2.862360868,,0.174,0.174,40.0722,3.690682827,,0.047,0.047,21.6482,3.07492231,
378,0,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.082,0.082,18.8846,2.938346775,,0.039,0.039,17.9634,2.888336355,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.082,0.082,18.8846,2.938346775,,0.037,0.037,17.0422,2.835692621,,0.174,0.174,40.0722,3.690682827,,0.047,0.047,21.6482,3.07492231,
379,0,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.081,0.081,18.6543,2.926076683,,0.039,0.039,17.9634,2.888336355,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.011,0.011,5.0666,1.622669981,,0.082,0.082,18.8846,2.938346775,,0.037,0.037,17.0422,2.835692621,,0.173,0.173,39.8419,3.684919122,,0.046,0.046,21.1876,3.053416105,
380,-0.001,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,,0.081,0.082,18.8846,2.938346775,,0.038,0.039,17.9634,2.888336355,,0.021,0.022,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.081,0.082,18.8846,2.938346775,,0.037,0.038,17.5028,2.862360868,,0.172,0.173,39.8419,3.684919122,,0.046,0.047,21.6482,3.07492231,
381,0,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.08,0.08,18.424,2.913654163,,0.038,0.038,17.5028,2.862360868,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.081,0.081,18.6543,2.926076683,,0.037,0.037,17.0422,2.835692621,,0.172,0.172,39.6116,3.679122005,,0.046,0.046,21.1876,3.053416105,
382,-0.001,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.08,0.081,18.6543,2.926076683,,0.038,0.039,17.9634,2.888336355,,0.021,0.022,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.08,0.081,18.6543,2.926076683,,0.037,0.038,17.5028,2.862360868,,0.171,0.172,39.6116,3.679122005,,0.046,0.047,21.6482,3.07492231,
383,0,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.079,0.079,18.1937,2.90107538,,0.038,0.038,17.5028,2.862360868,,0.021,0.021,4.8363,1.576149966,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.079,0.079,18.1937,2.90107538,,0.036,0.036,16.5816,2.808293647,,0.17,0.17,39.151,3.667425965,,0.046,0.046,21.1876,3.053416105,
384,0,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.078,0.078,17.9634,2.888336355,,0.037,0.037,17.0422,2.835692621,,0.021,0.021,4.8363,1.576149966,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.079,0.079,18.1937,2.90107538,,0.036,0.036,16.5816,2.808293647,,0.17,0.17,39.151,3.667425965,,0.046,0.046,21.1876,3.053416105,
385,0,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,,0.078,0.078,17.9634,2.888336355,,0.037,0.037,17.0422,2.835692621,,0.021,0.021,4.8363,1.576149966,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.078,0.078,17.9634,2.888336355,,0.036,0.036,16.5816,2.808293647,,0.169,0.169,38.9207,3.661526243,,0.046,0.046,21.1876,3.053416105,
386,0,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,,0.077,0.077,17.7331,2.87543295,,0.037,0.037,17.0422,2.835692621,,0.021,0.021,4.8363,1.576149966,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.078,0.078,17.9634,2.888336355,,0.035,0.035,16.121,2.78012277,,0.169,0.169,38.9207,3.661526243,,0.045,0.045,20.727,3.031437198,
387,0,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,,0.077,0.077,17.7331,2.87543295,,0.036,0.036,16.5816,2.808293647,,0.021,0.021,4.8363,1.576149966,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.077,0.077,17.7331,2.87543295,,0.035,0.035,16.121,2.78012277,,0.168,0.168,38.6904,3.655591507,,0.045,0.045,20.727,3.031437198,
388,0,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,,0.076,0.076,17.5028,2.862360868,,0.036,0.036,16.5816,2.808293647,,0.02,0.02,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.076,0.076,17.5028,2.862360868,,0.035,0.035,16.121,2.78012277,,0.167,0.167,38.4601,3.64962134,,0.045,0.045,20.727,3.031437198,
389,0,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,,0.076,0.076,17.5028,2.862360868,,0.036,0.036,16.5816,2.808293647,,0.02,0.02,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.076,0.076,17.5028,2.862360868,,0.034,0.034,15.6604,2.751135233,,0.166,0.166,38.2298,3.643615316,,0.045,0.045,20.727,3.031437198,
390,0,0.016,0.016,3.6848,1.30421625,,0.008,0.008,3.6848,1.30421625,,0.075,0.075,17.2725,2.849115641,,0.036,0.036,16.5816,2.808293647,,0.02,0.02,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.075,0.075,17.2725,2.849115641,,0.034,0.034,15.6604,2.751135233,,0.165,0.165,37.9995,3.637573002,,0.045,0.045,20.727,3.031437198,
391,0,0.016,0.016,3.6848,1.30421625,,0.008,0.008,3.6848,1.30421625,,0.075,0.075,17.2725,2.849115641,,0.035,0.035,16.121,2.78012277,,0.02,0.02,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.075,0.075,17.2725,2.849115641,,0.034,0.034,15.6604,2.751135233,,0.165,0.165,37.9995,3.637573002,,0.044,0.044,20.2664,3.008964342,
392,0,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.074,0.074,17.0422,2.835692621,,0.035,0.035,16.121,2.78012277,,0.02,0.02,4.606,1.527359801,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.074,0.074,17.0422,2.835692621,,0.033,0.033,15.1998,2.72128227,,0.164,0.164,37.7692,3.631493956,,0.044,0.044,20.2664,3.008964342,
393,0,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.074,0.074,17.0422,2.835692621,,0.035,0.035,16.121,2.78012277,,0.02,0.02,4.606,1.527359801,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.074,0.074,17.0422,2.835692621,,0.033,0.033,15.1998,2.72128227,,0.163,0.163,37.5389,3.625377729,,0.044,0.044,20.2664,3.008964342,
394,0,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.073,0.073,16.8119,2.822086969,,0.035,0.035,16.121,2.78012277,,0.02,0.02,4.606,1.527359801,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.073,0.073,16.8119,2.822086969,,0.033,0.033,15.1998,2.72128227,,0.163,0.163,37.5389,3.625377729,,0.044,0.044,20.2664,3.008964342,
