,Blank,F17Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_WET_R1_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
274,-0.002,0.066,0.068,15.6604,2.751135233,,0.021,0.023,10.5938,2.360268924,,0.02,0.022,5.0666,1.622669981,,0.025,0.027,6.2181,1.827464394,,0.007,0.009,4.1454,1.421999286,,0.047,0.049,11.2847,2.423447826,,0.021,0.023,10.5938,2.360268924,
275,-0.002,0.065,0.067,15.4301,2.736320147,,0.02,0.022,10.1332,2.315817162,,0.019,0.021,4.8363,1.576149966,,0.024,0.026,5.9878,1.789724066,,0.006,0.008,3.6848,1.30421625,,0.047,0.049,11.2847,2.423447826,,0.021,0.023,10.5938,2.360268924,
276,-0.002,0.065,0.067,15.4301,2.736320147,,0.02,0.022,10.1332,2.315817162,,0.019,0.021,4.8363,1.576149966,,0.024,0.026,5.9878,1.789724066,,0.006,0.008,3.6848,1.30421625,,0.046,0.048,11.0544,2.402828539,,0.021,0.023,10.5938,2.360268924,
277,-0.002,0.064,0.066,15.1998,2.72128227,,0.02,0.022,10.1332,2.315817162,,0.019,0.021,4.8363,1.576149966,,0.024,0.026,5.9878,1.789724066,,0.006,0.008,3.6848,1.30421625,,0.046,0.048,11.0544,2.402828539,,0.02,0.022,10.1332,2.315817162,
278,-0.002,0.063,0.065,14.9695,2.706014798,,0.02,0.022,10.1332,2.315817162,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.006,0.008,3.6848,1.30421625,,0.045,0.047,10.8241,2.38177513,,0.02,0.022,10.1332,2.315817162,
279,-0.002,0.063,0.065,14.9695,2.706014798,,0.019,0.021,9.6726,2.269297146,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.006,0.008,3.6848,1.30421625,,0.044,0.046,10.5938,2.360268924,,0.02,0.022,10.1332,2.315817162,
280,-0.002,0.062,0.064,14.7392,2.690510611,,0.019,0.021,9.6726,2.269297146,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.005,0.007,3.2242,1.170684857,,0.044,0.046,10.5938,2.360268924,,0.02,0.022,10.1332,2.315817162,
281,-0.002,0.062,0.064,14.7392,2.690510611,,0.019,0.021,9.6726,2.269297146,,0.018,0.02,4.606,1.527359801,,0.022,0.024,5.5272,1.709681358,,0.005,0.007,3.2242,1.170684857,,0.043,0.045,10.3635,2.338290018,,0.019,0.021,9.6726,2.269297146,
282,-0.002,0.061,0.063,14.5089,2.674762254,,0.019,0.021,9.6726,2.269297146,,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.005,0.007,3.2242,1.170684857,,0.043,0.045,10.3635,2.338290018,,0.019,0.021,9.6726,2.269297146,
283,-0.002,0.061,0.063,14.5089,2.674762254,,0.018,0.02,9.212,2.220506982,,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.005,0.007,3.2242,1.170684857,,0.042,0.044,10.1332,2.315817162,,0.019,0.021,9.6726,2.269297146,
284,-0.002,0.06,0.062,14.2786,2.658761913,,0.018,0.02,9.212,2.220506982,,0.017,0.019,4.3757,1.476066507,,0.021,0.023,5.2969,1.667121744,,0.005,0.007,3.2242,1.170684857,,0.042,0.044,10.1332,2.315817162,,0.018,0.02,9.212,2.220506982,
285,-0.002,0.06,0.062,14.2786,2.658761913,,0.018,0.02,9.212,2.220506982,,0.017,0.019,4.3757,1.476066507,,0.021,0.023,5.2969,1.667121744,,0.005,0.007,3.2242,1.170684857,,0.041,0.043,9.9029,2.292827644,,0.018,0.02,9.212,2.220506982,
286,-0.002,0.059,0.061,14.0483,2.642501392,,0.017,0.019,8.7514,2.169213688,,0.016,0.018,4.1454,1.421999286,,0.021,0.023,5.2969,1.667121744,,0.004,0.006,2.7636,1.016534178,,0.041,0.043,9.9029,2.292827644,,0.018,0.02,9.212,2.220506982,
287,-0.002,0.058,0.06,13.818,2.62597209,,0.017,0.019,8.7514,2.169213688,,0.016,0.018,4.1454,1.421999286,,0.02,0.022,5.0666,1.622669981,,0.004,0.006,2.7636,1.016534178,,0.04,0.042,9.6726,2.269297146,,0.018,0.02,9.212,2.220506982,
288,-0.002,0.058,0.06,13.818,2.62597209,,0.017,0.019,8.7514,2.169213688,,0.015,0.017,3.9151,1.364840872,,0.02,0.022,5.0666,1.622669981,,0.004,0.006,2.7636,1.016534178,,0.039,0.041,9.4423,2.245199595,,0.017,0.019,8.7514,2.169213688,
289,-0.002,0.057,0.059,13.5877,2.609164972,,0.016,0.018,8.2908,2.115146466,,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.004,0.006,2.7636,1.016534178,,0.039,0.041,9.4423,2.245199595,,0.017,0.019,8.7514,2.169213688,
290,-0.002,0.057,0.059,13.5877,2.609164972,,0.016,0.018,8.2908,2.115146466,,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.004,0.006,2.7636,1.016534178,,0.038,0.04,9.212,2.220506982,,0.017,0.019,8.7514,2.169213688,
291,-0.002,0.056,0.058,13.3574,2.592070538,,0.016,0.018,8.2908,2.115146466,,0.014,0.016,3.6848,1.30421625,,0.019,0.021,4.8363,1.576149966,,0.003,0.005,2.303,0.834212621,,0.037,0.039,8.9817,2.195189174,,0.016,0.018,8.2908,2.115146466,
292,-0.002,0.056,0.058,13.3574,2.592070538,,0.016,0.018,8.2908,2.115146466,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.003,0.005,2.303,0.834212621,,0.037,0.039,8.9817,2.195189174,,0.016,0.018,8.2908,2.115146466,
293,-0.002,0.055,0.057,13.1271,2.574678796,,0.016,0.018,8.2908,2.115146466,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.003,0.005,2.303,0.834212621,,0.037,0.039,8.9817,2.195189174,,0.016,0.018,8.2908,2.115146466,
294,-0.002,0.055,0.057,13.1271,2.574678796,,0.015,0.017,7.8302,2.057988052,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.003,0.005,2.303,0.834212621,,0.036,0.038,8.7514,2.169213688,,0.016,0.018,8.2908,2.115146466,
295,-0.002,0.054,0.056,12.8968,2.556979219,,0.015,0.017,7.8302,2.057988052,,0.013,0.015,3.4545,1.239677729,,0.017,0.019,4.3757,1.476066507,,0.003,0.005,2.303,0.834212621,,0.035,0.037,8.5211,2.14254544,,0.015,0.017,7.8302,2.057988052,
296,-0.002,0.054,0.056,12.8968,2.556979219,,0.015,0.017,7.8302,2.057988052,,0.013,0.015,3.4545,1.239677729,,0.017,0.019,4.3757,1.476066507,,0.003,0.005,2.303,0.834212621,,0.035,0.037,8.5211,2.14254544,,0.015,0.017,7.8302,2.057988052,
297,-0.002,0.053,0.055,12.6665,2.538960713,,0.015,0.017,7.8302,2.057988052,,0.013,0.015,3.4545,1.239677729,,0.016,0.018,4.1454,1.421999286,,0.003,0.005,2.303,0.834212621,,0.034,0.036,8.2908,2.115146466,,0.015,0.017,7.8302,2.057988052,
298,-0.002,0.053,0.055,12.6665,2.538960713,,0.014,0.016,7.3696,1.997363431,,0.012,0.014,3.2242,1.170684857,,0.016,0.018,4.1454,1.421999286,,0.002,0.004,1.8424,0.61106907,,0.034,0.036,8.2908,2.115146466,,0.015,0.017,7.8302,2.057988052,
299,-0.002,0.052,0.054,12.4362,2.520611574,,0.014,0.016,7.3696,1.997363431,,0.012,0.014,3.2242,1.170684857,,0.016,0.018,4.1454,1.421999286,,0.002,0.004,1.8424,0.61106907,,0.033,0.035,8.0605,2.086975589,,0.014,0.016,7.3696,1.997363431,
300,-0.002,0.052,0.054,12.4362,2.520611574,,0.014,0.016,7.3696,1.997363431,,0.012,0.014,3.2242,1.170684857,,0.015,0.017,3.9151,1.364840872,,0.002,0.004,1.8424,0.61106907,,0.033,0.035,8.0605,2.086975589,,0.014,0.016,7.3696,1.997363431,
301,-0.002,0.052,0.054,12.4362,2.520611574,,0.014,0.016,7.3696,1.997363431,,0.012,0.014,3.2242,1.170684857,,0.015,0.017,3.9151,1.364840872,,0.002,0.004,1.8424,0.61106907,,0.033,0.035,8.0605,2.086975589,,0.014,0.016,7.3696,1.997363431,
302,-0.002,0.051,0.053,12.2059,2.501919441,,0.014,0.016,7.3696,1.997363431,,0.012,0.014,3.2242,1.170684857,,0.015,0.017,3.9151,1.364840872,,0.002,0.004,1.8424,0.61106907,,0.032,0.034,7.8302,2.057988052,,0.014,0.016,7.3696,1.997363431,
303,-0.002,0.051,0.053,12.2059,2.501919441,,0.013,0.015,6.909,1.93282491,,0.012,0.014,3.2242,1.170684857,,0.014,0.016,3.6848,1.30421625,,0.002,0.004,1.8424,0.61106907,,0.032,0.034,7.8302,2.057988052,,0.013,0.015,6.909,1.93282491,
304,-0.002,0.05,0.052,11.9756,2.482871246,,0.013,0.015,6.909,1.93282491,,0.011,0.013,2.9939,1.096576885,,0.014,0.016,3.6848,1.30421625,,0.001,0.003,1.3818,0.323386997,,0.031,0.033,7.5999,2.028135089,,0.013,0.015,6.909,1.93282491,
305,-0.002,0.05,0.052,11.9756,2.482871246,,0.013,0.015,6.909,1.93282491,,0.011,0.013,2.9939,1.096576885,,0.014,0.016,3.6848,1.30421625,,0.001,0.003,1.3818,0.323386997,,0.031,0.033,7.5999,2.028135089,,0.013,0.015,6.909,1.93282491,
306,-0.002,0.049,0.051,11.7453,2.463453161,,0.013,0.015,6.909,1.93282491,,0.01,0.012,2.7636,1.016534178,,0.013,0.015,3.4545,1.239677729,,0.001,0.003,1.3818,0.323386997,,0.03,0.032,7.3696,1.997363431,,0.012,0.014,6.4484,1.863832038,
307,-0.002,0.049,0.051,11.7453,2.463453161,,0.013,0.015,6.909,1.93282491,,0.01,0.012,2.7636,1.016534178,,0.013,0.015,3.4545,1.239677729,,0.001,0.003,1.3818,0.323386997,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,
308,-0.002,0.049,0.051,11.7453,2.463453161,,0.013,0.015,6.909,1.93282491,,0.01,0.012,2.7636,1.016534178,,0.012,0.014,3.2242,1.170684857,,0,0.002,0.9212,-0.082078111,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,
309,-0.002,0.049,0.051,11.7453,2.463453161,,0.012,0.014,6.4484,1.863832038,,0.01,0.012,2.7636,1.016534178,,0.012,0.014,3.2242,1.170684857,,0,0.002,0.9212,-0.082078111,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,
310,-0.002,0.048,0.05,11.515,2.443650533,,0.012,0.014,6.4484,1.863832038,,0.01,0.012,2.7636,1.016534178,,0.012,0.014,3.2242,1.170684857,,0,0.002,0.9212,-0.082078111,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,
311,-0.002,0.048,0.05,11.515,2.443650533,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,,0.012,0.014,3.2242,1.170684857,,0,0.002,0.9212,-0.082078111,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,
312,-0.002,0.047,0.049,11.2847,2.423447826,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,,0.011,0.013,2.9939,1.096576885,,0,0.002,0.9212,-0.082078111,,0.028,0.03,6.909,1.93282491,,0.011,0.013,5.9878,1.789724066,
313,-0.001,0.047,0.048,11.0544,2.402828539,,0.012,0.013,5.9878,1.789724066,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0,0.001,0.4606,-0.775225292,,0.027,0.028,6.4484,1.863832038,,0.011,0.012,5.5272,1.709681358,
314,-0.001,0.047,0.048,11.0544,2.402828539,,0.012,0.013,5.9878,1.789724066,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0,0.001,0.4606,-0.775225292,,0.027,0.028,6.4484,1.863832038,,0.011,0.012,5.5272,1.709681358,
315,-0.002,0.046,0.048,11.0544,2.402828539,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,,0.011,0.013,2.9939,1.096576885,,0,0.002,0.9212,-0.082078111,,0.027,0.029,6.6787,1.898923358,,0.011,0.013,5.9878,1.789724066,
316,-0.002,0.046,0.048,11.0544,2.402828539,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,,0.011,0.013,2.9939,1.096576885,,0,0.002,0.9212,-0.082078111,,0.026,0.028,6.4484,1.863832038,,0.011,0.013,5.9878,1.789724066,
317,-0.001,0.046,0.047,10.8241,2.38177513,,0.011,0.012,5.5272,1.709681358,,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,-0.001,0,0,#NUM!,,0.026,0.027,6.2181,1.827464394,,0.011,0.012,5.5272,1.709681358,
318,-0.001,0.045,0.046,10.5938,2.360268924,,0.011,0.012,5.5272,1.709681358,,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,-0.001,0,0,#NUM!,,0.026,0.027,6.2181,1.827464394,,0.011,0.012,5.5272,1.709681358,
319,-0.001,0.045,0.046,10.5938,2.360268924,,0.011,0.012,5.5272,1.709681358,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,-0.001,0,0,#NUM!,,0.025,0.026,5.9878,1.789724066,,0.01,0.011,5.0666,1.622669981,
320,-0.001,0.045,0.046,10.5938,2.360268924,,0.011,0.012,5.5272,1.709681358,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,-0.001,0,0,#NUM!,,0.025,0.026,5.9878,1.789724066,,0.01,0.011,5.0666,1.622669981,
321,-0.001,0.045,0.046,10.5938,2.360268924,,0.011,0.012,5.5272,1.709681358,,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,-0.001,0,0,#NUM!,,0.024,0.025,5.7575,1.750503353,,0.01,0.011,5.0666,1.622669981,
322,-0.001,0.044,0.045,10.3635,2.338290018,,0.011,0.012,5.5272,1.709681358,,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,-0.001,0,0,#NUM!,,0.024,0.025,5.7575,1.750503353,,0.01,0.011,5.0666,1.622669981,
323,-0.001,0.044,0.045,10.3635,2.338290018,,0.011,0.012,5.5272,1.709681358,,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,-0.001,0,0,#NUM!,,0.024,0.025,5.7575,1.750503353,,0.01,0.011,5.0666,1.622669981,
324,-0.002,0.044,0.046,10.5938,2.360268924,,0.01,0.012,5.5272,1.709681358,,0.007,0.009,2.0727,0.728852105,,0.009,0.011,2.5333,0.929522801,,-0.001,0.001,0.4606,-0.775225292,,0.023,0.025,5.7575,1.750503353,,0.01,0.012,5.5272,1.709681358,
325,-0.002,0.043,0.045,10.3635,2.338290018,,0.01,0.012,5.5272,1.709681358,,0.007,0.009,2.0727,0.728852105,,0.009,0.011,2.5333,0.929522801,,-0.001,0.001,0.4606,-0.775225292,,0.023,0.025,5.7575,1.750503353,,0.01,0.012,5.5272,1.709681358,
326,-0.002,0.043,0.045,10.3635,2.338290018,,0.01,0.012,5.5272,1.709681358,,0.007,0.009,2.0727,0.728852105,,0.008,0.01,2.303,0.834212621,,-0.002,0,0,#NUM!,,0.023,0.025,5.7575,1.750503353,,0.009,0.011,5.0666,1.622669981,
327,-0.001,0.043,0.044,10.1332,2.315817162,,0.01,0.011,5.0666,1.622669981,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,-0.001,0,0,#NUM!,,0.022,0.023,5.2969,1.667121744,,0.009,0.01,4.606,1.527359801,
328,-0.001,0.042,0.043,9.9029,2.292827644,,0.01,0.011,5.0666,1.622669981,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,-0.002,-0.001,-0.4606,#NUM!,,0.022,0.023,5.2969,1.667121744,,0.009,0.01,4.606,1.527359801,
329,-0.001,0.042,0.043,9.9029,2.292827644,,0.01,0.011,5.0666,1.622669981,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,-0.002,-0.001,-0.4606,#NUM!,,0.022,0.023,5.2969,1.667121744,,0.009,0.01,4.606,1.527359801,
330,-0.001,0.042,0.043,9.9029,2.292827644,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,-0.002,-0.001,-0.4606,#NUM!,,0.021,0.022,5.0666,1.622669981,,0.008,0.009,4.1454,1.421999286,
331,-0.001,0.041,0.042,9.6726,2.269297146,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.021,0.022,5.0666,1.622669981,,0.008,0.009,4.1454,1.421999286,
332,-0.001,0.041,0.042,9.6726,2.269297146,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.021,0.022,5.0666,1.622669981,,0.008,0.009,4.1454,1.421999286,
333,-0.001,0.041,0.042,9.6726,2.269297146,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.021,0.022,5.0666,1.622669981,,0.008,0.009,4.1454,1.421999286,
334,-0.001,0.041,0.042,9.6726,2.269297146,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.02,0.021,4.8363,1.576149966,,0.007,0.008,3.6848,1.30421625,
335,-0.001,0.041,0.042,9.6726,2.269297146,,0.009,0.01,4.606,1.527359801,,0.005,0.006,1.3818,0.323386997,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.02,0.021,4.8363,1.576149966,,0.008,0.009,4.1454,1.421999286,
336,-0.001,0.04,0.041,9.4423,2.245199595,,0.009,0.01,4.606,1.527359801,,0.005,0.006,1.3818,0.323386997,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.02,0.021,4.8363,1.576149966,,0.007,0.008,3.6848,1.30421625,
337,-0.001,0.04,0.041,9.4423,2.245199595,,0.009,0.01,4.606,1.527359801,,0.005,0.006,1.3818,0.323386997,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,
338,-0.001,0.039,0.04,9.212,2.220506982,,0.008,0.009,4.1454,1.421999286,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,-0.003,-0.002,-0.9212,#NUM!,,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,
339,-0.001,0.04,0.041,9.4423,2.245199595,,0.009,0.01,4.606,1.527359801,,0.005,0.006,1.3818,0.323386997,,0.007,0.008,1.8424,0.61106907,,-0.002,-0.001,-0.4606,#NUM!,,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,
340,0,0.04,0.04,9.212,2.220506982,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,-0.001,-0.001,-0.4606,#NUM!,,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,
341,-0.001,0.039,0.04,9.212,2.220506982,,0.009,0.01,4.606,1.527359801,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,-0.002,-0.001,-0.4606,#NUM!,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,
342,-0.001,0.039,0.04,9.212,2.220506982,,0.008,0.009,4.1454,1.421999286,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,-0.003,-0.002,-0.9212,#NUM!,,0.018,0.019,4.3757,1.476066507,,0.006,0.007,3.2242,1.170684857,
343,-0.001,0.039,0.04,9.212,2.220506982,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,1.3818,0.323386997,,-0.003,-0.002,-0.9212,#NUM!,,0.017,0.018,4.1454,1.421999286,,0.006,0.007,3.2242,1.170684857,
344,-0.001,0.039,0.04,9.212,2.220506982,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,1.3818,0.323386997,,-0.003,-0.002,-0.9212,#NUM!,,0.017,0.018,4.1454,1.421999286,,0.006,0.007,3.2242,1.170684857,
345,-0.002,0.038,0.04,9.212,2.220506982,,0.008,0.01,4.606,1.527359801,,0.004,0.006,1.3818,0.323386997,,0.005,0.007,1.6121,0.477537677,,-0.003,-0.001,-0.4606,#NUM!,,0.016,0.018,4.1454,1.421999286,,0.005,0.007,3.2242,1.170684857,
346,-0.002,0.037,0.039,8.9817,2.195189174,,0.007,0.009,4.1454,1.421999286,,0.004,0.006,1.3818,0.323386997,,0.004,0.006,1.3818,0.323386997,,-0.004,-0.002,-0.9212,#NUM!,,0.016,0.018,4.1454,1.421999286,,0.005,0.007,3.2242,1.170684857,
347,-0.001,0.037,0.038,8.7514,2.169213688,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,1.1515,0.14106544,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.016,0.017,3.9151,1.364840872,,0.005,0.006,2.7636,1.016534178,
348,-0.001,0.037,0.038,8.7514,2.169213688,,0.007,0.008,3.6848,1.30421625,,0.004,0.005,1.1515,0.14106544,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.016,0.017,3.9151,1.364840872,,0.005,0.006,2.7636,1.016534178,
349,-0.001,0.037,0.038,8.7514,2.169213688,,0.007,0.008,3.6848,1.30421625,,0.003,0.004,0.9212,-0.082078111,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.015,0.016,3.6848,1.30421625,,0.005,0.006,2.7636,1.016534178,
350,-0.001,0.037,0.038,8.7514,2.169213688,,0.007,0.008,3.6848,1.30421625,,0.003,0.004,0.9212,-0.082078111,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.015,0.016,3.6848,1.30421625,,0.005,0.006,2.7636,1.016534178,
351,-0.001,0.036,0.037,8.5211,2.14254544,,0.007,0.008,3.6848,1.30421625,,0.003,0.004,0.9212,-0.082078111,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.015,0.016,3.6848,1.30421625,,0.005,0.006,2.7636,1.016534178,
352,-0.001,0.036,0.037,8.5211,2.14254544,,0.007,0.008,3.6848,1.30421625,,0.003,0.004,0.9212,-0.082078111,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.015,0.016,3.6848,1.30421625,,0.005,0.006,2.7636,1.016534178,
353,-0.001,0.036,0.037,8.5211,2.14254544,,0.007,0.008,3.6848,1.30421625,,0.003,0.004,0.9212,-0.082078111,,0.004,0.005,1.1515,0.14106544,,-0.004,-0.003,-1.3818,#NUM!,,0.014,0.015,3.4545,1.239677729,,0.004,0.005,2.303,0.834212621,
354,-0.001,0.036,0.037,8.5211,2.14254544,,0.006,0.007,3.2242,1.170684857,,0.003,0.004,0.9212,-0.082078111,,0.003,0.004,0.9212,-0.082078111,,-0.004,-0.003,-1.3818,#NUM!,,0.014,0.015,3.4545,1.239677729,,0.004,0.005,2.303,0.834212621,
355,-0.001,0.035,0.036,8.2908,2.115146466,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,-0.004,-0.003,-1.3818,#NUM!,,0.014,0.015,3.4545,1.239677729,,0.004,0.005,2.303,0.834212621,
356,-0.002,0.035,0.037,8.5211,2.14254544,,0.006,0.008,3.6848,1.30421625,,0.002,0.004,0.9212,-0.082078111,,0.003,0.005,1.1515,0.14106544,,-0.005,-0.003,-1.3818,#NUM!,,0.013,0.015,3.4545,1.239677729,,0.004,0.006,2.7636,1.016534178,
357,-0.001,0.035,0.036,8.2908,2.115146466,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,-0.004,-0.003,-1.3818,#NUM!,,0.013,0.014,3.2242,1.170684857,,0.004,0.005,2.303,0.834212621,
358,-0.002,0.034,0.036,8.2908,2.115146466,,0.006,0.008,3.6848,1.30421625,,0.002,0.004,0.9212,-0.082078111,,0.002,0.004,0.9212,-0.082078111,,-0.005,-0.003,-1.3818,#NUM!,,0.013,0.015,3.4545,1.239677729,,0.004,0.006,2.7636,1.016534178,
359,-0.001,0.035,0.036,8.2908,2.115146466,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,-0.004,-0.003,-1.3818,#NUM!,,0.013,0.014,3.2242,1.170684857,,0.004,0.005,2.303,0.834212621,
360,-0.001,0.034,0.035,8.0605,2.086975589,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.002,0.003,0.6909,-0.369760183,,-0.005,-0.004,-1.8424,#NUM!,,0.013,0.014,3.2242,1.170684857,,0.004,0.005,2.303,0.834212621,
361,-0.001,0.034,0.035,8.0605,2.086975589,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.002,0.003,0.6909,-0.369760183,,-0.004,-0.003,-1.3818,#NUM!,,0.013,0.014,3.2242,1.170684857,,0.003,0.004,1.8424,0.61106907,
362,-0.001,0.034,0.035,8.0605,2.086975589,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,-0.004,-0.003,-1.3818,#NUM!,,0.013,0.014,3.2242,1.170684857,,0.004,0.005,2.303,0.834212621,
363,-0.001,0.034,0.035,8.0605,2.086975589,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.002,0.003,0.6909,-0.369760183,,-0.005,-0.004,-1.8424,#NUM!,,0.012,0.013,2.9939,1.096576885,,0.003,0.004,1.8424,0.61106907,
364,-0.001,0.034,0.035,8.0605,2.086975589,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.002,0.003,0.6909,-0.369760183,,-0.005,-0.004,-1.8424,#NUM!,,0.012,0.013,2.9939,1.096576885,,0.003,0.004,1.8424,0.61106907,
365,-0.001,0.033,0.034,7.8302,2.057988052,,0.006,0.007,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.002,0.003,0.6909,-0.369760183,,-0.005,-0.004,-1.8424,#NUM!,,0.012,0.013,2.9939,1.096576885,,0.003,0.004,1.8424,0.61106907,
