,Blank,F17Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_WET_R1_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
219,-0.004,0.122,0.126,29.0178,3.367909435,,0.048,0.052,23.9512,3.176018427,,0.062,0.066,15.1998,2.72128227,,0.104,0.108,24.8724,3.213758755,,0.05,0.054,24.8724,3.213758755,,0.104,0.108,24.8724,3.213758755,,0.051,0.055,25.333,3.232107894,
220,-0.004,0.12,0.124,28.5572,3.351909093,,0.046,0.05,23.03,3.136797714,,0.059,0.063,14.5089,2.674762254,,0.098,0.102,23.4906,3.156600341,,0.046,0.05,23.03,3.136797714,,0.101,0.105,24.1815,3.185587878,,0.049,0.053,24.4118,3.195066622,
221,-0.004,0.117,0.121,27.8663,3.327418073,,0.045,0.049,22.5694,3.116595007,,0.056,0.06,13.818,2.62597209,,0.092,0.096,22.1088,3.095975719,,0.043,0.047,21.6482,3.07492231,,0.099,0.103,23.7209,3.166356516,,0.048,0.052,23.9512,3.176018427,
222,-0.004,0.115,0.119,27.4057,3.310751021,,0.044,0.048,22.1088,3.095975719,,0.054,0.058,13.3574,2.592070538,,0.086,0.09,20.727,3.031437198,,0.04,0.044,20.2664,3.008964342,,0.096,0.1,23.03,3.136797714,,0.047,0.051,23.4906,3.156600341,
223,-0.004,0.112,0.116,26.7148,3.285217719,,0.043,0.047,21.6482,3.07492231,,0.051,0.055,12.6665,2.538960713,,0.081,0.085,19.5755,2.974278784,,0.037,0.041,18.8846,2.938346775,,0.094,0.098,22.5694,3.116595007,,0.045,0.049,22.5694,3.116595007,
224,-0.004,0.11,0.114,26.2542,3.267825976,,0.042,0.046,21.1876,3.053416105,,0.049,0.053,12.2059,2.501919441,,0.076,0.08,18.424,2.913654163,,0.034,0.038,17.5028,2.862360868,,0.092,0.096,22.1088,3.095975719,,0.044,0.048,22.1088,3.095975719,
225,-0.003,0.108,0.111,25.5633,3.241157729,,0.041,0.044,20.2664,3.008964342,,0.047,0.05,11.515,2.443650533,,0.071,0.074,17.0422,2.835692621,,0.032,0.035,16.121,2.78012277,,0.089,0.092,21.1876,3.053416105,,0.043,0.046,21.1876,3.053416105,
226,-0.003,0.106,0.109,25.1027,3.22297541,,0.04,0.043,19.8058,2.985974824,,0.045,0.048,11.0544,2.402828539,,0.067,0.07,16.121,2.78012277,,0.029,0.032,14.7392,2.690510611,,0.087,0.09,20.727,3.031437198,,0.042,0.045,20.727,3.031437198,
227,-0.003,0.104,0.107,24.6421,3.204456362,,0.039,0.042,19.3452,2.962444327,,0.043,0.046,10.5938,2.360268924,,0.063,0.066,15.1998,2.72128227,,0.027,0.03,13.818,2.62597209,,0.085,0.088,20.2664,3.008964342,,0.041,0.044,20.2664,3.008964342,
228,-0.003,0.102,0.105,24.1815,3.185587878,,0.038,0.041,18.8846,2.938346775,,0.042,0.045,10.3635,2.338290018,,0.059,0.062,14.2786,2.658761913,,0.025,0.028,12.8968,2.556979219,,0.083,0.086,19.8058,2.985974824,,0.04,0.043,19.8058,2.985974824,
