,MilliQ,B20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
359,0.001,0.023,0.022,5.0666,1.622669981,,0.033,0.032,7.3696,1.997363431,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.022,0.021,4.8363,1.576149966,,0.033,0.032,7.3696,1.997363431,,0.031,0.03,6.909,1.93282491,,0.034,0.033,7.5999,2.028135089,,0.02,0.019,4.3757,1.476066507,,0.118,0.117,26.9451,3.293801463,
360,0.001,0.024,0.023,5.2969,1.667121744,,0.033,0.032,7.3696,1.997363431,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.022,0.021,4.8363,1.576149966,,0.032,0.031,7.1393,1.965614732,,0.031,0.03,6.909,1.93282491,,0.034,0.033,7.5999,2.028135089,,0.02,0.019,4.3757,1.476066507,,0.117,0.116,26.7148,3.285217719,
361,0.001,0.023,0.022,5.0666,1.622669981,,0.033,0.032,7.3696,1.997363431,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.021,0.02,4.606,1.527359801,,0.032,0.031,7.1393,1.965614732,,0.03,0.029,6.6787,1.898923358,,0.034,0.033,7.5999,2.028135089,,0.02,0.019,4.3757,1.476066507,,0.117,0.116,26.7148,3.285217719,
362,0,0.023,0.023,5.2969,1.667121744,,0.032,0.032,7.3696,1.997363431,,0.022,0.022,5.0666,1.622669981,,0.023,0.023,5.2969,1.667121744,,0.023,0.023,5.2969,1.667121744,,0.019,0.019,4.3757,1.476066507,,0.022,0.022,5.0666,1.622669981,,0.021,0.021,4.8363,1.576149966,,0.032,0.032,7.3696,1.997363431,,0.03,0.03,6.909,1.93282491,,0.033,0.033,7.5999,2.028135089,,0.019,0.019,4.3757,1.476066507,,0.116,0.116,26.7148,3.285217719,
363,0.001,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.021,0.02,4.606,1.527359801,,0.031,0.03,6.909,1.93282491,,0.03,0.029,6.6787,1.898923358,,0.033,0.032,7.3696,1.997363431,,0.02,0.019,4.3757,1.476066507,,0.115,0.114,26.2542,3.267825976,
364,0,0.023,0.023,5.2969,1.667121744,,0.031,0.031,7.1393,1.965614732,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.022,0.022,5.0666,1.622669981,,0.019,0.019,4.3757,1.476066507,,0.022,0.022,5.0666,1.622669981,,0.021,0.021,4.8363,1.576149966,,0.031,0.031,7.1393,1.965614732,,0.029,0.029,6.6787,1.898923358,,0.033,0.033,7.5999,2.028135089,,0.019,0.019,4.3757,1.476066507,,0.114,0.114,26.2542,3.267825976,
365,0.001,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.021,0.02,4.606,1.527359801,,0.022,0.021,4.8363,1.576149966,,0.022,0.021,4.8363,1.576149966,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.02,0.019,4.3757,1.476066507,,0.031,0.03,6.909,1.93282491,,0.029,0.028,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.019,0.018,4.1454,1.421999286,,0.114,0.113,26.0239,3.259015347,
366,0.001,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.021,0.02,4.606,1.527359801,,0.022,0.021,4.8363,1.576149966,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.02,0.019,4.3757,1.476066507,,0.031,0.03,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.019,0.018,4.1454,1.421999286,,0.113,0.112,25.7936,3.250126399,
367,0,0.022,0.022,5.0666,1.622669981,,0.031,0.031,7.1393,1.965614732,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.02,0.02,4.606,1.527359801,,0.03,0.03,6.909,1.93282491,,0.028,0.028,6.4484,1.863832038,,0.032,0.032,7.3696,1.997363431,,0.019,0.019,4.3757,1.476066507,,0.113,0.113,26.0239,3.259015347,
368,0,0.022,0.022,5.0666,1.622669981,,0.03,0.03,6.909,1.93282491,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.03,0.03,6.909,1.93282491,,0.028,0.028,6.4484,1.863832038,,0.032,0.032,7.3696,1.997363431,,0.019,0.019,4.3757,1.476066507,,0.112,0.112,25.7936,3.250126399,
369,0,0.022,0.022,5.0666,1.622669981,,0.03,0.03,6.909,1.93282491,,0.02,0.02,4.606,1.527359801,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.029,0.029,6.6787,1.898923358,,0.027,0.027,6.2181,1.827464394,,0.032,0.032,7.3696,1.997363431,,0.019,0.019,4.3757,1.476066507,,0.111,0.111,25.5633,3.241157729,
370,0,0.021,0.021,4.8363,1.576149966,,0.03,0.03,6.909,1.93282491,,0.02,0.02,4.606,1.527359801,,0.021,0.021,4.8363,1.576149966,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.029,0.029,6.6787,1.898923358,,0.027,0.027,6.2181,1.827464394,,0.032,0.032,7.3696,1.997363431,,0.019,0.019,4.3757,1.476066507,,0.111,0.111,25.5633,3.241157729,
371,0.001,0.021,0.02,4.606,1.527359801,,0.03,0.029,6.6787,1.898923358,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,,0.021,0.02,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.019,0.018,4.1454,1.421999286,,0.029,0.028,6.4484,1.863832038,,0.027,0.026,5.9878,1.789724066,,0.032,0.031,7.1393,1.965614732,,0.019,0.018,4.1454,1.421999286,,0.11,0.109,25.1027,3.22297541,
372,0.001,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,,0.021,0.02,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,,0.029,0.028,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.032,0.031,7.1393,1.965614732,,0.019,0.018,4.1454,1.421999286,,0.11,0.109,25.1027,3.22297541,
373,0,0.021,0.021,4.8363,1.576149966,,0.029,0.029,6.6787,1.898923358,,0.019,0.019,4.3757,1.476066507,,0.021,0.021,4.8363,1.576149966,,0.021,0.021,4.8363,1.576149966,,0.017,0.017,3.9151,1.364840872,,0.02,0.02,4.606,1.527359801,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.018,0.018,4.1454,1.421999286,,0.109,0.109,25.1027,3.22297541,
374,0,0.02,0.02,4.606,1.527359801,,0.029,0.029,6.6787,1.898923358,,0.019,0.019,4.3757,1.476066507,,0.02,0.02,4.606,1.527359801,,0.021,0.021,4.8363,1.576149966,,0.017,0.017,3.9151,1.364840872,,0.02,0.02,4.606,1.527359801,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.025,0.025,5.7575,1.750503353,,0.031,0.031,7.1393,1.965614732,,0.018,0.018,4.1454,1.421999286,,0.108,0.108,24.8724,3.213758755,
375,0,0.02,0.02,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.019,0.019,4.3757,1.476066507,,0.02,0.02,4.606,1.527359801,,0.021,0.021,4.8363,1.576149966,,0.017,0.017,3.9151,1.364840872,,0.02,0.02,4.606,1.527359801,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.025,0.025,5.7575,1.750503353,,0.031,0.031,7.1393,1.965614732,,0.018,0.018,4.1454,1.421999286,,0.108,0.108,24.8724,3.213758755,
376,0.001,0.02,0.019,4.3757,1.476066507,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.018,0.017,3.9151,1.364840872,,0.028,0.027,6.2181,1.827464394,,0.025,0.024,5.5272,1.709681358,,0.031,0.03,6.909,1.93282491,,0.018,0.017,3.9151,1.364840872,,0.107,0.106,24.4118,3.195066622,
377,0.001,0.02,0.019,4.3757,1.476066507,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.017,0.016,3.6848,1.30421625,,0.027,0.026,5.9878,1.789724066,,0.025,0.024,5.5272,1.709681358,,0.031,0.03,6.909,1.93282491,,0.018,0.017,3.9151,1.364840872,,0.107,0.106,24.4118,3.195066622,
378,0.001,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.02,0.019,4.3757,1.476066507,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.017,0.016,3.6848,1.30421625,,0.027,0.026,5.9878,1.789724066,,0.024,0.023,5.2969,1.667121744,,0.03,0.029,6.6787,1.898923358,,0.018,0.017,3.9151,1.364840872,,0.106,0.105,24.1815,3.185587878,
379,0,0.019,0.019,4.3757,1.476066507,,0.027,0.027,6.2181,1.827464394,,0.018,0.018,4.1454,1.421999286,,0.02,0.02,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.024,0.024,5.5272,1.709681358,,0.03,0.03,6.909,1.93282491,,0.018,0.018,4.1454,1.421999286,,0.105,0.105,24.1815,3.185587878,
380,0,0.019,0.019,4.3757,1.476066507,,0.027,0.027,6.2181,1.827464394,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.018,0.018,4.1454,1.421999286,,0.017,0.017,3.9151,1.364840872,,0.026,0.026,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,,0.03,0.03,6.909,1.93282491,,0.018,0.018,4.1454,1.421999286,,0.105,0.105,24.1815,3.185587878,
381,0,0.019,0.019,4.3757,1.476066507,,0.027,0.027,6.2181,1.827464394,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.018,0.018,4.1454,1.421999286,,0.017,0.017,3.9151,1.364840872,,0.026,0.026,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,,0.03,0.03,6.909,1.93282491,,0.017,0.017,3.9151,1.364840872,,0.104,0.104,23.9512,3.176018427,
382,0.001,0.019,0.018,4.1454,1.421999286,,0.027,0.026,5.9878,1.789724066,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.015,0.014,3.2242,1.170684857,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.026,0.025,5.7575,1.750503353,,0.023,0.022,5.0666,1.622669981,,0.03,0.029,6.6787,1.898923358,,0.017,0.016,3.6848,1.30421625,,0.103,0.102,23.4906,3.156600341,
383,0.001,0.019,0.018,4.1454,1.421999286,,0.026,0.025,5.7575,1.750503353,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.015,0.014,3.2242,1.170684857,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.026,0.025,5.7575,1.750503353,,0.022,0.021,4.8363,1.576149966,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.103,0.102,23.4906,3.156600341,
384,0,0.018,0.018,4.1454,1.421999286,,0.026,0.026,5.9878,1.789724066,,0.017,0.017,3.9151,1.364840872,,0.019,0.019,4.3757,1.476066507,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.018,0.018,4.1454,1.421999286,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.022,0.022,5.0666,1.622669981,,0.029,0.029,6.6787,1.898923358,,0.017,0.017,3.9151,1.364840872,,0.102,0.102,23.4906,3.156600341,
385,0,0.018,0.018,4.1454,1.421999286,,0.026,0.026,5.9878,1.789724066,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.022,0.022,5.0666,1.622669981,,0.029,0.029,6.6787,1.898923358,,0.017,0.017,3.9151,1.364840872,,0.102,0.102,23.4906,3.156600341,
386,0.001,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.025,0.024,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.101,0.1,23.03,3.136797714,
387,0.001,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.014,0.013,2.9939,1.096576885,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.1,0.099,22.7997,3.126747378,
388,0,0.017,0.017,3.9151,1.364840872,,0.025,0.025,5.7575,1.750503353,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.021,0.021,4.8363,1.576149966,,0.028,0.028,6.4484,1.863832038,,0.016,0.016,3.6848,1.30421625,,0.099,0.099,22.7997,3.126747378,
389,0,0.017,0.017,3.9151,1.364840872,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.016,0.016,3.6848,1.30421625,,0.099,0.099,22.7997,3.126747378,
390,0,0.017,0.017,3.9151,1.364840872,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.016,0.016,3.6848,1.30421625,,0.098,0.098,22.5694,3.116595007,
391,0.001,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.019,0.018,4.1454,1.421999286,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.014,0.013,2.9939,1.096576885,,0.024,0.023,5.2969,1.667121744,,0.02,0.019,4.3757,1.476066507,,0.028,0.027,6.2181,1.827464394,,0.016,0.015,3.4545,1.239677729,,0.098,0.097,22.3391,3.106338506,
392,0,0.017,0.017,3.9151,1.364840872,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.016,0.016,3.6848,1.30421625,,0.097,0.097,22.3391,3.106338506,
393,0,0.017,0.017,3.9151,1.364840872,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.016,0.016,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.023,0.023,5.2969,1.667121744,,0.019,0.019,4.3757,1.476066507,,0.028,0.028,6.4484,1.863832038,,0.016,0.016,3.6848,1.30421625,,0.097,0.097,22.3391,3.106338506,
394,0,0.016,0.016,3.6848,1.30421625,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.016,0.016,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.023,0.023,5.2969,1.667121744,,0.019,0.019,4.3757,1.476066507,,0.028,0.028,6.4484,1.863832038,,0.016,0.016,3.6848,1.30421625,,0.096,0.096,22.1088,3.095975719,
395,0,0.016,0.016,3.6848,1.30421625,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.023,0.023,5.2969,1.667121744,,0.019,0.019,4.3757,1.476066507,,0.027,0.027,6.2181,1.827464394,,0.016,0.016,3.6848,1.30421625,,0.096,0.096,22.1088,3.095975719,
396,0,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.023,0.023,5.2969,1.667121744,,0.018,0.018,4.1454,1.421999286,,0.027,0.027,6.2181,1.827464394,,0.016,0.016,3.6848,1.30421625,,0.095,0.095,21.8785,3.085504419,
397,0,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.013,0.013,2.9939,1.096576885,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.027,0.027,6.2181,1.827464394,,0.016,0.016,3.6848,1.30421625,,0.094,0.094,21.6482,3.07492231,
398,0,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.013,0.013,2.9939,1.096576885,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,3.4545,1.239677729,,0.094,0.094,21.6482,3.07492231,
399,0,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.012,0.012,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.013,0.013,2.9939,1.096576885,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,3.4545,1.239677729,,0.093,0.093,21.4179,3.064227021,
400,0,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.012,0.012,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.013,0.013,2.9939,1.096576885,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,3.4545,1.239677729,,0.093,0.093,21.4179,3.064227021,
401,0,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.026,0.026,5.9878,1.789724066,,0.015,0.015,3.4545,1.239677729,,0.092,0.092,21.1876,3.053416105,
402,0,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.014,0.014,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.026,0.026,5.9878,1.789724066,,0.015,0.015,3.4545,1.239677729,,0.092,0.092,21.1876,3.053416105,
403,0,0.015,0.015,3.4545,1.239677729,,0.022,0.022,5.0666,1.622669981,,0.014,0.014,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.017,0.017,3.9151,1.364840872,,0.026,0.026,5.9878,1.789724066,,0.015,0.015,3.4545,1.239677729,,0.091,0.091,20.9573,3.042487034,
404,0,0.015,0.015,3.4545,1.239677729,,0.022,0.022,5.0666,1.622669981,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.026,0.026,5.9878,1.789724066,,0.015,0.015,3.4545,1.239677729,,0.091,0.091,20.9573,3.042487034,
405,0,0.015,0.015,3.4545,1.239677729,,0.022,0.022,5.0666,1.622669981,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.026,0.026,5.9878,1.789724066,,0.015,0.015,3.4545,1.239677729,,0.09,0.09,20.727,3.031437198,
406,0,0.014,0.014,3.2242,1.170684857,,0.022,0.022,5.0666,1.622669981,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.011,0.011,2.5333,0.929522801,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.026,0.026,5.9878,1.789724066,,0.015,0.015,3.4545,1.239677729,,0.09,0.09,20.727,3.031437198,
407,0,0.014,0.014,3.2242,1.170684857,,0.022,0.022,5.0666,1.622669981,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.011,0.011,2.5333,0.929522801,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.015,0.015,3.4545,1.239677729,,0.089,0.089,20.4967,3.020263898,
408,0,0.014,0.014,3.2242,1.170684857,,0.022,0.022,5.0666,1.622669981,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.014,0.014,3.2242,1.170684857,,0.089,0.089,20.4967,3.020263898,
409,0,0.014,0.014,3.2242,1.170684857,,0.021,0.021,4.8363,1.576149966,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.025,0.025,5.7575,1.750503353,,0.014,0.014,3.2242,1.170684857,,0.089,0.089,20.4967,3.020263898,
