,MilliQ,B20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
200,0.002,0.175,0.173,39.8419,3.684919122,,0.265,0.263,60.5689,4.10378156,,0.177,0.175,40.3025,3.696413502,,0.162,0.16,36.848,3.606801343,,0.222,0.22,50.666,3.925255074,,0.161,0.159,36.6177,3.60053173,,0.174,0.172,39.6116,3.679122005,,0.232,0.23,52.969,3.969706837,,0.272,0.27,62.181,4.130049487,,0.243,0.241,55.5023,4.016424461,,0.117,0.115,26.4845,3.276559656,,0.104,0.102,23.4906,3.156600341,,0.309,0.307,70.7021,4.258475275,
201,0.002,0.169,0.167,38.4601,3.64962134,,0.255,0.253,58.2659,4.065017017,,0.171,0.169,38.9207,3.661526243,,0.157,0.155,35.6965,3.575052645,,0.217,0.215,49.5145,3.902265556,,0.156,0.154,35.4662,3.56858013,,0.169,0.167,38.4601,3.64962134,,0.222,0.22,50.666,3.925255074,,0.261,0.259,59.6477,4.08845559,,0.235,0.233,53.6599,3.982665981,,0.112,0.11,25.333,3.232107894,,0.099,0.097,22.3391,3.106338506,,0.302,0.3,69.09,4.235410003,
202,0.003,0.164,0.161,37.0783,3.613031893,,0.246,0.243,55.9629,4.024688971,,0.165,0.162,37.3086,3.619223863,,0.152,0.149,34.3147,3.535573834,,0.213,0.21,48.363,3.878735059,,0.152,0.149,34.3147,3.535573834,,0.164,0.161,37.0783,3.613031893,,0.213,0.21,48.363,3.878735059,,0.251,0.248,57.1144,4.045056274,,0.228,0.225,51.8175,3.94772793,,0.109,0.106,24.4118,3.195066622,,0.094,0.091,20.9573,3.042487034,,0.296,0.293,67.4779,4.211800137,
203,0.003,0.159,0.156,35.9268,3.581483535,,0.237,0.234,53.8902,3.986948643,,0.16,0.157,36.1571,3.587873333,,0.148,0.145,33.3935,3.50836127,,0.209,0.206,47.4418,3.859503697,,0.147,0.144,33.1632,3.501440827,,0.159,0.156,35.9268,3.581483535,,0.204,0.201,46.2903,3.834932436,,0.242,0.239,55.0417,4.00809108,,0.22,0.217,49.9751,3.911524881,,0.105,0.102,23.4906,3.156600341,,0.091,0.088,20.2664,3.008964342,,0.291,0.288,66.3264,4.194588008,
204,0.003,0.153,0.15,34.545,3.542262822,,0.227,0.224,51.5872,3.94327358,,0.155,0.152,35.0056,3.555508049,,0.144,0.141,32.4723,3.480387418,,0.205,0.202,46.5206,3.839895225,,0.143,0.14,32.242,3.47326995,,0.154,0.151,34.7753,3.548907365,,0.196,0.193,44.4479,3.794317717,,0.233,0.23,52.969,3.969706837,,0.213,0.21,48.363,3.878735059,,0.102,0.099,22.7997,3.126747378,,0.088,0.085,19.5755,2.974278784,,0.286,0.283,65.1749,4.177074425,
205,0.002,0.148,0.146,33.6238,3.51523415,,0.219,0.217,49.9751,3.911524881,,0.15,0.148,34.0844,3.528839802,,0.139,0.137,31.5511,3.451608454,,0.201,0.199,45.8297,3.824932353,,0.138,0.136,31.3208,3.444282414,,0.149,0.147,33.8541,3.522060115,,0.187,0.185,42.6055,3.751983353,,0.224,0.222,51.1266,3.93430491,,0.206,0.204,46.9812,3.849747522,,0.099,0.097,22.3391,3.106338506,,0.084,0.082,18.8846,2.938346775,,0.281,0.279,64.2537,4.16283931,
206,0.002,0.144,0.142,32.7026,3.487454585,,0.212,0.21,48.363,3.878735059,,0.146,0.144,33.1632,3.501440827,,0.135,0.133,30.6299,3.421976656,,0.196,0.194,44.6782,3.799485687,,0.134,0.132,30.3996,3.41442945,,0.145,0.143,32.9329,3.494472158,,0.18,0.178,40.9934,3.713411078,,0.216,0.214,49.2842,3.897603543,,0.2,0.198,45.5994,3.819894559,,0.097,0.095,21.8785,3.085504419,,0.081,0.079,18.1937,2.90107538,,0.277,0.275,63.3325,4.148398626,
207,0.002,0.14,0.138,31.7814,3.458881213,,0.205,0.203,46.7509,3.844833507,,0.142,0.14,32.242,3.47326995,,0.132,0.13,29.939,3.399161978,,0.191,0.189,43.5267,3.773374543,,0.13,0.128,29.4784,3.383657792,,0.141,0.139,32.0117,3.466101461,,0.174,0.172,39.6116,3.679122005,,0.209,0.207,47.6721,3.864346321,,0.195,0.193,44.4479,3.794317717,,0.094,0.092,21.1876,3.053416105,,0.079,0.077,17.7331,2.87543295,,0.274,0.272,62.6416,4.137429594,
208,0.002,0.136,0.134,30.8602,3.429467328,,0.199,0.197,45.3691,3.814831257,,0.138,0.136,31.3208,3.444282414,,0.129,0.127,29.2481,3.375814614,,0.187,0.185,42.6055,3.751983353,,0.127,0.125,28.7875,3.359941265,,0.138,0.136,31.3208,3.444282414,,0.168,0.166,38.2298,3.643615316,,0.202,0.2,46.06,3.829944894,,0.19,0.188,43.2964,3.768069491,,0.092,0.09,20.727,3.031437198,,0.077,0.075,17.2725,2.849115641,,0.27,0.268,61.7204,4.122614508,
209,0.002,0.133,0.131,30.1693,3.406824851,,0.193,0.191,43.9873,3.783900956,,0.134,0.132,30.3996,3.41442945,,0.125,0.123,28.3269,3.343811883,,0.181,0.179,41.2237,3.719013334,,0.123,0.121,27.8663,3.327418073,,0.134,0.132,30.3996,3.41442945,,0.163,0.161,37.0783,3.613031893,,0.196,0.194,44.6782,3.799485687,,0.185,0.183,42.1449,3.741113681,,0.091,0.089,20.4967,3.020263898,,0.075,0.073,16.8119,2.822086969,,0.267,0.265,61.0295,4.111357354,
210,0.001,0.129,0.128,29.4784,3.383657792,,0.187,0.186,42.8358,3.757374202,,0.131,0.13,29.939,3.399161978,,0.122,0.121,27.8663,3.327418073,,0.176,0.175,40.3025,3.696413502,,0.12,0.119,27.4057,3.310751021,,0.131,0.13,29.939,3.399161978,,0.158,0.157,36.1571,3.587873333,,0.19,0.189,43.5267,3.773374543,,0.18,0.179,41.2237,3.719013334,,0.089,0.088,20.2664,3.008964342,,0.073,0.072,16.5816,2.808293647,,0.264,0.263,60.5689,4.10378156,
211,0.001,0.126,0.125,28.7875,3.359941265,,0.182,0.181,41.6843,3.730124559,,0.128,0.127,29.2481,3.375814614,,0.119,0.118,27.1754,3.302312152,,0.17,0.169,38.9207,3.661526243,,0.117,0.116,26.7148,3.285217719,,0.128,0.127,29.2481,3.375814614,,0.153,0.152,35.0056,3.555508049,,0.185,0.184,42.3752,3.746563285,,0.176,0.175,40.3025,3.696413502,,0.088,0.087,20.0361,2.997535646,,0.071,0.07,16.121,2.78012277,,0.261,0.26,59.878,4.092309159,
212,0.001,0.124,0.123,28.3269,3.343811883,,0.177,0.176,40.5328,3.702111523,,0.125,0.124,28.5572,3.351909093,,0.116,0.115,26.4845,3.276559656,,0.164,0.163,37.5389,3.625377729,,0.114,0.113,26.0239,3.259015347,,0.124,0.123,28.3269,3.343811883,,0.148,0.147,33.8541,3.522060115,,0.18,0.179,41.2237,3.719013334,,0.171,0.17,39.151,3.667425965,,0.086,0.085,19.5755,2.974278784,,0.07,0.069,15.8907,2.765734032,,0.259,0.258,59.4174,4.084587113,
213,0.001,0.121,0.12,27.636,3.319119271,,0.172,0.171,39.3813,3.673291084,,0.122,0.121,27.8663,3.327418073,,0.114,0.113,26.0239,3.259015347,,0.159,0.158,36.3874,3.594222561,,0.112,0.111,25.5633,3.241157729,,0.122,0.121,27.8663,3.327418073,,0.144,0.143,32.9329,3.494472158,,0.175,0.174,40.0722,3.690682827,,0.168,0.167,38.4601,3.64962134,,0.085,0.084,19.3452,2.962444327,,0.068,0.067,15.4301,2.736320147,,0.257,0.256,58.9568,4.076804972,
214,0.001,0.118,0.117,26.9451,3.293801463,,0.168,0.167,38.4601,3.64962134,,0.119,0.118,27.1754,3.302312152,,0.111,0.11,25.333,3.232107894,,0.152,0.151,34.7753,3.548907365,,0.109,0.108,24.8724,3.213758755,,0.119,0.118,27.1754,3.302312152,,0.141,0.14,32.242,3.47326995,,0.171,0.17,39.151,3.667425965,,0.164,0.163,37.5389,3.625377729,,0.084,0.083,19.1149,2.950468136,,0.067,0.066,15.1998,2.72128227,,0.254,0.253,58.2659,4.065017017,
215,0.001,0.116,0.115,26.4845,3.276559656,,0.164,0.163,37.5389,3.625377729,,0.117,0.116,26.7148,3.285217719,,0.109,0.108,24.8724,3.213758755,,0.146,0.145,33.3935,3.50836127,,0.107,0.106,24.4118,3.195066622,,0.116,0.115,26.4845,3.276559656,,0.137,0.136,31.3208,3.444282414,,0.166,0.165,37.9995,3.637573002,,0.161,0.16,36.848,3.606801343,,0.083,0.082,18.8846,2.938346775,,0.066,0.065,14.9695,2.706014798,,0.252,0.251,57.8053,4.057080467,
216,0.001,0.113,0.112,25.7936,3.250126399,,0.16,0.159,36.6177,3.60053173,,0.114,0.113,26.0239,3.259015347,,0.107,0.106,24.4118,3.195066622,,0.14,0.139,32.0117,3.466101461,,0.104,0.103,23.7209,3.166356516,,0.114,0.113,26.0239,3.259015347,,0.134,0.133,30.6299,3.421976656,,0.162,0.161,37.0783,3.613031893,,0.158,0.157,36.1571,3.587873333,,0.082,0.081,18.6543,2.926076683,,0.065,0.064,14.7392,2.690510611,,0.25,0.249,57.3447,4.049080424,
217,0.001,0.111,0.11,25.333,3.232107894,,0.156,0.155,35.6965,3.575052645,,0.112,0.111,25.5633,3.241157729,,0.104,0.103,23.7209,3.166356516,,0.134,0.133,30.6299,3.421976656,,0.102,0.101,23.2603,3.146748045,,0.112,0.111,25.5633,3.241157729,,0.131,0.13,29.939,3.399161978,,0.159,0.158,36.3874,3.594222561,,0.154,0.153,35.2359,3.562065449,,0.081,0.08,18.424,2.913654163,,0.064,0.063,14.5089,2.674762254,,0.248,0.247,56.8841,4.041015864,
218,0.001,0.109,0.108,24.8724,3.213758755,,0.153,0.152,35.0056,3.555508049,,0.11,0.109,25.1027,3.22297541,,0.102,0.101,23.2603,3.146748045,,0.128,0.127,29.2481,3.375814614,,0.1,0.099,22.7997,3.126747378,,0.11,0.109,25.1027,3.22297541,,0.128,0.127,29.2481,3.375814614,,0.155,0.154,35.4662,3.56858013,,0.152,0.151,34.7753,3.548907365,,0.08,0.079,18.1937,2.90107538,,0.062,0.061,14.0483,2.642501392,,0.246,0.245,56.4235,4.032885738,
