,Blank,Blank,Blank,Blank,F3Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F20May19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
220,0,0.049,0.018,0.015,0.057,0.042,9.6726,2.269297146,,0.077,0.062,14.2786,2.658761913,,0.067,0.052,11.9756,2.482871246,,0.07,0.055,12.6665,2.538960713,,0.061,0.046,10.5938,2.360268924,,0.078,0.063,14.5089,2.674762254,,0.036,0.021,9.6726,2.269297146,
221,-0.001,0.049,0.018,0.014,0.056,0.042,9.6726,2.269297146,,0.076,0.062,14.2786,2.658761913,,0.066,0.052,11.9756,2.482871246,,0.068,0.054,12.4362,2.520611574,,0.06,0.046,10.5938,2.360268924,,0.077,0.063,14.5089,2.674762254,,0.035,0.021,9.6726,2.269297146,
222,0,0.049,0.017,0.014,0.055,0.041,9.4423,2.245199595,,0.074,0.06,13.818,2.62597209,,0.065,0.051,11.7453,2.463453161,,0.068,0.054,12.4362,2.520611574,,0.058,0.044,10.1332,2.315817162,,0.076,0.062,14.2786,2.658761913,,0.035,0.021,9.6726,2.269297146,
223,0,0.049,0.017,0.014,0.054,0.04,9.212,2.220506982,,0.073,0.059,13.5877,2.609164972,,0.064,0.05,11.515,2.443650533,,0.067,0.053,12.2059,2.501919441,,0.057,0.043,9.9029,2.292827644,,0.074,0.06,13.818,2.62597209,,0.034,0.02,9.212,2.220506982,
224,0,0.049,0.017,0.013,0.054,0.041,9.4423,2.245199595,,0.072,0.059,13.5877,2.609164972,,0.063,0.05,11.515,2.443650533,,0.066,0.053,12.2059,2.501919441,,0.056,0.043,9.9029,2.292827644,,0.073,0.06,13.818,2.62597209,,0.034,0.021,9.6726,2.269297146,
225,0,0.049,0.017,0.013,0.053,0.04,9.212,2.220506982,,0.071,0.058,13.3574,2.592070538,,0.062,0.049,11.2847,2.423447826,,0.065,0.052,11.9756,2.482871246,,0.055,0.042,9.6726,2.269297146,,0.072,0.059,13.5877,2.609164972,,0.033,0.02,9.212,2.220506982,
226,0,0.049,0.016,0.013,0.053,0.04,9.212,2.220506982,,0.07,0.057,13.1271,2.574678796,,0.061,0.048,11.0544,2.402828539,,0.064,0.051,11.7453,2.463453161,,0.053,0.04,9.212,2.220506982,,0.071,0.058,13.3574,2.592070538,,0.033,0.02,9.212,2.220506982,
227,0,0.049,0.016,0.013,0.052,0.039,8.9817,2.195189174,,0.069,0.056,12.8968,2.556979219,,0.06,0.047,10.8241,2.38177513,,0.063,0.05,11.515,2.443650533,,0.052,0.039,8.9817,2.195189174,,0.07,0.057,13.1271,2.574678796,,0.032,0.019,8.7514,2.169213688,
228,0,0.049,0.016,0.012,0.051,0.039,8.9817,2.195189174,,0.068,0.056,12.8968,2.556979219,,0.059,0.047,10.8241,2.38177513,,0.062,0.05,11.515,2.443650533,,0.051,0.039,8.9817,2.195189174,,0.068,0.056,12.8968,2.556979219,,0.032,0.02,9.212,2.220506982,
229,0,0.049,0.015,0.012,0.05,0.038,8.7514,2.169213688,,0.067,0.055,12.6665,2.538960713,,0.058,0.046,10.5938,2.360268924,,0.061,0.049,11.2847,2.423447826,,0.05,0.038,8.7514,2.169213688,,0.067,0.055,12.6665,2.538960713,,0.031,0.019,8.7514,2.169213688,
230,-0.001,0.049,0.015,0.012,0.049,0.037,8.5211,2.14254544,,0.065,0.053,12.2059,2.501919441,,0.057,0.045,10.3635,2.338290018,,0.06,0.048,11.0544,2.402828539,,0.049,0.037,8.5211,2.14254544,,0.066,0.054,12.4362,2.520611574,,0.03,0.018,8.2908,2.115146466,
