,Blank,Blank,Blank,Blank,F3Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F20May19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
262,0,0.049,0.01,0.006,0.036,0.03,6.909,1.93282491,,0.045,0.039,8.9817,2.195189174,,0.039,0.033,7.5999,2.028135089,,0.044,0.038,8.7514,2.169213688,,0.033,0.027,6.2181,1.827464394,,0.046,0.04,9.212,2.220506982,,0.021,0.015,6.909,1.93282491,
263,0,0.049,0.01,0.006,0.036,0.03,6.909,1.93282491,,0.045,0.039,8.9817,2.195189174,,0.039,0.033,7.5999,2.028135089,,0.043,0.037,8.5211,2.14254544,,0.033,0.027,6.2181,1.827464394,,0.046,0.04,9.212,2.220506982,,0.021,0.015,6.909,1.93282491,
264,-0.001,0.049,0.01,0.006,0.035,0.029,6.6787,1.898923358,,0.045,0.039,8.9817,2.195189174,,0.039,0.033,7.5999,2.028135089,,0.043,0.037,8.5211,2.14254544,,0.033,0.027,6.2181,1.827464394,,0.045,0.039,8.9817,2.195189174,,0.021,0.015,6.909,1.93282491,
265,0,0.049,0.01,0.006,0.035,0.029,6.6787,1.898923358,,0.044,0.038,8.7514,2.169213688,,0.038,0.032,7.3696,1.997363431,,0.043,0.037,8.5211,2.14254544,,0.033,0.027,6.2181,1.827464394,,0.045,0.039,8.9817,2.195189174,,0.021,0.015,6.909,1.93282491,
266,0,0.049,0.01,0.006,0.035,0.029,6.6787,1.898923358,,0.044,0.038,8.7514,2.169213688,,0.038,0.032,7.3696,1.997363431,,0.042,0.036,8.2908,2.115146466,,0.032,0.026,5.9878,1.789724066,,0.045,0.039,8.9817,2.195189174,,0.02,0.014,6.4484,1.863832038,
267,0,0.049,0.009,0.006,0.035,0.029,6.6787,1.898923358,,0.043,0.037,8.5211,2.14254544,,0.038,0.032,7.3696,1.997363431,,0.042,0.036,8.2908,2.115146466,,0.032,0.026,5.9878,1.789724066,,0.044,0.038,8.7514,2.169213688,,0.02,0.014,6.4484,1.863832038,
268,0,0.049,0.01,0.006,0.035,0.029,6.6787,1.898923358,,0.043,0.037,8.5211,2.14254544,,0.038,0.032,7.3696,1.997363431,,0.042,0.036,8.2908,2.115146466,,0.032,0.026,5.9878,1.789724066,,0.044,0.038,8.7514,2.169213688,,0.02,0.014,6.4484,1.863832038,
269,0,0.049,0.009,0.006,0.034,0.028,6.4484,1.863832038,,0.043,0.037,8.5211,2.14254544,,0.037,0.031,7.1393,1.965614732,,0.041,0.035,8.0605,2.086975589,,0.031,0.025,5.7575,1.750503353,,0.043,0.037,8.5211,2.14254544,,0.02,0.014,6.4484,1.863832038,
270,0,0.049,0.009,0.006,0.034,0.028,6.4484,1.863832038,,0.042,0.036,8.2908,2.115146466,,0.037,0.031,7.1393,1.965614732,,0.041,0.035,8.0605,2.086975589,,0.031,0.025,5.7575,1.750503353,,0.043,0.037,8.5211,2.14254544,,0.02,0.014,6.4484,1.863832038,
271,0,0.049,0.009,0.006,0.034,0.028,6.4484,1.863832038,,0.042,0.036,8.2908,2.115146466,,0.037,0.031,7.1393,1.965614732,,0.041,0.035,8.0605,2.086975589,,0.031,0.025,5.7575,1.750503353,,0.042,0.036,8.2908,2.115146466,,0.019,0.013,5.9878,1.789724066,
272,0,0.049,0.009,0.006,0.033,0.027,6.2181,1.827464394,,0.041,0.035,8.0605,2.086975589,,0.036,0.03,6.909,1.93282491,,0.04,0.034,7.8302,2.057988052,,0.031,0.025,5.7575,1.750503353,,0.042,0.036,8.2908,2.115146466,,0.019,0.013,5.9878,1.789724066,
273,0,0.049,0.009,0.006,0.033,0.027,6.2181,1.827464394,,0.041,0.035,8.0605,2.086975589,,0.036,0.03,6.909,1.93282491,,0.04,0.034,7.8302,2.057988052,,0.03,0.024,5.5272,1.709681358,,0.041,0.035,8.0605,2.086975589,,0.019,0.013,5.9878,1.789724066,
274,0,0.049,0.009,0.006,0.033,0.027,6.2181,1.827464394,,0.041,0.035,8.0605,2.086975589,,0.036,0.03,6.909,1.93282491,,0.04,0.034,7.8302,2.057988052,,0.03,0.024,5.5272,1.709681358,,0.041,0.035,8.0605,2.086975589,,0.019,0.013,5.9878,1.789724066,
275,0,0.049,0.009,0.006,0.032,0.026,5.9878,1.789724066,,0.04,0.034,7.8302,2.057988052,,0.035,0.029,6.6787,1.898923358,,0.039,0.033,7.5999,2.028135089,,0.03,0.024,5.5272,1.709681358,,0.041,0.035,8.0605,2.086975589,,0.018,0.012,5.5272,1.709681358,
276,-0.001,0.049,0.009,0.006,0.032,0.026,5.9878,1.789724066,,0.039,0.033,7.5999,2.028135089,,0.035,0.029,6.6787,1.898923358,,0.039,0.033,7.5999,2.028135089,,0.029,0.023,5.2969,1.667121744,,0.04,0.034,7.8302,2.057988052,,0.018,0.012,5.5272,1.709681358,
277,-0.001,0.049,0.009,0.006,0.032,0.026,5.9878,1.789724066,,0.039,0.033,7.5999,2.028135089,,0.035,0.029,6.6787,1.898923358,,0.039,0.033,7.5999,2.028135089,,0.029,0.023,5.2969,1.667121744,,0.039,0.033,7.5999,2.028135089,,0.018,0.012,5.5272,1.709681358,
278,-0.001,0.049,0.009,0.005,0.031,0.026,5.9878,1.789724066,,0.038,0.033,7.5999,2.028135089,,0.034,0.029,6.6787,1.898923358,,0.038,0.033,7.5999,2.028135089,,0.029,0.024,5.5272,1.709681358,,0.039,0.034,7.8302,2.057988052,,0.018,0.013,5.9878,1.789724066,
279,0,0.049,0.009,0.005,0.031,0.026,5.9878,1.789724066,,0.038,0.033,7.5999,2.028135089,,0.034,0.029,6.6787,1.898923358,,0.038,0.033,7.5999,2.028135089,,0.028,0.023,5.2969,1.667121744,,0.038,0.033,7.5999,2.028135089,,0.017,0.012,5.5272,1.709681358,
280,-0.001,0.049,0.009,0.005,0.031,0.026,5.9878,1.789724066,,0.038,0.033,7.5999,2.028135089,,0.033,0.028,6.4484,1.863832038,,0.038,0.033,7.5999,2.028135089,,0.028,0.023,5.2969,1.667121744,,0.038,0.033,7.5999,2.028135089,,0.017,0.012,5.5272,1.709681358,
281,0,0.049,0.009,0.005,0.031,0.026,5.9878,1.789724066,,0.037,0.032,7.3696,1.997363431,,0.033,0.028,6.4484,1.863832038,,0.037,0.032,7.3696,1.997363431,,0.028,0.023,5.2969,1.667121744,,0.037,0.032,7.3696,1.997363431,,0.017,0.012,5.5272,1.709681358,
282,-0.001,0.049,0.009,0.005,0.03,0.025,5.7575,1.750503353,,0.037,0.032,7.3696,1.997363431,,0.033,0.028,6.4484,1.863832038,,0.037,0.032,7.3696,1.997363431,,0.027,0.022,5.0666,1.622669981,,0.037,0.032,7.3696,1.997363431,,0.017,0.012,5.5272,1.709681358,
283,-0.001,0.049,0.009,0.005,0.03,0.025,5.7575,1.750503353,,0.036,0.031,7.1393,1.965614732,,0.032,0.027,6.2181,1.827464394,,0.037,0.032,7.3696,1.997363431,,0.027,0.022,5.0666,1.622669981,,0.036,0.031,7.1393,1.965614732,,0.016,0.011,5.0666,1.622669981,
284,-0.001,0.049,0.009,0.005,0.029,0.024,5.5272,1.709681358,,0.036,0.031,7.1393,1.965614732,,0.032,0.027,6.2181,1.827464394,,0.036,0.031,7.1393,1.965614732,,0.027,0.022,5.0666,1.622669981,,0.035,0.03,6.909,1.93282491,,0.016,0.011,5.0666,1.622669981,
285,-0.001,0.049,0.009,0.005,0.029,0.024,5.5272,1.709681358,,0.035,0.03,6.909,1.93282491,,0.032,0.027,6.2181,1.827464394,,0.036,0.031,7.1393,1.965614732,,0.026,0.021,4.8363,1.576149966,,0.035,0.03,6.909,1.93282491,,0.016,0.011,5.0666,1.622669981,
286,-0.001,0.049,0.009,0.005,0.029,0.024,5.5272,1.709681358,,0.035,0.03,6.909,1.93282491,,0.031,0.026,5.9878,1.789724066,,0.036,0.031,7.1393,1.965614732,,0.026,0.021,4.8363,1.576149966,,0.035,0.03,6.909,1.93282491,,0.016,0.011,5.0666,1.622669981,
287,-0.001,0.049,0.008,0.005,0.029,0.024,5.5272,1.709681358,,0.034,0.029,6.6787,1.898923358,,0.031,0.026,5.9878,1.789724066,,0.035,0.03,6.909,1.93282491,,0.026,0.021,4.8363,1.576149966,,0.034,0.029,6.6787,1.898923358,,0.015,0.01,4.606,1.527359801,
288,-0.001,0.049,0.008,0.005,0.028,0.023,5.2969,1.667121744,,0.034,0.029,6.6787,1.898923358,,0.03,0.025,5.7575,1.750503353,,0.035,0.03,6.909,1.93282491,,0.025,0.02,4.606,1.527359801,,0.033,0.028,6.4484,1.863832038,,0.015,0.01,4.606,1.527359801,
289,-0.001,0.049,0.008,0.005,0.028,0.023,5.2969,1.667121744,,0.033,0.028,6.4484,1.863832038,,0.03,0.025,5.7575,1.750503353,,0.034,0.029,6.6787,1.898923358,,0.025,0.02,4.606,1.527359801,,0.033,0.028,6.4484,1.863832038,,0.015,0.01,4.606,1.527359801,
290,-0.001,0.049,0.008,0.005,0.028,0.023,5.2969,1.667121744,,0.033,0.028,6.4484,1.863832038,,0.03,0.025,5.7575,1.750503353,,0.034,0.029,6.6787,1.898923358,,0.025,0.02,4.606,1.527359801,,0.033,0.028,6.4484,1.863832038,,0.015,0.01,4.606,1.527359801,
291,-0.001,0.049,0.008,0.005,0.027,0.022,5.0666,1.622669981,,0.033,0.028,6.4484,1.863832038,,0.03,0.025,5.7575,1.750503353,,0.034,0.029,6.6787,1.898923358,,0.024,0.019,4.3757,1.476066507,,0.032,0.027,6.2181,1.827464394,,0.014,0.009,4.1454,1.421999286,
292,0,0.049,0.008,0.005,0.027,0.022,5.0666,1.622669981,,0.032,0.027,6.2181,1.827464394,,0.029,0.024,5.5272,1.709681358,,0.033,0.028,6.4484,1.863832038,,0.024,0.019,4.3757,1.476066507,,0.031,0.026,5.9878,1.789724066,,0.014,0.009,4.1454,1.421999286,
293,0,0.049,0.008,0.005,0.027,0.022,5.0666,1.622669981,,0.032,0.027,6.2181,1.827464394,,0.029,0.024,5.5272,1.709681358,,0.033,0.028,6.4484,1.863832038,,0.024,0.019,4.3757,1.476066507,,0.031,0.026,5.9878,1.789724066,,0.014,0.009,4.1454,1.421999286,
294,-0.001,0.049,0.008,0.004,0.026,0.022,5.0666,1.622669981,,0.031,0.027,6.2181,1.827464394,,0.028,0.024,5.5272,1.709681358,,0.032,0.028,6.4484,1.863832038,,0.023,0.019,4.3757,1.476066507,,0.03,0.026,5.9878,1.789724066,,0.014,0.01,4.606,1.527359801,
295,0,0.049,0.008,0.004,0.026,0.022,5.0666,1.622669981,,0.031,0.027,6.2181,1.827464394,,0.028,0.024,5.5272,1.709681358,,0.032,0.028,6.4484,1.863832038,,0.023,0.019,4.3757,1.476066507,,0.03,0.026,5.9878,1.789724066,,0.013,0.009,4.1454,1.421999286,
296,0,0.049,0.008,0.005,0.026,0.021,4.8363,1.576149966,,0.03,0.025,5.7575,1.750503353,,0.027,0.022,5.0666,1.622669981,,0.032,0.027,6.2181,1.827464394,,0.023,0.018,4.1454,1.421999286,,0.029,0.024,5.5272,1.709681358,,0.013,0.008,3.6848,1.30421625,
297,-0.001,0.049,0.008,0.004,0.025,0.021,4.8363,1.576149966,,0.03,0.026,5.9878,1.789724066,,0.027,0.023,5.2969,1.667121744,,0.031,0.027,6.2181,1.827464394,,0.023,0.019,4.3757,1.476066507,,0.029,0.025,5.7575,1.750503353,,0.013,0.009,4.1454,1.421999286,
298,-0.001,0.049,0.008,0.004,0.025,0.021,4.8363,1.576149966,,0.029,0.025,5.7575,1.750503353,,0.026,0.022,5.0666,1.622669981,,0.031,0.027,6.2181,1.827464394,,0.022,0.018,4.1454,1.421999286,,0.028,0.024,5.5272,1.709681358,,0.013,0.009,4.1454,1.421999286,
299,-0.001,0.049,0.008,0.004,0.025,0.021,4.8363,1.576149966,,0.029,0.025,5.7575,1.750503353,,0.026,0.022,5.0666,1.622669981,,0.03,0.026,5.9878,1.789724066,,0.022,0.018,4.1454,1.421999286,,0.028,0.024,5.5272,1.709681358,,0.012,0.008,3.6848,1.30421625,
300,-0.001,0.049,0.008,0.004,0.025,0.021,4.8363,1.576149966,,0.029,0.025,5.7575,1.750503353,,0.026,0.022,5.0666,1.622669981,,0.03,0.026,5.9878,1.789724066,,0.022,0.018,4.1454,1.421999286,,0.028,0.024,5.5272,1.709681358,,0.012,0.008,3.6848,1.30421625,
301,-0.001,0.049,0.008,0.004,0.024,0.02,4.606,1.527359801,,0.028,0.024,5.5272,1.709681358,,0.025,0.021,4.8363,1.576149966,,0.03,0.026,5.9878,1.789724066,,0.021,0.017,3.9151,1.364840872,,0.027,0.023,5.2969,1.667121744,,0.012,0.008,3.6848,1.30421625,
302,0,0.049,0.008,0.004,0.024,0.02,4.606,1.527359801,,0.028,0.024,5.5272,1.709681358,,0.025,0.021,4.8363,1.576149966,,0.029,0.025,5.7575,1.750503353,,0.021,0.017,3.9151,1.364840872,,0.027,0.023,5.2969,1.667121744,,0.012,0.008,3.6848,1.30421625,
303,0,0.049,0.008,0.004,0.024,0.02,4.606,1.527359801,,0.028,0.024,5.5272,1.709681358,,0.025,0.021,4.8363,1.576149966,,0.029,0.025,5.7575,1.750503353,,0.021,0.017,3.9151,1.364840872,,0.026,0.022,5.0666,1.622669981,,0.012,0.008,3.6848,1.30421625,
304,0,0.049,0.008,0.004,0.024,0.02,4.606,1.527359801,,0.027,0.023,5.2969,1.667121744,,0.024,0.02,4.606,1.527359801,,0.029,0.025,5.7575,1.750503353,,0.021,0.017,3.9151,1.364840872,,0.026,0.022,5.0666,1.622669981,,0.012,0.008,3.6848,1.30421625,
305,0,0.049,0.007,0.004,0.024,0.02,4.606,1.527359801,,0.027,0.023,5.2969,1.667121744,,0.024,0.02,4.606,1.527359801,,0.028,0.024,5.5272,1.709681358,,0.021,0.017,3.9151,1.364840872,,0.026,0.022,5.0666,1.622669981,,0.011,0.007,3.2242,1.170684857,
306,0,0.049,0.007,0.004,0.023,0.019,4.3757,1.476066507,,0.026,0.022,5.0666,1.622669981,,0.024,0.02,4.606,1.527359801,,0.028,0.024,5.5272,1.709681358,,0.02,0.016,3.6848,1.30421625,,0.026,0.022,5.0666,1.622669981,,0.011,0.007,3.2242,1.170684857,
307,-0.001,0.049,0.007,0.004,0.023,0.019,4.3757,1.476066507,,0.026,0.022,5.0666,1.622669981,,0.023,0.019,4.3757,1.476066507,,0.028,0.024,5.5272,1.709681358,,0.02,0.016,3.6848,1.30421625,,0.025,0.021,4.8363,1.576149966,,0.01,0.006,2.7636,1.016534178,
308,-0.001,0.049,0.007,0.004,0.023,0.019,4.3757,1.476066507,,0.026,0.022,5.0666,1.622669981,,0.023,0.019,4.3757,1.476066507,,0.028,0.024,5.5272,1.709681358,,0.02,0.016,3.6848,1.30421625,,0.025,0.021,4.8363,1.576149966,,0.01,0.006,2.7636,1.016534178,
309,-0.001,0.049,0.007,0.004,0.023,0.019,4.3757,1.476066507,,0.025,0.021,4.8363,1.576149966,,0.023,0.019,4.3757,1.476066507,,0.027,0.023,5.2969,1.667121744,,0.019,0.015,3.4545,1.239677729,,0.025,0.021,4.8363,1.576149966,,0.01,0.006,2.7636,1.016534178,
310,-0.001,0.049,0.007,0.004,0.022,0.018,4.1454,1.421999286,,0.025,0.021,4.8363,1.576149966,,0.023,0.019,4.3757,1.476066507,,0.027,0.023,5.2969,1.667121744,,0.019,0.015,3.4545,1.239677729,,0.024,0.02,4.606,1.527359801,,0.01,0.006,2.7636,1.016534178,
311,0,0.049,0.007,0.004,0.022,0.018,4.1454,1.421999286,,0.025,0.021,4.8363,1.576149966,,0.022,0.018,4.1454,1.421999286,,0.027,0.023,5.2969,1.667121744,,0.019,0.015,3.4545,1.239677729,,0.024,0.02,4.606,1.527359801,,0.01,0.006,2.7636,1.016534178,
312,0,0.049,0.007,0.004,0.022,0.018,4.1454,1.421999286,,0.025,0.021,4.8363,1.576149966,,0.022,0.018,4.1454,1.421999286,,0.027,0.023,5.2969,1.667121744,,0.019,0.015,3.4545,1.239677729,,0.024,0.02,4.606,1.527359801,,0.01,0.006,2.7636,1.016534178,
313,-0.001,0.049,0.007,0.004,0.022,0.018,4.1454,1.421999286,,0.024,0.02,4.606,1.527359801,,0.022,0.018,4.1454,1.421999286,,0.026,0.022,5.0666,1.622669981,,0.018,0.014,3.2242,1.170684857,,0.023,0.019,4.3757,1.476066507,,0.01,0.006,2.7636,1.016534178,
314,0,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.024,0.021,4.8363,1.576149966,,0.021,0.018,4.1454,1.421999286,,0.026,0.023,5.2969,1.667121744,,0.018,0.015,3.4545,1.239677729,,0.023,0.02,4.606,1.527359801,,0.01,0.007,3.2242,1.170684857,
315,0,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.024,0.021,4.8363,1.576149966,,0.021,0.018,4.1454,1.421999286,,0.026,0.023,5.2969,1.667121744,,0.018,0.015,3.4545,1.239677729,,0.023,0.02,4.606,1.527359801,,0.009,0.006,2.7636,1.016534178,
316,0,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.023,0.02,4.606,1.527359801,,0.021,0.018,4.1454,1.421999286,,0.025,0.022,5.0666,1.622669981,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.009,0.006,2.7636,1.016534178,
317,0,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.023,0.02,4.606,1.527359801,,0.021,0.018,4.1454,1.421999286,,0.025,0.022,5.0666,1.622669981,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.009,0.006,2.7636,1.016534178,
318,-0.001,0.049,0.006,0.003,0.021,0.018,4.1454,1.421999286,,0.023,0.02,4.606,1.527359801,,0.021,0.018,4.1454,1.421999286,,0.025,0.022,5.0666,1.622669981,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.009,0.006,2.7636,1.016534178,
319,-0.001,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.023,0.02,4.606,1.527359801,,0.02,0.017,3.9151,1.364840872,,0.025,0.022,5.0666,1.622669981,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.009,0.006,2.7636,1.016534178,
320,0,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.022,0.019,4.3757,1.476066507,,0.02,0.017,3.9151,1.364840872,,0.024,0.021,4.8363,1.576149966,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.009,0.006,2.7636,1.016534178,
321,0,0.049,0.007,0.003,0.021,0.018,4.1454,1.421999286,,0.022,0.019,4.3757,1.476066507,,0.02,0.017,3.9151,1.364840872,,0.024,0.021,4.8363,1.576149966,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.009,0.006,2.7636,1.016534178,
322,-0.001,0.049,0.007,0.003,0.02,0.017,3.9151,1.364840872,,0.022,0.019,4.3757,1.476066507,,0.02,0.017,3.9151,1.364840872,,0.024,0.021,4.8363,1.576149966,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.008,0.005,2.303,0.834212621,
323,-0.001,0.049,0.007,0.003,0.02,0.017,3.9151,1.364840872,,0.022,0.019,4.3757,1.476066507,,0.02,0.017,3.9151,1.364840872,,0.024,0.021,4.8363,1.576149966,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.008,0.005,2.303,0.834212621,
324,0,0.049,0.007,0.003,0.02,0.017,3.9151,1.364840872,,0.022,0.019,4.3757,1.476066507,,0.02,0.017,3.9151,1.364840872,,0.024,0.021,4.8363,1.576149966,,0.017,0.014,3.2242,1.170684857,,0.02,0.017,3.9151,1.364840872,,0.008,0.005,2.303,0.834212621,
325,0,0.049,0.007,0.003,0.02,0.017,3.9151,1.364840872,,0.021,0.018,4.1454,1.421999286,,0.019,0.016,3.6848,1.30421625,,0.024,0.021,4.8363,1.576149966,,0.017,0.014,3.2242,1.170684857,,0.02,0.017,3.9151,1.364840872,,0.008,0.005,2.303,0.834212621,
326,0,0.049,0.007,0.003,0.02,0.017,3.9151,1.364840872,,0.021,0.018,4.1454,1.421999286,,0.019,0.016,3.6848,1.30421625,,0.023,0.02,4.606,1.527359801,,0.016,0.013,2.9939,1.096576885,,0.02,0.017,3.9151,1.364840872,,0.008,0.005,2.303,0.834212621,
327,-0.001,0.049,0.007,0.003,0.02,0.017,3.9151,1.364840872,,0.021,0.018,4.1454,1.421999286,,0.019,0.016,3.6848,1.30421625,,0.023,0.02,4.606,1.527359801,,0.016,0.013,2.9939,1.096576885,,0.019,0.016,3.6848,1.30421625,,0.008,0.005,2.303,0.834212621,
328,0,0.049,0.007,0.003,0.019,0.016,3.6848,1.30421625,,0.021,0.018,4.1454,1.421999286,,0.019,0.016,3.6848,1.30421625,,0.023,0.02,4.606,1.527359801,,0.016,0.013,2.9939,1.096576885,,0.019,0.016,3.6848,1.30421625,,0.008,0.005,2.303,0.834212621,
329,0,0.049,0.007,0.004,0.019,0.015,3.4545,1.239677729,,0.021,0.017,3.9151,1.364840872,,0.019,0.015,3.4545,1.239677729,,0.023,0.019,4.3757,1.476066507,,0.016,0.012,2.7636,1.016534178,,0.019,0.015,3.4545,1.239677729,,0.008,0.004,1.8424,0.61106907,
330,-0.001,0.049,0.007,0.003,0.019,0.016,3.6848,1.30421625,,0.02,0.017,3.9151,1.364840872,,0.018,0.015,3.4545,1.239677729,,0.023,0.02,4.606,1.527359801,,0.016,0.013,2.9939,1.096576885,,0.019,0.016,3.6848,1.30421625,,0.008,0.005,2.303,0.834212621,
331,-0.001,0.049,0.007,0.003,0.019,0.016,3.6848,1.30421625,,0.02,0.017,3.9151,1.364840872,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.016,0.013,2.9939,1.096576885,,0.018,0.015,3.4545,1.239677729,,0.007,0.004,1.8424,0.61106907,
332,-0.001,0.049,0.006,0.003,0.019,0.016,3.6848,1.30421625,,0.02,0.017,3.9151,1.364840872,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.015,0.012,2.7636,1.016534178,,0.018,0.015,3.4545,1.239677729,,0.007,0.004,1.8424,0.61106907,
333,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.02,0.017,3.9151,1.364840872,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.015,0.012,2.7636,1.016534178,,0.018,0.015,3.4545,1.239677729,,0.007,0.004,1.8424,0.61106907,
334,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.02,0.017,3.9151,1.364840872,,0.018,0.015,3.4545,1.239677729,,0.022,0.019,4.3757,1.476066507,,0.015,0.012,2.7636,1.016534178,,0.018,0.015,3.4545,1.239677729,,0.007,0.004,1.8424,0.61106907,
335,-0.001,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.017,0.014,3.2242,1.170684857,,0.022,0.019,4.3757,1.476066507,,0.015,0.012,2.7636,1.016534178,,0.017,0.014,3.2242,1.170684857,,0.007,0.004,1.8424,0.61106907,
336,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.017,0.014,3.2242,1.170684857,,0.022,0.019,4.3757,1.476066507,,0.015,0.012,2.7636,1.016534178,,0.017,0.014,3.2242,1.170684857,,0.007,0.004,1.8424,0.61106907,
337,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.014,0.011,2.5333,0.929522801,,0.017,0.014,3.2242,1.170684857,,0.006,0.003,1.3818,0.323386997,
338,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.014,0.011,2.5333,0.929522801,,0.017,0.014,3.2242,1.170684857,,0.006,0.003,1.3818,0.323386997,
339,0,0.049,0.007,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.015,0.012,2.7636,1.016534178,,0.017,0.014,3.2242,1.170684857,,0.007,0.004,1.8424,0.61106907,
340,0.001,0.051,0.008,0.005,0.019,0.014,3.2242,1.170684857,,0.02,0.015,3.4545,1.239677729,,0.018,0.013,2.9939,1.096576885,,0.022,0.017,3.9151,1.364840872,,0.016,0.011,2.5333,0.929522801,,0.018,0.013,2.9939,1.096576885,,0.008,0.003,1.3818,0.323386997,
341,0,0.049,0.007,0.003,0.019,0.016,3.6848,1.30421625,,0.019,0.016,3.6848,1.30421625,,0.017,0.014,3.2242,1.170684857,,0.021,0.018,4.1454,1.421999286,,0.015,0.012,2.7636,1.016534178,,0.016,0.013,2.9939,1.096576885,,0.007,0.004,1.8424,0.61106907,
342,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.018,0.015,3.4545,1.239677729,,0.016,0.013,2.9939,1.096576885,,0.02,0.017,3.9151,1.364840872,,0.014,0.011,2.5333,0.929522801,,0.015,0.012,2.7636,1.016534178,,0.006,0.003,1.3818,0.323386997,
343,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.018,0.015,3.4545,1.239677729,,0.016,0.013,2.9939,1.096576885,,0.02,0.017,3.9151,1.364840872,,0.014,0.011,2.5333,0.929522801,,0.015,0.012,2.7636,1.016534178,,0.006,0.003,1.3818,0.323386997,
344,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.016,0.013,2.9939,1.096576885,,0.02,0.017,3.9151,1.364840872,,0.014,0.011,2.5333,0.929522801,,0.015,0.012,2.7636,1.016534178,,0.006,0.003,1.3818,0.323386997,
345,0,0.049,0.007,0.003,0.018,0.015,3.4545,1.239677729,,0.019,0.016,3.6848,1.30421625,,0.016,0.013,2.9939,1.096576885,,0.02,0.017,3.9151,1.364840872,,0.014,0.011,2.5333,0.929522801,,0.015,0.012,2.7636,1.016534178,,0.005,0.002,0.9212,-0.082078111,
346,-0.001,0.049,0.006,0.003,0.017,0.014,3.2242,1.170684857,,0.019,0.016,3.6848,1.30421625,,0.016,0.013,2.9939,1.096576885,,0.02,0.017,3.9151,1.364840872,,0.014,0.011,2.5333,0.929522801,,0.015,0.012,2.7636,1.016534178,,0.005,0.002,0.9212,-0.082078111,
347,0,0.049,0.006,0.003,0.018,0.015,3.4545,1.239677729,,0.018,0.015,3.4545,1.239677729,,0.016,0.013,2.9939,1.096576885,,0.019,0.016,3.6848,1.30421625,,0.014,0.011,2.5333,0.929522801,,0.015,0.012,2.7636,1.016534178,,0.005,0.002,0.9212,-0.082078111,
348,-0.001,0.049,0.006,0.003,0.017,0.014,3.2242,1.170684857,,0.018,0.015,3.4545,1.239677729,,0.016,0.013,2.9939,1.096576885,,0.019,0.016,3.6848,1.30421625,,0.013,0.01,2.303,0.834212621,,0.014,0.011,2.5333,0.929522801,,0.005,0.002,0.9212,-0.082078111,
