,MilliQ,F04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,F04OCt19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_20_R1,A(CDOM),a(CDOM),ln(a),Sr
218,-0.015,0.158,0.173,39.8419,3.684919122,,0.13,0.145,33.3935,3.50836127,,0.134,0.149,34.3147,3.535573834,,0.092,0.107,24.6421,3.204456362,,0.089,0.104,23.9512,3.176018427,,0.148,0.163,37.5389,3.625377729,,0.138,0.153,35.2359,3.562065449,,0.113,0.128,29.4784,3.383657792,,0.101,0.116,26.7148,3.285217719,,0.089,0.104,23.9512,3.176018427,,0.099,0.114,26.2542,3.267825976,,0.072,0.087,20.0361,2.997535646,,0.07,0.085,19.5755,2.974278784,
219,-0.013,0.156,0.169,38.9207,3.661526243,,0.128,0.141,32.4723,3.480387418,,0.133,0.146,33.6238,3.51523415,,0.092,0.105,24.1815,3.185587878,,0.089,0.102,23.4906,3.156600341,,0.146,0.159,36.6177,3.60053173,,0.129,0.142,32.7026,3.487454585,,0.111,0.124,28.5572,3.351909093,,0.1,0.113,26.0239,3.259015347,,0.089,0.102,23.4906,3.156600341,,0.099,0.112,25.7936,3.250126399,,0.072,0.085,19.5755,2.974278784,,0.07,0.083,19.1149,2.950468136,
220,-0.012,0.154,0.166,38.2298,3.643615316,,0.125,0.137,31.5511,3.451608454,,0.132,0.144,33.1632,3.501440827,,0.091,0.103,23.7209,3.166356516,,0.088,0.1,23.03,3.136797714,,0.145,0.157,36.1571,3.587873333,,0.12,0.132,30.3996,3.41442945,,0.108,0.12,27.636,3.319119271,,0.099,0.111,25.5633,3.241157729,,0.088,0.1,23.03,3.136797714,,0.098,0.11,25.333,3.232107894,,0.072,0.084,19.3452,2.962444327,,0.07,0.082,18.8846,2.938346775,
221,-0.011,0.152,0.163,37.5389,3.625377729,,0.123,0.134,30.8602,3.429467328,,0.131,0.142,32.7026,3.487454585,,0.091,0.102,23.4906,3.156600341,,0.088,0.099,22.7997,3.126747378,,0.143,0.154,35.4662,3.56858013,,0.112,0.123,28.3269,3.343811883,,0.106,0.117,26.9451,3.293801463,,0.099,0.11,25.333,3.232107894,,0.088,0.099,22.7997,3.126747378,,0.097,0.108,24.8724,3.213758755,,0.072,0.083,19.1149,2.950468136,,0.07,0.081,18.6543,2.926076683,
222,-0.009,0.15,0.159,36.6177,3.60053173,,0.121,0.13,29.939,3.399161978,,0.131,0.14,32.242,3.47326995,,0.091,0.1,23.03,3.136797714,,0.088,0.097,22.3391,3.106338506,,0.142,0.151,34.7753,3.548907365,,0.105,0.114,26.2542,3.267825976,,0.104,0.113,26.0239,3.259015347,,0.099,0.108,24.8724,3.213758755,,0.087,0.096,22.1088,3.095975719,,0.097,0.106,24.4118,3.195066622,,0.072,0.081,18.6543,2.926076683,,0.07,0.079,18.1937,2.90107538,
223,-0.008,0.149,0.157,36.1571,3.587873333,,0.119,0.127,29.2481,3.375814614,,0.13,0.138,31.7814,3.458881213,,0.091,0.099,22.7997,3.126747378,,0.088,0.096,22.1088,3.095975719,,0.14,0.148,34.0844,3.528839802,,0.097,0.105,24.1815,3.185587878,,0.101,0.109,25.1027,3.22297541,,0.098,0.106,24.4118,3.195066622,,0.087,0.095,21.8785,3.085504419,,0.096,0.104,23.9512,3.176018427,,0.072,0.08,18.424,2.913654163,,0.07,0.078,17.9634,2.888336355,
224,-0.007,0.147,0.154,35.4662,3.56858013,,0.118,0.125,28.7875,3.359941265,,0.129,0.136,31.3208,3.444282414,,0.09,0.097,22.3391,3.106338506,,0.087,0.094,21.6482,3.07492231,,0.139,0.146,33.6238,3.51523415,,0.091,0.098,22.5694,3.116595007,,0.099,0.106,24.4118,3.195066622,,0.097,0.104,23.9512,3.176018427,,0.087,0.094,21.6482,3.07492231,,0.096,0.103,23.7209,3.166356516,,0.072,0.079,18.1937,2.90107538,,0.07,0.077,17.7331,2.87543295,
225,-0.006,0.146,0.152,35.0056,3.555508049,,0.116,0.122,28.0966,3.335648573,,0.128,0.134,30.8602,3.429467328,,0.09,0.096,22.1088,3.095975719,,0.087,0.093,21.4179,3.064227021,,0.137,0.143,32.9329,3.494472158,,0.085,0.091,20.9573,3.042487034,,0.097,0.103,23.7209,3.166356516,,0.097,0.103,23.7209,3.166356516,,0.086,0.092,21.1876,3.053416105,,0.095,0.101,23.2603,3.146748045,,0.072,0.078,17.9634,2.888336355,,0.07,0.076,17.5028,2.862360868,
226,-0.005,0.144,0.149,34.3147,3.535573834,,0.114,0.119,27.4057,3.310751021,,0.127,0.132,30.3996,3.41442945,,0.09,0.095,21.8785,3.085504419,,0.087,0.092,21.1876,3.053416105,,0.136,0.141,32.4723,3.480387418,,0.079,0.084,19.3452,2.962444327,,0.095,0.1,23.03,3.136797714,,0.096,0.101,23.2603,3.146748045,,0.086,0.091,20.9573,3.042487034,,0.095,0.1,23.03,3.136797714,,0.072,0.077,17.7331,2.87543295,,0.069,0.074,17.0422,2.835692621,
227,-0.004,0.142,0.146,33.6238,3.51523415,,0.113,0.117,26.9451,3.293801463,,0.126,0.13,29.939,3.399161978,,0.089,0.093,21.4179,3.064227021,,0.086,0.09,20.727,3.031437198,,0.134,0.138,31.7814,3.458881213,,0.074,0.078,17.9634,2.888336355,,0.093,0.097,22.3391,3.106338506,,0.095,0.099,22.7997,3.126747378,,0.085,0.089,20.4967,3.020263898,,0.094,0.098,22.5694,3.116595007,,0.071,0.075,17.2725,2.849115641,,0.069,0.073,16.8119,2.822086969,
