,MilliQ,F04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,F04OCt19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Mar20_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B30Mar20_20_R1,A(CDOM),a(CDOM),ln(a),Sr
358,0,0.041,0.041,9.4423,2.245199595,,0.038,0.038,8.7514,2.169213688,,0.049,0.049,11.2847,2.423447826,,0.032,0.032,7.3696,1.997363431,,0.023,0.023,5.2969,1.667121744,,0.038,0.038,8.7514,2.169213688,,0.013,0.013,2.9939,1.096576885,,0.026,0.026,5.9878,1.789724066,,0.024,0.024,5.5272,1.709681358,,0.019,0.019,4.3757,1.476066507,,0.022,0.022,5.0666,1.622669981,,0.019,0.019,4.3757,1.476066507,,0.018,0.018,4.1454,1.421999286,
359,0.001,0.04,0.039,8.9817,2.195189174,,0.037,0.036,8.2908,2.115146466,,0.049,0.048,11.0544,2.402828539,,0.032,0.031,7.1393,1.965614732,,0.023,0.022,5.0666,1.622669981,,0.037,0.036,8.2908,2.115146466,,0.014,0.013,2.9939,1.096576885,,0.026,0.025,5.7575,1.750503353,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,,0.018,0.017,3.9151,1.364840872,
360,0.001,0.04,0.039,8.9817,2.195189174,,0.037,0.036,8.2908,2.115146466,,0.049,0.048,11.0544,2.402828539,,0.032,0.031,7.1393,1.965614732,,0.023,0.022,5.0666,1.622669981,,0.037,0.036,8.2908,2.115146466,,0.014,0.013,2.9939,1.096576885,,0.026,0.025,5.7575,1.750503353,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,,0.018,0.017,3.9151,1.364840872,
361,0.001,0.04,0.039,8.9817,2.195189174,,0.037,0.036,8.2908,2.115146466,,0.048,0.047,10.8241,2.38177513,,0.032,0.031,7.1393,1.965614732,,0.023,0.022,5.0666,1.622669981,,0.037,0.036,8.2908,2.115146466,,0.013,0.012,2.7636,1.016534178,,0.026,0.025,5.7575,1.750503353,,0.023,0.022,5.0666,1.622669981,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,,0.017,0.016,3.6848,1.30421625,
362,0,0.039,0.039,8.9817,2.195189174,,0.036,0.036,8.2908,2.115146466,,0.048,0.048,11.0544,2.402828539,,0.031,0.031,7.1393,1.965614732,,0.022,0.022,5.0666,1.622669981,,0.037,0.037,8.5211,2.14254544,,0.013,0.013,2.9939,1.096576885,,0.025,0.025,5.7575,1.750503353,,0.023,0.023,5.2969,1.667121744,,0.018,0.018,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.017,0.017,3.9151,1.364840872,
363,0,0.039,0.039,8.9817,2.195189174,,0.036,0.036,8.2908,2.115146466,,0.048,0.048,11.0544,2.402828539,,0.031,0.031,7.1393,1.965614732,,0.022,0.022,5.0666,1.622669981,,0.036,0.036,8.2908,2.115146466,,0.013,0.013,2.9939,1.096576885,,0.025,0.025,5.7575,1.750503353,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.017,0.017,3.9151,1.364840872,
364,0.001,0.039,0.038,8.7514,2.169213688,,0.036,0.035,8.0605,2.086975589,,0.048,0.047,10.8241,2.38177513,,0.031,0.03,6.909,1.93282491,,0.022,0.021,4.8363,1.576149966,,0.036,0.035,8.0605,2.086975589,,0.013,0.012,2.7636,1.016534178,,0.025,0.024,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.017,0.016,3.6848,1.30421625,,0.021,0.02,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.017,0.016,3.6848,1.30421625,
365,0.001,0.038,0.037,8.5211,2.14254544,,0.036,0.035,8.0605,2.086975589,,0.047,0.046,10.5938,2.360268924,,0.031,0.03,6.909,1.93282491,,0.022,0.021,4.8363,1.576149966,,0.035,0.034,7.8302,2.057988052,,0.013,0.012,2.7636,1.016534178,,0.025,0.024,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.017,0.016,3.6848,1.30421625,,0.017,0.016,3.6848,1.30421625,
366,0.001,0.039,0.038,8.7514,2.169213688,,0.035,0.034,7.8302,2.057988052,,0.047,0.046,10.5938,2.360268924,,0.031,0.03,6.909,1.93282491,,0.022,0.021,4.8363,1.576149966,,0.035,0.034,7.8302,2.057988052,,0.013,0.012,2.7636,1.016534178,,0.025,0.024,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,
367,0.001,0.038,0.037,8.5211,2.14254544,,0.035,0.034,7.8302,2.057988052,,0.047,0.046,10.5938,2.360268924,,0.03,0.029,6.6787,1.898923358,,0.021,0.02,4.606,1.527359801,,0.035,0.034,7.8302,2.057988052,,0.013,0.012,2.7636,1.016534178,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.017,0.016,3.6848,1.30421625,,0.016,0.015,3.4545,1.239677729,
368,0.001,0.038,0.037,8.5211,2.14254544,,0.035,0.034,7.8302,2.057988052,,0.047,0.046,10.5938,2.360268924,,0.03,0.029,6.6787,1.898923358,,0.021,0.02,4.606,1.527359801,,0.034,0.033,7.5999,2.028135089,,0.013,0.012,2.7636,1.016534178,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.017,0.016,3.6848,1.30421625,,0.016,0.015,3.4545,1.239677729,
369,0,0.037,0.037,8.5211,2.14254544,,0.034,0.034,7.8302,2.057988052,,0.046,0.046,10.5938,2.360268924,,0.03,0.03,6.909,1.93282491,,0.02,0.02,4.606,1.527359801,,0.034,0.034,7.8302,2.057988052,,0.012,0.012,2.7636,1.016534178,,0.024,0.024,5.5272,1.709681358,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.016,0.016,3.6848,1.30421625,
370,0,0.037,0.037,8.5211,2.14254544,,0.034,0.034,7.8302,2.057988052,,0.046,0.046,10.5938,2.360268924,,0.03,0.03,6.909,1.93282491,,0.021,0.021,4.8363,1.576149966,,0.034,0.034,7.8302,2.057988052,,0.013,0.013,2.9939,1.096576885,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.015,0.015,3.4545,1.239677729,
371,0,0.037,0.037,8.5211,2.14254544,,0.034,0.034,7.8302,2.057988052,,0.046,0.046,10.5938,2.360268924,,0.029,0.029,6.6787,1.898923358,,0.02,0.02,4.606,1.527359801,,0.033,0.033,7.5999,2.028135089,,0.012,0.012,2.7636,1.016534178,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.015,0.015,3.4545,1.239677729,
372,0.001,0.037,0.036,8.2908,2.115146466,,0.034,0.033,7.5999,2.028135089,,0.045,0.044,10.1332,2.315817162,,0.029,0.028,6.4484,1.863832038,,0.02,0.019,4.3757,1.476066507,,0.033,0.032,7.3696,1.997363431,,0.012,0.011,2.5333,0.929522801,,0.024,0.023,5.2969,1.667121744,,0.02,0.019,4.3757,1.476066507,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,
373,0,0.036,0.036,8.2908,2.115146466,,0.033,0.033,7.5999,2.028135089,,0.045,0.045,10.3635,2.338290018,,0.029,0.029,6.6787,1.898923358,,0.02,0.02,4.606,1.527359801,,0.033,0.033,7.5999,2.028135089,,0.012,0.012,2.7636,1.016534178,,0.023,0.023,5.2969,1.667121744,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.018,0.018,4.1454,1.421999286,,0.016,0.016,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,
374,0,0.036,0.036,8.2908,2.115146466,,0.033,0.033,7.5999,2.028135089,,0.044,0.044,10.1332,2.315817162,,0.028,0.028,6.4484,1.863832038,,0.02,0.02,4.606,1.527359801,,0.032,0.032,7.3696,1.997363431,,0.012,0.012,2.7636,1.016534178,,0.023,0.023,5.2969,1.667121744,,0.019,0.019,4.3757,1.476066507,,0.015,0.015,3.4545,1.239677729,,0.018,0.018,4.1454,1.421999286,,0.016,0.016,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,
375,0,0.036,0.036,8.2908,2.115146466,,0.033,0.033,7.5999,2.028135089,,0.044,0.044,10.1332,2.315817162,,0.028,0.028,6.4484,1.863832038,,0.02,0.02,4.606,1.527359801,,0.032,0.032,7.3696,1.997363431,,0.012,0.012,2.7636,1.016534178,,0.023,0.023,5.2969,1.667121744,,0.019,0.019,4.3757,1.476066507,,0.015,0.015,3.4545,1.239677729,,0.018,0.018,4.1454,1.421999286,,0.016,0.016,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,
376,0.001,0.036,0.035,8.0605,2.086975589,,0.033,0.032,7.3696,1.997363431,,0.044,0.043,9.9029,2.292827644,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.032,0.031,7.1393,1.965614732,,0.012,0.011,2.5333,0.929522801,,0.023,0.022,5.0666,1.622669981,,0.019,0.018,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,
377,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.044,0.043,9.9029,2.292827644,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.032,0.031,7.1393,1.965614732,,0.012,0.011,2.5333,0.929522801,,0.023,0.022,5.0666,1.622669981,,0.019,0.018,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.016,0.015,3.4545,1.239677729,,0.014,0.013,2.9939,1.096576885,
378,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.044,0.043,9.9029,2.292827644,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.031,0.03,6.909,1.93282491,,0.012,0.011,2.5333,0.929522801,,0.023,0.022,5.0666,1.622669981,,0.019,0.018,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,
379,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.043,0.042,9.6726,2.269297146,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.031,0.03,6.909,1.93282491,,0.012,0.011,2.5333,0.929522801,,0.022,0.021,4.8363,1.576149966,,0.018,0.017,3.9151,1.364840872,,0.014,0.013,2.9939,1.096576885,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,
380,0,0.034,0.034,7.8302,2.057988052,,0.032,0.032,7.3696,1.997363431,,0.043,0.043,9.9029,2.292827644,,0.027,0.027,6.2181,1.827464394,,0.019,0.019,4.3757,1.476066507,,0.031,0.031,7.1393,1.965614732,,0.011,0.011,2.5333,0.929522801,,0.022,0.022,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,
381,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.043,0.042,9.6726,2.269297146,,0.027,0.026,5.9878,1.789724066,,0.019,0.018,4.1454,1.421999286,,0.031,0.03,6.909,1.93282491,,0.012,0.011,2.5333,0.929522801,,0.022,0.021,4.8363,1.576149966,,0.018,0.017,3.9151,1.364840872,,0.014,0.013,2.9939,1.096576885,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,
382,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.042,0.041,9.4423,2.245199595,,0.027,0.026,5.9878,1.789724066,,0.019,0.018,4.1454,1.421999286,,0.03,0.029,6.6787,1.898923358,,0.011,0.01,2.303,0.834212621,,0.022,0.021,4.8363,1.576149966,,0.018,0.017,3.9151,1.364840872,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,
383,0,0.034,0.034,7.8302,2.057988052,,0.031,0.031,7.1393,1.965614732,,0.042,0.042,9.6726,2.269297146,,0.027,0.027,6.2181,1.827464394,,0.018,0.018,4.1454,1.421999286,,0.03,0.03,6.909,1.93282491,,0.011,0.011,2.5333,0.929522801,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.014,0.014,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,
384,0,0.034,0.034,7.8302,2.057988052,,0.03,0.03,6.909,1.93282491,,0.042,0.042,9.6726,2.269297146,,0.027,0.027,6.2181,1.827464394,,0.018,0.018,4.1454,1.421999286,,0.029,0.029,6.6787,1.898923358,,0.011,0.011,2.5333,0.929522801,,0.022,0.022,5.0666,1.622669981,,0.017,0.017,3.9151,1.364840872,,0.013,0.013,2.9939,1.096576885,,0.016,0.016,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,
385,0.001,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.041,0.04,9.212,2.220506982,,0.026,0.025,5.7575,1.750503353,,0.018,0.017,3.9151,1.364840872,,0.029,0.028,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.021,0.02,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,
386,0.001,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.041,0.04,9.212,2.220506982,,0.027,0.026,5.9878,1.789724066,,0.018,0.017,3.9151,1.364840872,,0.029,0.028,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.021,0.02,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,
387,0,0.033,0.033,7.5999,2.028135089,,0.03,0.03,6.909,1.93282491,,0.041,0.041,9.4423,2.245199595,,0.026,0.026,5.9878,1.789724066,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.011,0.011,2.5333,0.929522801,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,
388,0,0.033,0.033,7.5999,2.028135089,,0.029,0.029,6.6787,1.898923358,,0.04,0.04,9.212,2.220506982,,0.026,0.026,5.9878,1.789724066,,0.017,0.017,3.9151,1.364840872,,0.028,0.028,6.4484,1.863832038,,0.011,0.011,2.5333,0.929522801,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,
389,0,0.033,0.033,7.5999,2.028135089,,0.029,0.029,6.6787,1.898923358,,0.04,0.04,9.212,2.220506982,,0.026,0.026,5.9878,1.789724066,,0.017,0.017,3.9151,1.364840872,,0.028,0.028,6.4484,1.863832038,,0.011,0.011,2.5333,0.929522801,,0.021,0.021,4.8363,1.576149966,,0.016,0.016,3.6848,1.30421625,,0.013,0.013,2.9939,1.096576885,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,
390,0.001,0.032,0.031,7.1393,1.965614732,,0.029,0.028,6.4484,1.863832038,,0.04,0.039,8.9817,2.195189174,,0.026,0.025,5.7575,1.750503353,,0.017,0.016,3.6848,1.30421625,,0.027,0.026,5.9878,1.789724066,,0.011,0.01,2.303,0.834212621,,0.021,0.02,4.606,1.527359801,,0.016,0.015,3.4545,1.239677729,,0.012,0.011,2.5333,0.929522801,,0.015,0.014,3.2242,1.170684857,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,
391,0,0.032,0.032,7.3696,1.997363431,,0.029,0.029,6.6787,1.898923358,,0.04,0.04,9.212,2.220506982,,0.026,0.026,5.9878,1.789724066,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.011,0.011,2.5333,0.929522801,,0.021,0.021,4.8363,1.576149966,,0.015,0.015,3.4545,1.239677729,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,
392,0,0.032,0.032,7.3696,1.997363431,,0.029,0.029,6.6787,1.898923358,,0.039,0.039,8.9817,2.195189174,,0.025,0.025,5.7575,1.750503353,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.011,0.011,2.5333,0.929522801,,0.021,0.021,4.8363,1.576149966,,0.015,0.015,3.4545,1.239677729,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,
393,0,0.032,0.032,7.3696,1.997363431,,0.028,0.028,6.4484,1.863832038,,0.039,0.039,8.9817,2.195189174,,0.025,0.025,5.7575,1.750503353,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.011,0.011,2.5333,0.929522801,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,
394,0,0.032,0.032,7.3696,1.997363431,,0.028,0.028,6.4484,1.863832038,,0.039,0.039,8.9817,2.195189174,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,
395,0,0.031,0.031,7.1393,1.965614732,,0.028,0.028,6.4484,1.863832038,,0.039,0.039,8.9817,2.195189174,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.026,0.026,5.9878,1.789724066,,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,
396,0,0.031,0.031,7.1393,1.965614732,,0.028,0.028,6.4484,1.863832038,,0.038,0.038,8.7514,2.169213688,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.026,0.026,5.9878,1.789724066,,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.014,0.014,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
397,0,0.031,0.031,7.1393,1.965614732,,0.027,0.027,6.2181,1.827464394,,0.038,0.038,8.7514,2.169213688,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.014,0.014,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
398,0,0.031,0.031,7.1393,1.965614732,,0.027,0.027,6.2181,1.827464394,,0.038,0.038,8.7514,2.169213688,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.014,0.014,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
399,0,0.03,0.03,6.909,1.93282491,,0.027,0.027,6.2181,1.827464394,,0.037,0.037,8.5211,2.14254544,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,,0.025,0.025,5.7575,1.750503353,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
400,0,0.03,0.03,6.909,1.93282491,,0.027,0.027,6.2181,1.827464394,,0.037,0.037,8.5211,2.14254544,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
401,0,0.03,0.03,6.909,1.93282491,,0.027,0.027,6.2181,1.827464394,,0.037,0.037,8.5211,2.14254544,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
402,0,0.03,0.03,6.909,1.93282491,,0.026,0.026,5.9878,1.789724066,,0.037,0.037,8.5211,2.14254544,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
403,0,0.03,0.03,6.909,1.93282491,,0.026,0.026,5.9878,1.789724066,,0.036,0.036,8.2908,2.115146466,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,
404,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.036,0.036,8.2908,2.115146466,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.013,0.013,2.9939,1.096576885,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,
405,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.036,0.036,8.2908,2.115146466,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.013,0.013,2.9939,1.096576885,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,
406,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.036,0.036,8.2908,2.115146466,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,
407,0,0.029,0.029,6.6787,1.898923358,,0.025,0.025,5.7575,1.750503353,,0.035,0.035,8.0605,2.086975589,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,2.303,0.834212621,,0.018,0.018,4.1454,1.421999286,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,
408,0,0.029,0.029,6.6787,1.898923358,,0.025,0.025,5.7575,1.750503353,,0.035,0.035,8.0605,2.086975589,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,2.303,0.834212621,,0.018,0.018,4.1454,1.421999286,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,
