,Blank,F19Aug19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_45_R2,A(CDOM),a(CDOM),ln(a),Sr
200,-0.007,0.263,0.27,62.181,4.130049487,,0.141,0.148,34.0844,3.528839802,,0.098,0.105,24.1815,3.185587878,,0.128,0.135,31.0905,3.436902306,,0.187,0.194,44.6782,3.799485687,,0.265,0.272,62.6416,4.137429594,,0.246,0.253,58.2659,4.065017017,,0.215,0.222,51.1266,3.93430491,
201,-0.007,0.253,0.26,59.878,4.092309159,,0.14,0.147,33.8541,3.522060115,,0.093,0.1,23.03,3.136797714,,0.123,0.13,29.939,3.399161978,,0.179,0.186,42.8358,3.757374202,,0.256,0.263,60.5689,4.10378156,,0.235,0.242,55.7326,4.020565254,,0.205,0.212,48.8236,3.888213803,
202,-0.007,0.243,0.25,57.575,4.053088446,,0.139,0.146,33.6238,3.51523415,,0.088,0.095,21.8785,3.085504419,,0.119,0.126,29.0178,3.367909435,,0.173,0.18,41.454,3.724584379,,0.248,0.255,58.7265,4.072891073,,0.224,0.231,53.1993,3.974045238,,0.196,0.203,46.7509,3.844833507,
203,-0.007,0.235,0.242,55.7326,4.020565254,,0.137,0.144,33.1632,3.501440827,,0.085,0.092,21.1876,3.053416105,,0.117,0.124,28.5572,3.351909093,,0.167,0.174,40.0722,3.690682827,,0.241,0.248,57.1144,4.045056274,,0.215,0.222,51.1266,3.93430491,,0.189,0.196,45.1388,3.809742187,
204,-0.006,0.226,0.232,53.4296,3.9783649,,0.136,0.142,32.7026,3.487454585,,0.081,0.087,20.0361,2.997535646,,0.114,0.12,27.636,3.319119271,,0.162,0.168,38.6904,3.655591507,,0.235,0.241,55.5023,4.016424461,,0.207,0.213,49.0539,3.892919694,,0.182,0.188,43.2964,3.768069491,
205,-0.006,0.219,0.225,51.8175,3.94772793,,0.133,0.139,32.0117,3.466101461,,0.078,0.084,19.3452,2.962444327,,0.111,0.117,26.9451,3.293801463,,0.156,0.162,37.3086,3.619223863,,0.229,0.235,54.1205,3.991213042,,0.199,0.205,47.2115,3.854637507,,0.175,0.181,41.6843,3.730124559,
206,-0.006,0.212,0.218,50.2054,3.916122591,,0.131,0.137,31.5511,3.451608454,,0.076,0.082,18.8846,2.938346775,,0.109,0.115,26.4845,3.276559656,,0.152,0.158,36.3874,3.594222561,,0.223,0.229,52.7387,3.965349531,,0.192,0.198,45.5994,3.819894559,,0.168,0.174,40.0722,3.690682827,
207,-0.005,0.206,0.211,48.5933,3.883485661,,0.129,0.134,30.8602,3.429467328,,0.074,0.079,18.1937,2.90107538,,0.108,0.113,26.0239,3.259015347,,0.148,0.153,35.2359,3.562065449,,0.217,0.222,51.1266,3.93430491,,0.186,0.191,43.9873,3.783900956,,0.163,0.168,38.6904,3.655591507,
208,-0.005,0.201,0.206,47.4418,3.859503697,,0.126,0.131,30.1693,3.406824851,,0.072,0.077,17.7331,2.87543295,,0.107,0.112,25.7936,3.250126399,,0.144,0.149,34.3147,3.535573834,,0.212,0.217,49.9751,3.911524881,,0.18,0.185,42.6055,3.751983353,,0.158,0.163,37.5389,3.625377729,
209,-0.005,0.195,0.2,46.06,3.829944894,,0.122,0.127,29.2481,3.375814614,,0.07,0.075,17.2725,2.849115641,,0.105,0.11,25.333,3.232107894,,0.139,0.144,33.1632,3.501440827,,0.206,0.211,48.5933,3.883485661,,0.174,0.179,41.2237,3.719013334,,0.152,0.157,36.1571,3.587873333,
210,-0.005,0.19,0.195,44.9085,3.804627086,,0.119,0.124,28.5572,3.351909093,,0.068,0.073,16.8119,2.822086969,,0.104,0.109,25.1027,3.22297541,,0.135,0.14,32.242,3.47326995,,0.2,0.205,47.2115,3.854637507,,0.168,0.173,39.8419,3.684919122,,0.147,0.152,35.0056,3.555508049,
