,Blank,F19Aug19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_45_R2,A(CDOM),a(CDOM),ln(a),Sr
262,-0.001,0.102,0.103,23.7209,3.166356516,,0.032,0.033,7.5999,2.028135089,,0.039,0.04,9.212,2.220506982,,0.076,0.077,17.7331,2.87543295,,0.057,0.058,13.3574,2.592070538,,0.07,0.071,16.3513,2.794307405,,0.066,0.067,15.4301,2.736320147,,0.057,0.058,13.3574,2.592070538,
263,-0.001,0.102,0.103,23.7209,3.166356516,,0.031,0.032,7.3696,1.997363431,,0.039,0.04,9.212,2.220506982,,0.076,0.077,17.7331,2.87543295,,0.057,0.058,13.3574,2.592070538,,0.07,0.071,16.3513,2.794307405,,0.066,0.067,15.4301,2.736320147,,0.057,0.058,13.3574,2.592070538,
264,-0.001,0.101,0.102,23.4906,3.156600341,,0.031,0.032,7.3696,1.997363431,,0.038,0.039,8.9817,2.195189174,,0.075,0.076,17.5028,2.862360868,,0.056,0.057,13.1271,2.574678796,,0.069,0.07,16.121,2.78012277,,0.065,0.066,15.1998,2.72128227,,0.057,0.058,13.3574,2.592070538,
265,-0.001,0.1,0.101,23.2603,3.146748045,,0.031,0.032,7.3696,1.997363431,,0.038,0.039,8.9817,2.195189174,,0.075,0.076,17.5028,2.862360868,,0.056,0.057,13.1271,2.574678796,,0.069,0.07,16.121,2.78012277,,0.065,0.066,15.1998,2.72128227,,0.056,0.057,13.1271,2.574678796,
266,-0.001,0.1,0.101,23.2603,3.146748045,,0.031,0.032,7.3696,1.997363431,,0.038,0.039,8.9817,2.195189174,,0.075,0.076,17.5028,2.862360868,,0.056,0.057,13.1271,2.574678796,,0.069,0.07,16.121,2.78012277,,0.065,0.066,15.1998,2.72128227,,0.056,0.057,13.1271,2.574678796,
267,-0.001,0.099,0.1,23.03,3.136797714,,0.03,0.031,7.1393,1.965614732,,0.038,0.039,8.9817,2.195189174,,0.074,0.075,17.2725,2.849115641,,0.055,0.056,12.8968,2.556979219,,0.068,0.069,15.8907,2.765734032,,0.065,0.066,15.1998,2.72128227,,0.056,0.057,13.1271,2.574678796,
268,-0.001,0.098,0.099,22.7997,3.126747378,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,,0.074,0.075,17.2725,2.849115641,,0.055,0.056,12.8968,2.556979219,,0.068,0.069,15.8907,2.765734032,,0.064,0.065,14.9695,2.706014798,,0.055,0.056,12.8968,2.556979219,
269,-0.001,0.097,0.098,22.5694,3.116595007,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,,0.074,0.075,17.2725,2.849115641,,0.054,0.055,12.6665,2.538960713,,0.068,0.069,15.8907,2.765734032,,0.064,0.065,14.9695,2.706014798,,0.055,0.056,12.8968,2.556979219,
270,-0.001,0.096,0.097,22.3391,3.106338506,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,,0.073,0.074,17.0422,2.835692621,,0.054,0.055,12.6665,2.538960713,,0.067,0.068,15.6604,2.751135233,,0.064,0.065,14.9695,2.706014798,,0.055,0.056,12.8968,2.556979219,
271,-0.001,0.095,0.096,22.1088,3.095975719,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,,0.073,0.074,17.0422,2.835692621,,0.053,0.054,12.4362,2.520611574,,0.067,0.068,15.6604,2.751135233,,0.063,0.064,14.7392,2.690510611,,0.054,0.055,12.6665,2.538960713,
272,-0.001,0.095,0.096,22.1088,3.095975719,,0.03,0.031,7.1393,1.965614732,,0.036,0.037,8.5211,2.14254544,,0.072,0.073,16.8119,2.822086969,,0.053,0.054,12.4362,2.520611574,,0.066,0.067,15.4301,2.736320147,,0.063,0.064,14.7392,2.690510611,,0.054,0.055,12.6665,2.538960713,
273,-0.001,0.094,0.095,21.8785,3.085504419,,0.029,0.03,6.909,1.93282491,,0.036,0.037,8.5211,2.14254544,,0.072,0.073,16.8119,2.822086969,,0.052,0.053,12.2059,2.501919441,,0.066,0.067,15.4301,2.736320147,,0.062,0.063,14.5089,2.674762254,,0.054,0.055,12.6665,2.538960713,
274,-0.001,0.093,0.094,21.6482,3.07492231,,0.029,0.03,6.909,1.93282491,,0.036,0.037,8.5211,2.14254544,,0.072,0.073,16.8119,2.822086969,,0.052,0.053,12.2059,2.501919441,,0.066,0.067,15.4301,2.736320147,,0.062,0.063,14.5089,2.674762254,,0.053,0.054,12.4362,2.520611574,
275,-0.001,0.092,0.093,21.4179,3.064227021,,0.029,0.03,6.909,1.93282491,,0.035,0.036,8.2908,2.115146466,,0.071,0.072,16.5816,2.808293647,,0.051,0.052,11.9756,2.482871246,,0.065,0.066,15.1998,2.72128227,,0.061,0.062,14.2786,2.658761913,,0.052,0.053,12.2059,2.501919441,
276,-0.001,0.091,0.092,21.1876,3.053416105,,0.029,0.03,6.909,1.93282491,,0.035,0.036,8.2908,2.115146466,,0.071,0.072,16.5816,2.808293647,,0.051,0.052,11.9756,2.482871246,,0.064,0.065,14.9695,2.706014798,,0.061,0.062,14.2786,2.658761913,,0.052,0.053,12.2059,2.501919441,
277,-0.001,0.09,0.091,20.9573,3.042487034,,0.028,0.029,6.6787,1.898923358,,0.035,0.036,8.2908,2.115146466,,0.07,0.071,16.3513,2.794307405,,0.05,0.051,11.7453,2.463453161,,0.064,0.065,14.9695,2.706014798,,0.06,0.061,14.0483,2.642501392,,0.051,0.052,11.9756,2.482871246,
278,-0.001,0.089,0.09,20.727,3.031437198,,0.028,0.029,6.6787,1.898923358,,0.034,0.035,8.0605,2.086975589,,0.07,0.071,16.3513,2.794307405,,0.049,0.05,11.515,2.443650533,,0.064,0.065,14.9695,2.706014798,,0.059,0.06,13.818,2.62597209,,0.051,0.052,11.9756,2.482871246,
279,-0.001,0.088,0.089,20.4967,3.020263898,,0.028,0.029,6.6787,1.898923358,,0.034,0.035,8.0605,2.086975589,,0.069,0.07,16.121,2.78012277,,0.049,0.05,11.515,2.443650533,,0.063,0.064,14.7392,2.690510611,,0.059,0.06,13.818,2.62597209,,0.05,0.051,11.7453,2.463453161,
280,-0.001,0.087,0.088,20.2664,3.008964342,,0.027,0.028,6.4484,1.863832038,,0.034,0.035,8.0605,2.086975589,,0.069,0.07,16.121,2.78012277,,0.048,0.049,11.2847,2.423447826,,0.062,0.063,14.5089,2.674762254,,0.058,0.059,13.5877,2.609164972,,0.049,0.05,11.515,2.443650533,
281,-0.001,0.086,0.087,20.0361,2.997535646,,0.027,0.028,6.4484,1.863832038,,0.034,0.035,8.0605,2.086975589,,0.068,0.069,15.8907,2.765734032,,0.048,0.049,11.2847,2.423447826,,0.062,0.063,14.5089,2.674762254,,0.057,0.058,13.3574,2.592070538,,0.049,0.05,11.515,2.443650533,
282,-0.001,0.085,0.086,19.8058,2.985974824,,0.027,0.028,6.4484,1.863832038,,0.033,0.034,7.8302,2.057988052,,0.068,0.069,15.8907,2.765734032,,0.047,0.048,11.0544,2.402828539,,0.061,0.062,14.2786,2.658761913,,0.057,0.058,13.3574,2.592070538,,0.048,0.049,11.2847,2.423447826,
283,-0.001,0.084,0.085,19.5755,2.974278784,,0.027,0.028,6.4484,1.863832038,,0.033,0.034,7.8302,2.057988052,,0.068,0.069,15.8907,2.765734032,,0.046,0.047,10.8241,2.38177513,,0.06,0.061,14.0483,2.642501392,,0.056,0.057,13.1271,2.574678796,,0.048,0.049,11.2847,2.423447826,
284,-0.001,0.082,0.083,19.1149,2.950468136,,0.026,0.027,6.2181,1.827464394,,0.033,0.034,7.8302,2.057988052,,0.067,0.068,15.6604,2.751135233,,0.046,0.047,10.8241,2.38177513,,0.059,0.06,13.818,2.62597209,,0.055,0.056,12.8968,2.556979219,,0.047,0.048,11.0544,2.402828539,
285,-0.001,0.081,0.082,18.8846,2.938346775,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,,0.067,0.068,15.6604,2.751135233,,0.045,0.046,10.5938,2.360268924,,0.059,0.06,13.818,2.62597209,,0.054,0.055,12.6665,2.538960713,,0.046,0.047,10.8241,2.38177513,
286,-0.001,0.08,0.081,18.6543,2.926076683,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,,0.067,0.068,15.6604,2.751135233,,0.044,0.045,10.3635,2.338290018,,0.058,0.059,13.5877,2.609164972,,0.053,0.054,12.4362,2.520611574,,0.045,0.046,10.5938,2.360268924,
287,-0.001,0.079,0.08,18.424,2.913654163,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,,0.066,0.067,15.4301,2.736320147,,0.043,0.044,10.1332,2.315817162,,0.058,0.059,13.5877,2.609164972,,0.052,0.053,12.2059,2.501919441,,0.044,0.045,10.3635,2.338290018,
288,-0.001,0.078,0.079,18.1937,2.90107538,,0.025,0.026,5.9878,1.789724066,,0.031,0.032,7.3696,1.997363431,,0.066,0.067,15.4301,2.736320147,,0.043,0.044,10.1332,2.315817162,,0.057,0.058,13.3574,2.592070538,,0.051,0.052,11.9756,2.482871246,,0.043,0.044,10.1332,2.315817162,
289,-0.001,0.077,0.078,17.9634,2.888336355,,0.025,0.026,5.9878,1.789724066,,0.031,0.032,7.3696,1.997363431,,0.065,0.066,15.1998,2.72128227,,0.042,0.043,9.9029,2.292827644,,0.056,0.057,13.1271,2.574678796,,0.05,0.051,11.7453,2.463453161,,0.043,0.044,10.1332,2.315817162,
290,-0.001,0.076,0.077,17.7331,2.87543295,,0.025,0.026,5.9878,1.789724066,,0.031,0.032,7.3696,1.997363431,,0.065,0.066,15.1998,2.72128227,,0.041,0.042,9.6726,2.269297146,,0.055,0.056,12.8968,2.556979219,,0.049,0.05,11.515,2.443650533,,0.042,0.043,9.9029,2.292827644,
291,-0.001,0.075,0.076,17.5028,2.862360868,,0.024,0.025,5.7575,1.750503353,,0.031,0.032,7.3696,1.997363431,,0.065,0.066,15.1998,2.72128227,,0.041,0.042,9.6726,2.269297146,,0.054,0.055,12.6665,2.538960713,,0.049,0.05,11.515,2.443650533,,0.041,0.042,9.6726,2.269297146,
292,-0.001,0.074,0.075,17.2725,2.849115641,,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.064,0.065,14.9695,2.706014798,,0.04,0.041,9.4423,2.245199595,,0.054,0.055,12.6665,2.538960713,,0.048,0.049,11.2847,2.423447826,,0.04,0.041,9.4423,2.245199595,
293,-0.001,0.073,0.074,17.0422,2.835692621,,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.064,0.065,14.9695,2.706014798,,0.039,0.04,9.212,2.220506982,,0.053,0.054,12.4362,2.520611574,,0.047,0.048,11.0544,2.402828539,,0.04,0.041,9.4423,2.245199595,
294,-0.001,0.072,0.073,16.8119,2.822086969,,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.063,0.064,14.7392,2.690510611,,0.039,0.04,9.212,2.220506982,,0.052,0.053,12.2059,2.501919441,,0.046,0.047,10.8241,2.38177513,,0.039,0.04,9.212,2.220506982,
295,-0.001,0.071,0.072,16.5816,2.808293647,,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.063,0.064,14.7392,2.690510611,,0.038,0.039,8.9817,2.195189174,,0.051,0.052,11.9756,2.482871246,,0.045,0.046,10.5938,2.360268924,,0.038,0.039,8.9817,2.195189174,
296,-0.001,0.07,0.071,16.3513,2.794307405,,0.023,0.024,5.5272,1.709681358,,0.029,0.03,6.909,1.93282491,,0.063,0.064,14.7392,2.690510611,,0.037,0.038,8.7514,2.169213688,,0.05,0.051,11.7453,2.463453161,,0.044,0.045,10.3635,2.338290018,,0.037,0.038,8.7514,2.169213688,
297,-0.001,0.07,0.071,16.3513,2.794307405,,0.023,0.024,5.5272,1.709681358,,0.029,0.03,6.909,1.93282491,,0.062,0.063,14.5089,2.674762254,,0.037,0.038,8.7514,2.169213688,,0.049,0.05,11.515,2.443650533,,0.043,0.044,10.1332,2.315817162,,0.036,0.037,8.5211,2.14254544,
298,-0.001,0.069,0.07,16.121,2.78012277,,0.023,0.024,5.5272,1.709681358,,0.029,0.03,6.909,1.93282491,,0.062,0.063,14.5089,2.674762254,,0.036,0.037,8.5211,2.14254544,,0.049,0.05,11.515,2.443650533,,0.042,0.043,9.9029,2.292827644,,0.036,0.037,8.5211,2.14254544,
299,-0.001,0.068,0.069,15.8907,2.765734032,,0.023,0.024,5.5272,1.709681358,,0.029,0.03,6.909,1.93282491,,0.061,0.062,14.2786,2.658761913,,0.036,0.037,8.5211,2.14254544,,0.048,0.049,11.2847,2.423447826,,0.041,0.042,9.6726,2.269297146,,0.035,0.036,8.2908,2.115146466,
300,-0.001,0.067,0.068,15.6604,2.751135233,,0.022,0.023,5.2969,1.667121744,,0.029,0.03,6.909,1.93282491,,0.061,0.062,14.2786,2.658761913,,0.035,0.036,8.2908,2.115146466,,0.047,0.048,11.0544,2.402828539,,0.04,0.041,9.4423,2.245199595,,0.034,0.035,8.0605,2.086975589,
301,-0.001,0.066,0.067,15.4301,2.736320147,,0.022,0.023,5.2969,1.667121744,,0.028,0.029,6.6787,1.898923358,,0.061,0.062,14.2786,2.658761913,,0.034,0.035,8.0605,2.086975589,,0.046,0.047,10.8241,2.38177513,,0.039,0.04,9.212,2.220506982,,0.034,0.035,8.0605,2.086975589,
302,-0.001,0.066,0.067,15.4301,2.736320147,,0.022,0.023,5.2969,1.667121744,,0.028,0.029,6.6787,1.898923358,,0.061,0.062,14.2786,2.658761913,,0.034,0.035,8.0605,2.086975589,,0.046,0.047,10.8241,2.38177513,,0.039,0.04,9.212,2.220506982,,0.033,0.034,7.8302,2.057988052,
303,-0.001,0.065,0.066,15.1998,2.72128227,,0.022,0.023,5.2969,1.667121744,,0.028,0.029,6.6787,1.898923358,,0.06,0.061,14.0483,2.642501392,,0.033,0.034,7.8302,2.057988052,,0.045,0.046,10.5938,2.360268924,,0.038,0.039,8.9817,2.195189174,,0.032,0.033,7.5999,2.028135089,
304,-0.001,0.064,0.065,14.9695,2.706014798,,0.021,0.022,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.06,0.061,14.0483,2.642501392,,0.032,0.033,7.5999,2.028135089,,0.044,0.045,10.3635,2.338290018,,0.037,0.038,8.7514,2.169213688,,0.031,0.032,7.3696,1.997363431,
305,-0.001,0.064,0.065,14.9695,2.706014798,,0.021,0.022,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.06,0.061,14.0483,2.642501392,,0.032,0.033,7.5999,2.028135089,,0.044,0.045,10.3635,2.338290018,,0.036,0.037,8.5211,2.14254544,,0.031,0.032,7.3696,1.997363431,
306,-0.001,0.063,0.064,14.7392,2.690510611,,0.021,0.022,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.061,0.062,14.2786,2.658761913,,0.032,0.033,7.5999,2.028135089,,0.043,0.044,10.1332,2.315817162,,0.035,0.036,8.2908,2.115146466,,0.03,0.031,7.1393,1.965614732,
307,-0.001,0.063,0.064,14.7392,2.690510611,,0.021,0.022,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.06,0.061,14.0483,2.642501392,,0.031,0.032,7.3696,1.997363431,,0.042,0.043,9.9029,2.292827644,,0.034,0.035,8.0605,2.086975589,,0.03,0.031,7.1393,1.965614732,
308,-0.001,0.062,0.063,14.5089,2.674762254,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.06,0.061,14.0483,2.642501392,,0.031,0.032,7.3696,1.997363431,,0.041,0.042,9.6726,2.269297146,,0.034,0.035,8.0605,2.086975589,,0.029,0.03,6.909,1.93282491,
309,-0.001,0.061,0.062,14.2786,2.658761913,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.06,0.061,14.0483,2.642501392,,0.03,0.031,7.1393,1.965614732,,0.041,0.042,9.6726,2.269297146,,0.033,0.034,7.8302,2.057988052,,0.029,0.03,6.909,1.93282491,
310,-0.001,0.061,0.062,14.2786,2.658761913,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.06,0.061,14.0483,2.642501392,,0.03,0.031,7.1393,1.965614732,,0.04,0.041,9.4423,2.245199595,,0.032,0.033,7.5999,2.028135089,,0.028,0.029,6.6787,1.898923358,
311,-0.001,0.06,0.061,14.0483,2.642501392,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.06,0.061,14.0483,2.642501392,,0.029,0.03,6.909,1.93282491,,0.039,0.04,9.212,2.220506982,,0.032,0.033,7.5999,2.028135089,,0.027,0.028,6.4484,1.863832038,
312,-0.001,0.06,0.061,14.0483,2.642501392,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.059,0.06,13.818,2.62597209,,0.029,0.03,6.909,1.93282491,,0.039,0.04,9.212,2.220506982,,0.031,0.032,7.3696,1.997363431,,0.027,0.028,6.4484,1.863832038,
313,-0.001,0.059,0.06,13.818,2.62597209,,0.019,0.02,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.059,0.06,13.818,2.62597209,,0.028,0.029,6.6787,1.898923358,,0.038,0.039,8.9817,2.195189174,,0.031,0.032,7.3696,1.997363431,,0.027,0.028,6.4484,1.863832038,
314,-0.001,0.059,0.06,13.818,2.62597209,,0.019,0.02,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.059,0.06,13.818,2.62597209,,0.028,0.029,6.6787,1.898923358,,0.038,0.039,8.9817,2.195189174,,0.03,0.031,7.1393,1.965614732,,0.026,0.027,6.2181,1.827464394,
315,-0.001,0.058,0.059,13.5877,2.609164972,,0.019,0.02,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.058,0.059,13.5877,2.609164972,,0.028,0.029,6.6787,1.898923358,,0.037,0.038,8.7514,2.169213688,,0.029,0.03,6.909,1.93282491,,0.026,0.027,6.2181,1.827464394,
316,-0.001,0.057,0.058,13.3574,2.592070538,,0.019,0.02,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.058,0.059,13.5877,2.609164972,,0.027,0.028,6.4484,1.863832038,,0.037,0.038,8.7514,2.169213688,,0.029,0.03,6.909,1.93282491,,0.025,0.026,5.9878,1.789724066,
317,-0.001,0.057,0.058,13.3574,2.592070538,,0.019,0.02,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.058,0.059,13.5877,2.609164972,,0.027,0.028,6.4484,1.863832038,,0.037,0.038,8.7514,2.169213688,,0.029,0.03,6.909,1.93282491,,0.025,0.026,5.9878,1.789724066,
318,0,0.056,0.056,12.8968,2.556979219,,0.019,0.019,4.3757,1.476066507,,0.026,0.026,5.9878,1.789724066,,0.058,0.058,13.3574,2.592070538,,0.026,0.026,5.9878,1.789724066,,0.036,0.036,8.2908,2.115146466,,0.028,0.028,6.4484,1.863832038,,0.025,0.025,5.7575,1.750503353,
319,-0.001,0.056,0.057,13.1271,2.574678796,,0.019,0.02,4.606,1.527359801,,0.025,0.026,5.9878,1.789724066,,0.058,0.059,13.5877,2.609164972,,0.026,0.027,6.2181,1.827464394,,0.035,0.036,8.2908,2.115146466,,0.027,0.028,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,
320,-0.001,0.055,0.056,12.8968,2.556979219,,0.019,0.02,4.606,1.527359801,,0.025,0.026,5.9878,1.789724066,,0.057,0.058,13.3574,2.592070538,,0.026,0.027,6.2181,1.827464394,,0.035,0.036,8.2908,2.115146466,,0.027,0.028,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,
321,-0.001,0.055,0.056,12.8968,2.556979219,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.057,0.058,13.3574,2.592070538,,0.026,0.027,6.2181,1.827464394,,0.035,0.036,8.2908,2.115146466,,0.027,0.028,6.4484,1.863832038,,0.023,0.024,5.5272,1.709681358,
322,-0.001,0.054,0.055,12.6665,2.538960713,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.057,0.058,13.3574,2.592070538,,0.025,0.026,5.9878,1.789724066,,0.034,0.035,8.0605,2.086975589,,0.026,0.027,6.2181,1.827464394,,0.023,0.024,5.5272,1.709681358,
323,-0.001,0.054,0.055,12.6665,2.538960713,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.057,0.058,13.3574,2.592070538,,0.025,0.026,5.9878,1.789724066,,0.034,0.035,8.0605,2.086975589,,0.026,0.027,6.2181,1.827464394,,0.023,0.024,5.5272,1.709681358,
324,-0.001,0.053,0.054,12.4362,2.520611574,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.057,0.058,13.3574,2.592070538,,0.025,0.026,5.9878,1.789724066,,0.034,0.035,8.0605,2.086975589,,0.026,0.027,6.2181,1.827464394,,0.022,0.023,5.2969,1.667121744,
325,-0.001,0.053,0.054,12.4362,2.520611574,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.057,0.058,13.3574,2.592070538,,0.025,0.026,5.9878,1.789724066,,0.034,0.035,8.0605,2.086975589,,0.025,0.026,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,
326,-0.001,0.052,0.053,12.2059,2.501919441,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.056,0.057,13.1271,2.574678796,,0.024,0.025,5.7575,1.750503353,,0.033,0.034,7.8302,2.057988052,,0.025,0.026,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,
327,-0.001,0.052,0.053,12.2059,2.501919441,,0.018,0.019,4.3757,1.476066507,,0.025,0.026,5.9878,1.789724066,,0.056,0.057,13.1271,2.574678796,,0.024,0.025,5.7575,1.750503353,,0.033,0.034,7.8302,2.057988052,,0.024,0.025,5.7575,1.750503353,,0.021,0.022,5.0666,1.622669981,
328,-0.001,0.051,0.052,11.9756,2.482871246,,0.017,0.018,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.056,0.057,13.1271,2.574678796,,0.023,0.024,5.5272,1.709681358,,0.032,0.033,7.5999,2.028135089,,0.024,0.025,5.7575,1.750503353,,0.021,0.022,5.0666,1.622669981,
329,-0.001,0.051,0.052,11.9756,2.482871246,,0.017,0.018,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.056,0.057,13.1271,2.574678796,,0.023,0.024,5.5272,1.709681358,,0.032,0.033,7.5999,2.028135089,,0.024,0.025,5.7575,1.750503353,,0.021,0.022,5.0666,1.622669981,
330,-0.001,0.05,0.051,11.7453,2.463453161,,0.017,0.018,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.055,0.056,12.8968,2.556979219,,0.023,0.024,5.5272,1.709681358,,0.032,0.033,7.5999,2.028135089,,0.024,0.025,5.7575,1.750503353,,0.021,0.022,5.0666,1.622669981,
331,-0.001,0.05,0.051,11.7453,2.463453161,,0.017,0.018,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.055,0.056,12.8968,2.556979219,,0.022,0.023,5.2969,1.667121744,,0.031,0.032,7.3696,1.997363431,,0.023,0.024,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
332,-0.001,0.049,0.05,11.515,2.443650533,,0.017,0.018,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.055,0.056,12.8968,2.556979219,,0.022,0.023,5.2969,1.667121744,,0.031,0.032,7.3696,1.997363431,,0.023,0.024,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
333,-0.001,0.049,0.05,11.515,2.443650533,,0.017,0.018,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.055,0.056,12.8968,2.556979219,,0.022,0.023,5.2969,1.667121744,,0.031,0.032,7.3696,1.997363431,,0.023,0.024,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
334,-0.001,0.048,0.049,11.2847,2.423447826,,0.016,0.017,3.9151,1.364840872,,0.024,0.025,5.7575,1.750503353,,0.054,0.055,12.6665,2.538960713,,0.022,0.023,5.2969,1.667121744,,0.03,0.031,7.1393,1.965614732,,0.022,0.023,5.2969,1.667121744,,0.019,0.02,4.606,1.527359801,
335,-0.001,0.048,0.049,11.2847,2.423447826,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.054,0.055,12.6665,2.538960713,,0.022,0.023,5.2969,1.667121744,,0.03,0.031,7.1393,1.965614732,,0.022,0.023,5.2969,1.667121744,,0.019,0.02,4.606,1.527359801,
336,-0.001,0.047,0.048,11.0544,2.402828539,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.054,0.055,12.6665,2.538960713,,0.021,0.022,5.0666,1.622669981,,0.03,0.031,7.1393,1.965614732,,0.022,0.023,5.2969,1.667121744,,0.019,0.02,4.606,1.527359801,
337,-0.001,0.047,0.048,11.0544,2.402828539,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.054,0.055,12.6665,2.538960713,,0.021,0.022,5.0666,1.622669981,,0.03,0.031,7.1393,1.965614732,,0.021,0.022,5.0666,1.622669981,,0.018,0.019,4.3757,1.476066507,
338,-0.001,0.046,0.047,10.8241,2.38177513,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.054,0.055,12.6665,2.538960713,,0.021,0.022,5.0666,1.622669981,,0.029,0.03,6.909,1.93282491,,0.021,0.022,5.0666,1.622669981,,0.018,0.019,4.3757,1.476066507,
339,-0.001,0.046,0.047,10.8241,2.38177513,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.054,0.055,12.6665,2.538960713,,0.021,0.022,5.0666,1.622669981,,0.029,0.03,6.909,1.93282491,,0.021,0.022,5.0666,1.622669981,,0.018,0.019,4.3757,1.476066507,
340,0,0.047,0.047,10.8241,2.38177513,,0.017,0.017,3.9151,1.364840872,,0.024,0.024,5.5272,1.709681358,,0.055,0.055,12.6665,2.538960713,,0.022,0.022,5.0666,1.622669981,,0.03,0.03,6.909,1.93282491,,0.022,0.022,5.0666,1.622669981,,0.019,0.019,4.3757,1.476066507,
341,-0.001,0.046,0.047,10.8241,2.38177513,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.053,0.054,12.4362,2.520611574,,0.021,0.022,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.02,0.021,4.8363,1.576149966,,0.018,0.019,4.3757,1.476066507,
342,-0.001,0.046,0.047,10.8241,2.38177513,,0.016,0.017,3.9151,1.364840872,,0.023,0.024,5.5272,1.709681358,,0.053,0.054,12.4362,2.520611574,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.02,0.021,4.8363,1.576149966,,0.017,0.018,4.1454,1.421999286,
343,-0.001,0.045,0.046,10.5938,2.360268924,,0.015,0.016,3.6848,1.30421625,,0.023,0.024,5.5272,1.709681358,,0.052,0.053,12.2059,2.501919441,,0.02,0.021,4.8363,1.576149966,,0.027,0.028,6.4484,1.863832038,,0.019,0.02,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,
