,MilliQ,F22Aug19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_20_r1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_102_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_45_r1,A(CDOM),a(CDOM),ln(a),Sr
200,0.008,0.236,0.228,52.5084,3.960973157,,0.203,0.195,44.9085,3.804627086,,0.211,0.203,46.7509,3.844833507,,0.291,0.283,65.1749,4.177074425,,0.34,0.332,76.4596,4.336762497,,0.151,0.143,32.9329,3.494472158,,0.261,0.253,58.2659,4.065017017,,0.169,0.161,37.0783,3.613031893,,0.172,0.164,37.7692,3.631493956,,0.164,0.156,35.9268,3.581483535,,0.165,0.157,36.1571,3.587873333,,0.164,0.156,35.9268,3.581483535,
201,0.007,0.231,0.224,51.5872,3.94327358,,0.196,0.189,43.5267,3.773374543,,0.206,0.199,45.8297,3.824932353,,0.277,0.27,62.181,4.130049487,,0.331,0.324,74.6172,4.312371044,,0.146,0.139,32.0117,3.466101461,,0.255,0.248,57.1144,4.045056274,,0.162,0.155,35.6965,3.575052645,,0.166,0.159,36.6177,3.60053173,,0.157,0.15,34.545,3.542262822,,0.159,0.152,35.0056,3.555508049,,0.156,0.149,34.3147,3.535573834,
202,0.008,0.227,0.219,50.4357,3.920699258,,0.19,0.182,41.9146,3.735634215,,0.201,0.193,44.4479,3.794317717,,0.265,0.257,59.1871,4.080703613,,0.323,0.315,72.5445,4.284200167,,0.141,0.133,30.6299,3.421976656,,0.249,0.241,55.5023,4.016424461,,0.155,0.147,33.8541,3.522060115,,0.16,0.152,35.0056,3.555508049,,0.151,0.143,32.9329,3.494472158,,0.152,0.144,33.1632,3.501440827,,0.15,0.142,32.7026,3.487454585,
203,0.008,0.223,0.215,49.5145,3.902265556,,0.186,0.178,40.9934,3.713411078,,0.197,0.189,43.5267,3.773374543,,0.254,0.246,56.6538,4.036959064,,0.315,0.307,70.7021,4.258475275,,0.138,0.13,29.939,3.399161978,,0.244,0.236,54.3508,3.995459333,,0.15,0.142,32.7026,3.487454585,,0.156,0.148,34.0844,3.528839802,,0.145,0.137,31.5511,3.451608454,,0.147,0.139,32.0117,3.466101461,,0.145,0.137,31.5511,3.451608454,
204,0.008,0.219,0.211,48.5933,3.883485661,,0.181,0.173,39.8419,3.684919122,,0.193,0.185,42.6055,3.751983353,,0.243,0.235,54.1205,3.991213042,,0.308,0.3,69.09,4.235410003,,0.135,0.127,29.2481,3.375814614,,0.238,0.23,52.969,3.969706837,,0.145,0.137,31.5511,3.451608454,,0.151,0.143,32.9329,3.494472158,,0.14,0.132,30.3996,3.41442945,,0.142,0.134,30.8602,3.429467328,,0.14,0.132,30.3996,3.41442945,
205,0.007,0.214,0.207,47.6721,3.864346321,,0.177,0.17,39.151,3.667425965,,0.188,0.181,41.6843,3.730124559,,0.233,0.226,52.0478,3.952162527,,0.3,0.293,67.4779,4.211800137,,0.131,0.124,28.5572,3.351909093,,0.232,0.225,51.8175,3.94772793,,0.139,0.132,30.3996,3.41442945,,0.146,0.139,32.0117,3.466101461,,0.135,0.128,29.4784,3.383657792,,0.137,0.13,29.939,3.399161978,,0.135,0.128,29.4784,3.383657792,
206,0.007,0.21,0.203,46.7509,3.844833507,,0.173,0.166,38.2298,3.643615316,,0.185,0.178,40.9934,3.713411078,,0.224,0.217,49.9751,3.911524881,,0.292,0.285,65.6355,4.184116708,,0.129,0.122,28.0966,3.335648573,,0.227,0.22,50.666,3.925255074,,0.135,0.128,29.4784,3.383657792,,0.143,0.136,31.3208,3.444282414,,0.131,0.124,28.5572,3.351909093,,0.133,0.126,29.0178,3.367909435,,0.13,0.123,28.3269,3.343811883,
207,0.007,0.205,0.198,45.5994,3.819894559,,0.171,0.164,37.7692,3.631493956,,0.181,0.174,40.0722,3.690682827,,0.217,0.21,48.363,3.878735059,,0.285,0.278,64.0234,4.159248642,,0.127,0.12,27.636,3.319119271,,0.222,0.215,49.5145,3.902265556,,0.131,0.124,28.5572,3.351909093,,0.139,0.132,30.3996,3.41442945,,0.128,0.121,27.8663,3.327418073,,0.13,0.123,28.3269,3.343811883,,0.127,0.12,27.636,3.319119271,
208,0.006,0.201,0.195,44.9085,3.804627086,,0.168,0.162,37.3086,3.619223863,,0.178,0.172,39.6116,3.679122005,,0.209,0.203,46.7509,3.844833507,,0.277,0.271,62.4113,4.133746349,,0.124,0.118,27.1754,3.302312152,,0.216,0.21,48.363,3.878735059,,0.128,0.122,28.0966,3.335648573,,0.135,0.129,29.7087,3.391439932,,0.124,0.118,27.1754,3.302312152,,0.126,0.12,27.636,3.319119271,,0.123,0.117,26.9451,3.293801463,
209,0.006,0.195,0.189,43.5267,3.773374543,,0.165,0.159,36.6177,3.60053173,,0.173,0.167,38.4601,3.64962134,,0.202,0.196,45.1388,3.809742187,,0.268,0.262,60.3386,4.099972032,,0.121,0.115,26.4845,3.276559656,,0.21,0.204,46.9812,3.849747522,,0.124,0.118,27.1754,3.302312152,,0.13,0.124,28.5572,3.351909093,,0.12,0.114,26.2542,3.267825976,,0.123,0.117,26.9451,3.293801463,,0.12,0.114,26.2542,3.267825976,
