,MilliQ,F22Aug19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_20_r1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_102_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_45_r1,A(CDOM),a(CDOM),ln(a),Sr
353,0.001,0.02,0.019,4.3757,1.476066507,,0.067,0.066,15.1998,2.72128227,,0.036,0.035,8.0605,2.086975589,,0.032,0.031,7.1393,1.965614732,,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,
354,0.001,0.019,0.018,4.1454,1.421999286,,0.066,0.065,14.9695,2.706014798,,0.035,0.034,7.8302,2.057988052,,0.031,0.03,6.909,1.93282491,,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,
355,0.001,0.02,0.019,4.3757,1.476066507,,0.066,0.065,14.9695,2.706014798,,0.035,0.034,7.8302,2.057988052,,0.031,0.03,6.909,1.93282491,,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,
356,0.001,0.019,0.018,4.1454,1.421999286,,0.066,0.065,14.9695,2.706014798,,0.035,0.034,7.8302,2.057988052,,0.031,0.03,6.909,1.93282491,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.019,0.018,4.1454,1.421999286,
357,0.001,0.019,0.018,4.1454,1.421999286,,0.065,0.064,14.7392,2.690510611,,0.035,0.034,7.8302,2.057988052,,0.03,0.029,6.6787,1.898923358,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.019,0.018,4.1454,1.421999286,
358,0.001,0.019,0.018,4.1454,1.421999286,,0.065,0.064,14.7392,2.690510611,,0.034,0.033,7.5999,2.028135089,,0.03,0.029,6.6787,1.898923358,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,
359,0.001,0.018,0.017,3.9151,1.364840872,,0.064,0.063,14.5089,2.674762254,,0.034,0.033,7.5999,2.028135089,,0.03,0.029,6.6787,1.898923358,,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,
360,0.001,0.018,0.017,3.9151,1.364840872,,0.064,0.063,14.5089,2.674762254,,0.034,0.033,7.5999,2.028135089,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,
361,0.001,0.018,0.017,3.9151,1.364840872,,0.064,0.063,14.5089,2.674762254,,0.033,0.032,7.3696,1.997363431,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,
362,0.001,0.018,0.017,3.9151,1.364840872,,0.063,0.062,14.2786,2.658761913,,0.033,0.032,7.3696,1.997363431,,0.028,0.027,6.2181,1.827464394,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,
363,0.001,0.018,0.017,3.9151,1.364840872,,0.063,0.062,14.2786,2.658761913,,0.033,0.032,7.3696,1.997363431,,0.028,0.027,6.2181,1.827464394,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.017,0.016,3.6848,1.30421625,
364,0.001,0.018,0.017,3.9151,1.364840872,,0.062,0.061,14.0483,2.642501392,,0.032,0.031,7.1393,1.965614732,,0.028,0.027,6.2181,1.827464394,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.02,0.019,4.3757,1.476066507,,0.017,0.016,3.6848,1.30421625,
365,0.001,0.018,0.017,3.9151,1.364840872,,0.063,0.062,14.2786,2.658761913,,0.032,0.031,7.1393,1.965614732,,0.027,0.026,5.9878,1.789724066,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,,0.017,0.016,3.6848,1.30421625,
366,0.001,0.017,0.016,3.6848,1.30421625,,0.062,0.061,14.0483,2.642501392,,0.032,0.031,7.1393,1.965614732,,0.027,0.026,5.9878,1.789724066,,0.016,0.015,3.4545,1.239677729,,0.024,0.023,5.2969,1.667121744,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.019,0.018,4.1454,1.421999286,,0.017,0.016,3.6848,1.30421625,
367,0.001,0.017,0.016,3.6848,1.30421625,,0.062,0.061,14.0483,2.642501392,,0.032,0.031,7.1393,1.965614732,,0.027,0.026,5.9878,1.789724066,,0.016,0.015,3.4545,1.239677729,,0.023,0.022,5.0666,1.622669981,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.019,0.018,4.1454,1.421999286,,0.017,0.016,3.6848,1.30421625,
368,0.001,0.017,0.016,3.6848,1.30421625,,0.062,0.061,14.0483,2.642501392,,0.031,0.03,6.909,1.93282491,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.023,0.022,5.0666,1.622669981,,0.017,0.016,3.6848,1.30421625,,0.017,0.016,3.6848,1.30421625,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,
369,0.001,0.017,0.016,3.6848,1.30421625,,0.061,0.06,13.818,2.62597209,,0.031,0.03,6.909,1.93282491,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.023,0.022,5.0666,1.622669981,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,
370,0.001,0.017,0.016,3.6848,1.30421625,,0.061,0.06,13.818,2.62597209,,0.031,0.03,6.909,1.93282491,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.023,0.022,5.0666,1.622669981,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.019,0.018,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,
371,0.001,0.016,0.015,3.4545,1.239677729,,0.06,0.059,13.5877,2.609164972,,0.031,0.03,6.909,1.93282491,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.015,0.014,3.2242,1.170684857,
372,0.001,0.016,0.015,3.4545,1.239677729,,0.06,0.059,13.5877,2.609164972,,0.03,0.029,6.6787,1.898923358,,0.025,0.024,5.5272,1.709681358,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.016,0.015,3.4545,1.239677729,
373,0.001,0.016,0.015,3.4545,1.239677729,,0.06,0.059,13.5877,2.609164972,,0.03,0.029,6.6787,1.898923358,,0.025,0.024,5.5272,1.709681358,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.015,0.014,3.2242,1.170684857,
374,0.001,0.016,0.015,3.4545,1.239677729,,0.06,0.059,13.5877,2.609164972,,0.03,0.029,6.6787,1.898923358,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.015,0.014,3.2242,1.170684857,
375,0.001,0.016,0.015,3.4545,1.239677729,,0.059,0.058,13.3574,2.592070538,,0.03,0.029,6.6787,1.898923358,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.018,0.017,3.9151,1.364840872,,0.015,0.014,3.2242,1.170684857,
376,0.001,0.016,0.015,3.4545,1.239677729,,0.059,0.058,13.3574,2.592070538,,0.029,0.028,6.4484,1.863832038,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.015,0.014,3.2242,1.170684857,
377,0.001,0.016,0.015,3.4545,1.239677729,,0.058,0.057,13.1271,2.574678796,,0.029,0.028,6.4484,1.863832038,,0.023,0.022,5.0666,1.622669981,,0.015,0.014,3.2242,1.170684857,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.014,0.013,2.9939,1.096576885,
378,0.001,0.015,0.014,3.2242,1.170684857,,0.058,0.057,13.1271,2.574678796,,0.029,0.028,6.4484,1.863832038,,0.023,0.022,5.0666,1.622669981,,0.015,0.014,3.2242,1.170684857,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.014,0.013,2.9939,1.096576885,
379,0.001,0.015,0.014,3.2242,1.170684857,,0.058,0.057,13.1271,2.574678796,,0.029,0.028,6.4484,1.863832038,,0.023,0.022,5.0666,1.622669981,,0.014,0.013,2.9939,1.096576885,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.014,0.013,2.9939,1.096576885,
380,0.001,0.015,0.014,3.2242,1.170684857,,0.057,0.056,12.8968,2.556979219,,0.028,0.027,6.2181,1.827464394,,0.022,0.021,4.8363,1.576149966,,0.014,0.013,2.9939,1.096576885,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.014,0.013,2.9939,1.096576885,
381,0.001,0.015,0.014,3.2242,1.170684857,,0.057,0.056,12.8968,2.556979219,,0.028,0.027,6.2181,1.827464394,,0.022,0.021,4.8363,1.576149966,,0.014,0.013,2.9939,1.096576885,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.014,0.013,2.9939,1.096576885,
382,0.001,0.015,0.014,3.2242,1.170684857,,0.056,0.055,12.6665,2.538960713,,0.028,0.027,6.2181,1.827464394,,0.022,0.021,4.8363,1.576149966,,0.014,0.013,2.9939,1.096576885,,0.02,0.019,4.3757,1.476066507,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.013,0.012,2.7636,1.016534178,
383,0.001,0.014,0.013,2.9939,1.096576885,,0.056,0.055,12.6665,2.538960713,,0.028,0.027,6.2181,1.827464394,,0.021,0.02,4.606,1.527359801,,0.014,0.013,2.9939,1.096576885,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.013,0.012,2.7636,1.016534178,
384,0.001,0.014,0.013,2.9939,1.096576885,,0.055,0.054,12.4362,2.520611574,,0.028,0.027,6.2181,1.827464394,,0.021,0.02,4.606,1.527359801,,0.013,0.012,2.7636,1.016534178,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.016,0.015,3.4545,1.239677729,,0.013,0.012,2.7636,1.016534178,
385,0.001,0.014,0.013,2.9939,1.096576885,,0.055,0.054,12.4362,2.520611574,,0.027,0.026,5.9878,1.789724066,,0.021,0.02,4.606,1.527359801,,0.013,0.012,2.7636,1.016534178,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.013,0.012,2.7636,1.016534178,
386,0.001,0.014,0.013,2.9939,1.096576885,,0.055,0.054,12.4362,2.520611574,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.013,0.012,2.7636,1.016534178,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.013,0.012,2.7636,1.016534178,
387,0.001,0.014,0.013,2.9939,1.096576885,,0.054,0.053,12.2059,2.501919441,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.013,0.012,2.7636,1.016534178,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.013,0.012,2.7636,1.016534178,
388,0.001,0.014,0.013,2.9939,1.096576885,,0.054,0.053,12.2059,2.501919441,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.012,0.011,2.5333,0.929522801,
389,0.001,0.014,0.013,2.9939,1.096576885,,0.053,0.052,11.9756,2.482871246,,0.027,0.026,5.9878,1.789724066,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.015,0.014,3.2242,1.170684857,,0.012,0.011,2.5333,0.929522801,
390,0.001,0.014,0.013,2.9939,1.096576885,,0.053,0.052,11.9756,2.482871246,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,
391,0.001,0.013,0.012,2.7636,1.016534178,,0.053,0.052,11.9756,2.482871246,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,
392,0.001,0.013,0.012,2.7636,1.016534178,,0.052,0.051,11.7453,2.463453161,,0.026,0.025,5.7575,1.750503353,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,
393,0.001,0.013,0.012,2.7636,1.016534178,,0.052,0.051,11.7453,2.463453161,,0.026,0.025,5.7575,1.750503353,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.013,0.012,2.7636,1.016534178,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,
394,0.001,0.013,0.012,2.7636,1.016534178,,0.052,0.051,11.7453,2.463453161,,0.026,0.025,5.7575,1.750503353,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,
395,0.001,0.013,0.012,2.7636,1.016534178,,0.051,0.05,11.515,2.443650533,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.019,0.018,4.1454,1.421999286,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,
396,0.001,0.013,0.012,2.7636,1.016534178,,0.051,0.05,11.515,2.443650533,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.012,0.011,2.5333,0.929522801,,0.013,0.012,2.7636,1.016534178,,0.011,0.01,2.303,0.834212621,
397,0.001,0.013,0.012,2.7636,1.016534178,,0.051,0.05,11.515,2.443650533,,0.025,0.024,5.5272,1.709681358,,0.017,0.016,3.6848,1.30421625,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.011,0.01,2.303,0.834212621,
398,0.001,0.012,0.011,2.5333,0.929522801,,0.05,0.049,11.2847,2.423447826,,0.025,0.024,5.5272,1.709681358,,0.017,0.016,3.6848,1.30421625,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.011,0.01,2.303,0.834212621,
399,0.001,0.012,0.011,2.5333,0.929522801,,0.05,0.049,11.2847,2.423447826,,0.025,0.024,5.5272,1.709681358,,0.017,0.016,3.6848,1.30421625,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.013,0.012,2.7636,1.016534178,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.011,0.01,2.303,0.834212621,
400,0.001,0.012,0.011,2.5333,0.929522801,,0.05,0.049,11.2847,2.423447826,,0.024,0.023,5.2969,1.667121744,,0.017,0.016,3.6848,1.30421625,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.01,0.009,2.0727,0.728852105,
401,0.001,0.012,0.011,2.5333,0.929522801,,0.049,0.048,11.0544,2.402828539,,0.024,0.023,5.2969,1.667121744,,0.016,0.015,3.4545,1.239677729,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.011,0.01,2.303,0.834212621,,0.014,0.013,2.9939,1.096576885,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.01,0.009,2.0727,0.728852105,
402,0.001,0.012,0.011,2.5333,0.929522801,,0.049,0.048,11.0544,2.402828539,,0.024,0.023,5.2969,1.667121744,,0.016,0.015,3.4545,1.239677729,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.012,0.011,2.5333,0.929522801,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.01,0.009,2.0727,0.728852105,
403,0,0.012,0.012,2.7636,1.016534178,,0.049,0.049,11.2847,2.423447826,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,
404,0.001,0.012,0.011,2.5333,0.929522801,,0.049,0.048,11.0544,2.402828539,,0.024,0.023,5.2969,1.667121744,,0.016,0.015,3.4545,1.239677729,,0.011,0.01,2.303,0.834212621,,0.017,0.016,3.6848,1.30421625,,0.012,0.011,2.5333,0.929522801,,0.011,0.01,2.303,0.834212621,,0.013,0.012,2.7636,1.016534178,,0.011,0.01,2.303,0.834212621,,0.012,0.011,2.5333,0.929522801,,0.01,0.009,2.0727,0.728852105,
405,0,0.012,0.012,2.7636,1.016534178,,0.049,0.049,11.2847,2.423447826,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,,0.011,0.011,2.5333,0.929522801,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,
406,0,0.011,0.011,2.5333,0.929522801,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.011,0.011,2.5333,0.929522801,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,
407,0,0.011,0.011,2.5333,0.929522801,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.011,0.011,2.5333,0.929522801,,0.017,0.017,3.9151,1.364840872,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,
