,MilliQ,MilliQ2,F15Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F27May19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F03Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27May19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F03Jul19_0.1mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2a,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F15Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,MilliQ_Final
286,0,0,0.036,0.036,8.2908,2.115146466,,0.03,0.03,6.909,1.93282491,,0.037,0.037,8.5211,2.14254544,,0.039,0.039,8.9817,2.195189174,,0.049,0.049,11.2847,2.423447826,,0.024,0.024,11.0544,2.402828539,,0.037,0.037,8.5211,2.14254544,,0.018,0.018,8.2908,2.115146466,,0.062,0.062,14.2786,2.658761913,,0.019,0.019,8.7514,2.169213688,,0.057,0.057,13.1271,2.574678796,,0.028,0.028,12.8968,2.556979219,,0.042,0.042,9.6726,2.269297146,,0.022,0.022,10.1332,2.315817162,,0.027,0.027,6.2181,1.827464394,,0.041,0.041,9.4423,2.245199595,,0.021,0.021,9.6726,2.269297146,,-0.001
287,0,0,0.036,0.036,8.2908,2.115146466,,0.03,0.03,6.909,1.93282491,,0.036,0.036,8.2908,2.115146466,,0.039,0.039,8.9817,2.195189174,,0.049,0.049,11.2847,2.423447826,,0.024,0.024,11.0544,2.402828539,,0.036,0.036,8.2908,2.115146466,,0.017,0.017,7.8302,2.057988052,,0.061,0.061,14.0483,2.642501392,,0.018,0.018,8.2908,2.115146466,,0.056,0.056,12.8968,2.556979219,,0.028,0.028,12.8968,2.556979219,,0.042,0.042,9.6726,2.269297146,,0.022,0.022,10.1332,2.315817162,,0.026,0.026,5.9878,1.789724066,,0.041,0.041,9.4423,2.245199595,,0.021,0.021,9.6726,2.269297146,,-0.001
288,0,0,0.035,0.035,8.0605,2.086975589,,0.029,0.029,6.6787,1.898923358,,0.036,0.036,8.2908,2.115146466,,0.039,0.039,8.9817,2.195189174,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,10.5938,2.360268924,,0.036,0.036,8.2908,2.115146466,,0.017,0.017,7.8302,2.057988052,,0.061,0.061,14.0483,2.642501392,,0.018,0.018,8.2908,2.115146466,,0.056,0.056,12.8968,2.556979219,,0.028,0.028,12.8968,2.556979219,,0.041,0.041,9.4423,2.245199595,,0.022,0.022,10.1332,2.315817162,,0.026,0.026,5.9878,1.789724066,,0.04,0.04,9.212,2.220506982,,0.021,0.021,9.6726,2.269297146,,-0.001
289,0,0,0.035,0.035,8.0605,2.086975589,,0.029,0.029,6.6787,1.898923358,,0.035,0.035,8.0605,2.086975589,,0.038,0.038,8.7514,2.169213688,,0.047,0.047,10.8241,2.38177513,,0.023,0.023,10.5938,2.360268924,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.06,0.06,13.818,2.62597209,,0.018,0.018,8.2908,2.115146466,,0.055,0.055,12.6665,2.538960713,,0.027,0.027,12.4362,2.520611574,,0.041,0.041,9.4423,2.245199595,,0.021,0.021,9.6726,2.269297146,,0.026,0.026,5.9878,1.789724066,,0.039,0.039,8.9817,2.195189174,,0.02,0.02,9.212,2.220506982,,-0.001
290,0,0,0.035,0.035,8.0605,2.086975589,,0.028,0.028,6.4484,1.863832038,,0.035,0.035,8.0605,2.086975589,,0.038,0.038,8.7514,2.169213688,,0.046,0.046,10.5938,2.360268924,,0.022,0.022,10.1332,2.315817162,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.059,0.059,13.5877,2.609164972,,0.017,0.017,7.8302,2.057988052,,0.054,0.054,12.4362,2.520611574,,0.026,0.026,11.9756,2.482871246,,0.04,0.04,9.212,2.220506982,,0.021,0.021,9.6726,2.269297146,,0.025,0.025,5.7575,1.750503353,,0.039,0.039,8.9817,2.195189174,,0.02,0.02,9.212,2.220506982,,-0.001
291,0,0,0.034,0.034,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,,0.034,0.034,7.8302,2.057988052,,0.037,0.037,8.5211,2.14254544,,0.046,0.046,10.5938,2.360268924,,0.022,0.022,10.1332,2.315817162,,0.034,0.034,7.8302,2.057988052,,0.017,0.017,7.8302,2.057988052,,0.058,0.058,13.3574,2.592070538,,0.017,0.017,7.8302,2.057988052,,0.053,0.053,12.2059,2.501919441,,0.026,0.026,11.9756,2.482871246,,0.04,0.04,9.212,2.220506982,,0.021,0.021,9.6726,2.269297146,,0.025,0.025,5.7575,1.750503353,,0.038,0.038,8.7514,2.169213688,,0.02,0.02,9.212,2.220506982,,-0.001
292,0,0,0.034,0.034,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,,0.034,0.034,7.8302,2.057988052,,0.037,0.037,8.5211,2.14254544,,0.045,0.045,10.3635,2.338290018,,0.022,0.022,10.1332,2.315817162,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.057,0.057,13.1271,2.574678796,,0.017,0.017,7.8302,2.057988052,,0.052,0.052,11.9756,2.482871246,,0.026,0.026,11.9756,2.482871246,,0.039,0.039,8.9817,2.195189174,,0.02,0.02,9.212,2.220506982,,0.024,0.024,5.5272,1.709681358,,0.038,0.038,8.7514,2.169213688,,0.02,0.02,9.212,2.220506982,,-0.001
293,0,0,0.034,0.034,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,,0.033,0.033,7.5999,2.028135089,,0.037,0.037,8.5211,2.14254544,,0.045,0.045,10.3635,2.338290018,,0.022,0.022,10.1332,2.315817162,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.057,0.057,13.1271,2.574678796,,0.017,0.017,7.8302,2.057988052,,0.052,0.052,11.9756,2.482871246,,0.026,0.026,11.9756,2.482871246,,0.039,0.039,8.9817,2.195189174,,0.02,0.02,9.212,2.220506982,,0.024,0.024,5.5272,1.709681358,,0.037,0.037,8.5211,2.14254544,,0.019,0.019,8.7514,2.169213688,,-0.001
294,0,0,0.033,0.033,7.5999,2.028135089,,0.027,0.027,6.2181,1.827464394,,0.033,0.033,7.5999,2.028135089,,0.036,0.036,8.2908,2.115146466,,0.044,0.044,10.1332,2.315817162,,0.021,0.021,9.6726,2.269297146,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.056,0.056,12.8968,2.556979219,,0.016,0.016,7.3696,1.997363431,,0.051,0.051,11.7453,2.463453161,,0.025,0.025,11.515,2.443650533,,0.038,0.038,8.7514,2.169213688,,0.02,0.02,9.212,2.220506982,,0.024,0.024,5.5272,1.709681358,,0.037,0.037,8.5211,2.14254544,,0.019,0.019,8.7514,2.169213688,,-0.001
295,0,0,0.033,0.033,7.5999,2.028135089,,0.027,0.027,6.2181,1.827464394,,0.032,0.032,7.3696,1.997363431,,0.036,0.036,8.2908,2.115146466,,0.043,0.043,9.9029,2.292827644,,0.021,0.021,9.6726,2.269297146,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.055,0.055,12.6665,2.538960713,,0.016,0.016,7.3696,1.997363431,,0.05,0.05,11.515,2.443650533,,0.025,0.025,11.515,2.443650533,,0.037,0.037,8.5211,2.14254544,,0.02,0.02,9.212,2.220506982,,0.024,0.024,5.5272,1.709681358,,0.036,0.036,8.2908,2.115146466,,0.019,0.019,8.7514,2.169213688,,-0.001
296,0,0,0.033,0.033,7.5999,2.028135089,,0.026,0.026,5.9878,1.789724066,,0.032,0.032,7.3696,1.997363431,,0.036,0.036,8.2908,2.115146466,,0.043,0.043,9.9029,2.292827644,,0.021,0.021,9.6726,2.269297146,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.055,0.055,12.6665,2.538960713,,0.016,0.016,7.3696,1.997363431,,0.049,0.049,11.2847,2.423447826,,0.024,0.024,11.0544,2.402828539,,0.037,0.037,8.5211,2.14254544,,0.019,0.019,8.7514,2.169213688,,0.023,0.023,5.2969,1.667121744,,0.036,0.036,8.2908,2.115146466,,0.018,0.018,8.2908,2.115146466,,-0.001
297,0,0,0.032,0.032,7.3696,1.997363431,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.036,0.036,8.2908,2.115146466,,0.042,0.042,9.6726,2.269297146,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.054,0.054,12.4362,2.520611574,,0.016,0.016,7.3696,1.997363431,,0.049,0.049,11.2847,2.423447826,,0.024,0.024,11.0544,2.402828539,,0.037,0.037,8.5211,2.14254544,,0.019,0.019,8.7514,2.169213688,,0.023,0.023,5.2969,1.667121744,,0.035,0.035,8.0605,2.086975589,,0.018,0.018,8.2908,2.115146466,,-0.001
298,0,0,0.032,0.032,7.3696,1.997363431,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.035,0.035,8.0605,2.086975589,,0.041,0.041,9.4423,2.245199595,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.053,0.053,12.2059,2.501919441,,0.016,0.016,7.3696,1.997363431,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,10.5938,2.360268924,,0.036,0.036,8.2908,2.115146466,,0.019,0.019,8.7514,2.169213688,,0.022,0.022,5.0666,1.622669981,,0.035,0.035,8.0605,2.086975589,,0.018,0.018,8.2908,2.115146466,,-0.001
299,0,0,0.032,0.032,7.3696,1.997363431,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.035,0.035,8.0605,2.086975589,,0.041,0.041,9.4423,2.245199595,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.053,0.053,12.2059,2.501919441,,0.015,0.015,6.909,1.93282491,,0.047,0.047,10.8241,2.38177513,,0.023,0.023,10.5938,2.360268924,,0.036,0.036,8.2908,2.115146466,,0.019,0.019,8.7514,2.169213688,,0.022,0.022,5.0666,1.622669981,,0.034,0.034,7.8302,2.057988052,,0.018,0.018,8.2908,2.115146466,,-0.001
300,0,0,0.032,0.032,7.3696,1.997363431,,0.025,0.025,5.7575,1.750503353,,0.031,0.031,7.1393,1.965614732,,0.035,0.035,8.0605,2.086975589,,0.04,0.04,9.212,2.220506982,,0.02,0.02,9.212,2.220506982,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.052,0.052,11.9756,2.482871246,,0.015,0.015,6.909,1.93282491,,0.047,0.047,10.8241,2.38177513,,0.023,0.023,10.5938,2.360268924,,0.035,0.035,8.0605,2.086975589,,0.019,0.019,8.7514,2.169213688,,0.022,0.022,5.0666,1.622669981,,0.034,0.034,7.8302,2.057988052,,0.018,0.018,8.2908,2.115146466,,-0.001
301,0,0,0.031,0.031,7.1393,1.965614732,,0.025,0.025,5.7575,1.750503353,,0.03,0.03,6.909,1.93282491,,0.034,0.034,7.8302,2.057988052,,0.04,0.04,9.212,2.220506982,,0.019,0.019,8.7514,2.169213688,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.051,0.051,11.7453,2.463453161,,0.015,0.015,6.909,1.93282491,,0.046,0.046,10.5938,2.360268924,,0.023,0.023,10.5938,2.360268924,,0.035,0.035,8.0605,2.086975589,,0.019,0.019,8.7514,2.169213688,,0.022,0.022,5.0666,1.622669981,,0.033,0.033,7.5999,2.028135089,,0.017,0.017,7.8302,2.057988052,,-0.001
302,0,0,0.031,0.031,7.1393,1.965614732,,0.025,0.025,5.7575,1.750503353,,0.03,0.03,6.909,1.93282491,,0.034,0.034,7.8302,2.057988052,,0.039,0.039,8.9817,2.195189174,,0.019,0.019,8.7514,2.169213688,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.051,0.051,11.7453,2.463453161,,0.015,0.015,6.909,1.93282491,,0.045,0.045,10.3635,2.338290018,,0.022,0.022,10.1332,2.315817162,,0.034,0.034,7.8302,2.057988052,,0.018,0.018,8.2908,2.115146466,,0.022,0.022,5.0666,1.622669981,,0.033,0.033,7.5999,2.028135089,,0.017,0.017,7.8302,2.057988052,,-0.001
303,0,0,0.031,0.031,7.1393,1.965614732,,0.024,0.024,5.5272,1.709681358,,0.029,0.029,6.6787,1.898923358,,0.034,0.034,7.8302,2.057988052,,0.039,0.039,8.9817,2.195189174,,0.019,0.019,8.7514,2.169213688,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.05,0.05,11.515,2.443650533,,0.014,0.014,6.4484,1.863832038,,0.045,0.045,10.3635,2.338290018,,0.022,0.022,10.1332,2.315817162,,0.034,0.034,7.8302,2.057988052,,0.018,0.018,8.2908,2.115146466,,0.021,0.021,4.8363,1.576149966,,0.033,0.033,7.5999,2.028135089,,0.017,0.017,7.8302,2.057988052,,-0.001
304,0,0,0.031,0.031,7.1393,1.965614732,,0.024,0.024,5.5272,1.709681358,,0.029,0.029,6.6787,1.898923358,,0.034,0.034,7.8302,2.057988052,,0.038,0.038,8.7514,2.169213688,,0.018,0.018,8.2908,2.115146466,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.05,0.05,11.515,2.443650533,,0.014,0.014,6.4484,1.863832038,,0.044,0.044,10.1332,2.315817162,,0.022,0.022,10.1332,2.315817162,,0.033,0.033,7.5999,2.028135089,,0.018,0.018,8.2908,2.115146466,,0.021,0.021,4.8363,1.576149966,,0.032,0.032,7.3696,1.997363431,,0.017,0.017,7.8302,2.057988052,,-0.001
305,0,0,0.03,0.03,6.909,1.93282491,,0.024,0.024,5.5272,1.709681358,,0.028,0.028,6.4484,1.863832038,,0.033,0.033,7.5999,2.028135089,,0.038,0.038,8.7514,2.169213688,,0.018,0.018,8.2908,2.115146466,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.049,0.049,11.2847,2.423447826,,0.014,0.014,6.4484,1.863832038,,0.044,0.044,10.1332,2.315817162,,0.021,0.021,9.6726,2.269297146,,0.033,0.033,7.5999,2.028135089,,0.018,0.018,8.2908,2.115146466,,0.02,0.02,4.606,1.527359801,,0.032,0.032,7.3696,1.997363431,,0.016,0.016,7.3696,1.997363431,,-0.001
306,0,-0.001,0.029,0.03,6.909,1.93282491,,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,,0.033,0.034,7.8302,2.057988052,,0.037,0.038,8.7514,2.169213688,,0.018,0.019,8.7514,2.169213688,,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.048,0.049,11.2847,2.423447826,,0.014,0.015,6.909,1.93282491,,0.043,0.044,10.1332,2.315817162,,0.021,0.022,10.1332,2.315817162,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,8.2908,2.115146466,,0.02,0.021,4.8363,1.576149966,,0.031,0.032,7.3696,1.997363431,,0.016,0.017,7.8302,2.057988052,,-0.001
307,-0.001,0,0.029,0.029,6.6787,1.898923358,,0.023,0.023,5.2969,1.667121744,,0.027,0.027,6.2181,1.827464394,,0.033,0.033,7.5999,2.028135089,,0.036,0.036,8.2908,2.115146466,,0.018,0.018,8.2908,2.115146466,,0.027,0.027,6.2181,1.827464394,,0.013,0.013,5.9878,1.789724066,,0.048,0.048,11.0544,2.402828539,,0.014,0.014,6.4484,1.863832038,,0.042,0.042,9.6726,2.269297146,,0.02,0.02,9.212,2.220506982,,0.032,0.032,7.3696,1.997363431,,0.017,0.017,7.8302,2.057988052,,0.02,0.02,4.606,1.527359801,,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,-0.001
308,0,-0.001,0.029,0.03,6.909,1.93282491,,0.023,0.024,5.5272,1.709681358,,0.027,0.028,6.4484,1.863832038,,0.032,0.033,7.5999,2.028135089,,0.036,0.037,8.5211,2.14254544,,0.017,0.018,8.2908,2.115146466,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.047,0.048,11.0544,2.402828539,,0.014,0.015,6.909,1.93282491,,0.042,0.043,9.9029,2.292827644,,0.02,0.021,9.6726,2.269297146,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,8.2908,2.115146466,,0.019,0.02,4.606,1.527359801,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,7.8302,2.057988052,,-0.001
309,0,-0.001,0.029,0.03,6.909,1.93282491,,0.023,0.024,5.5272,1.709681358,,0.027,0.028,6.4484,1.863832038,,0.032,0.033,7.5999,2.028135089,,0.036,0.037,8.5211,2.14254544,,0.017,0.018,8.2908,2.115146466,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.047,0.048,11.0544,2.402828539,,0.014,0.015,6.909,1.93282491,,0.041,0.042,9.6726,2.269297146,,0.02,0.021,9.6726,2.269297146,,0.031,0.032,7.3696,1.997363431,,0.017,0.018,8.2908,2.115146466,,0.019,0.02,4.606,1.527359801,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,7.8302,2.057988052,,-0.001
310,0,0,0.029,0.029,6.6787,1.898923358,,0.023,0.023,5.2969,1.667121744,,0.027,0.027,6.2181,1.827464394,,0.032,0.032,7.3696,1.997363431,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.041,0.041,9.4423,2.245199595,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,0.019,0.019,4.3757,1.476066507,,0.03,0.03,6.909,1.93282491,,0.016,0.016,7.3696,1.997363431,,-0.001
311,0,0,0.029,0.029,6.6787,1.898923358,,0.023,0.023,5.2969,1.667121744,,0.027,0.027,6.2181,1.827464394,,0.032,0.032,7.3696,1.997363431,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.04,0.04,9.212,2.220506982,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,0.019,0.019,4.3757,1.476066507,,0.029,0.029,6.6787,1.898923358,,0.015,0.015,6.909,1.93282491,,-0.001
312,0,-0.001,0.029,0.03,6.909,1.93282491,,0.022,0.023,5.2969,1.667121744,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,,0.034,0.035,8.0605,2.086975589,,0.017,0.018,8.2908,2.115146466,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.045,0.046,10.5938,2.360268924,,0.013,0.014,6.4484,1.863832038,,0.04,0.041,9.4423,2.245199595,,0.02,0.021,9.6726,2.269297146,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,7.8302,2.057988052,,0.019,0.02,4.606,1.527359801,,0.029,0.03,6.909,1.93282491,,0.015,0.016,7.3696,1.997363431,,-0.001
313,0,0,0.028,0.028,6.4484,1.863832038,,0.022,0.022,5.0666,1.622669981,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.045,0.045,10.3635,2.338290018,,0.013,0.013,5.9878,1.789724066,,0.039,0.039,8.9817,2.195189174,,0.019,0.019,8.7514,2.169213688,,0.03,0.03,6.909,1.93282491,,0.016,0.016,7.3696,1.997363431,,0.018,0.018,4.1454,1.421999286,,0.029,0.029,6.6787,1.898923358,,0.015,0.015,6.909,1.93282491,,-0.001
314,0,0,0.028,0.028,6.4484,1.863832038,,0.022,0.022,5.0666,1.622669981,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.044,0.044,10.1332,2.315817162,,0.013,0.013,5.9878,1.789724066,,0.039,0.039,8.9817,2.195189174,,0.019,0.019,8.7514,2.169213688,,0.03,0.03,6.909,1.93282491,,0.016,0.016,7.3696,1.997363431,,0.018,0.018,4.1454,1.421999286,,0.029,0.029,6.6787,1.898923358,,0.015,0.015,6.909,1.93282491,,-0.001
315,0,0,0.028,0.028,6.4484,1.863832038,,0.022,0.022,5.0666,1.622669981,,0.026,0.026,5.9878,1.789724066,,0.031,0.031,7.1393,1.965614732,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.044,0.044,10.1332,2.315817162,,0.013,0.013,5.9878,1.789724066,,0.038,0.038,8.7514,2.169213688,,0.019,0.019,8.7514,2.169213688,,0.03,0.03,6.909,1.93282491,,0.016,0.016,7.3696,1.997363431,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,,-0.001
316,0,0,0.027,0.027,6.2181,1.827464394,,0.021,0.021,4.8363,1.576149966,,0.025,0.025,5.7575,1.750503353,,0.031,0.031,7.1393,1.965614732,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.043,0.043,9.9029,2.292827644,,0.012,0.012,5.5272,1.709681358,,0.038,0.038,8.7514,2.169213688,,0.019,0.019,8.7514,2.169213688,,0.029,0.029,6.6787,1.898923358,,0.015,0.015,6.909,1.93282491,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,,-0.001
317,0,0,0.027,0.027,6.2181,1.827464394,,0.021,0.021,4.8363,1.576149966,,0.025,0.025,5.7575,1.750503353,,0.031,0.031,7.1393,1.965614732,,0.032,0.032,7.3696,1.997363431,,0.016,0.016,7.3696,1.997363431,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,,0.043,0.043,9.9029,2.292827644,,0.012,0.012,5.5272,1.709681358,,0.038,0.038,8.7514,2.169213688,,0.018,0.018,8.2908,2.115146466,,0.029,0.029,6.6787,1.898923358,,0.015,0.015,6.909,1.93282491,,0.018,0.018,4.1454,1.421999286,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,,0
318,0,0,0.027,0.027,6.2181,1.827464394,,0.021,0.021,4.8363,1.576149966,,0.025,0.025,5.7575,1.750503353,,0.03,0.03,6.909,1.93282491,,0.032,0.032,7.3696,1.997363431,,0.016,0.016,7.3696,1.997363431,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.043,0.043,9.9029,2.292827644,,0.012,0.012,5.5272,1.709681358,,0.037,0.037,8.5211,2.14254544,,0.018,0.018,8.2908,2.115146466,,0.029,0.029,6.6787,1.898923358,,0.015,0.015,6.909,1.93282491,,0.018,0.018,4.1454,1.421999286,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,6.909,1.93282491,,-0.001
319,0,0,0.027,0.027,6.2181,1.827464394,,0.021,0.021,4.8363,1.576149966,,0.025,0.025,5.7575,1.750503353,,0.03,0.03,6.909,1.93282491,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.037,0.037,8.5211,2.14254544,,0.018,0.018,8.2908,2.115146466,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.014,0.014,6.4484,1.863832038,,-0.001
320,0,0,0.027,0.027,6.2181,1.827464394,,0.021,0.021,4.8363,1.576149966,,0.024,0.024,5.5272,1.709681358,,0.03,0.03,6.909,1.93282491,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.036,0.036,8.2908,2.115146466,,0.018,0.018,8.2908,2.115146466,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.014,0.014,6.4484,1.863832038,,-0.001
321,0,0,0.026,0.026,5.9878,1.789724066,,0.021,0.021,4.8363,1.576149966,,0.024,0.024,5.5272,1.709681358,,0.03,0.03,6.909,1.93282491,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.041,0.041,9.4423,2.245199595,,0.012,0.012,5.5272,1.709681358,,0.036,0.036,8.2908,2.115146466,,0.017,0.017,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,,0.014,0.014,6.4484,1.863832038,,-0.001
322,0,0,0.026,0.026,5.9878,1.789724066,,0.02,0.02,4.606,1.527359801,,0.024,0.024,5.5272,1.709681358,,0.03,0.03,6.909,1.93282491,,0.03,0.03,6.909,1.93282491,,0.015,0.015,6.909,1.93282491,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.041,0.041,9.4423,2.245199595,,0.012,0.012,5.5272,1.709681358,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,6.909,1.93282491,,0.017,0.017,3.9151,1.364840872,,0.026,0.026,5.9878,1.789724066,,0.014,0.014,6.4484,1.863832038,,-0.001
