,MilliQ,MilliQ2,F15Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F27May19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F03Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27May19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F03Jul19_0.1mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2a,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F15Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,MilliQ_Final
200,0.01,0.01,0.104,0.094,21.6482,3.07492231,,0.098,0.088,20.2664,3.008964342,,0.123,0.113,26.0239,3.259015347,,0.111,0.101,23.2603,3.146748045,,0.191,0.181,41.6843,3.730124559,,0.095,0.085,39.151,3.667425965,,0.153,0.143,32.9329,3.494472158,,0.079,0.069,31.7814,3.458881213,,0.242,0.232,53.4296,3.9783649,,0.08,0.07,32.242,3.47326995,,0.23,0.22,50.666,3.925255074,,0.116,0.106,48.8236,3.888213803,,0.15,0.14,32.242,3.47326995,,0.076,0.066,30.3996,3.41442945,,0.097,0.087,20.0361,2.997535646,,0.159,0.149,34.3147,3.535573834,,0.083,0.073,33.6238,3.51523415,,0.002
201,0.009,0.009,0.099,0.09,20.727,3.031437198,,0.094,0.085,19.5755,2.974278784,,0.118,0.109,25.1027,3.22297541,,0.106,0.097,22.3391,3.106338506,,0.183,0.174,40.0722,3.690682827,,0.09,0.081,37.3086,3.619223863,,0.146,0.137,31.5511,3.451608454,,0.076,0.067,30.8602,3.429467328,,0.23,0.221,50.8963,3.929790229,,0.076,0.067,30.8602,3.429467328,,0.219,0.21,48.363,3.878735059,,0.11,0.101,46.5206,3.839895225,,0.143,0.134,30.8602,3.429467328,,0.072,0.063,29.0178,3.367909435,,0.092,0.083,19.1149,2.950468136,,0.151,0.142,32.7026,3.487454585,,0.078,0.069,31.7814,3.458881213,,0.001
202,0.009,0.009,0.096,0.087,20.0361,2.997535646,,0.091,0.082,18.8846,2.938346775,,0.115,0.106,24.4118,3.195066622,,0.102,0.093,21.4179,3.064227021,,0.175,0.166,38.2298,3.643615316,,0.086,0.077,35.4662,3.56858013,,0.14,0.131,30.1693,3.406824851,,0.072,0.063,29.0178,3.367909435,,0.22,0.211,48.5933,3.883485661,,0.073,0.064,29.4784,3.383657792,,0.21,0.201,46.2903,3.834932436,,0.105,0.096,44.2176,3.7891229,,0.137,0.128,29.4784,3.383657792,,0.069,0.06,27.636,3.319119271,,0.089,0.08,18.424,2.913654163,,0.144,0.135,31.0905,3.436902306,,0.075,0.066,30.3996,3.41442945,,0.001
203,0.009,0.009,0.092,0.083,19.1149,2.950468136,,0.088,0.079,18.1937,2.90107538,,0.112,0.103,23.7209,3.166356516,,0.099,0.09,20.727,3.031437198,,0.169,0.16,36.848,3.606801343,,0.083,0.074,34.0844,3.528839802,,0.136,0.127,29.2481,3.375814614,,0.07,0.061,28.0966,3.335648573,,0.211,0.202,46.5206,3.839895225,,0.07,0.061,28.0966,3.335648573,,0.202,0.193,44.4479,3.794317717,,0.101,0.092,42.3752,3.746563285,,0.132,0.123,28.3269,3.343811883,,0.067,0.058,26.7148,3.285217719,,0.086,0.077,17.7331,2.87543295,,0.139,0.13,29.939,3.399161978,,0.072,0.063,29.0178,3.367909435,,0.001
204,0.009,0.009,0.09,0.081,18.6543,2.926076683,,0.086,0.077,17.7331,2.87543295,,0.109,0.1,23.03,3.136797714,,0.096,0.087,20.0361,2.997535646,,0.163,0.154,35.4662,3.56858013,,0.08,0.071,32.7026,3.487454585,,0.131,0.122,28.0966,3.335648573,,0.068,0.059,27.1754,3.302312152,,0.203,0.194,44.6782,3.799485687,,0.068,0.059,27.1754,3.302312152,,0.194,0.185,42.6055,3.751983353,,0.097,0.088,40.5328,3.702111523,,0.127,0.118,27.1754,3.302312152,,0.065,0.056,25.7936,3.250126399,,0.083,0.074,17.0422,2.835692621,,0.134,0.125,28.7875,3.359941265,,0.069,0.06,27.636,3.319119271,,0.001
205,0.008,0.007,0.086,0.079,18.1937,2.90107538,,0.083,0.076,17.5028,2.862360868,,0.105,0.098,22.5694,3.116595007,,0.092,0.085,19.5755,2.974278784,,0.157,0.15,34.545,3.542262822,,0.077,0.07,32.242,3.47326995,,0.126,0.119,27.4057,3.310751021,,0.065,0.058,26.7148,3.285217719,,0.195,0.188,43.2964,3.768069491,,0.065,0.058,26.7148,3.285217719,,0.186,0.179,41.2237,3.719013334,,0.093,0.086,39.6116,3.679122005,,0.122,0.115,26.4845,3.276559656,,0.061,0.054,24.8724,3.213758755,,0.079,0.072,16.5816,2.808293647,,0.128,0.121,27.8663,3.327418073,,0.066,0.059,27.1754,3.302312152,,0
206,0.008,0.007,0.084,0.077,17.7331,2.87543295,,0.081,0.074,17.0422,2.835692621,,0.102,0.095,21.8785,3.085504419,,0.09,0.083,19.1149,2.950468136,,0.152,0.145,33.3935,3.50836127,,0.074,0.067,30.8602,3.429467328,,0.122,0.115,26.4845,3.276559656,,0.063,0.056,25.7936,3.250126399,,0.189,0.182,41.9146,3.735634215,,0.063,0.056,25.7936,3.250126399,,0.18,0.173,39.8419,3.684919122,,0.089,0.082,37.7692,3.631493956,,0.118,0.111,25.5633,3.241157729,,0.06,0.053,24.4118,3.195066622,,0.077,0.07,16.121,2.78012277,,0.124,0.117,26.9451,3.293801463,,0.064,0.057,26.2542,3.267825976,,0
207,0.008,0.007,0.082,0.075,17.2725,2.849115641,,0.079,0.072,16.5816,2.808293647,,0.1,0.093,21.4179,3.064227021,,0.089,0.082,18.8846,2.938346775,,0.148,0.141,32.4723,3.480387418,,0.072,0.065,29.939,3.399161978,,0.119,0.112,25.7936,3.250126399,,0.061,0.054,24.8724,3.213758755,,0.184,0.177,40.7631,3.70777726,,0.061,0.054,24.8724,3.213758755,,0.174,0.167,38.4601,3.64962134,,0.087,0.08,36.848,3.606801343,,0.115,0.108,24.8724,3.213758755,,0.058,0.051,23.4906,3.156600341,,0.075,0.068,15.6604,2.751135233,,0.12,0.113,26.0239,3.259015347,,0.062,0.055,25.333,3.232107894,,0.001
208,0.007,0.007,0.08,0.073,16.8119,2.822086969,,0.077,0.07,16.121,2.78012277,,0.097,0.09,20.727,3.031437198,,0.086,0.079,18.1937,2.90107538,,0.144,0.137,31.5511,3.451608454,,0.07,0.063,29.0178,3.367909435,,0.116,0.109,25.1027,3.22297541,,0.059,0.052,23.9512,3.176018427,,0.178,0.171,39.3813,3.673291084,,0.06,0.053,24.4118,3.195066622,,0.169,0.162,37.3086,3.619223863,,0.084,0.077,35.4662,3.56858013,,0.111,0.104,23.9512,3.176018427,,0.056,0.049,22.5694,3.116595007,,0.073,0.066,15.1998,2.72128227,,0.116,0.109,25.1027,3.22297541,,0.06,0.053,24.4118,3.195066622,,0
209,0.006,0.006,0.078,0.072,16.5816,2.808293647,,0.075,0.069,15.8907,2.765734032,,0.095,0.089,20.4967,3.020263898,,0.084,0.078,17.9634,2.888336355,,0.139,0.133,30.6299,3.421976656,,0.068,0.062,28.5572,3.351909093,,0.112,0.106,24.4118,3.195066622,,0.057,0.051,23.4906,3.156600341,,0.173,0.167,38.4601,3.64962134,,0.058,0.052,23.9512,3.176018427,,0.163,0.157,36.1571,3.587873333,,0.081,0.075,34.545,3.542262822,,0.108,0.102,23.4906,3.156600341,,0.055,0.049,22.5694,3.116595007,,0.071,0.065,14.9695,2.706014798,,0.113,0.107,24.6421,3.204456362,,0.058,0.052,23.9512,3.176018427,,0
