,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
200,0.042,0.18,0.138,31.7814,3.458881213,,0.143,0.101,23.2603,3.146748045,,0.081,0.039,17.9634,2.888336355,,0.14,0.098,22.5694,3.116595007,,0.423,0.381,87.7443,4.474426903,,0.123,0.081,37.3086,3.619223863,,0.213,0.171,39.3813,3.673291084,,0.115,0.073,33.6238,3.51523415,,0.225,0.183,42.1449,3.741113681,,0.111,0.069,31.7814,3.458881213,,0.342,0.3,69.09,4.235410003,,0.091,0.049,22.5694,3.116595007,
201,0.04,0.173,0.133,30.6299,3.421976656,,0.137,0.097,22.3391,3.106338506,,0.077,0.037,17.0422,2.835692621,,0.133,0.093,21.4179,3.064227021,,0.411,0.371,85.4413,4.44782959,,0.119,0.079,36.3874,3.594222561,,0.203,0.163,37.5389,3.625377729,,0.108,0.068,31.3208,3.444282414,,0.215,0.175,40.3025,3.696413502,,0.105,0.065,29.939,3.399161978,,0.334,0.294,67.7082,4.215207295,,0.088,0.048,22.1088,3.095975719,
202,0.038,0.166,0.128,29.4784,3.383657792,,0.133,0.095,21.8785,3.085504419,,0.074,0.036,16.5816,2.808293647,,0.127,0.089,20.4967,3.020263898,,0.401,0.363,83.5989,4.426030362,,0.115,0.077,35.4662,3.56858013,,0.195,0.157,36.1571,3.587873333,,0.103,0.065,29.939,3.399161978,,0.206,0.168,38.6904,3.655591507,,0.1,0.062,28.5572,3.351909093,,0.327,0.289,66.5567,4.198054216,,0.086,0.048,22.1088,3.095975719,
203,0.036,0.16,0.124,28.5572,3.351909093,,0.128,0.092,21.1876,3.053416105,,0.072,0.036,16.5816,2.808293647,,0.122,0.086,19.8058,2.985974824,,0.393,0.357,82.2171,4.40936331,,0.112,0.076,35.0056,3.555508049,,0.188,0.152,35.0056,3.555508049,,0.099,0.063,29.0178,3.367909435,,0.198,0.162,37.3086,3.619223863,,0.096,0.06,27.636,3.319119271,,0.321,0.285,65.6355,4.184116708,,0.084,0.048,22.1088,3.095975719,
204,0.034,0.154,0.12,27.636,3.319119271,,0.124,0.09,20.727,3.031437198,,0.07,0.036,16.5816,2.808293647,,0.117,0.083,19.1149,2.950468136,,0.385,0.351,80.8353,4.392413751,,0.11,0.076,35.0056,3.555508049,,0.181,0.147,33.8541,3.522060115,,0.095,0.061,28.0966,3.335648573,,0.19,0.156,35.9268,3.581483535,,0.092,0.058,26.7148,3.285217719,,0.316,0.282,64.9446,4.173534599,,0.082,0.048,22.1088,3.095975719,
205,0.032,0.149,0.117,26.9451,3.293801463,,0.12,0.088,20.2664,3.008964342,,0.068,0.036,16.5816,2.808293647,,0.112,0.08,18.424,2.913654163,,0.378,0.346,79.6838,4.378066303,,0.107,0.075,34.545,3.542262822,,0.174,0.142,32.7026,3.487454585,,0.091,0.059,27.1754,3.302312152,,0.184,0.152,35.0056,3.555508049,,0.088,0.056,25.7936,3.250126399,,0.311,0.279,64.2537,4.16283931,,0.08,0.048,22.1088,3.095975719,
206,0.03,0.144,0.114,26.2542,3.267825976,,0.117,0.087,20.0361,2.997535646,,0.066,0.036,16.5816,2.808293647,,0.107,0.077,17.7331,2.87543295,,0.372,0.342,78.7626,4.366438265,,0.105,0.075,34.545,3.542262822,,0.169,0.139,32.0117,3.466101461,,0.088,0.058,26.7148,3.285217719,,0.178,0.148,34.0844,3.528839802,,0.085,0.055,25.333,3.232107894,,0.307,0.277,63.7931,4.155645034,,0.079,0.049,22.5694,3.116595007,
207,0.028,0.14,0.112,25.7936,3.250126399,,0.114,0.086,19.8058,2.985974824,,0.064,0.036,16.5816,2.808293647,,0.104,0.076,17.5028,2.862360868,,0.367,0.339,78.0717,4.357627635,,0.103,0.075,34.545,3.542262822,,0.165,0.137,31.5511,3.451608454,,0.086,0.058,26.7148,3.285217719,,0.173,0.145,33.3935,3.50836127,,0.083,0.055,25.333,3.232107894,,0.304,0.276,63.5628,4.152028394,,0.078,0.05,23.03,3.136797714,
208,0.026,0.136,0.11,25.333,3.232107894,,0.111,0.085,19.5755,2.974278784,,0.062,0.036,16.5816,2.808293647,,0.1,0.074,17.0422,2.835692621,,0.362,0.336,77.3808,4.348738688,,0.102,0.076,35.0056,3.555508049,,0.16,0.134,30.8602,3.429467328,,0.083,0.057,26.2542,3.267825976,,0.168,0.142,32.7026,3.487454585,,0.08,0.054,24.8724,3.213758755,,0.301,0.275,63.3325,4.148398626,,0.077,0.051,23.4906,3.156600341,
209,0.024,0.131,0.107,24.6421,3.204456362,,0.108,0.084,19.3452,2.962444327,,0.061,0.037,17.0422,2.835692621,,0.096,0.072,16.5816,2.808293647,,0.357,0.333,76.6899,4.339770018,,0.099,0.075,34.545,3.542262822,,0.156,0.132,30.3996,3.41442945,,0.081,0.057,26.2542,3.267825976,,0.164,0.14,32.242,3.47326995,,0.078,0.054,24.8724,3.213758755,,0.298,0.274,63.1022,4.144755634,,0.076,0.052,23.9512,3.176018427,
