,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
347,0.002,0.03,0.028,6.4484,1.863832038,,0.023,0.021,4.8363,1.576149966,,0.012,0.01,4.606,1.527359801,,0.022,0.02,4.606,1.527359801,,0.159,0.157,36.1571,3.587873333,,0.038,0.036,16.5816,2.808293647,,0.029,0.027,6.2181,1.827464394,,0.012,0.01,4.606,1.527359801,,0.028,0.026,5.9878,1.789724066,,0.01,0.008,3.6848,1.30421625,,0.149,0.147,33.8541,3.522060115,,0.036,0.034,15.6604,2.751135233,
348,0.002,0.03,0.028,6.4484,1.863832038,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.022,0.02,4.606,1.527359801,,0.157,0.155,35.6965,3.575052645,,0.038,0.036,16.5816,2.808293647,,0.028,0.026,5.9878,1.789724066,,0.012,0.01,4.606,1.527359801,,0.028,0.026,5.9878,1.789724066,,0.009,0.007,3.2242,1.170684857,,0.148,0.146,33.6238,3.51523415,,0.035,0.033,15.1998,2.72128227,
349,0.002,0.03,0.028,6.4484,1.863832038,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.022,0.02,4.606,1.527359801,,0.156,0.154,35.4662,3.56858013,,0.037,0.035,16.121,2.78012277,,0.027,0.025,5.7575,1.750503353,,0.012,0.01,4.606,1.527359801,,0.027,0.025,5.7575,1.750503353,,0.009,0.007,3.2242,1.170684857,,0.147,0.145,33.3935,3.50836127,,0.035,0.033,15.1998,2.72128227,
350,0.002,0.03,0.028,6.4484,1.863832038,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.022,0.02,4.606,1.527359801,,0.155,0.153,35.2359,3.562065449,,0.037,0.035,16.121,2.78012277,,0.027,0.025,5.7575,1.750503353,,0.012,0.01,4.606,1.527359801,,0.027,0.025,5.7575,1.750503353,,0.009,0.007,3.2242,1.170684857,,0.146,0.144,33.1632,3.501440827,,0.035,0.033,15.1998,2.72128227,
351,0.002,0.029,0.027,6.2181,1.827464394,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.021,0.019,4.3757,1.476066507,,0.154,0.152,35.0056,3.555508049,,0.037,0.035,16.121,2.78012277,,0.027,0.025,5.7575,1.750503353,,0.012,0.01,4.606,1.527359801,,0.026,0.024,5.5272,1.709681358,,0.009,0.007,3.2242,1.170684857,,0.146,0.144,33.1632,3.501440827,,0.035,0.033,15.1998,2.72128227,
352,0.002,0.029,0.027,6.2181,1.827464394,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.022,0.02,4.606,1.527359801,,0.154,0.152,35.0056,3.555508049,,0.037,0.035,16.121,2.78012277,,0.027,0.025,5.7575,1.750503353,,0.011,0.009,4.1454,1.421999286,,0.026,0.024,5.5272,1.709681358,,0.009,0.007,3.2242,1.170684857,,0.145,0.143,32.9329,3.494472158,,0.035,0.033,15.1998,2.72128227,
353,0.002,0.029,0.027,6.2181,1.827464394,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.022,0.02,4.606,1.527359801,,0.153,0.151,34.7753,3.548907365,,0.036,0.034,15.6604,2.751135233,,0.026,0.024,5.5272,1.709681358,,0.011,0.009,4.1454,1.421999286,,0.026,0.024,5.5272,1.709681358,,0.008,0.006,2.7636,1.016534178,,0.144,0.142,32.7026,3.487454585,,0.034,0.032,14.7392,2.690510611,
354,0.002,0.029,0.027,6.2181,1.827464394,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.021,0.019,4.3757,1.476066507,,0.151,0.149,34.3147,3.535573834,,0.036,0.034,15.6604,2.751135233,,0.026,0.024,5.5272,1.709681358,,0.011,0.009,4.1454,1.421999286,,0.025,0.023,5.2969,1.667121744,,0.008,0.006,2.7636,1.016534178,,0.143,0.141,32.4723,3.480387418,,0.034,0.032,14.7392,2.690510611,
355,0.002,0.028,0.026,5.9878,1.789724066,,0.021,0.019,4.3757,1.476066507,,0.01,0.008,3.6848,1.30421625,,0.021,0.019,4.3757,1.476066507,,0.15,0.148,34.0844,3.528839802,,0.036,0.034,15.6604,2.751135233,,0.026,0.024,5.5272,1.709681358,,0.011,0.009,4.1454,1.421999286,,0.025,0.023,5.2969,1.667121744,,0.008,0.006,2.7636,1.016534178,,0.142,0.14,32.242,3.47326995,,0.034,0.032,14.7392,2.690510611,
356,0.002,0.028,0.026,5.9878,1.789724066,,0.021,0.019,4.3757,1.476066507,,0.01,0.008,3.6848,1.30421625,,0.021,0.019,4.3757,1.476066507,,0.15,0.148,34.0844,3.528839802,,0.036,0.034,15.6604,2.751135233,,0.025,0.023,5.2969,1.667121744,,0.011,0.009,4.1454,1.421999286,,0.024,0.022,5.0666,1.622669981,,0.008,0.006,2.7636,1.016534178,,0.142,0.14,32.242,3.47326995,,0.034,0.032,14.7392,2.690510611,
357,0.002,0.028,0.026,5.9878,1.789724066,,0.021,0.019,4.3757,1.476066507,,0.01,0.008,3.6848,1.30421625,,0.021,0.019,4.3757,1.476066507,,0.148,0.146,33.6238,3.51523415,,0.035,0.033,15.1998,2.72128227,,0.025,0.023,5.2969,1.667121744,,0.011,0.009,4.1454,1.421999286,,0.024,0.022,5.0666,1.622669981,,0.008,0.006,2.7636,1.016534178,,0.141,0.139,32.0117,3.466101461,,0.033,0.031,14.2786,2.658761913,
358,0.002,0.027,0.025,5.7575,1.750503353,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.021,0.019,4.3757,1.476066507,,0.147,0.145,33.3935,3.50836127,,0.035,0.033,15.1998,2.72128227,,0.025,0.023,5.2969,1.667121744,,0.01,0.008,3.6848,1.30421625,,0.023,0.021,4.8363,1.576149966,,0.008,0.006,2.7636,1.016534178,,0.14,0.138,31.7814,3.458881213,,0.033,0.031,14.2786,2.658761913,
359,0.002,0.028,0.026,5.9878,1.789724066,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.021,0.019,4.3757,1.476066507,,0.147,0.145,33.3935,3.50836127,,0.035,0.033,15.1998,2.72128227,,0.025,0.023,5.2969,1.667121744,,0.01,0.008,3.6848,1.30421625,,0.023,0.021,4.8363,1.576149966,,0.007,0.005,2.303,0.834212621,,0.139,0.137,31.5511,3.451608454,,0.033,0.031,14.2786,2.658761913,
360,0.002,0.027,0.025,5.7575,1.750503353,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.021,0.019,4.3757,1.476066507,,0.146,0.144,33.1632,3.501440827,,0.035,0.033,15.1998,2.72128227,,0.024,0.022,5.0666,1.622669981,,0.011,0.009,4.1454,1.421999286,,0.024,0.022,5.0666,1.622669981,,0.007,0.005,2.303,0.834212621,,0.139,0.137,31.5511,3.451608454,,0.033,0.031,14.2786,2.658761913,
361,0.002,0.027,0.025,5.7575,1.750503353,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.145,0.143,32.9329,3.494472158,,0.035,0.033,15.1998,2.72128227,,0.024,0.022,5.0666,1.622669981,,0.01,0.008,3.6848,1.30421625,,0.023,0.021,4.8363,1.576149966,,0.007,0.005,2.303,0.834212621,,0.138,0.136,31.3208,3.444282414,,0.033,0.031,14.2786,2.658761913,
362,0.002,0.027,0.025,5.7575,1.750503353,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.144,0.142,32.7026,3.487454585,,0.034,0.032,14.7392,2.690510611,,0.024,0.022,5.0666,1.622669981,,0.01,0.008,3.6848,1.30421625,,0.023,0.021,4.8363,1.576149966,,0.007,0.005,2.303,0.834212621,,0.137,0.135,31.0905,3.436902306,,0.032,0.03,13.818,2.62597209,
363,0.002,0.027,0.025,5.7575,1.750503353,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.143,0.141,32.4723,3.480387418,,0.034,0.032,14.7392,2.690510611,,0.023,0.021,4.8363,1.576149966,,0.01,0.008,3.6848,1.30421625,,0.022,0.02,4.606,1.527359801,,0.007,0.005,2.303,0.834212621,,0.136,0.134,30.8602,3.429467328,,0.032,0.03,13.818,2.62597209,
364,0.002,0.026,0.024,5.5272,1.709681358,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.142,0.14,32.242,3.47326995,,0.034,0.032,14.7392,2.690510611,,0.023,0.021,4.8363,1.576149966,,0.01,0.008,3.6848,1.30421625,,0.022,0.02,4.606,1.527359801,,0.007,0.005,2.303,0.834212621,,0.135,0.133,30.6299,3.421976656,,0.032,0.03,13.818,2.62597209,
365,0.002,0.026,0.024,5.5272,1.709681358,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.141,0.139,32.0117,3.466101461,,0.034,0.032,14.7392,2.690510611,,0.023,0.021,4.8363,1.576149966,,0.009,0.007,3.2242,1.170684857,,0.021,0.019,4.3757,1.476066507,,0.007,0.005,2.303,0.834212621,,0.134,0.132,30.3996,3.41442945,,0.032,0.03,13.818,2.62597209,
366,0.002,0.026,0.024,5.5272,1.709681358,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.139,0.137,31.5511,3.451608454,,0.033,0.031,14.2786,2.658761913,,0.023,0.021,4.8363,1.576149966,,0.009,0.007,3.2242,1.170684857,,0.021,0.019,4.3757,1.476066507,,0.006,0.004,1.8424,0.61106907,,0.134,0.132,30.3996,3.41442945,,0.032,0.03,13.818,2.62597209,
367,0.002,0.026,0.024,5.5272,1.709681358,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.139,0.137,31.5511,3.451608454,,0.033,0.031,14.2786,2.658761913,,0.022,0.02,4.606,1.527359801,,0.009,0.007,3.2242,1.170684857,,0.021,0.019,4.3757,1.476066507,,0.006,0.004,1.8424,0.61106907,,0.133,0.131,30.1693,3.406824851,,0.031,0.029,13.3574,2.592070538,
368,0.002,0.026,0.024,5.5272,1.709681358,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.02,0.018,4.1454,1.421999286,,0.138,0.136,31.3208,3.444282414,,0.033,0.031,14.2786,2.658761913,,0.022,0.02,4.606,1.527359801,,0.009,0.007,3.2242,1.170684857,,0.021,0.019,4.3757,1.476066507,,0.006,0.004,1.8424,0.61106907,,0.132,0.13,29.939,3.399161978,,0.031,0.029,13.3574,2.592070538,
369,0.002,0.026,0.024,5.5272,1.709681358,,0.019,0.017,3.9151,1.364840872,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.136,0.134,30.8602,3.429467328,,0.033,0.031,14.2786,2.658761913,,0.022,0.02,4.606,1.527359801,,0.009,0.007,3.2242,1.170684857,,0.02,0.018,4.1454,1.421999286,,0.006,0.004,1.8424,0.61106907,,0.131,0.129,29.7087,3.391439932,,0.031,0.029,13.3574,2.592070538,
370,0.002,0.026,0.024,5.5272,1.709681358,,0.019,0.017,3.9151,1.364840872,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.135,0.133,30.6299,3.421976656,,0.032,0.03,13.818,2.62597209,,0.021,0.019,4.3757,1.476066507,,0.009,0.007,3.2242,1.170684857,,0.02,0.018,4.1454,1.421999286,,0.006,0.004,1.8424,0.61106907,,0.13,0.128,29.4784,3.383657792,,0.03,0.028,12.8968,2.556979219,
371,0.002,0.026,0.024,5.5272,1.709681358,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.134,0.132,30.3996,3.41442945,,0.032,0.03,13.818,2.62597209,,0.021,0.019,4.3757,1.476066507,,0.009,0.007,3.2242,1.170684857,,0.02,0.018,4.1454,1.421999286,,0.006,0.004,1.8424,0.61106907,,0.13,0.128,29.4784,3.383657792,,0.03,0.028,12.8968,2.556979219,
372,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.134,0.132,30.3996,3.41442945,,0.032,0.03,13.818,2.62597209,,0.021,0.019,4.3757,1.476066507,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.006,0.004,1.8424,0.61106907,,0.129,0.127,29.2481,3.375814614,,0.03,0.028,12.8968,2.556979219,
373,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.133,0.131,30.1693,3.406824851,,0.032,0.03,13.818,2.62597209,,0.02,0.018,4.1454,1.421999286,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.006,0.004,1.8424,0.61106907,,0.128,0.126,29.0178,3.367909435,,0.03,0.028,12.8968,2.556979219,
374,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.132,0.13,29.939,3.399161978,,0.032,0.03,13.818,2.62597209,,0.02,0.018,4.1454,1.421999286,,0.008,0.006,2.7636,1.016534178,,0.019,0.017,3.9151,1.364840872,,0.005,0.003,1.3818,0.323386997,,0.127,0.125,28.7875,3.359941265,,0.03,0.028,12.8968,2.556979219,
375,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.132,0.13,29.939,3.399161978,,0.032,0.03,13.818,2.62597209,,0.02,0.018,4.1454,1.421999286,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.005,0.003,1.3818,0.323386997,,0.127,0.125,28.7875,3.359941265,,0.029,0.027,12.4362,2.520611574,
376,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.131,0.129,29.7087,3.391439932,,0.031,0.029,13.3574,2.592070538,,0.02,0.018,4.1454,1.421999286,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.005,0.003,1.3818,0.323386997,,0.126,0.124,28.5572,3.351909093,,0.029,0.027,12.4362,2.520611574,
377,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.13,0.128,29.4784,3.383657792,,0.031,0.029,13.3574,2.592070538,,0.02,0.018,4.1454,1.421999286,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.005,0.003,1.3818,0.323386997,,0.125,0.123,28.3269,3.343811883,,0.029,0.027,12.4362,2.520611574,
378,0.002,0.025,0.023,5.2969,1.667121744,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.129,0.127,29.2481,3.375814614,,0.031,0.029,13.3574,2.592070538,,0.019,0.017,3.9151,1.364840872,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.005,0.003,1.3818,0.323386997,,0.125,0.123,28.3269,3.343811883,,0.029,0.027,12.4362,2.520611574,
379,0.002,0.025,0.023,5.2969,1.667121744,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.019,0.017,3.9151,1.364840872,,0.128,0.126,29.0178,3.367909435,,0.031,0.029,13.3574,2.592070538,,0.019,0.017,3.9151,1.364840872,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.005,0.003,1.3818,0.323386997,,0.124,0.122,28.0966,3.335648573,,0.029,0.027,12.4362,2.520611574,
380,0.002,0.024,0.022,5.0666,1.622669981,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.018,0.016,3.6848,1.30421625,,0.127,0.125,28.7875,3.359941265,,0.03,0.028,12.8968,2.556979219,,0.019,0.017,3.9151,1.364840872,,0.007,0.005,2.303,0.834212621,,0.017,0.015,3.4545,1.239677729,,0.004,0.002,0.9212,-0.082078111,,0.123,0.121,27.8663,3.327418073,,0.028,0.026,11.9756,2.482871246,
381,0.002,0.024,0.022,5.0666,1.622669981,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.018,0.016,3.6848,1.30421625,,0.127,0.125,28.7875,3.359941265,,0.03,0.028,12.8968,2.556979219,,0.018,0.016,3.6848,1.30421625,,0.007,0.005,2.303,0.834212621,,0.016,0.014,3.2242,1.170684857,,0.004,0.002,0.9212,-0.082078111,,0.122,0.12,27.636,3.319119271,,0.028,0.026,11.9756,2.482871246,
382,0.002,0.024,0.022,5.0666,1.622669981,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.018,0.016,3.6848,1.30421625,,0.126,0.124,28.5572,3.351909093,,0.03,0.028,12.8968,2.556979219,,0.018,0.016,3.6848,1.30421625,,0.007,0.005,2.303,0.834212621,,0.016,0.014,3.2242,1.170684857,,0.004,0.002,0.9212,-0.082078111,,0.121,0.119,27.4057,3.310751021,,0.028,0.026,11.9756,2.482871246,
383,0.002,0.024,0.022,5.0666,1.622669981,,0.017,0.015,3.4545,1.239677729,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.125,0.123,28.3269,3.343811883,,0.03,0.028,12.8968,2.556979219,,0.018,0.016,3.6848,1.30421625,,0.007,0.005,2.303,0.834212621,,0.016,0.014,3.2242,1.170684857,,0.004,0.002,0.9212,-0.082078111,,0.121,0.119,27.4057,3.310751021,,0.027,0.025,11.515,2.443650533,
384,0.002,0.024,0.022,5.0666,1.622669981,,0.017,0.015,3.4545,1.239677729,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.124,0.122,28.0966,3.335648573,,0.03,0.028,12.8968,2.556979219,,0.018,0.016,3.6848,1.30421625,,0.007,0.005,2.303,0.834212621,,0.016,0.014,3.2242,1.170684857,,0.004,0.002,0.9212,-0.082078111,,0.12,0.118,27.1754,3.302312152,,0.027,0.025,11.515,2.443650533,
385,0.002,0.024,0.022,5.0666,1.622669981,,0.017,0.015,3.4545,1.239677729,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.123,0.121,27.8663,3.327418073,,0.029,0.027,12.4362,2.520611574,,0.018,0.016,3.6848,1.30421625,,0.007,0.005,2.303,0.834212621,,0.015,0.013,2.9939,1.096576885,,0.004,0.002,0.9212,-0.082078111,,0.119,0.117,26.9451,3.293801463,,0.027,0.025,11.515,2.443650533,
386,0.002,0.023,0.021,4.8363,1.576149966,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.122,0.12,27.636,3.319119271,,0.029,0.027,12.4362,2.520611574,,0.017,0.015,3.4545,1.239677729,,0.007,0.005,2.303,0.834212621,,0.015,0.013,2.9939,1.096576885,,0.004,0.002,0.9212,-0.082078111,,0.119,0.117,26.9451,3.293801463,,0.027,0.025,11.515,2.443650533,
387,0.002,0.023,0.021,4.8363,1.576149966,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.121,0.119,27.4057,3.310751021,,0.029,0.027,12.4362,2.520611574,,0.017,0.015,3.4545,1.239677729,,0.006,0.004,1.8424,0.61106907,,0.015,0.013,2.9939,1.096576885,,0.003,0.001,0.4606,-0.775225292,,0.118,0.116,26.7148,3.285217719,,0.027,0.025,11.515,2.443650533,
388,0.002,0.023,0.021,4.8363,1.576149966,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.121,0.119,27.4057,3.310751021,,0.029,0.027,12.4362,2.520611574,,0.017,0.015,3.4545,1.239677729,,0.006,0.004,1.8424,0.61106907,,0.015,0.013,2.9939,1.096576885,,0.003,0.001,0.4606,-0.775225292,,0.117,0.115,26.4845,3.276559656,,0.026,0.024,11.0544,2.402828539,
389,0.002,0.023,0.021,4.8363,1.576149966,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.018,0.016,3.6848,1.30421625,,0.12,0.118,27.1754,3.302312152,,0.029,0.027,12.4362,2.520611574,,0.016,0.014,3.2242,1.170684857,,0.006,0.004,1.8424,0.61106907,,0.014,0.012,2.7636,1.016534178,,0.003,0.001,0.4606,-0.775225292,,0.116,0.114,26.2542,3.267825976,,0.026,0.024,11.0544,2.402828539,
390,0.002,0.023,0.021,4.8363,1.576149966,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.119,0.117,26.9451,3.293801463,,0.028,0.026,11.9756,2.482871246,,0.016,0.014,3.2242,1.170684857,,0.006,0.004,1.8424,0.61106907,,0.014,0.012,2.7636,1.016534178,,0.003,0.001,0.4606,-0.775225292,,0.115,0.113,26.0239,3.259015347,,0.026,0.024,11.0544,2.402828539,
391,0.002,0.023,0.021,4.8363,1.576149966,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.118,0.116,26.7148,3.285217719,,0.028,0.026,11.9756,2.482871246,,0.016,0.014,3.2242,1.170684857,,0.006,0.004,1.8424,0.61106907,,0.014,0.012,2.7636,1.016534178,,0.003,0.001,0.4606,-0.775225292,,0.115,0.113,26.0239,3.259015347,,0.026,0.024,11.0544,2.402828539,
392,0.002,0.022,0.02,4.606,1.527359801,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.117,0.115,26.4845,3.276559656,,0.028,0.026,11.9756,2.482871246,,0.016,0.014,3.2242,1.170684857,,0.006,0.004,1.8424,0.61106907,,0.013,0.011,2.5333,0.929522801,,0.003,0.001,0.4606,-0.775225292,,0.114,0.112,25.7936,3.250126399,,0.026,0.024,11.0544,2.402828539,
393,0.002,0.022,0.02,4.606,1.527359801,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.116,0.114,26.2542,3.267825976,,0.028,0.026,11.9756,2.482871246,,0.015,0.013,2.9939,1.096576885,,0.006,0.004,1.8424,0.61106907,,0.013,0.011,2.5333,0.929522801,,0.003,0.001,0.4606,-0.775225292,,0.113,0.111,25.5633,3.241157729,,0.025,0.023,10.5938,2.360268924,
394,0.002,0.022,0.02,4.606,1.527359801,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.116,0.114,26.2542,3.267825976,,0.028,0.026,11.9756,2.482871246,,0.015,0.013,2.9939,1.096576885,,0.006,0.004,1.8424,0.61106907,,0.013,0.011,2.5333,0.929522801,,0.003,0.001,0.4606,-0.775225292,,0.113,0.111,25.5633,3.241157729,,0.025,0.023,10.5938,2.360268924,
395,0.002,0.022,0.02,4.606,1.527359801,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.115,0.113,26.0239,3.259015347,,0.028,0.026,11.9756,2.482871246,,0.015,0.013,2.9939,1.096576885,,0.006,0.004,1.8424,0.61106907,,0.013,0.011,2.5333,0.929522801,,0.003,0.001,0.4606,-0.775225292,,0.112,0.11,25.333,3.232107894,,0.025,0.023,10.5938,2.360268924,
396,0.002,0.022,0.02,4.606,1.527359801,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.017,0.015,3.4545,1.239677729,,0.114,0.112,25.7936,3.250126399,,0.027,0.025,11.515,2.443650533,,0.015,0.013,2.9939,1.096576885,,0.006,0.004,1.8424,0.61106907,,0.013,0.011,2.5333,0.929522801,,0.003,0.001,0.4606,-0.775225292,,0.111,0.109,25.1027,3.22297541,,0.025,0.023,10.5938,2.360268924,
397,0.002,0.022,0.02,4.606,1.527359801,,0.015,0.013,2.9939,1.096576885,,0.007,0.005,2.303,0.834212621,,0.017,0.015,3.4545,1.239677729,,0.113,0.111,25.5633,3.241157729,,0.027,0.025,11.515,2.443650533,,0.015,0.013,2.9939,1.096576885,,0.005,0.003,1.3818,0.323386997,,0.012,0.01,2.303,0.834212621,,0.002,0,0,#NUM!,,0.111,0.109,25.1027,3.22297541,,0.025,0.023,10.5938,2.360268924,
398,0.002,0.022,0.02,4.606,1.527359801,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.017,0.015,3.4545,1.239677729,,0.112,0.11,25.333,3.232107894,,0.027,0.025,11.515,2.443650533,,0.014,0.012,2.7636,1.016534178,,0.005,0.003,1.3818,0.323386997,,0.012,0.01,2.303,0.834212621,,0.002,0,0,#NUM!,,0.11,0.108,24.8724,3.213758755,,0.024,0.022,10.1332,2.315817162,
399,0.002,0.022,0.02,4.606,1.527359801,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.017,0.015,3.4545,1.239677729,,0.112,0.11,25.333,3.232107894,,0.027,0.025,11.515,2.443650533,,0.014,0.012,2.7636,1.016534178,,0.005,0.003,1.3818,0.323386997,,0.012,0.01,2.303,0.834212621,,0.002,0,0,#NUM!,,0.109,0.107,24.6421,3.204456362,,0.024,0.022,10.1332,2.315817162,
400,0.002,0.021,0.019,4.3757,1.476066507,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.017,0.015,3.4545,1.239677729,,0.111,0.109,25.1027,3.22297541,,0.027,0.025,11.515,2.443650533,,0.014,0.012,2.7636,1.016534178,,0.005,0.003,1.3818,0.323386997,,0.012,0.01,2.303,0.834212621,,0.002,0,0,#NUM!,,0.109,0.107,24.6421,3.204456362,,0.024,0.022,10.1332,2.315817162,
401,0.002,0.021,0.019,4.3757,1.476066507,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.017,0.015,3.4545,1.239677729,,0.11,0.108,24.8724,3.213758755,,0.026,0.024,11.0544,2.402828539,,0.014,0.012,2.7636,1.016534178,,0.005,0.003,1.3818,0.323386997,,0.011,0.009,2.0727,0.728852105,,0.002,0,0,#NUM!,,0.108,0.106,24.4118,3.195066622,,0.024,0.022,10.1332,2.315817162,
