,Blank,F2Sep19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_5mR1_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_SurfR2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
313,0.002,0.051,0.049,11.2847,2.423447826,,0.032,0.03,13.818,2.62597209,,0.049,0.047,10.8241,2.38177513,,0.023,0.021,9.6726,2.269297146,,0.051,0.049,11.2847,2.423447826,,0.025,0.023,10.5938,2.360268924,,0.156,0.154,35.4662,3.56858013,,0.041,0.039,17.9634,2.888336355,,0.015,0.013,2.9939,1.096576885,,0.007,0.005,2.303,0.834212621,,0.038,0.036,8.2908,2.115146466,,0.016,0.014,6.4484,1.863832038,
314,0.002,0.05,0.048,11.0544,2.402828539,,0.031,0.029,13.3574,2.592070538,,0.049,0.047,10.8241,2.38177513,,0.022,0.02,9.212,2.220506982,,0.05,0.048,11.0544,2.402828539,,0.025,0.023,10.5938,2.360268924,,0.155,0.153,35.2359,3.562065449,,0.041,0.039,17.9634,2.888336355,,0.015,0.013,2.9939,1.096576885,,0.007,0.005,2.303,0.834212621,,0.038,0.036,8.2908,2.115146466,,0.016,0.014,6.4484,1.863832038,
315,0.002,0.05,0.048,11.0544,2.402828539,,0.031,0.029,13.3574,2.592070538,,0.048,0.046,10.5938,2.360268924,,0.022,0.02,9.212,2.220506982,,0.05,0.048,11.0544,2.402828539,,0.025,0.023,10.5938,2.360268924,,0.153,0.151,34.7753,3.548907365,,0.04,0.038,17.5028,2.862360868,,0.015,0.013,2.9939,1.096576885,,0.007,0.005,2.303,0.834212621,,0.037,0.035,8.0605,2.086975589,,0.016,0.014,6.4484,1.863832038,
316,0.002,0.049,0.047,10.8241,2.38177513,,0.031,0.029,13.3574,2.592070538,,0.047,0.045,10.3635,2.338290018,,0.022,0.02,9.212,2.220506982,,0.049,0.047,10.8241,2.38177513,,0.024,0.022,10.1332,2.315817162,,0.152,0.15,34.545,3.542262822,,0.04,0.038,17.5028,2.862360868,,0.015,0.013,2.9939,1.096576885,,0.007,0.005,2.303,0.834212621,,0.037,0.035,8.0605,2.086975589,,0.016,0.014,6.4484,1.863832038,
317,0.002,0.049,0.047,10.8241,2.38177513,,0.031,0.029,13.3574,2.592070538,,0.047,0.045,10.3635,2.338290018,,0.022,0.02,9.212,2.220506982,,0.049,0.047,10.8241,2.38177513,,0.024,0.022,10.1332,2.315817162,,0.151,0.149,34.3147,3.535573834,,0.04,0.038,17.5028,2.862360868,,0.015,0.013,2.9939,1.096576885,,0.007,0.005,2.303,0.834212621,,0.037,0.035,8.0605,2.086975589,,0.016,0.014,6.4484,1.863832038,
318,0.002,0.048,0.046,10.5938,2.360268924,,0.03,0.028,12.8968,2.556979219,,0.046,0.044,10.1332,2.315817162,,0.021,0.019,8.7514,2.169213688,,0.049,0.047,10.8241,2.38177513,,0.024,0.022,10.1332,2.315817162,,0.15,0.148,34.0844,3.528839802,,0.04,0.038,17.5028,2.862360868,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.037,0.035,8.0605,2.086975589,,0.016,0.014,6.4484,1.863832038,
319,0.002,0.048,0.046,10.5938,2.360268924,,0.03,0.028,12.8968,2.556979219,,0.046,0.044,10.1332,2.315817162,,0.021,0.019,8.7514,2.169213688,,0.048,0.046,10.5938,2.360268924,,0.024,0.022,10.1332,2.315817162,,0.149,0.147,33.8541,3.522060115,,0.039,0.037,17.0422,2.835692621,,0.014,0.012,2.7636,1.016534178,,0.006,0.004,1.8424,0.61106907,,0.036,0.034,7.8302,2.057988052,,0.016,0.014,6.4484,1.863832038,
320,0.002,0.048,0.046,10.5938,2.360268924,,0.03,0.028,12.8968,2.556979219,,0.045,0.043,9.9029,2.292827644,,0.021,0.019,8.7514,2.169213688,,0.047,0.045,10.3635,2.338290018,,0.024,0.022,10.1332,2.315817162,,0.148,0.146,33.6238,3.51523415,,0.039,0.037,17.0422,2.835692621,,0.014,0.012,2.7636,1.016534178,,0.006,0.004,1.8424,0.61106907,,0.036,0.034,7.8302,2.057988052,,0.016,0.014,6.4484,1.863832038,
321,0.002,0.047,0.045,10.3635,2.338290018,,0.03,0.028,12.8968,2.556979219,,0.045,0.043,9.9029,2.292827644,,0.021,0.019,8.7514,2.169213688,,0.047,0.045,10.3635,2.338290018,,0.024,0.022,10.1332,2.315817162,,0.147,0.145,33.3935,3.50836127,,0.039,0.037,17.0422,2.835692621,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.036,0.034,7.8302,2.057988052,,0.016,0.014,6.4484,1.863832038,
322,0.002,0.047,0.045,10.3635,2.338290018,,0.029,0.027,12.4362,2.520611574,,0.044,0.042,9.6726,2.269297146,,0.02,0.018,8.2908,2.115146466,,0.047,0.045,10.3635,2.338290018,,0.023,0.021,9.6726,2.269297146,,0.146,0.144,33.1632,3.501440827,,0.038,0.036,16.5816,2.808293647,,0.014,0.012,2.7636,1.016534178,,0.006,0.004,1.8424,0.61106907,,0.036,0.034,7.8302,2.057988052,,0.015,0.013,5.9878,1.789724066,
323,0.001,0.046,0.045,10.3635,2.338290018,,0.029,0.028,12.8968,2.556979219,,0.044,0.043,9.9029,2.292827644,,0.02,0.019,8.7514,2.169213688,,0.046,0.045,10.3635,2.338290018,,0.023,0.022,10.1332,2.315817162,,0.144,0.143,32.9329,3.494472158,,0.038,0.037,17.0422,2.835692621,,0.014,0.013,2.9939,1.096576885,,0.006,0.005,2.303,0.834212621,,0.036,0.035,8.0605,2.086975589,,0.015,0.014,6.4484,1.863832038,
324,0.001,0.046,0.045,10.3635,2.338290018,,0.029,0.028,12.8968,2.556979219,,0.043,0.042,9.6726,2.269297146,,0.02,0.019,8.7514,2.169213688,,0.046,0.045,10.3635,2.338290018,,0.023,0.022,10.1332,2.315817162,,0.143,0.142,32.7026,3.487454585,,0.038,0.037,17.0422,2.835692621,,0.014,0.013,2.9939,1.096576885,,0.006,0.005,2.303,0.834212621,,0.036,0.035,8.0605,2.086975589,,0.015,0.014,6.4484,1.863832038,
325,0.002,0.046,0.044,10.1332,2.315817162,,0.029,0.027,12.4362,2.520611574,,0.043,0.041,9.4423,2.245199595,,0.019,0.017,7.8302,2.057988052,,0.045,0.043,9.9029,2.292827644,,0.023,0.021,9.6726,2.269297146,,0.142,0.14,32.242,3.47326995,,0.038,0.036,16.5816,2.808293647,,0.014,0.012,2.7636,1.016534178,,0.006,0.004,1.8424,0.61106907,,0.036,0.034,7.8302,2.057988052,,0.015,0.013,5.9878,1.789724066,
326,0.001,0.046,0.045,10.3635,2.338290018,,0.029,0.028,12.8968,2.556979219,,0.042,0.041,9.4423,2.245199595,,0.019,0.018,8.2908,2.115146466,,0.045,0.044,10.1332,2.315817162,,0.022,0.021,9.6726,2.269297146,,0.141,0.14,32.242,3.47326995,,0.037,0.036,16.5816,2.808293647,,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.035,0.034,7.8302,2.057988052,,0.015,0.014,6.4484,1.863832038,
327,0.002,0.045,0.043,9.9029,2.292827644,,0.029,0.027,12.4362,2.520611574,,0.042,0.04,9.212,2.220506982,,0.019,0.017,7.8302,2.057988052,,0.044,0.042,9.6726,2.269297146,,0.022,0.02,9.212,2.220506982,,0.14,0.138,31.7814,3.458881213,,0.037,0.035,16.121,2.78012277,,0.013,0.011,2.5333,0.929522801,,0.006,0.004,1.8424,0.61106907,,0.035,0.033,7.5999,2.028135089,,0.015,0.013,5.9878,1.789724066,
328,0.001,0.045,0.044,10.1332,2.315817162,,0.028,0.027,12.4362,2.520611574,,0.041,0.04,9.212,2.220506982,,0.018,0.017,7.8302,2.057988052,,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.139,0.138,31.7814,3.458881213,,0.037,0.036,16.5816,2.808293647,,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.035,0.034,7.8302,2.057988052,,0.015,0.014,6.4484,1.863832038,
329,0.001,0.045,0.044,10.1332,2.315817162,,0.028,0.027,12.4362,2.520611574,,0.041,0.04,9.212,2.220506982,,0.018,0.017,7.8302,2.057988052,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.138,0.137,31.5511,3.451608454,,0.036,0.035,16.121,2.78012277,,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,
330,0.001,0.044,0.043,9.9029,2.292827644,,0.028,0.027,12.4362,2.520611574,,0.04,0.039,8.9817,2.195189174,,0.018,0.017,7.8302,2.057988052,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.137,0.136,31.3208,3.444282414,,0.036,0.035,16.121,2.78012277,,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,
331,0.001,0.044,0.043,9.9029,2.292827644,,0.028,0.027,12.4362,2.520611574,,0.04,0.039,8.9817,2.195189174,,0.018,0.017,7.8302,2.057988052,,0.043,0.042,9.6726,2.269297146,,0.021,0.02,9.212,2.220506982,,0.136,0.135,31.0905,3.436902306,,0.036,0.035,16.121,2.78012277,,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,
332,0.001,0.044,0.043,9.9029,2.292827644,,0.028,0.027,12.4362,2.520611574,,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.135,0.134,30.8602,3.429467328,,0.036,0.035,16.121,2.78012277,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,
333,0.001,0.043,0.042,9.6726,2.269297146,,0.028,0.027,12.4362,2.520611574,,0.039,0.038,8.7514,2.169213688,,0.017,0.016,7.3696,1.997363431,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.135,0.134,30.8602,3.429467328,,0.036,0.035,16.121,2.78012277,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,
334,0.001,0.043,0.042,9.6726,2.269297146,,0.027,0.026,11.9756,2.482871246,,0.038,0.037,8.5211,2.14254544,,0.017,0.016,7.3696,1.997363431,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.134,0.133,30.6299,3.421976656,,0.036,0.035,16.121,2.78012277,,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,
335,0.001,0.043,0.042,9.6726,2.269297146,,0.027,0.026,11.9756,2.482871246,,0.038,0.037,8.5211,2.14254544,,0.017,0.016,7.3696,1.997363431,,0.041,0.04,9.212,2.220506982,,0.021,0.02,9.212,2.220506982,,0.133,0.132,30.3996,3.41442945,,0.035,0.034,15.6604,2.751135233,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,
336,0.001,0.043,0.042,9.6726,2.269297146,,0.027,0.026,11.9756,2.482871246,,0.038,0.037,8.5211,2.14254544,,0.017,0.016,7.3696,1.997363431,,0.041,0.04,9.212,2.220506982,,0.02,0.019,8.7514,2.169213688,,0.132,0.131,30.1693,3.406824851,,0.035,0.034,15.6604,2.751135233,,0.012,0.011,2.5333,0.929522801,,0.005,0.004,1.8424,0.61106907,,0.033,0.032,7.3696,1.997363431,,0.014,0.013,5.9878,1.789724066,
337,0.001,0.042,0.041,9.4423,2.245199595,,0.027,0.026,11.9756,2.482871246,,0.037,0.036,8.2908,2.115146466,,0.016,0.015,6.909,1.93282491,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.131,0.13,29.939,3.399161978,,0.035,0.034,15.6604,2.751135233,,0.012,0.011,2.5333,0.929522801,,0.005,0.004,1.8424,0.61106907,,0.033,0.032,7.3696,1.997363431,,0.014,0.013,5.9878,1.789724066,
338,0.001,0.042,0.041,9.4423,2.245199595,,0.027,0.026,11.9756,2.482871246,,0.037,0.036,8.2908,2.115146466,,0.016,0.015,6.909,1.93282491,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.13,0.129,29.7087,3.391439932,,0.034,0.033,15.1998,2.72128227,,0.012,0.011,2.5333,0.929522801,,0.005,0.004,1.8424,0.61106907,,0.033,0.032,7.3696,1.997363431,,0.014,0.013,5.9878,1.789724066,
339,0.002,0.042,0.04,9.212,2.220506982,,0.027,0.025,11.515,2.443650533,,0.037,0.035,8.0605,2.086975589,,0.017,0.015,6.909,1.93282491,,0.04,0.038,8.7514,2.169213688,,0.02,0.018,8.2908,2.115146466,,0.129,0.127,29.2481,3.375814614,,0.034,0.032,14.7392,2.690510611,,0.012,0.01,2.303,0.834212621,,0.006,0.004,1.8424,0.61106907,,0.033,0.031,7.1393,1.965614732,,0.015,0.013,5.9878,1.789724066,
340,0.003,0.043,0.04,9.212,2.220506982,,0.027,0.024,11.0544,2.402828539,,0.038,0.035,8.0605,2.086975589,,0.018,0.015,6.909,1.93282491,,0.041,0.038,8.7514,2.169213688,,0.021,0.018,8.2908,2.115146466,,0.13,0.127,29.2481,3.375814614,,0.035,0.032,14.7392,2.690510611,,0.013,0.01,2.303,0.834212621,,0.007,0.004,1.8424,0.61106907,,0.034,0.031,7.1393,1.965614732,,0.016,0.013,5.9878,1.789724066,
341,0.002,0.042,0.04,9.212,2.220506982,,0.025,0.023,10.5938,2.360268924,,0.036,0.034,7.8302,2.057988052,,0.016,0.014,6.4484,1.863832038,,0.039,0.037,8.5211,2.14254544,,0.02,0.018,8.2908,2.115146466,,0.127,0.125,28.7875,3.359941265,,0.033,0.031,14.2786,2.658761913,,0.012,0.01,2.303,0.834212621,,0.005,0.003,1.3818,0.323386997,,0.031,0.029,6.6787,1.898923358,,0.014,0.012,5.5272,1.709681358,
342,0.001,0.041,0.04,9.212,2.220506982,,0.024,0.023,10.5938,2.360268924,,0.035,0.034,7.8302,2.057988052,,0.015,0.014,6.4484,1.863832038,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.126,0.125,28.7875,3.359941265,,0.033,0.032,14.7392,2.690510611,,0.012,0.011,2.5333,0.929522801,,0.005,0.004,1.8424,0.61106907,,0.031,0.03,6.909,1.93282491,,0.014,0.013,5.9878,1.789724066,
343,0.001,0.041,0.04,9.212,2.220506982,,0.024,0.023,10.5938,2.360268924,,0.035,0.034,7.8302,2.057988052,,0.015,0.014,6.4484,1.863832038,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.125,0.124,28.5572,3.351909093,,0.033,0.032,14.7392,2.690510611,,0.012,0.011,2.5333,0.929522801,,0.005,0.004,1.8424,0.61106907,,0.031,0.03,6.909,1.93282491,,0.014,0.013,5.9878,1.789724066,
344,0.001,0.041,0.04,9.212,2.220506982,,0.024,0.023,10.5938,2.360268924,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.124,0.123,28.3269,3.343811883,,0.033,0.032,14.7392,2.690510611,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.031,0.03,6.909,1.93282491,,0.014,0.013,5.9878,1.789724066,
345,0.001,0.04,0.039,8.9817,2.195189174,,0.024,0.023,10.5938,2.360268924,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.124,0.123,28.3269,3.343811883,,0.032,0.031,14.2786,2.658761913,,0.012,0.011,2.5333,0.929522801,,0.005,0.004,1.8424,0.61106907,,0.031,0.03,6.909,1.93282491,,0.014,0.013,5.9878,1.789724066,
346,0.001,0.04,0.039,8.9817,2.195189174,,0.024,0.023,10.5938,2.360268924,,0.034,0.033,7.5999,2.028135089,,0.015,0.014,6.4484,1.863832038,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.123,0.122,28.0966,3.335648573,,0.032,0.031,14.2786,2.658761913,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.031,0.03,6.909,1.93282491,,0.013,0.012,5.5272,1.709681358,
347,0.001,0.04,0.039,8.9817,2.195189174,,0.023,0.022,10.1332,2.315817162,,0.033,0.032,7.3696,1.997363431,,0.014,0.013,5.9878,1.789724066,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,,0.122,0.121,27.8663,3.327418073,,0.032,0.031,14.2786,2.658761913,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,
348,0.001,0.04,0.039,8.9817,2.195189174,,0.023,0.022,10.1332,2.315817162,,0.033,0.032,7.3696,1.997363431,,0.014,0.013,5.9878,1.789724066,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,,0.121,0.12,27.636,3.319119271,,0.032,0.031,14.2786,2.658761913,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.031,0.03,6.909,1.93282491,,0.013,0.012,5.5272,1.709681358,
349,0.001,0.039,0.038,8.7514,2.169213688,,0.023,0.022,10.1332,2.315817162,,0.032,0.031,7.1393,1.965614732,,0.014,0.013,5.9878,1.789724066,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,,0.12,0.119,27.4057,3.310751021,,0.031,0.03,13.818,2.62597209,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,
350,0.001,0.039,0.038,8.7514,2.169213688,,0.023,0.022,10.1332,2.315817162,,0.032,0.031,7.1393,1.965614732,,0.014,0.013,5.9878,1.789724066,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.119,0.118,27.1754,3.302312152,,0.031,0.03,13.818,2.62597209,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,
351,0.001,0.039,0.038,8.7514,2.169213688,,0.023,0.022,10.1332,2.315817162,,0.032,0.031,7.1393,1.965614732,,0.014,0.013,5.9878,1.789724066,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.118,0.117,26.9451,3.293801463,,0.031,0.03,13.818,2.62597209,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,
352,0.001,0.039,0.038,8.7514,2.169213688,,0.023,0.022,10.1332,2.315817162,,0.031,0.03,6.909,1.93282491,,0.013,0.012,5.5272,1.709681358,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.118,0.117,26.9451,3.293801463,,0.03,0.029,13.3574,2.592070538,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,
353,0.001,0.038,0.037,8.5211,2.14254544,,0.023,0.022,10.1332,2.315817162,,0.031,0.03,6.909,1.93282491,,0.013,0.012,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,,0.117,0.116,26.7148,3.285217719,,0.03,0.029,13.3574,2.592070538,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,
354,0.001,0.038,0.037,8.5211,2.14254544,,0.022,0.021,9.6726,2.269297146,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,,0.116,0.115,26.4845,3.276559656,,0.03,0.029,13.3574,2.592070538,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,
355,0.001,0.038,0.037,8.5211,2.14254544,,0.022,0.021,9.6726,2.269297146,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,,0.115,0.114,26.2542,3.267825976,,0.03,0.029,13.3574,2.592070538,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,
356,0.001,0.037,0.036,8.2908,2.115146466,,0.022,0.021,9.6726,2.269297146,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,,0.114,0.113,26.0239,3.259015347,,0.03,0.029,13.3574,2.592070538,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,
357,0.001,0.037,0.036,8.2908,2.115146466,,0.022,0.021,9.6726,2.269297146,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,,0.114,0.113,26.0239,3.259015347,,0.029,0.028,12.8968,2.556979219,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,
358,0.001,0.037,0.036,8.2908,2.115146466,,0.022,0.021,9.6726,2.269297146,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,,0.113,0.112,25.7936,3.250126399,,0.029,0.028,12.8968,2.556979219,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,
359,0.001,0.037,0.036,8.2908,2.115146466,,0.022,0.021,9.6726,2.269297146,,0.029,0.028,6.4484,1.863832038,,0.012,0.011,5.0666,1.622669981,,0.034,0.033,7.5999,2.028135089,,0.016,0.015,6.909,1.93282491,,0.112,0.111,25.5633,3.241157729,,0.029,0.028,12.8968,2.556979219,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,
360,0.001,0.036,0.035,8.0605,2.086975589,,0.021,0.02,9.212,2.220506982,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.034,0.033,7.5999,2.028135089,,0.016,0.015,6.909,1.93282491,,0.111,0.11,25.333,3.232107894,,0.029,0.028,12.8968,2.556979219,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
361,0.001,0.036,0.035,8.0605,2.086975589,,0.021,0.02,9.212,2.220506982,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.034,0.033,7.5999,2.028135089,,0.016,0.015,6.909,1.93282491,,0.11,0.109,25.1027,3.22297541,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
362,0.001,0.036,0.035,8.0605,2.086975589,,0.021,0.02,9.212,2.220506982,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.034,0.033,7.5999,2.028135089,,0.016,0.015,6.909,1.93282491,,0.11,0.109,25.1027,3.22297541,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.028,0.027,6.2181,1.827464394,,0.013,0.012,5.5272,1.709681358,
363,0.001,0.036,0.035,8.0605,2.086975589,,0.021,0.02,9.212,2.220506982,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,6.909,1.93282491,,0.109,0.108,24.8724,3.213758755,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
364,0.001,0.036,0.035,8.0605,2.086975589,,0.02,0.019,8.7514,2.169213688,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,6.909,1.93282491,,0.108,0.107,24.6421,3.204456362,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
365,0.001,0.036,0.035,8.0605,2.086975589,,0.02,0.019,8.7514,2.169213688,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,6.909,1.93282491,,0.107,0.106,24.4118,3.195066622,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
366,0.001,0.036,0.035,8.0605,2.086975589,,0.02,0.019,8.7514,2.169213688,,0.027,0.026,5.9878,1.789724066,,0.011,0.01,4.606,1.527359801,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,6.909,1.93282491,,0.106,0.105,24.1815,3.185587878,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
367,0.001,0.035,0.034,7.8302,2.057988052,,0.02,0.019,8.7514,2.169213688,,0.026,0.025,5.7575,1.750503353,,0.011,0.01,4.606,1.527359801,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,6.909,1.93282491,,0.106,0.105,24.1815,3.185587878,,0.028,0.027,12.4362,2.520611574,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,
