,Blank,F2Sep19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_5mR1_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_SurfR2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
200,0.012,0.188,0.176,40.5328,3.702111523,,0.104,0.092,42.3752,3.746563285,,0.292,0.28,64.484,4.166417131,,0.149,0.137,63.1022,4.144755634,,0.275,0.263,60.5689,4.10378156,,0.146,0.134,61.7204,4.122614508,,0.331,0.319,73.4657,4.296818631,,0.093,0.081,37.3086,3.619223863,,0.094,0.082,18.8846,2.938346775,,0.05,0.038,17.5028,2.862360868,,0.131,0.119,27.4057,3.310751021,,0.067,0.055,25.333,3.232107894,
201,0.011,0.178,0.167,38.4601,3.64962134,,0.099,0.088,40.5328,3.702111523,,0.278,0.267,61.4901,4.118876186,,0.141,0.13,59.878,4.092309159,,0.264,0.253,58.2659,4.065017017,,0.139,0.128,58.9568,4.076804972,,0.323,0.312,71.8536,4.274630716,,0.089,0.078,35.9268,3.581483535,,0.086,0.075,17.2725,2.849115641,,0.045,0.034,15.6604,2.751135233,,0.124,0.113,26.0239,3.259015347,,0.062,0.051,23.4906,3.156600341,
202,0.009,0.17,0.161,37.0783,3.613031893,,0.095,0.086,39.6116,3.679122005,,0.265,0.256,58.9568,4.076804972,,0.133,0.124,57.1144,4.045056274,,0.252,0.243,55.9629,4.024688971,,0.131,0.122,56.1932,4.028795753,,0.316,0.307,70.7021,4.258475275,,0.085,0.076,35.0056,3.555508049,,0.08,0.071,16.3513,2.794307405,,0.041,0.032,14.7392,2.690510611,,0.117,0.108,24.8724,3.213758755,,0.058,0.049,22.5694,3.116595007,
203,0.009,0.163,0.154,35.4662,3.56858013,,0.092,0.083,38.2298,3.643615316,,0.254,0.245,56.4235,4.032885738,,0.127,0.118,54.3508,3.995459333,,0.242,0.233,53.6599,3.982665981,,0.126,0.117,53.8902,3.986948643,,0.31,0.301,69.3203,4.238737793,,0.083,0.074,34.0844,3.528839802,,0.075,0.066,15.1998,2.72128227,,0.039,0.03,13.818,2.62597209,,0.112,0.103,23.7209,3.166356516,,0.055,0.046,21.1876,3.053416105,
204,0.009,0.157,0.148,34.0844,3.528839802,,0.089,0.08,36.848,3.606801343,,0.243,0.234,53.8902,3.986948643,,0.12,0.111,51.1266,3.93430491,,0.232,0.223,51.3569,3.938799299,,0.12,0.111,51.1266,3.93430491,,0.305,0.296,68.1688,4.221986982,,0.08,0.071,32.7026,3.487454585,,0.071,0.062,14.2786,2.658761913,,0.036,0.027,12.4362,2.520611574,,0.107,0.098,22.5694,3.116595007,,0.053,0.044,20.2664,3.008964342,
205,0.008,0.151,0.143,32.9329,3.494472158,,0.086,0.078,35.9268,3.581483535,,0.232,0.224,51.5872,3.94327358,,0.114,0.106,48.8236,3.888213803,,0.224,0.216,49.7448,3.906905936,,0.115,0.107,49.2842,3.897603543,,0.3,0.292,67.2476,4.20838133,,0.078,0.07,32.242,3.47326995,,0.068,0.06,13.818,2.62597209,,0.034,0.026,11.9756,2.482871246,,0.103,0.095,21.8785,3.085504419,,0.05,0.042,19.3452,2.962444327,
206,0.008,0.147,0.139,32.0117,3.466101461,,0.084,0.076,35.0056,3.555508049,,0.224,0.216,49.7448,3.906905936,,0.11,0.102,46.9812,3.849747522,,0.216,0.208,47.9024,3.869165608,,0.112,0.104,47.9024,3.869165608,,0.297,0.289,66.5567,4.198054216,,0.077,0.069,31.7814,3.458881213,,0.065,0.057,13.1271,2.574678796,,0.033,0.025,11.515,2.443650533,,0.099,0.091,20.9573,3.042487034,,0.049,0.041,18.8846,2.938346775,
207,0.008,0.143,0.135,31.0905,3.436902306,,0.082,0.074,34.0844,3.528839802,,0.216,0.208,47.9024,3.869165608,,0.106,0.098,45.1388,3.809742187,,0.21,0.202,46.5206,3.839895225,,0.108,0.1,46.06,3.829944894,,0.293,0.285,65.6355,4.184116708,,0.076,0.068,31.3208,3.444282414,,0.063,0.055,12.6665,2.538960713,,0.032,0.024,11.0544,2.402828539,,0.097,0.089,20.4967,3.020263898,,0.047,0.039,17.9634,2.888336355,
208,0.008,0.14,0.132,30.3996,3.41442945,,0.08,0.072,33.1632,3.501440827,,0.209,0.201,46.2903,3.834932436,,0.103,0.095,43.757,3.7786516,,0.204,0.196,45.1388,3.809742187,,0.105,0.097,44.6782,3.799485687,,0.291,0.283,65.1749,4.177074425,,0.076,0.068,31.3208,3.444282414,,0.061,0.053,12.2059,2.501919441,,0.031,0.023,10.5938,2.360268924,,0.094,0.086,19.8058,2.985974824,,0.046,0.038,17.5028,2.862360868,
209,0.007,0.136,0.129,29.7087,3.391439932,,0.078,0.071,32.7026,3.487454585,,0.202,0.195,44.9085,3.804627086,,0.099,0.092,42.3752,3.746563285,,0.198,0.191,43.9873,3.783900956,,0.102,0.095,43.757,3.7786516,,0.288,0.281,64.7143,4.169982197,,0.074,0.067,30.8602,3.429467328,,0.058,0.051,11.7453,2.463453161,,0.029,0.022,10.1332,2.315817162,,0.092,0.085,19.5755,2.974278784,,0.045,0.038,17.5028,2.862360868,
