,Blank,F3Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
225,0.001,0.064,0.063,14.5089,2.674762254,,0.115,0.114,26.2542,3.267825976,,0.05,0.049,22.5694,3.116595007,,0.061,0.06,13.818,2.62597209,,0.031,0.03,13.818,2.62597209,,0.061,0.06,13.818,2.62597209,,0.083,0.082,18.8846,2.938346775,,0.045,0.044,20.2664,3.008964342,
226,0.001,0.062,0.061,14.0483,2.642501392,,0.113,0.112,25.7936,3.250126399,,0.05,0.049,22.5694,3.116595007,,0.06,0.059,13.5877,2.609164972,,0.031,0.03,13.818,2.62597209,,0.06,0.059,13.5877,2.609164972,,0.082,0.081,18.6543,2.926076683,,0.044,0.043,19.8058,2.985974824,
227,0.001,0.06,0.059,13.5877,2.609164972,,0.111,0.11,25.333,3.232107894,,0.049,0.048,22.1088,3.095975719,,0.059,0.058,13.3574,2.592070538,,0.03,0.029,13.3574,2.592070538,,0.059,0.058,13.3574,2.592070538,,0.081,0.08,18.424,2.913654163,,0.044,0.043,19.8058,2.985974824,
228,0.001,0.058,0.057,13.1271,2.574678796,,0.11,0.109,25.1027,3.22297541,,0.048,0.047,21.6482,3.07492231,,0.058,0.057,13.1271,2.574678796,,0.03,0.029,13.3574,2.592070538,,0.058,0.057,13.1271,2.574678796,,0.079,0.078,17.9634,2.888336355,,0.043,0.042,19.3452,2.962444327,
229,0.001,0.056,0.055,12.6665,2.538960713,,0.108,0.107,24.6421,3.204456362,,0.047,0.046,21.1876,3.053416105,,0.057,0.056,12.8968,2.556979219,,0.029,0.028,12.8968,2.556979219,,0.057,0.056,12.8968,2.556979219,,0.078,0.077,17.7331,2.87543295,,0.043,0.042,19.3452,2.962444327,
230,0.001,0.055,0.054,12.4362,2.520611574,,0.106,0.105,24.1815,3.185587878,,0.047,0.046,21.1876,3.053416105,,0.056,0.055,12.6665,2.538960713,,0.029,0.028,12.8968,2.556979219,,0.056,0.055,12.6665,2.538960713,,0.077,0.076,17.5028,2.862360868,,0.042,0.041,18.8846,2.938346775,
231,0.001,0.053,0.052,11.9756,2.482871246,,0.105,0.104,23.9512,3.176018427,,0.046,0.045,20.727,3.031437198,,0.055,0.054,12.4362,2.520611574,,0.028,0.027,12.4362,2.520611574,,0.055,0.054,12.4362,2.520611574,,0.076,0.075,17.2725,2.849115641,,0.041,0.04,18.424,2.913654163,
232,0.001,0.052,0.051,11.7453,2.463453161,,0.104,0.103,23.7209,3.166356516,,0.046,0.045,20.727,3.031437198,,0.054,0.053,12.2059,2.501919441,,0.028,0.027,12.4362,2.520611574,,0.055,0.054,12.4362,2.520611574,,0.075,0.074,17.0422,2.835692621,,0.041,0.04,18.424,2.913654163,
233,0.001,0.051,0.05,11.515,2.443650533,,0.103,0.102,23.4906,3.156600341,,0.045,0.044,20.2664,3.008964342,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,,0.054,0.053,12.2059,2.501919441,,0.074,0.073,16.8119,2.822086969,,0.04,0.039,17.9634,2.888336355,
234,0.001,0.05,0.049,11.2847,2.423447826,,0.102,0.101,23.2603,3.146748045,,0.045,0.044,20.2664,3.008964342,,0.053,0.052,11.9756,2.482871246,,0.027,0.026,11.9756,2.482871246,,0.053,0.052,11.9756,2.482871246,,0.073,0.072,16.5816,2.808293647,,0.04,0.039,17.9634,2.888336355,
