,Blank,F3Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
263,0.001,0.037,0.036,8.2908,2.115146466,,0.083,0.082,18.8846,2.938346775,,0.035,0.034,15.6604,2.751135233,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.042,0.041,9.4423,2.245199595,,0.057,0.056,12.8968,2.556979219,,0.03,0.029,13.3574,2.592070538,
264,0.001,0.037,0.036,8.2908,2.115146466,,0.082,0.081,18.6543,2.926076683,,0.035,0.034,15.6604,2.751135233,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.041,0.04,9.212,2.220506982,,0.056,0.055,12.6665,2.538960713,,0.03,0.029,13.3574,2.592070538,
265,0.001,0.037,0.036,8.2908,2.115146466,,0.082,0.081,18.6543,2.926076683,,0.034,0.033,15.1998,2.72128227,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.041,0.04,9.212,2.220506982,,0.056,0.055,12.6665,2.538960713,,0.03,0.029,13.3574,2.592070538,
266,0.001,0.037,0.036,8.2908,2.115146466,,0.081,0.08,18.424,2.913654163,,0.034,0.033,15.1998,2.72128227,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.041,0.04,9.212,2.220506982,,0.055,0.054,12.4362,2.520611574,,0.03,0.029,13.3574,2.592070538,
267,0.001,0.036,0.035,8.0605,2.086975589,,0.081,0.08,18.424,2.913654163,,0.034,0.033,15.1998,2.72128227,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.041,0.04,9.212,2.220506982,,0.055,0.054,12.4362,2.520611574,,0.03,0.029,13.3574,2.592070538,
268,0.001,0.036,0.035,8.0605,2.086975589,,0.08,0.079,18.1937,2.90107538,,0.034,0.033,15.1998,2.72128227,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.04,0.039,8.9817,2.195189174,,0.054,0.053,12.2059,2.501919441,,0.029,0.028,12.8968,2.556979219,
269,0.001,0.036,0.035,8.0605,2.086975589,,0.08,0.079,18.1937,2.90107538,,0.033,0.032,14.7392,2.690510611,,0.041,0.04,9.212,2.220506982,,0.021,0.02,9.212,2.220506982,,0.04,0.039,8.9817,2.195189174,,0.054,0.053,12.2059,2.501919441,,0.029,0.028,12.8968,2.556979219,
270,0.001,0.036,0.035,8.0605,2.086975589,,0.079,0.078,17.9634,2.888336355,,0.033,0.032,14.7392,2.690510611,,0.041,0.04,9.212,2.220506982,,0.021,0.02,9.212,2.220506982,,0.04,0.039,8.9817,2.195189174,,0.054,0.053,12.2059,2.501919441,,0.029,0.028,12.8968,2.556979219,
271,0.001,0.035,0.034,7.8302,2.057988052,,0.079,0.078,17.9634,2.888336355,,0.033,0.032,14.7392,2.690510611,,0.041,0.04,9.212,2.220506982,,0.021,0.02,9.212,2.220506982,,0.039,0.038,8.7514,2.169213688,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,
272,0.001,0.035,0.034,7.8302,2.057988052,,0.078,0.077,17.7331,2.87543295,,0.033,0.032,14.7392,2.690510611,,0.041,0.04,9.212,2.220506982,,0.021,0.02,9.212,2.220506982,,0.039,0.038,8.7514,2.169213688,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,
273,0.001,0.035,0.034,7.8302,2.057988052,,0.078,0.077,17.7331,2.87543295,,0.033,0.032,14.7392,2.690510611,,0.04,0.039,8.9817,2.195189174,,0.021,0.02,9.212,2.220506982,,0.039,0.038,8.7514,2.169213688,,0.052,0.051,11.7453,2.463453161,,0.028,0.027,12.4362,2.520611574,
274,0.001,0.035,0.034,7.8302,2.057988052,,0.077,0.076,17.5028,2.862360868,,0.032,0.031,14.2786,2.658761913,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.038,0.037,8.5211,2.14254544,,0.052,0.051,11.7453,2.463453161,,0.028,0.027,12.4362,2.520611574,
275,0.001,0.034,0.033,7.5999,2.028135089,,0.076,0.075,17.2725,2.849115641,,0.032,0.031,14.2786,2.658761913,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.038,0.037,8.5211,2.14254544,,0.051,0.05,11.515,2.443650533,,0.028,0.027,12.4362,2.520611574,
276,0.001,0.034,0.033,7.5999,2.028135089,,0.076,0.075,17.2725,2.849115641,,0.032,0.031,14.2786,2.658761913,,0.039,0.038,8.7514,2.169213688,,0.02,0.019,8.7514,2.169213688,,0.038,0.037,8.5211,2.14254544,,0.051,0.05,11.515,2.443650533,,0.027,0.026,11.9756,2.482871246,
277,0.001,0.034,0.033,7.5999,2.028135089,,0.075,0.074,17.0422,2.835692621,,0.031,0.03,13.818,2.62597209,,0.039,0.038,8.7514,2.169213688,,0.02,0.019,8.7514,2.169213688,,0.037,0.036,8.2908,2.115146466,,0.05,0.049,11.2847,2.423447826,,0.027,0.026,11.9756,2.482871246,
278,0.001,0.033,0.032,7.3696,1.997363431,,0.075,0.074,17.0422,2.835692621,,0.031,0.03,13.818,2.62597209,,0.039,0.038,8.7514,2.169213688,,0.02,0.019,8.7514,2.169213688,,0.037,0.036,8.2908,2.115146466,,0.05,0.049,11.2847,2.423447826,,0.027,0.026,11.9756,2.482871246,
279,0.001,0.033,0.032,7.3696,1.997363431,,0.074,0.073,16.8119,2.822086969,,0.031,0.03,13.818,2.62597209,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.037,0.036,8.2908,2.115146466,,0.049,0.048,11.0544,2.402828539,,0.026,0.025,11.515,2.443650533,
280,0.001,0.033,0.032,7.3696,1.997363431,,0.074,0.073,16.8119,2.822086969,,0.031,0.03,13.818,2.62597209,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.036,0.035,8.0605,2.086975589,,0.049,0.048,11.0544,2.402828539,,0.026,0.025,11.515,2.443650533,
281,0.001,0.032,0.031,7.1393,1.965614732,,0.073,0.072,16.5816,2.808293647,,0.03,0.029,13.3574,2.592070538,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.036,0.035,8.0605,2.086975589,,0.048,0.047,10.8241,2.38177513,,0.026,0.025,11.515,2.443650533,
282,0.001,0.032,0.031,7.1393,1.965614732,,0.073,0.072,16.5816,2.808293647,,0.03,0.029,13.3574,2.592070538,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.035,0.034,7.8302,2.057988052,,0.047,0.046,10.5938,2.360268924,,0.025,0.024,11.0544,2.402828539,
283,0.001,0.032,0.031,7.1393,1.965614732,,0.072,0.071,16.3513,2.794307405,,0.03,0.029,13.3574,2.592070538,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.035,0.034,7.8302,2.057988052,,0.047,0.046,10.5938,2.360268924,,0.025,0.024,11.0544,2.402828539,
284,0.001,0.031,0.03,6.909,1.93282491,,0.072,0.071,16.3513,2.794307405,,0.03,0.029,13.3574,2.592070538,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.034,0.033,7.5999,2.028135089,,0.046,0.045,10.3635,2.338290018,,0.025,0.024,11.0544,2.402828539,
285,0.001,0.031,0.03,6.909,1.93282491,,0.071,0.07,16.121,2.78012277,,0.029,0.028,12.8968,2.556979219,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.034,0.033,7.5999,2.028135089,,0.046,0.045,10.3635,2.338290018,,0.024,0.023,10.5938,2.360268924,
286,0.001,0.031,0.03,6.909,1.93282491,,0.07,0.069,15.8907,2.765734032,,0.029,0.028,12.8968,2.556979219,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.034,0.033,7.5999,2.028135089,,0.045,0.044,10.1332,2.315817162,,0.024,0.023,10.5938,2.360268924,
287,0.001,0.03,0.029,6.6787,1.898923358,,0.07,0.069,15.8907,2.765734032,,0.029,0.028,12.8968,2.556979219,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.033,0.032,7.3696,1.997363431,,0.044,0.043,9.9029,2.292827644,,0.024,0.023,10.5938,2.360268924,
288,0.001,0.03,0.029,6.6787,1.898923358,,0.069,0.068,15.6604,2.751135233,,0.028,0.027,12.4362,2.520611574,,0.034,0.033,7.5999,2.028135089,,0.018,0.017,7.8302,2.057988052,,0.033,0.032,7.3696,1.997363431,,0.044,0.043,9.9029,2.292827644,,0.023,0.022,10.1332,2.315817162,
289,0.001,0.03,0.029,6.6787,1.898923358,,0.069,0.068,15.6604,2.751135233,,0.028,0.027,12.4362,2.520611574,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.032,0.031,7.1393,1.965614732,,0.043,0.042,9.6726,2.269297146,,0.023,0.022,10.1332,2.315817162,
290,0.001,0.029,0.028,6.4484,1.863832038,,0.068,0.067,15.4301,2.736320147,,0.028,0.027,12.4362,2.520611574,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.032,0.031,7.1393,1.965614732,,0.042,0.041,9.4423,2.245199595,,0.023,0.022,10.1332,2.315817162,
291,0.001,0.029,0.028,6.4484,1.863832038,,0.068,0.067,15.4301,2.736320147,,0.028,0.027,12.4362,2.520611574,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.031,0.03,6.909,1.93282491,,0.042,0.041,9.4423,2.245199595,,0.022,0.021,9.6726,2.269297146,
292,0.001,0.029,0.028,6.4484,1.863832038,,0.067,0.066,15.1998,2.72128227,,0.028,0.027,12.4362,2.520611574,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.031,0.03,6.909,1.93282491,,0.042,0.041,9.4423,2.245199595,,0.022,0.021,9.6726,2.269297146,
293,0.001,0.029,0.028,6.4484,1.863832038,,0.067,0.066,15.1998,2.72128227,,0.027,0.026,11.9756,2.482871246,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.041,0.04,9.212,2.220506982,,0.022,0.021,9.6726,2.269297146,
294,0,0.028,0.028,6.4484,1.863832038,,0.066,0.066,15.1998,2.72128227,,0.027,0.027,12.4362,2.520611574,,0.032,0.032,7.3696,1.997363431,,0.016,0.016,7.3696,1.997363431,,0.03,0.03,6.909,1.93282491,,0.04,0.04,9.212,2.220506982,,0.022,0.022,10.1332,2.315817162,
295,0,0.028,0.028,6.4484,1.863832038,,0.065,0.065,14.9695,2.706014798,,0.027,0.027,12.4362,2.520611574,,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,0.029,0.029,6.6787,1.898923358,,0.04,0.04,9.212,2.220506982,,0.021,0.021,9.6726,2.269297146,
296,0,0.028,0.028,6.4484,1.863832038,,0.065,0.065,14.9695,2.706014798,,0.026,0.026,11.9756,2.482871246,,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,0.029,0.029,6.6787,1.898923358,,0.039,0.039,8.9817,2.195189174,,0.021,0.021,9.6726,2.269297146,
297,0.001,0.027,0.026,5.9878,1.789724066,,0.065,0.064,14.7392,2.690510611,,0.026,0.025,11.515,2.443650533,,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.039,0.038,8.7514,2.169213688,,0.021,0.02,9.212,2.220506982,
298,0.001,0.027,0.026,5.9878,1.789724066,,0.064,0.063,14.5089,2.674762254,,0.026,0.025,11.515,2.443650533,,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.038,0.037,8.5211,2.14254544,,0.021,0.02,9.212,2.220506982,
299,0.001,0.027,0.026,5.9878,1.789724066,,0.063,0.062,14.2786,2.658761913,,0.026,0.025,11.515,2.443650533,,0.03,0.029,6.6787,1.898923358,,0.015,0.014,6.4484,1.863832038,,0.028,0.027,6.2181,1.827464394,,0.038,0.037,8.5211,2.14254544,,0.02,0.019,8.7514,2.169213688,
300,0.001,0.027,0.026,5.9878,1.789724066,,0.063,0.062,14.2786,2.658761913,,0.026,0.025,11.515,2.443650533,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.027,0.026,5.9878,1.789724066,,0.037,0.036,8.2908,2.115146466,,0.02,0.019,8.7514,2.169213688,
301,0.001,0.027,0.026,5.9878,1.789724066,,0.063,0.062,14.2786,2.658761913,,0.025,0.024,11.0544,2.402828539,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.027,0.026,5.9878,1.789724066,,0.037,0.036,8.2908,2.115146466,,0.02,0.019,8.7514,2.169213688,
302,0.001,0.026,0.025,5.7575,1.750503353,,0.062,0.061,14.0483,2.642501392,,0.025,0.024,11.0544,2.402828539,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.027,0.026,5.9878,1.789724066,,0.036,0.035,8.0605,2.086975589,,0.02,0.019,8.7514,2.169213688,
303,0.001,0.026,0.025,5.7575,1.750503353,,0.062,0.061,14.0483,2.642501392,,0.025,0.024,11.0544,2.402828539,,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.036,0.035,8.0605,2.086975589,,0.019,0.018,8.2908,2.115146466,
304,0.001,0.026,0.025,5.7575,1.750503353,,0.062,0.061,14.0483,2.642501392,,0.025,0.024,11.0544,2.402828539,,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.035,0.034,7.8302,2.057988052,,0.019,0.018,8.2908,2.115146466,
305,0.001,0.026,0.025,5.7575,1.750503353,,0.061,0.06,13.818,2.62597209,,0.024,0.023,10.5938,2.360268924,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.025,0.024,5.5272,1.709681358,,0.035,0.034,7.8302,2.057988052,,0.019,0.018,8.2908,2.115146466,
306,0.001,0.026,0.025,5.7575,1.750503353,,0.061,0.06,13.818,2.62597209,,0.024,0.023,10.5938,2.360268924,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.025,0.024,5.5272,1.709681358,,0.034,0.033,7.5999,2.028135089,,0.018,0.017,7.8302,2.057988052,
307,0,0.025,0.025,5.7575,1.750503353,,0.06,0.06,13.818,2.62597209,,0.024,0.024,11.0544,2.402828539,,0.026,0.026,5.9878,1.789724066,,0.014,0.014,6.4484,1.863832038,,0.024,0.024,5.5272,1.709681358,,0.034,0.034,7.8302,2.057988052,,0.018,0.018,8.2908,2.115146466,
308,0,0.025,0.025,5.7575,1.750503353,,0.06,0.06,13.818,2.62597209,,0.024,0.024,11.0544,2.402828539,,0.026,0.026,5.9878,1.789724066,,0.013,0.013,5.9878,1.789724066,,0.024,0.024,5.5272,1.709681358,,0.033,0.033,7.5999,2.028135089,,0.018,0.018,8.2908,2.115146466,
309,0.001,0.025,0.024,5.5272,1.709681358,,0.059,0.058,13.3574,2.592070538,,0.023,0.022,10.1332,2.315817162,,0.026,0.025,5.7575,1.750503353,,0.013,0.012,5.5272,1.709681358,,0.024,0.023,5.2969,1.667121744,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,
310,0,0.025,0.025,5.7575,1.750503353,,0.059,0.059,13.5877,2.609164972,,0.023,0.023,10.5938,2.360268924,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,,0.033,0.033,7.5999,2.028135089,,0.017,0.017,7.8302,2.057988052,
311,0.001,0.025,0.024,5.5272,1.709681358,,0.059,0.058,13.3574,2.592070538,,0.023,0.022,10.1332,2.315817162,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,
312,0.001,0.024,0.023,5.2969,1.667121744,,0.058,0.057,13.1271,2.574678796,,0.023,0.022,10.1332,2.315817162,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,
313,0,0.024,0.024,5.5272,1.709681358,,0.058,0.058,13.3574,2.592070538,,0.023,0.023,10.5938,2.360268924,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,,0.031,0.031,7.1393,1.965614732,,0.017,0.017,7.8302,2.057988052,
314,0.001,0.024,0.023,5.2969,1.667121744,,0.057,0.056,12.8968,2.556979219,,0.022,0.021,9.6726,2.269297146,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.017,0.016,7.3696,1.997363431,
315,0.001,0.024,0.023,5.2969,1.667121744,,0.057,0.056,12.8968,2.556979219,,0.022,0.021,9.6726,2.269297146,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
316,0.001,0.024,0.023,5.2969,1.667121744,,0.056,0.055,12.6665,2.538960713,,0.022,0.021,9.6726,2.269297146,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
317,0.001,0.023,0.022,5.0666,1.622669981,,0.056,0.055,12.6665,2.538960713,,0.022,0.021,9.6726,2.269297146,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,,0.022,0.021,4.8363,1.576149966,,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,
318,0.001,0.023,0.022,5.0666,1.622669981,,0.056,0.055,12.6665,2.538960713,,0.022,0.021,9.6726,2.269297146,,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.021,0.02,4.606,1.527359801,,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,
319,0.001,0.023,0.022,5.0666,1.622669981,,0.055,0.054,12.4362,2.520611574,,0.021,0.02,9.212,2.220506982,,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.016,0.015,6.909,1.93282491,
320,0.001,0.023,0.022,5.0666,1.622669981,,0.055,0.054,12.4362,2.520611574,,0.022,0.021,9.6726,2.269297146,,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.016,0.015,6.909,1.93282491,
321,0.001,0.023,0.022,5.0666,1.622669981,,0.055,0.054,12.4362,2.520611574,,0.021,0.02,9.212,2.220506982,,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,
322,0.001,0.022,0.021,4.8363,1.576149966,,0.054,0.053,12.2059,2.501919441,,0.021,0.02,9.212,2.220506982,,0.022,0.021,4.8363,1.576149966,,0.012,0.011,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,
323,0.001,0.022,0.021,4.8363,1.576149966,,0.054,0.053,12.2059,2.501919441,,0.021,0.02,9.212,2.220506982,,0.022,0.021,4.8363,1.576149966,,0.012,0.011,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,
324,0,0.022,0.022,5.0666,1.622669981,,0.053,0.053,12.2059,2.501919441,,0.021,0.021,9.6726,2.269297146,,0.022,0.022,5.0666,1.622669981,,0.012,0.012,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.015,0.015,6.909,1.93282491,
325,0.001,0.022,0.021,4.8363,1.576149966,,0.053,0.052,11.9756,2.482871246,,0.021,0.02,9.212,2.220506982,,0.021,0.02,4.606,1.527359801,,0.012,0.011,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,
326,0.001,0.022,0.021,4.8363,1.576149966,,0.053,0.052,11.9756,2.482871246,,0.021,0.02,9.212,2.220506982,,0.022,0.021,4.8363,1.576149966,,0.012,0.011,5.0666,1.622669981,,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.015,0.014,6.4484,1.863832038,
327,0.001,0.022,0.021,4.8363,1.576149966,,0.053,0.052,11.9756,2.482871246,,0.02,0.019,8.7514,2.169213688,,0.021,0.02,4.606,1.527359801,,0.012,0.011,5.0666,1.622669981,,0.019,0.018,4.1454,1.421999286,,0.027,0.026,5.9878,1.789724066,,0.015,0.014,6.4484,1.863832038,
328,0.001,0.022,0.021,4.8363,1.576149966,,0.052,0.051,11.7453,2.463453161,,0.02,0.019,8.7514,2.169213688,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.019,0.018,4.1454,1.421999286,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,
329,0.001,0.021,0.02,4.606,1.527359801,,0.052,0.051,11.7453,2.463453161,,0.02,0.019,8.7514,2.169213688,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.019,0.018,4.1454,1.421999286,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,
330,0.001,0.021,0.02,4.606,1.527359801,,0.052,0.051,11.7453,2.463453161,,0.02,0.019,8.7514,2.169213688,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.019,0.018,4.1454,1.421999286,,0.026,0.025,5.7575,1.750503353,,0.014,0.013,5.9878,1.789724066,
331,0.001,0.021,0.02,4.606,1.527359801,,0.051,0.05,11.515,2.443650533,,0.02,0.019,8.7514,2.169213688,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.014,0.013,5.9878,1.789724066,
332,0.001,0.021,0.02,4.606,1.527359801,,0.051,0.05,11.515,2.443650533,,0.019,0.018,8.2908,2.115146466,,0.02,0.019,4.3757,1.476066507,,0.011,0.01,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.014,0.013,5.9878,1.789724066,
333,0.001,0.02,0.019,4.3757,1.476066507,,0.051,0.05,11.515,2.443650533,,0.019,0.018,8.2908,2.115146466,,0.02,0.019,4.3757,1.476066507,,0.011,0.01,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.014,0.013,5.9878,1.789724066,
334,0.001,0.02,0.019,4.3757,1.476066507,,0.05,0.049,11.2847,2.423447826,,0.019,0.018,8.2908,2.115146466,,0.02,0.019,4.3757,1.476066507,,0.011,0.01,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.014,0.013,5.9878,1.789724066,
335,0,0.02,0.02,4.606,1.527359801,,0.05,0.05,11.515,2.443650533,,0.019,0.019,8.7514,2.169213688,,0.02,0.02,4.606,1.527359801,,0.011,0.011,5.0666,1.622669981,,0.018,0.018,4.1454,1.421999286,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,5.9878,1.789724066,
336,0.001,0.02,0.019,4.3757,1.476066507,,0.049,0.048,11.0544,2.402828539,,0.019,0.018,8.2908,2.115146466,,0.02,0.019,4.3757,1.476066507,,0.011,0.01,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,
337,0.001,0.02,0.019,4.3757,1.476066507,,0.049,0.048,11.0544,2.402828539,,0.019,0.018,8.2908,2.115146466,,0.019,0.018,4.1454,1.421999286,,0.011,0.01,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,
338,0.001,0.02,0.019,4.3757,1.476066507,,0.049,0.048,11.0544,2.402828539,,0.019,0.018,8.2908,2.115146466,,0.019,0.018,4.1454,1.421999286,,0.011,0.01,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,
339,0.001,0.02,0.019,4.3757,1.476066507,,0.049,0.048,11.0544,2.402828539,,0.019,0.018,8.2908,2.115146466,,0.019,0.018,4.1454,1.421999286,,0.011,0.01,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,
340,0.002,0.021,0.019,4.3757,1.476066507,,0.049,0.047,10.8241,2.38177513,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.012,0.01,4.606,1.527359801,,0.018,0.016,3.6848,1.30421625,,0.025,0.023,5.2969,1.667121744,,0.014,0.012,5.5272,1.709681358,
341,0.001,0.02,0.019,4.3757,1.476066507,,0.047,0.046,10.5938,2.360268924,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.011,0.01,4.606,1.527359801,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,
342,0,0.019,0.019,4.3757,1.476066507,,0.046,0.046,10.5938,2.360268924,,0.019,0.019,8.7514,2.169213688,,0.018,0.018,4.1454,1.421999286,,0.01,0.01,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.012,0.012,5.5272,1.709681358,
343,0,0.019,0.019,4.3757,1.476066507,,0.046,0.046,10.5938,2.360268924,,0.019,0.019,8.7514,2.169213688,,0.018,0.018,4.1454,1.421999286,,0.01,0.01,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.013,0.013,5.9878,1.789724066,
344,0.001,0.019,0.018,4.1454,1.421999286,,0.046,0.045,10.3635,2.338290018,,0.019,0.018,8.2908,2.115146466,,0.018,0.017,3.9151,1.364840872,,0.011,0.01,4.606,1.527359801,,0.016,0.015,3.4545,1.239677729,,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,
