,MilliQ,F27Jun19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_99_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_100_R1,A(CDOM),a(CDOM),ln(a),Sr
256,-0.002,0.045,0.047,10.8241,2.38177513,,0.049,0.051,11.7453,2.463453161,,0.044,0.046,10.5938,2.360268924,,0.032,0.034,7.8302,2.057988052,,0.031,0.033,7.5999,2.028135089,,0.042,0.044,10.1332,2.315817162,,0.044,0.046,10.5938,2.360268924,,0.054,0.056,12.8968,2.556979219,
257,-0.002,0.045,0.047,10.8241,2.38177513,,0.049,0.051,11.7453,2.463453161,,0.044,0.046,10.5938,2.360268924,,0.032,0.034,7.8302,2.057988052,,0.031,0.033,7.5999,2.028135089,,0.042,0.044,10.1332,2.315817162,,0.044,0.046,10.5938,2.360268924,,0.053,0.055,12.6665,2.538960713,
258,-0.002,0.044,0.046,10.5938,2.360268924,,0.049,0.051,11.7453,2.463453161,,0.044,0.046,10.5938,2.360268924,,0.032,0.034,7.8302,2.057988052,,0.031,0.033,7.5999,2.028135089,,0.042,0.044,10.1332,2.315817162,,0.044,0.046,10.5938,2.360268924,,0.053,0.055,12.6665,2.538960713,
259,-0.002,0.044,0.046,10.5938,2.360268924,,0.048,0.05,11.515,2.443650533,,0.043,0.045,10.3635,2.338290018,,0.031,0.033,7.5999,2.028135089,,0.031,0.033,7.5999,2.028135089,,0.042,0.044,10.1332,2.315817162,,0.043,0.045,10.3635,2.338290018,,0.052,0.054,12.4362,2.520611574,
260,-0.002,0.044,0.046,10.5938,2.360268924,,0.048,0.05,11.515,2.443650533,,0.043,0.045,10.3635,2.338290018,,0.031,0.033,7.5999,2.028135089,,0.03,0.032,7.3696,1.997363431,,0.041,0.043,9.9029,2.292827644,,0.043,0.045,10.3635,2.338290018,,0.052,0.054,12.4362,2.520611574,
261,-0.002,0.043,0.045,10.3635,2.338290018,,0.048,0.05,11.515,2.443650533,,0.043,0.045,10.3635,2.338290018,,0.031,0.033,7.5999,2.028135089,,0.03,0.032,7.3696,1.997363431,,0.041,0.043,9.9029,2.292827644,,0.043,0.045,10.3635,2.338290018,,0.051,0.053,12.2059,2.501919441,
262,-0.002,0.043,0.045,10.3635,2.338290018,,0.047,0.049,11.2847,2.423447826,,0.042,0.044,10.1332,2.315817162,,0.031,0.033,7.5999,2.028135089,,0.03,0.032,7.3696,1.997363431,,0.041,0.043,9.9029,2.292827644,,0.042,0.044,10.1332,2.315817162,,0.051,0.053,12.2059,2.501919441,
263,-0.002,0.042,0.044,10.1332,2.315817162,,0.047,0.049,11.2847,2.423447826,,0.042,0.044,10.1332,2.315817162,,0.03,0.032,7.3696,1.997363431,,0.03,0.032,7.3696,1.997363431,,0.04,0.042,9.6726,2.269297146,,0.042,0.044,10.1332,2.315817162,,0.05,0.052,11.9756,2.482871246,
264,-0.002,0.042,0.044,10.1332,2.315817162,,0.046,0.048,11.0544,2.402828539,,0.042,0.044,10.1332,2.315817162,,0.03,0.032,7.3696,1.997363431,,0.029,0.031,7.1393,1.965614732,,0.04,0.042,9.6726,2.269297146,,0.041,0.043,9.9029,2.292827644,,0.05,0.052,11.9756,2.482871246,
265,-0.002,0.042,0.044,10.1332,2.315817162,,0.046,0.048,11.0544,2.402828539,,0.041,0.043,9.9029,2.292827644,,0.03,0.032,7.3696,1.997363431,,0.029,0.031,7.1393,1.965614732,,0.04,0.042,9.6726,2.269297146,,0.041,0.043,9.9029,2.292827644,,0.05,0.052,11.9756,2.482871246,
266,-0.002,0.041,0.043,9.9029,2.292827644,,0.046,0.048,11.0544,2.402828539,,0.041,0.043,9.9029,2.292827644,,0.029,0.031,7.1393,1.965614732,,0.029,0.031,7.1393,1.965614732,,0.039,0.041,9.4423,2.245199595,,0.041,0.043,9.9029,2.292827644,,0.049,0.051,11.7453,2.463453161,
267,-0.002,0.041,0.043,9.9029,2.292827644,,0.045,0.047,10.8241,2.38177513,,0.04,0.042,9.6726,2.269297146,,0.029,0.031,7.1393,1.965614732,,0.028,0.03,6.909,1.93282491,,0.039,0.041,9.4423,2.245199595,,0.04,0.042,9.6726,2.269297146,,0.049,0.051,11.7453,2.463453161,
268,-0.002,0.041,0.043,9.9029,2.292827644,,0.045,0.047,10.8241,2.38177513,,0.04,0.042,9.6726,2.269297146,,0.029,0.031,7.1393,1.965614732,,0.028,0.03,6.909,1.93282491,,0.038,0.04,9.212,2.220506982,,0.04,0.042,9.6726,2.269297146,,0.048,0.05,11.515,2.443650533,
269,-0.002,0.04,0.042,9.6726,2.269297146,,0.044,0.046,10.5938,2.360268924,,0.04,0.042,9.6726,2.269297146,,0.028,0.03,6.909,1.93282491,,0.028,0.03,6.909,1.93282491,,0.038,0.04,9.212,2.220506982,,0.039,0.041,9.4423,2.245199595,,0.048,0.05,11.515,2.443650533,
270,-0.002,0.04,0.042,9.6726,2.269297146,,0.044,0.046,10.5938,2.360268924,,0.039,0.041,9.4423,2.245199595,,0.028,0.03,6.909,1.93282491,,0.027,0.029,6.6787,1.898923358,,0.038,0.04,9.212,2.220506982,,0.039,0.041,9.4423,2.245199595,,0.047,0.049,11.2847,2.423447826,
271,-0.002,0.039,0.041,9.4423,2.245199595,,0.043,0.045,10.3635,2.338290018,,0.039,0.041,9.4423,2.245199595,,0.028,0.03,6.909,1.93282491,,0.027,0.029,6.6787,1.898923358,,0.037,0.039,8.9817,2.195189174,,0.038,0.04,9.212,2.220506982,,0.047,0.049,11.2847,2.423447826,
272,-0.002,0.039,0.041,9.4423,2.245199595,,0.043,0.045,10.3635,2.338290018,,0.039,0.041,9.4423,2.245199595,,0.027,0.029,6.6787,1.898923358,,0.027,0.029,6.6787,1.898923358,,0.037,0.039,8.9817,2.195189174,,0.038,0.04,9.212,2.220506982,,0.046,0.048,11.0544,2.402828539,
273,-0.002,0.038,0.04,9.212,2.220506982,,0.043,0.045,10.3635,2.338290018,,0.038,0.04,9.212,2.220506982,,0.027,0.029,6.6787,1.898923358,,0.027,0.029,6.6787,1.898923358,,0.036,0.038,8.7514,2.169213688,,0.038,0.04,9.212,2.220506982,,0.046,0.048,11.0544,2.402828539,
274,-0.002,0.038,0.04,9.212,2.220506982,,0.042,0.044,10.1332,2.315817162,,0.038,0.04,9.212,2.220506982,,0.027,0.029,6.6787,1.898923358,,0.026,0.028,6.4484,1.863832038,,0.036,0.038,8.7514,2.169213688,,0.037,0.039,8.9817,2.195189174,,0.046,0.048,11.0544,2.402828539,
275,-0.002,0.038,0.04,9.212,2.220506982,,0.042,0.044,10.1332,2.315817162,,0.037,0.039,8.9817,2.195189174,,0.027,0.029,6.6787,1.898923358,,0.026,0.028,6.4484,1.863832038,,0.035,0.037,8.5211,2.14254544,,0.037,0.039,8.9817,2.195189174,,0.045,0.047,10.8241,2.38177513,
276,-0.002,0.037,0.039,8.9817,2.195189174,,0.041,0.043,9.9029,2.292827644,,0.037,0.039,8.9817,2.195189174,,0.027,0.029,6.6787,1.898923358,,0.026,0.028,6.4484,1.863832038,,0.035,0.037,8.5211,2.14254544,,0.036,0.038,8.7514,2.169213688,,0.045,0.047,10.8241,2.38177513,
277,-0.002,0.037,0.039,8.9817,2.195189174,,0.041,0.043,9.9029,2.292827644,,0.036,0.038,8.7514,2.169213688,,0.026,0.028,6.4484,1.863832038,,0.026,0.028,6.4484,1.863832038,,0.035,0.037,8.5211,2.14254544,,0.036,0.038,8.7514,2.169213688,,0.044,0.046,10.5938,2.360268924,
278,-0.002,0.037,0.039,8.9817,2.195189174,,0.04,0.042,9.6726,2.269297146,,0.036,0.038,8.7514,2.169213688,,0.026,0.028,6.4484,1.863832038,,0.025,0.027,6.2181,1.827464394,,0.034,0.036,8.2908,2.115146466,,0.036,0.038,8.7514,2.169213688,,0.044,0.046,10.5938,2.360268924,
279,-0.002,0.036,0.038,8.7514,2.169213688,,0.04,0.042,9.6726,2.269297146,,0.035,0.037,8.5211,2.14254544,,0.026,0.028,6.4484,1.863832038,,0.025,0.027,6.2181,1.827464394,,0.034,0.036,8.2908,2.115146466,,0.035,0.037,8.5211,2.14254544,,0.044,0.046,10.5938,2.360268924,
280,-0.002,0.036,0.038,8.7514,2.169213688,,0.039,0.041,9.4423,2.245199595,,0.035,0.037,8.5211,2.14254544,,0.025,0.027,6.2181,1.827464394,,0.025,0.027,6.2181,1.827464394,,0.033,0.035,8.0605,2.086975589,,0.034,0.036,8.2908,2.115146466,,0.043,0.045,10.3635,2.338290018,
281,-0.002,0.035,0.037,8.5211,2.14254544,,0.039,0.041,9.4423,2.245199595,,0.035,0.037,8.5211,2.14254544,,0.025,0.027,6.2181,1.827464394,,0.025,0.027,6.2181,1.827464394,,0.033,0.035,8.0605,2.086975589,,0.034,0.036,8.2908,2.115146466,,0.043,0.045,10.3635,2.338290018,
282,-0.002,0.035,0.037,8.5211,2.14254544,,0.038,0.04,9.212,2.220506982,,0.034,0.036,8.2908,2.115146466,,0.025,0.027,6.2181,1.827464394,,0.024,0.026,5.9878,1.789724066,,0.032,0.034,7.8302,2.057988052,,0.034,0.036,8.2908,2.115146466,,0.042,0.044,10.1332,2.315817162,
283,-0.002,0.034,0.036,8.2908,2.115146466,,0.038,0.04,9.212,2.220506982,,0.034,0.036,8.2908,2.115146466,,0.024,0.026,5.9878,1.789724066,,0.024,0.026,5.9878,1.789724066,,0.032,0.034,7.8302,2.057988052,,0.033,0.035,8.0605,2.086975589,,0.042,0.044,10.1332,2.315817162,
284,-0.002,0.034,0.036,8.2908,2.115146466,,0.037,0.039,8.9817,2.195189174,,0.033,0.035,8.0605,2.086975589,,0.024,0.026,5.9878,1.789724066,,0.024,0.026,5.9878,1.789724066,,0.031,0.033,7.5999,2.028135089,,0.033,0.035,8.0605,2.086975589,,0.042,0.044,10.1332,2.315817162,
285,-0.002,0.033,0.035,8.0605,2.086975589,,0.037,0.039,8.9817,2.195189174,,0.033,0.035,8.0605,2.086975589,,0.024,0.026,5.9878,1.789724066,,0.023,0.025,5.7575,1.750503353,,0.031,0.033,7.5999,2.028135089,,0.032,0.034,7.8302,2.057988052,,0.041,0.043,9.9029,2.292827644,
286,-0.002,0.033,0.035,8.0605,2.086975589,,0.037,0.039,8.9817,2.195189174,,0.032,0.034,7.8302,2.057988052,,0.024,0.026,5.9878,1.789724066,,0.023,0.025,5.7575,1.750503353,,0.03,0.032,7.3696,1.997363431,,0.032,0.034,7.8302,2.057988052,,0.041,0.043,9.9029,2.292827644,
287,-0.002,0.032,0.034,7.8302,2.057988052,,0.036,0.038,8.7514,2.169213688,,0.032,0.034,7.8302,2.057988052,,0.023,0.025,5.7575,1.750503353,,0.023,0.025,5.7575,1.750503353,,0.03,0.032,7.3696,1.997363431,,0.031,0.033,7.5999,2.028135089,,0.04,0.042,9.6726,2.269297146,
288,-0.002,0.032,0.034,7.8302,2.057988052,,0.035,0.037,8.5211,2.14254544,,0.031,0.033,7.5999,2.028135089,,0.023,0.025,5.7575,1.750503353,,0.022,0.024,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.031,0.033,7.5999,2.028135089,,0.04,0.042,9.6726,2.269297146,
289,-0.002,0.032,0.034,7.8302,2.057988052,,0.035,0.037,8.5211,2.14254544,,0.031,0.033,7.5999,2.028135089,,0.023,0.025,5.7575,1.750503353,,0.022,0.024,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.03,0.032,7.3696,1.997363431,,0.04,0.042,9.6726,2.269297146,
290,-0.002,0.031,0.033,7.5999,2.028135089,,0.034,0.036,8.2908,2.115146466,,0.03,0.032,7.3696,1.997363431,,0.022,0.024,5.5272,1.709681358,,0.022,0.024,5.5272,1.709681358,,0.028,0.03,6.909,1.93282491,,0.029,0.031,7.1393,1.965614732,,0.039,0.041,9.4423,2.245199595,
291,-0.002,0.031,0.033,7.5999,2.028135089,,0.034,0.036,8.2908,2.115146466,,0.03,0.032,7.3696,1.997363431,,0.022,0.024,5.5272,1.709681358,,0.021,0.023,5.2969,1.667121744,,0.028,0.03,6.909,1.93282491,,0.029,0.031,7.1393,1.965614732,,0.039,0.041,9.4423,2.245199595,
292,-0.002,0.03,0.032,7.3696,1.997363431,,0.033,0.035,8.0605,2.086975589,,0.029,0.031,7.1393,1.965614732,,0.022,0.024,5.5272,1.709681358,,0.021,0.023,5.2969,1.667121744,,0.027,0.029,6.6787,1.898923358,,0.029,0.031,7.1393,1.965614732,,0.038,0.04,9.212,2.220506982,
293,-0.002,0.03,0.032,7.3696,1.997363431,,0.033,0.035,8.0605,2.086975589,,0.029,0.031,7.1393,1.965614732,,0.021,0.023,5.2969,1.667121744,,0.021,0.023,5.2969,1.667121744,,0.027,0.029,6.6787,1.898923358,,0.028,0.03,6.909,1.93282491,,0.038,0.04,9.212,2.220506982,
294,-0.002,0.029,0.031,7.1393,1.965614732,,0.032,0.034,7.8302,2.057988052,,0.028,0.03,6.909,1.93282491,,0.021,0.023,5.2969,1.667121744,,0.02,0.022,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.028,0.03,6.909,1.93282491,,0.037,0.039,8.9817,2.195189174,
295,-0.002,0.029,0.031,7.1393,1.965614732,,0.032,0.034,7.8302,2.057988052,,0.028,0.03,6.909,1.93282491,,0.021,0.023,5.2969,1.667121744,,0.02,0.022,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.027,0.029,6.6787,1.898923358,,0.037,0.039,8.9817,2.195189174,
296,-0.002,0.028,0.03,6.909,1.93282491,,0.032,0.034,7.8302,2.057988052,,0.028,0.03,6.909,1.93282491,,0.02,0.022,5.0666,1.622669981,,0.02,0.022,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.027,0.029,6.6787,1.898923358,,0.037,0.039,8.9817,2.195189174,
297,-0.002,0.028,0.03,6.909,1.93282491,,0.031,0.033,7.5999,2.028135089,,0.027,0.029,6.6787,1.898923358,,0.02,0.022,5.0666,1.622669981,,0.02,0.022,5.0666,1.622669981,,0.025,0.027,6.2181,1.827464394,,0.026,0.028,6.4484,1.863832038,,0.036,0.038,8.7514,2.169213688,
298,-0.002,0.028,0.03,6.909,1.93282491,,0.031,0.033,7.5999,2.028135089,,0.027,0.029,6.6787,1.898923358,,0.02,0.022,5.0666,1.622669981,,0.019,0.021,4.8363,1.576149966,,0.025,0.027,6.2181,1.827464394,,0.026,0.028,6.4484,1.863832038,,0.036,0.038,8.7514,2.169213688,
299,-0.002,0.027,0.029,6.6787,1.898923358,,0.03,0.032,7.3696,1.997363431,,0.027,0.029,6.6787,1.898923358,,0.019,0.021,4.8363,1.576149966,,0.019,0.021,4.8363,1.576149966,,0.025,0.027,6.2181,1.827464394,,0.025,0.027,6.2181,1.827464394,,0.035,0.037,8.5211,2.14254544,
300,-0.002,0.027,0.029,6.6787,1.898923358,,0.03,0.032,7.3696,1.997363431,,0.026,0.028,6.4484,1.863832038,,0.019,0.021,4.8363,1.576149966,,0.019,0.021,4.8363,1.576149966,,0.024,0.026,5.9878,1.789724066,,0.025,0.027,6.2181,1.827464394,,0.035,0.037,8.5211,2.14254544,
301,-0.002,0.027,0.029,6.6787,1.898923358,,0.029,0.031,7.1393,1.965614732,,0.026,0.028,6.4484,1.863832038,,0.019,0.021,4.8363,1.576149966,,0.018,0.02,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.025,0.027,6.2181,1.827464394,,0.035,0.037,8.5211,2.14254544,
302,-0.002,0.026,0.028,6.4484,1.863832038,,0.029,0.031,7.1393,1.965614732,,0.026,0.028,6.4484,1.863832038,,0.019,0.021,4.8363,1.576149966,,0.018,0.02,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.024,0.026,5.9878,1.789724066,,0.035,0.037,8.5211,2.14254544,
303,-0.002,0.026,0.028,6.4484,1.863832038,,0.029,0.031,7.1393,1.965614732,,0.025,0.027,6.2181,1.827464394,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.024,0.026,5.9878,1.789724066,,0.034,0.036,8.2908,2.115146466,
304,-0.002,0.025,0.027,6.2181,1.827464394,,0.028,0.03,6.909,1.93282491,,0.025,0.027,6.2181,1.827464394,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.024,0.026,5.9878,1.789724066,,0.034,0.036,8.2908,2.115146466,
305,-0.002,0.025,0.027,6.2181,1.827464394,,0.028,0.03,6.909,1.93282491,,0.025,0.027,6.2181,1.827464394,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.023,0.025,5.7575,1.750503353,,0.034,0.036,8.2908,2.115146466,
306,-0.002,0.024,0.026,5.9878,1.789724066,,0.028,0.03,6.909,1.93282491,,0.024,0.026,5.9878,1.789724066,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.023,0.025,5.7575,1.750503353,,0.023,0.025,5.7575,1.750503353,,0.034,0.036,8.2908,2.115146466,
307,-0.002,0.024,0.026,5.9878,1.789724066,,0.027,0.029,6.6787,1.898923358,,0.024,0.026,5.9878,1.789724066,,0.018,0.02,4.606,1.527359801,,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.023,0.025,5.7575,1.750503353,,0.034,0.036,8.2908,2.115146466,
308,-0.002,0.024,0.026,5.9878,1.789724066,,0.027,0.029,6.6787,1.898923358,,0.024,0.026,5.9878,1.789724066,,0.018,0.02,4.606,1.527359801,,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.023,0.025,5.7575,1.750503353,,0.034,0.036,8.2908,2.115146466,
309,-0.002,0.024,0.026,5.9878,1.789724066,,0.027,0.029,6.6787,1.898923358,,0.024,0.026,5.9878,1.789724066,,0.017,0.019,4.3757,1.476066507,,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.022,0.024,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,
310,-0.002,0.024,0.026,5.9878,1.789724066,,0.027,0.029,6.6787,1.898923358,,0.024,0.026,5.9878,1.789724066,,0.017,0.019,4.3757,1.476066507,,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.022,0.024,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,
311,-0.002,0.023,0.025,5.7575,1.750503353,,0.026,0.028,6.4484,1.863832038,,0.023,0.025,5.7575,1.750503353,,0.017,0.019,4.3757,1.476066507,,0.017,0.019,4.3757,1.476066507,,0.021,0.023,5.2969,1.667121744,,0.022,0.024,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,
312,-0.002,0.023,0.025,5.7575,1.750503353,,0.026,0.028,6.4484,1.863832038,,0.023,0.025,5.7575,1.750503353,,0.017,0.019,4.3757,1.476066507,,0.016,0.018,4.1454,1.421999286,,0.021,0.023,5.2969,1.667121744,,0.022,0.024,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,
313,-0.002,0.023,0.025,5.7575,1.750503353,,0.026,0.028,6.4484,1.863832038,,0.023,0.025,5.7575,1.750503353,,0.017,0.019,4.3757,1.476066507,,0.016,0.018,4.1454,1.421999286,,0.021,0.023,5.2969,1.667121744,,0.022,0.024,5.5272,1.709681358,,0.032,0.034,7.8302,2.057988052,
314,-0.002,0.022,0.024,5.5272,1.709681358,,0.025,0.027,6.2181,1.827464394,,0.023,0.025,5.7575,1.750503353,,0.016,0.018,4.1454,1.421999286,,0.016,0.018,4.1454,1.421999286,,0.021,0.023,5.2969,1.667121744,,0.021,0.023,5.2969,1.667121744,,0.032,0.034,7.8302,2.057988052,
315,-0.002,0.022,0.024,5.5272,1.709681358,,0.025,0.027,6.2181,1.827464394,,0.022,0.024,5.5272,1.709681358,,0.016,0.018,4.1454,1.421999286,,0.016,0.018,4.1454,1.421999286,,0.02,0.022,5.0666,1.622669981,,0.021,0.023,5.2969,1.667121744,,0.032,0.034,7.8302,2.057988052,
316,-0.001,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,,0.021,0.022,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.032,0.033,7.5999,2.028135089,
317,-0.002,0.022,0.024,5.5272,1.709681358,,0.025,0.027,6.2181,1.827464394,,0.022,0.024,5.5272,1.709681358,,0.016,0.018,4.1454,1.421999286,,0.016,0.018,4.1454,1.421999286,,0.02,0.022,5.0666,1.622669981,,0.021,0.023,5.2969,1.667121744,,0.031,0.033,7.5999,2.028135089,
318,-0.002,0.021,0.023,5.2969,1.667121744,,0.024,0.026,5.9878,1.789724066,,0.022,0.024,5.5272,1.709681358,,0.016,0.018,4.1454,1.421999286,,0.015,0.017,3.9151,1.364840872,,0.02,0.022,5.0666,1.622669981,,0.02,0.022,5.0666,1.622669981,,0.031,0.033,7.5999,2.028135089,
319,-0.002,0.021,0.023,5.2969,1.667121744,,0.024,0.026,5.9878,1.789724066,,0.022,0.024,5.5272,1.709681358,,0.016,0.018,4.1454,1.421999286,,0.015,0.017,3.9151,1.364840872,,0.02,0.022,5.0666,1.622669981,,0.02,0.022,5.0666,1.622669981,,0.031,0.033,7.5999,2.028135089,
320,-0.002,0.021,0.023,5.2969,1.667121744,,0.024,0.026,5.9878,1.789724066,,0.021,0.023,5.2969,1.667121744,,0.015,0.017,3.9151,1.364840872,,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.02,0.022,5.0666,1.622669981,,0.031,0.033,7.5999,2.028135089,
321,-0.002,0.021,0.023,5.2969,1.667121744,,0.024,0.026,5.9878,1.789724066,,0.021,0.023,5.2969,1.667121744,,0.015,0.017,3.9151,1.364840872,,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.02,0.022,5.0666,1.622669981,,0.03,0.032,7.3696,1.997363431,
322,-0.002,0.02,0.022,5.0666,1.622669981,,0.023,0.025,5.7575,1.750503353,,0.021,0.023,5.2969,1.667121744,,0.015,0.017,3.9151,1.364840872,,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.019,0.021,4.8363,1.576149966,,0.03,0.032,7.3696,1.997363431,
323,-0.001,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.019,0.02,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.03,0.031,7.1393,1.965614732,
324,-0.002,0.02,0.022,5.0666,1.622669981,,0.023,0.025,5.7575,1.750503353,,0.02,0.022,5.0666,1.622669981,,0.015,0.017,3.9151,1.364840872,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.019,0.021,4.8363,1.576149966,,0.03,0.032,7.3696,1.997363431,
325,-0.002,0.02,0.022,5.0666,1.622669981,,0.023,0.025,5.7575,1.750503353,,0.02,0.022,5.0666,1.622669981,,0.014,0.016,3.6848,1.30421625,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.029,0.031,7.1393,1.965614732,
326,-0.002,0.019,0.021,4.8363,1.576149966,,0.023,0.025,5.7575,1.750503353,,0.02,0.022,5.0666,1.622669981,,0.014,0.016,3.6848,1.30421625,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.029,0.031,7.1393,1.965614732,
327,-0.002,0.019,0.021,4.8363,1.576149966,,0.022,0.024,5.5272,1.709681358,,0.02,0.022,5.0666,1.622669981,,0.014,0.016,3.6848,1.30421625,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.029,0.031,7.1393,1.965614732,
328,-0.002,0.019,0.021,4.8363,1.576149966,,0.022,0.024,5.5272,1.709681358,,0.02,0.022,5.0666,1.622669981,,0.014,0.016,3.6848,1.30421625,,0.014,0.016,3.6848,1.30421625,,0.018,0.02,4.606,1.527359801,,0.018,0.02,4.606,1.527359801,,0.029,0.031,7.1393,1.965614732,
329,-0.002,0.019,0.021,4.8363,1.576149966,,0.022,0.024,5.5272,1.709681358,,0.019,0.021,4.8363,1.576149966,,0.014,0.016,3.6848,1.30421625,,0.013,0.015,3.4545,1.239677729,,0.017,0.019,4.3757,1.476066507,,0.018,0.02,4.606,1.527359801,,0.028,0.03,6.909,1.93282491,
330,-0.001,0.019,0.02,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.019,0.02,4.606,1.527359801,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,,0.029,0.03,6.909,1.93282491,
331,-0.002,0.019,0.021,4.8363,1.576149966,,0.022,0.024,5.5272,1.709681358,,0.019,0.021,4.8363,1.576149966,,0.013,0.015,3.4545,1.239677729,,0.013,0.015,3.4545,1.239677729,,0.017,0.019,4.3757,1.476066507,,0.017,0.019,4.3757,1.476066507,,0.028,0.03,6.909,1.93282491,
332,-0.002,0.018,0.02,4.606,1.527359801,,0.021,0.023,5.2969,1.667121744,,0.019,0.021,4.8363,1.576149966,,0.013,0.015,3.4545,1.239677729,,0.013,0.015,3.4545,1.239677729,,0.017,0.019,4.3757,1.476066507,,0.017,0.019,4.3757,1.476066507,,0.028,0.03,6.909,1.93282491,
333,-0.002,0.018,0.02,4.606,1.527359801,,0.021,0.023,5.2969,1.667121744,,0.019,0.021,4.8363,1.576149966,,0.013,0.015,3.4545,1.239677729,,0.013,0.015,3.4545,1.239677729,,0.017,0.019,4.3757,1.476066507,,0.017,0.019,4.3757,1.476066507,,0.028,0.03,6.909,1.93282491,
334,-0.001,0.018,0.019,4.3757,1.476066507,,0.021,0.022,5.0666,1.622669981,,0.018,0.019,4.3757,1.476066507,,0.013,0.014,3.2242,1.170684857,,0.012,0.013,2.9939,1.096576885,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,,0.028,0.029,6.6787,1.898923358,
335,-0.002,0.017,0.019,4.3757,1.476066507,,0.02,0.022,5.0666,1.622669981,,0.018,0.02,4.606,1.527359801,,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.016,0.018,4.1454,1.421999286,,0.016,0.018,4.1454,1.421999286,,0.027,0.029,6.6787,1.898923358,
336,-0.002,0.017,0.019,4.3757,1.476066507,,0.02,0.022,5.0666,1.622669981,,0.018,0.02,4.606,1.527359801,,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.016,0.018,4.1454,1.421999286,,0.016,0.018,4.1454,1.421999286,,0.027,0.029,6.6787,1.898923358,
337,-0.001,0.017,0.018,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.018,0.019,4.3757,1.476066507,,0.013,0.014,3.2242,1.170684857,,0.012,0.013,2.9939,1.096576885,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,,0.027,0.028,6.4484,1.863832038,
