,MilliQ,F27Jun19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_99_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_100_R1,A(CDOM),a(CDOM),ln(a),Sr
200,-0.001,0.216,0.217,49.9751,3.911524881,,0.135,0.136,31.3208,3.444282414,,0.13,0.131,30.1693,3.406824851,,0.176,0.177,40.7631,3.70777726,,0.167,0.168,38.6904,3.655591507,,0.124,0.125,28.7875,3.359941265,,0.146,0.147,33.8541,3.522060115,,0.143,0.144,33.1632,3.501440827,
201,-0.002,0.208,0.21,48.363,3.878735059,,0.128,0.13,29.939,3.399161978,,0.123,0.125,28.7875,3.359941265,,0.17,0.172,39.6116,3.679122005,,0.162,0.164,37.7692,3.631493956,,0.118,0.12,27.636,3.319119271,,0.137,0.139,32.0117,3.466101461,,0.136,0.138,31.7814,3.458881213,
202,-0.003,0.202,0.205,47.2115,3.854637507,,0.122,0.125,28.7875,3.359941265,,0.117,0.12,27.636,3.319119271,,0.164,0.167,38.4601,3.64962134,,0.157,0.16,36.848,3.606801343,,0.112,0.115,26.4845,3.276559656,,0.129,0.132,30.3996,3.41442945,,0.13,0.133,30.6299,3.421976656,
203,-0.003,0.196,0.199,45.8297,3.824932353,,0.117,0.12,27.636,3.319119271,,0.112,0.115,26.4845,3.276559656,,0.159,0.162,37.3086,3.619223863,,0.153,0.156,35.9268,3.581483535,,0.106,0.109,25.1027,3.22297541,,0.122,0.125,28.7875,3.359941265,,0.126,0.129,29.7087,3.391439932,
204,-0.003,0.191,0.194,44.6782,3.799485687,,0.112,0.115,26.4845,3.276559656,,0.108,0.111,25.5633,3.241157729,,0.155,0.158,36.3874,3.594222561,,0.149,0.152,35.0056,3.555508049,,0.102,0.105,24.1815,3.185587878,,0.116,0.119,27.4057,3.310751021,,0.122,0.125,28.7875,3.359941265,
205,-0.004,0.185,0.189,43.5267,3.773374543,,0.107,0.111,25.5633,3.241157729,,0.103,0.107,24.6421,3.204456362,,0.151,0.155,35.6965,3.575052645,,0.145,0.149,34.3147,3.535573834,,0.097,0.101,23.2603,3.146748045,,0.111,0.115,26.4845,3.276559656,,0.118,0.122,28.0966,3.335648573,
206,-0.004,0.18,0.184,42.3752,3.746563285,,0.104,0.108,24.8724,3.213758755,,0.1,0.104,23.9512,3.176018427,,0.147,0.151,34.7753,3.548907365,,0.141,0.145,33.3935,3.50836127,,0.094,0.098,22.5694,3.116595007,,0.107,0.111,25.5633,3.241157729,,0.116,0.12,27.636,3.319119271,
207,-0.003,0.175,0.178,40.9934,3.713411078,,0.101,0.104,23.9512,3.176018427,,0.097,0.1,23.03,3.136797714,,0.144,0.147,33.8541,3.522060115,,0.138,0.141,32.4723,3.480387418,,0.092,0.095,21.8785,3.085504419,,0.104,0.107,24.6421,3.204456362,,0.114,0.117,26.9451,3.293801463,
208,-0.003,0.17,0.173,39.8419,3.684919122,,0.098,0.101,23.2603,3.146748045,,0.095,0.098,22.5694,3.116595007,,0.14,0.143,32.9329,3.494472158,,0.134,0.137,31.5511,3.451608454,,0.089,0.092,21.1876,3.053416105,,0.1,0.103,23.7209,3.166356516,,0.112,0.115,26.4845,3.276559656,
209,-0.003,0.165,0.168,38.6904,3.655591507,,0.096,0.099,22.7997,3.126747378,,0.092,0.095,21.8785,3.085504419,,0.135,0.138,31.7814,3.458881213,,0.13,0.133,30.6299,3.421976656,,0.086,0.089,20.4967,3.020263898,,0.097,0.1,23.03,3.136797714,,0.109,0.112,25.7936,3.250126399,
