,MilliQ,F30May19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F30May19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B30May19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B20May19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B30May19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr
359,-0.002,0.009,0.011,2.5333,0.929522801,,0.019,0.021,4.8363,1.576149966,,0.011,0.013,2.9939,1.096576885,,0.034,0.036,8.2908,2.115146466,,0.039,0.041,9.4423,2.245199595,,0.011,0.013,2.9939,1.096576885,,0.014,0.016,3.6848,1.30421625,,0.02,0.022,5.0666,1.622669981,,0.01,0.012,2.7636,1.016534178,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,
360,-0.002,0.009,0.011,2.5333,0.929522801,,0.019,0.021,4.8363,1.576149966,,0.011,0.013,2.9939,1.096576885,,0.034,0.036,8.2908,2.115146466,,0.039,0.041,9.4423,2.245199595,,0.011,0.013,2.9939,1.096576885,,0.014,0.016,3.6848,1.30421625,,0.02,0.022,5.0666,1.622669981,,0.01,0.012,2.7636,1.016534178,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,
361,-0.001,0.009,0.01,2.303,0.834212621,,0.019,0.02,4.606,1.527359801,,0.011,0.012,2.7636,1.016534178,,0.033,0.034,7.8302,2.057988052,,0.038,0.039,8.9817,2.195189174,,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,2.5333,0.929522801,,0.016,0.017,3.9151,1.364840872,,0.012,0.013,2.9939,1.096576885,,0.019,0.02,4.606,1.527359801,
362,-0.001,0.009,0.01,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,2.5333,0.929522801,,0.033,0.034,7.8302,2.057988052,,0.038,0.039,8.9817,2.195189174,,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.019,0.02,4.606,1.527359801,,0.01,0.011,2.5333,0.929522801,,0.015,0.016,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.019,0.02,4.606,1.527359801,
363,-0.002,0.008,0.01,2.303,0.834212621,,0.018,0.02,4.606,1.527359801,,0.01,0.012,2.7636,1.016534178,,0.032,0.034,7.8302,2.057988052,,0.038,0.04,9.212,2.220506982,,0.01,0.012,2.7636,1.016534178,,0.013,0.015,3.4545,1.239677729,,0.019,0.021,4.8363,1.576149966,,0.01,0.012,2.7636,1.016534178,,0.015,0.017,3.9151,1.364840872,,0.012,0.014,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,
364,-0.001,0.008,0.009,2.0727,0.728852105,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,2.5333,0.929522801,,0.032,0.033,7.5999,2.028135089,,0.037,0.038,8.7514,2.169213688,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.019,0.02,4.606,1.527359801,,0.01,0.011,2.5333,0.929522801,,0.015,0.016,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.019,0.02,4.606,1.527359801,
365,-0.001,0.008,0.009,2.0727,0.728852105,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,2.5333,0.929522801,,0.032,0.033,7.5999,2.028135089,,0.037,0.038,8.7514,2.169213688,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.019,0.02,4.606,1.527359801,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,
366,-0.002,0.008,0.01,2.303,0.834212621,,0.018,0.02,4.606,1.527359801,,0.01,0.012,2.7636,1.016534178,,0.032,0.034,7.8302,2.057988052,,0.037,0.039,8.9817,2.195189174,,0.01,0.012,2.7636,1.016534178,,0.012,0.014,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.009,0.011,2.5333,0.929522801,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,2.9939,1.096576885,,0.018,0.02,4.606,1.527359801,
367,-0.002,0.008,0.01,2.303,0.834212621,,0.018,0.02,4.606,1.527359801,,0.01,0.012,2.7636,1.016534178,,0.031,0.033,7.5999,2.028135089,,0.036,0.038,8.7514,2.169213688,,0.01,0.012,2.7636,1.016534178,,0.012,0.014,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.009,0.011,2.5333,0.929522801,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,2.9939,1.096576885,,0.018,0.02,4.606,1.527359801,
368,-0.001,0.008,0.009,2.0727,0.728852105,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,2.5333,0.929522801,,0.031,0.032,7.3696,1.997363431,,0.036,0.037,8.5211,2.14254544,,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.019,0.02,4.606,1.527359801,,0.009,0.01,2.303,0.834212621,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,
369,-0.001,0.008,0.009,2.0727,0.728852105,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,2.5333,0.929522801,,0.031,0.032,7.3696,1.997363431,,0.036,0.037,8.5211,2.14254544,,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.019,0.02,4.606,1.527359801,,0.009,0.01,2.303,0.834212621,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,
370,-0.002,0.008,0.01,2.303,0.834212621,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.031,0.033,7.5999,2.028135089,,0.035,0.037,8.5211,2.14254544,,0.009,0.011,2.5333,0.929522801,,0.012,0.014,3.2242,1.170684857,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.014,0.016,3.6848,1.30421625,,0.01,0.012,2.7636,1.016534178,,0.017,0.019,4.3757,1.476066507,
371,-0.002,0.008,0.01,2.303,0.834212621,,0.017,0.019,4.3757,1.476066507,,0.009,0.011,2.5333,0.929522801,,0.03,0.032,7.3696,1.997363431,,0.035,0.037,8.5211,2.14254544,,0.009,0.011,2.5333,0.929522801,,0.012,0.014,3.2242,1.170684857,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.013,0.015,3.4545,1.239677729,,0.01,0.012,2.7636,1.016534178,,0.017,0.019,4.3757,1.476066507,
372,-0.002,0.008,0.01,2.303,0.834212621,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.03,0.032,7.3696,1.997363431,,0.035,0.037,8.5211,2.14254544,,0.009,0.011,2.5333,0.929522801,,0.012,0.014,3.2242,1.170684857,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.013,0.015,3.4545,1.239677729,,0.01,0.012,2.7636,1.016534178,,0.017,0.019,4.3757,1.476066507,
373,-0.002,0.008,0.01,2.303,0.834212621,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.03,0.032,7.3696,1.997363431,,0.035,0.037,8.5211,2.14254544,,0.009,0.011,2.5333,0.929522801,,0.012,0.014,3.2242,1.170684857,,0.018,0.02,4.606,1.527359801,,0.009,0.011,2.5333,0.929522801,,0.013,0.015,3.4545,1.239677729,,0.01,0.012,2.7636,1.016534178,,0.017,0.019,4.3757,1.476066507,
374,-0.001,0.008,0.009,2.0727,0.728852105,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,2.303,0.834212621,,0.03,0.031,7.1393,1.965614732,,0.035,0.036,8.2908,2.115146466,,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,2.303,0.834212621,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,
375,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,2.303,0.834212621,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,2.0727,0.728852105,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,
376,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,2.303,0.834212621,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,2.0727,0.728852105,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,
377,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,2.303,0.834212621,,0.029,0.03,6.909,1.93282491,,0.034,0.035,8.0605,2.086975589,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,2.0727,0.728852105,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,
378,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,2.303,0.834212621,,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,2.0727,0.728852105,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,
379,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,2.303,0.834212621,,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
380,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,2.303,0.834212621,,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
381,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.008,0.009,2.0727,0.728852105,,0.011,0.012,2.7636,1.016534178,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
382,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.028,0.029,6.6787,1.898923358,,0.032,0.033,7.5999,2.028135089,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
383,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.028,0.029,6.6787,1.898923358,,0.032,0.033,7.5999,2.028135089,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
384,-0.001,0.007,0.008,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,2.0727,0.728852105,,0.028,0.029,6.6787,1.898923358,,0.032,0.033,7.5999,2.028135089,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,1.8424,0.61106907,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
385,-0.001,0.007,0.008,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,2.0727,0.728852105,,0.028,0.029,6.6787,1.898923358,,0.032,0.033,7.5999,2.028135089,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,1.8424,0.61106907,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
386,-0.001,0.007,0.008,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,2.0727,0.728852105,,0.028,0.029,6.6787,1.898923358,,0.031,0.032,7.3696,1.997363431,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,
387,-0.001,0.007,0.008,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,2.0727,0.728852105,,0.027,0.028,6.4484,1.863832038,,0.031,0.032,7.3696,1.997363431,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.016,0.017,3.9151,1.364840872,
388,-0.001,0.006,0.007,1.6121,0.477537677,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,2.0727,0.728852105,,0.027,0.028,6.4484,1.863832038,,0.031,0.032,7.3696,1.997363431,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.016,0.017,3.9151,1.364840872,
389,-0.001,0.006,0.007,1.6121,0.477537677,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,2.0727,0.728852105,,0.027,0.028,6.4484,1.863832038,,0.03,0.031,7.1393,1.965614732,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,
390,-0.001,0.006,0.007,1.6121,0.477537677,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,2.0727,0.728852105,,0.027,0.028,6.4484,1.863832038,,0.03,0.031,7.1393,1.965614732,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,
391,-0.001,0.006,0.007,1.6121,0.477537677,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.026,0.027,6.2181,1.827464394,,0.03,0.031,7.1393,1.965614732,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,
392,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.026,0.027,6.2181,1.827464394,,0.03,0.031,7.1393,1.965614732,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,
393,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,1.8424,0.61106907,,0.01,0.011,2.5333,0.929522801,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,
394,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,
395,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.015,0.016,3.6848,1.30421625,
396,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.015,0.016,3.6848,1.30421625,
397,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.029,0.03,6.909,1.93282491,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.015,0.016,3.6848,1.30421625,
398,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.015,0.016,3.6848,1.30421625,
399,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
400,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
401,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
402,-0.001,0.006,0.007,1.6121,0.477537677,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
403,-0.001,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,,0.007,0.008,1.8424,0.61106907,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.009,0.01,2.303,0.834212621,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
404,-0.001,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,,0.007,0.008,1.8424,0.61106907,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.009,0.01,2.303,0.834212621,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
405,-0.001,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,,0.007,0.008,1.8424,0.61106907,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,1.6121,0.477537677,,0.009,0.01,2.303,0.834212621,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,
406,-0.001,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,,0.006,0.007,1.6121,0.477537677,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.014,0.015,3.4545,1.239677729,,0.006,0.007,1.6121,0.477537677,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,
407,-0.001,0.005,0.006,1.3818,0.323386997,,0.014,0.015,3.4545,1.239677729,,0.006,0.007,1.6121,0.477537677,,0.024,0.025,5.7575,1.750503353,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,
408,-0.001,0.005,0.006,1.3818,0.323386997,,0.014,0.015,3.4545,1.239677729,,0.006,0.007,1.6121,0.477537677,,0.024,0.025,5.7575,1.750503353,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,
409,-0.001,0.005,0.006,1.3818,0.323386997,,0.014,0.015,3.4545,1.239677729,,0.006,0.007,1.6121,0.477537677,,0.024,0.025,5.7575,1.750503353,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,
410,-0.001,0.005,0.006,1.3818,0.323386997,,0.013,0.014,3.2242,1.170684857,,0.006,0.007,1.6121,0.477537677,,0.024,0.025,5.7575,1.750503353,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,
411,-0.001,0.005,0.006,1.3818,0.323386997,,0.013,0.014,3.2242,1.170684857,,0.006,0.007,1.6121,0.477537677,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.013,0.014,3.2242,1.170684857,
412,-0.001,0.005,0.006,1.3818,0.323386997,,0.014,0.015,3.4545,1.239677729,,0.006,0.007,1.6121,0.477537677,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.014,0.015,3.4545,1.239677729,
413,-0.001,0.005,0.006,1.3818,0.323386997,,0.013,0.014,3.2242,1.170684857,,0.006,0.007,1.6121,0.477537677,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.014,0.015,3.4545,1.239677729,,0.005,0.006,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.013,0.014,3.2242,1.170684857,
