,MilliQ,F30May19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F30May19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B30May19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B20May19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B30May19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr
201,-0.013,0.137,0.15,34.545,3.542262822,,0.107,0.12,27.636,3.319119271,,0.1,0.113,26.0239,3.259015347,,0.173,0.186,42.8358,3.757374202,,0.196,0.209,48.1327,3.87396178,,0.103,0.116,26.7148,3.285217719,,0.112,0.125,28.7875,3.359941265,,0.104,0.117,26.9451,3.293801463,,0.103,0.116,26.7148,3.285217719,,0.12,0.133,30.6299,3.421976656,,0.112,0.125,28.7875,3.359941265,,0.105,0.118,27.1754,3.302312152,
202,-0.012,0.133,0.145,33.3935,3.50836127,,0.105,0.117,26.9451,3.293801463,,0.096,0.108,24.8724,3.213758755,,0.17,0.182,41.9146,3.735634215,,0.192,0.204,46.9812,3.849747522,,0.099,0.111,25.5633,3.241157729,,0.108,0.12,27.636,3.319119271,,0.1,0.112,25.7936,3.250126399,,0.099,0.111,25.5633,3.241157729,,0.115,0.127,29.2481,3.375814614,,0.107,0.119,27.4057,3.310751021,,0.101,0.113,26.0239,3.259015347,
203,-0.011,0.131,0.142,32.7026,3.487454585,,0.103,0.114,26.2542,3.267825976,,0.094,0.105,24.1815,3.185587878,,0.168,0.179,41.2237,3.719013334,,0.189,0.2,46.06,3.829944894,,0.097,0.108,24.8724,3.213758755,,0.104,0.115,26.4845,3.276559656,,0.098,0.109,25.1027,3.22297541,,0.095,0.106,24.4118,3.195066622,,0.112,0.123,28.3269,3.343811883,,0.103,0.114,26.2542,3.267825976,,0.098,0.109,25.1027,3.22297541,
204,-0.01,0.128,0.138,31.7814,3.458881213,,0.101,0.111,25.5633,3.241157729,,0.091,0.101,23.2603,3.146748045,,0.166,0.176,40.5328,3.702111523,,0.186,0.196,45.1388,3.809742187,,0.094,0.104,23.9512,3.176018427,,0.101,0.111,25.5633,3.241157729,,0.096,0.106,24.4118,3.195066622,,0.092,0.102,23.4906,3.156600341,,0.108,0.118,27.1754,3.302312152,,0.099,0.109,25.1027,3.22297541,,0.095,0.105,24.1815,3.185587878,
205,-0.01,0.124,0.134,30.8602,3.429467328,,0.098,0.108,24.8724,3.213758755,,0.088,0.098,22.5694,3.116595007,,0.162,0.172,39.6116,3.679122005,,0.183,0.193,44.4479,3.794317717,,0.09,0.1,23.03,3.136797714,,0.098,0.108,24.8724,3.213758755,,0.093,0.103,23.7209,3.166356516,,0.088,0.098,22.5694,3.116595007,,0.104,0.114,26.2542,3.267825976,,0.095,0.105,24.1815,3.185587878,,0.093,0.103,23.7209,3.166356516,
206,-0.009,0.121,0.13,29.939,3.399161978,,0.096,0.105,24.1815,3.185587878,,0.085,0.094,21.6482,3.07492231,,0.16,0.169,38.9207,3.661526243,,0.181,0.19,43.757,3.7786516,,0.088,0.097,22.3391,3.106338506,,0.096,0.105,24.1815,3.185587878,,0.092,0.101,23.2603,3.146748045,,0.086,0.095,21.8785,3.085504419,,0.101,0.11,25.333,3.232107894,,0.092,0.101,23.2603,3.146748045,,0.091,0.1,23.03,3.136797714,
207,-0.009,0.119,0.128,29.4784,3.383657792,,0.095,0.104,23.9512,3.176018427,,0.083,0.092,21.1876,3.053416105,,0.158,0.167,38.4601,3.64962134,,0.178,0.187,43.0661,3.762736145,,0.086,0.095,21.8785,3.085504419,,0.094,0.103,23.7209,3.166356516,,0.09,0.099,22.7997,3.126747378,,0.084,0.093,21.4179,3.064227021,,0.098,0.107,24.6421,3.204456362,,0.09,0.099,22.7997,3.126747378,,0.089,0.098,22.5694,3.116595007,
208,-0.009,0.115,0.124,28.5572,3.351909093,,0.093,0.102,23.4906,3.156600341,,0.081,0.09,20.727,3.031437198,,0.155,0.164,37.7692,3.631493956,,0.176,0.185,42.6055,3.751983353,,0.084,0.093,21.4179,3.064227021,,0.091,0.1,23.03,3.136797714,,0.089,0.098,22.5694,3.116595007,,0.081,0.09,20.727,3.031437198,,0.096,0.105,24.1815,3.185587878,,0.087,0.096,22.1088,3.095975719,,0.088,0.097,22.3391,3.106338506,
209,-0.009,0.111,0.12,27.636,3.319119271,,0.091,0.1,23.03,3.136797714,,0.079,0.088,20.2664,3.008964342,,0.152,0.161,37.0783,3.613031893,,0.173,0.182,41.9146,3.735634215,,0.082,0.091,20.9573,3.042487034,,0.089,0.098,22.5694,3.116595007,,0.087,0.096,22.1088,3.095975719,,0.079,0.088,20.2664,3.008964342,,0.094,0.103,23.7209,3.166356516,,0.085,0.094,21.6482,3.07492231,,0.086,0.095,21.8785,3.085504419,
210,-0.008,0.108,0.116,26.7148,3.285217719,,0.089,0.097,22.3391,3.106338506,,0.077,0.085,19.5755,2.974278784,,0.149,0.157,36.1571,3.587873333,,0.17,0.178,40.9934,3.713411078,,0.08,0.088,20.2664,3.008964342,,0.087,0.095,21.8785,3.085504419,,0.086,0.094,21.6482,3.07492231,,0.077,0.085,19.5755,2.974278784,,0.091,0.099,22.7997,3.126747378,,0.083,0.091,20.9573,3.042487034,,0.084,0.092,21.1876,3.053416105,
