,MilliQ,B30May19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,F30May19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr
261,0.002,0.036,0.034,7.8302,2.057988052,,0.052,0.05,11.515,2.443650533,,0.042,0.04,9.212,2.220506982,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.057,0.055,12.6665,2.538960713,,0.058,0.056,12.8968,2.556979219,,0.047,0.045,10.3635,2.338290018,
262,0.002,0.036,0.034,7.8302,2.057988052,,0.052,0.05,11.515,2.443650533,,0.042,0.04,9.212,2.220506982,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.057,0.055,12.6665,2.538960713,,0.058,0.056,12.8968,2.556979219,,0.046,0.044,10.1332,2.315817162,
263,0.002,0.036,0.034,7.8302,2.057988052,,0.051,0.049,11.2847,2.423447826,,0.041,0.039,8.9817,2.195189174,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.056,0.054,12.4362,2.520611574,,0.057,0.055,12.6665,2.538960713,,0.046,0.044,10.1332,2.315817162,
264,0.002,0.035,0.033,7.5999,2.028135089,,0.051,0.049,11.2847,2.423447826,,0.041,0.039,8.9817,2.195189174,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.056,0.054,12.4362,2.520611574,,0.057,0.055,12.6665,2.538960713,,0.045,0.043,9.9029,2.292827644,
265,0.002,0.035,0.033,7.5999,2.028135089,,0.051,0.049,11.2847,2.423447826,,0.041,0.039,8.9817,2.195189174,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.055,0.053,12.2059,2.501919441,,0.057,0.055,12.6665,2.538960713,,0.045,0.043,9.9029,2.292827644,
266,0.002,0.035,0.033,7.5999,2.028135089,,0.05,0.048,11.0544,2.402828539,,0.04,0.038,8.7514,2.169213688,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.055,0.053,12.2059,2.501919441,,0.056,0.054,12.4362,2.520611574,,0.045,0.043,9.9029,2.292827644,
267,0.002,0.035,0.033,7.5999,2.028135089,,0.05,0.048,11.0544,2.402828539,,0.04,0.038,8.7514,2.169213688,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.055,0.053,12.2059,2.501919441,,0.056,0.054,12.4362,2.520611574,,0.045,0.043,9.9029,2.292827644,
268,0.002,0.035,0.033,7.5999,2.028135089,,0.05,0.048,11.0544,2.402828539,,0.04,0.038,8.7514,2.169213688,,0.057,0.055,12.6665,2.538960713,,0.052,0.05,11.515,2.443650533,,0.054,0.052,11.9756,2.482871246,,0.056,0.054,12.4362,2.520611574,,0.044,0.042,9.6726,2.269297146,
269,0.002,0.034,0.032,7.3696,1.997363431,,0.05,0.048,11.0544,2.402828539,,0.039,0.037,8.5211,2.14254544,,0.057,0.055,12.6665,2.538960713,,0.052,0.05,11.515,2.443650533,,0.053,0.051,11.7453,2.463453161,,0.055,0.053,12.2059,2.501919441,,0.044,0.042,9.6726,2.269297146,
270,0.002,0.034,0.032,7.3696,1.997363431,,0.049,0.047,10.8241,2.38177513,,0.039,0.037,8.5211,2.14254544,,0.057,0.055,12.6665,2.538960713,,0.052,0.05,11.515,2.443650533,,0.053,0.051,11.7453,2.463453161,,0.055,0.053,12.2059,2.501919441,,0.044,0.042,9.6726,2.269297146,
271,0.002,0.034,0.032,7.3696,1.997363431,,0.049,0.047,10.8241,2.38177513,,0.039,0.037,8.5211,2.14254544,,0.057,0.055,12.6665,2.538960713,,0.052,0.05,11.515,2.443650533,,0.053,0.051,11.7453,2.463453161,,0.055,0.053,12.2059,2.501919441,,0.043,0.041,9.4423,2.245199595,
272,0.002,0.034,0.032,7.3696,1.997363431,,0.049,0.047,10.8241,2.38177513,,0.039,0.037,8.5211,2.14254544,,0.057,0.055,12.6665,2.538960713,,0.052,0.05,11.515,2.443650533,,0.052,0.05,11.515,2.443650533,,0.055,0.053,12.2059,2.501919441,,0.043,0.041,9.4423,2.245199595,
273,0.002,0.033,0.031,7.1393,1.965614732,,0.048,0.046,10.5938,2.360268924,,0.038,0.036,8.2908,2.115146466,,0.056,0.054,12.4362,2.520611574,,0.051,0.049,11.2847,2.423447826,,0.051,0.049,11.2847,2.423447826,,0.054,0.052,11.9756,2.482871246,,0.043,0.041,9.4423,2.245199595,
274,0.002,0.033,0.031,7.1393,1.965614732,,0.048,0.046,10.5938,2.360268924,,0.038,0.036,8.2908,2.115146466,,0.056,0.054,12.4362,2.520611574,,0.051,0.049,11.2847,2.423447826,,0.051,0.049,11.2847,2.423447826,,0.054,0.052,11.9756,2.482871246,,0.042,0.04,9.212,2.220506982,
275,0.002,0.033,0.031,7.1393,1.965614732,,0.048,0.046,10.5938,2.360268924,,0.037,0.035,8.0605,2.086975589,,0.055,0.053,12.2059,2.501919441,,0.051,0.049,11.2847,2.423447826,,0.05,0.048,11.0544,2.402828539,,0.053,0.051,11.7453,2.463453161,,0.042,0.04,9.212,2.220506982,
276,0.002,0.032,0.03,6.909,1.93282491,,0.047,0.045,10.3635,2.338290018,,0.037,0.035,8.0605,2.086975589,,0.055,0.053,12.2059,2.501919441,,0.05,0.048,11.0544,2.402828539,,0.05,0.048,11.0544,2.402828539,,0.053,0.051,11.7453,2.463453161,,0.041,0.039,8.9817,2.195189174,
277,0.002,0.032,0.03,6.909,1.93282491,,0.047,0.045,10.3635,2.338290018,,0.036,0.034,7.8302,2.057988052,,0.055,0.053,12.2059,2.501919441,,0.05,0.048,11.0544,2.402828539,,0.049,0.047,10.8241,2.38177513,,0.052,0.05,11.515,2.443650533,,0.041,0.039,8.9817,2.195189174,
278,0.002,0.031,0.029,6.6787,1.898923358,,0.046,0.044,10.1332,2.315817162,,0.036,0.034,7.8302,2.057988052,,0.054,0.052,11.9756,2.482871246,,0.05,0.048,11.0544,2.402828539,,0.048,0.046,10.5938,2.360268924,,0.052,0.05,11.515,2.443650533,,0.041,0.039,8.9817,2.195189174,
279,0.002,0.031,0.029,6.6787,1.898923358,,0.046,0.044,10.1332,2.315817162,,0.036,0.034,7.8302,2.057988052,,0.053,0.051,11.7453,2.463453161,,0.049,0.047,10.8241,2.38177513,,0.048,0.046,10.5938,2.360268924,,0.051,0.049,11.2847,2.423447826,,0.04,0.038,8.7514,2.169213688,
280,0.002,0.031,0.029,6.6787,1.898923358,,0.046,0.044,10.1332,2.315817162,,0.036,0.034,7.8302,2.057988052,,0.053,0.051,11.7453,2.463453161,,0.049,0.047,10.8241,2.38177513,,0.047,0.045,10.3635,2.338290018,,0.051,0.049,11.2847,2.423447826,,0.04,0.038,8.7514,2.169213688,
281,0.002,0.031,0.029,6.6787,1.898923358,,0.045,0.043,9.9029,2.292827644,,0.035,0.033,7.5999,2.028135089,,0.053,0.051,11.7453,2.463453161,,0.049,0.047,10.8241,2.38177513,,0.047,0.045,10.3635,2.338290018,,0.051,0.049,11.2847,2.423447826,,0.04,0.038,8.7514,2.169213688,
282,0.002,0.03,0.028,6.4484,1.863832038,,0.045,0.043,9.9029,2.292827644,,0.035,0.033,7.5999,2.028135089,,0.052,0.05,11.515,2.443650533,,0.048,0.046,10.5938,2.360268924,,0.046,0.044,10.1332,2.315817162,,0.05,0.048,11.0544,2.402828539,,0.04,0.038,8.7514,2.169213688,
283,0.002,0.03,0.028,6.4484,1.863832038,,0.044,0.042,9.6726,2.269297146,,0.034,0.032,7.3696,1.997363431,,0.051,0.049,11.2847,2.423447826,,0.047,0.045,10.3635,2.338290018,,0.045,0.043,9.9029,2.292827644,,0.05,0.048,11.0544,2.402828539,,0.039,0.037,8.5211,2.14254544,
284,0.002,0.029,0.027,6.2181,1.827464394,,0.043,0.041,9.4423,2.245199595,,0.034,0.032,7.3696,1.997363431,,0.051,0.049,11.2847,2.423447826,,0.047,0.045,10.3635,2.338290018,,0.044,0.042,9.6726,2.269297146,,0.049,0.047,10.8241,2.38177513,,0.039,0.037,8.5211,2.14254544,
285,0.002,0.029,0.027,6.2181,1.827464394,,0.043,0.041,9.4423,2.245199595,,0.033,0.031,7.1393,1.965614732,,0.05,0.048,11.0544,2.402828539,,0.046,0.044,10.1332,2.315817162,,0.044,0.042,9.6726,2.269297146,,0.049,0.047,10.8241,2.38177513,,0.038,0.036,8.2908,2.115146466,
286,0.002,0.029,0.027,6.2181,1.827464394,,0.042,0.04,9.212,2.220506982,,0.033,0.031,7.1393,1.965614732,,0.049,0.047,10.8241,2.38177513,,0.046,0.044,10.1332,2.315817162,,0.043,0.041,9.4423,2.245199595,,0.048,0.046,10.5938,2.360268924,,0.038,0.036,8.2908,2.115146466,
287,0.002,0.029,0.027,6.2181,1.827464394,,0.042,0.04,9.212,2.220506982,,0.032,0.03,6.909,1.93282491,,0.049,0.047,10.8241,2.38177513,,0.045,0.043,9.9029,2.292827644,,0.042,0.04,9.212,2.220506982,,0.048,0.046,10.5938,2.360268924,,0.038,0.036,8.2908,2.115146466,
288,0.002,0.028,0.026,5.9878,1.789724066,,0.042,0.04,9.212,2.220506982,,0.032,0.03,6.909,1.93282491,,0.048,0.046,10.5938,2.360268924,,0.044,0.042,9.6726,2.269297146,,0.042,0.04,9.212,2.220506982,,0.047,0.045,10.3635,2.338290018,,0.037,0.035,8.0605,2.086975589,
289,0.002,0.028,0.026,5.9878,1.789724066,,0.041,0.039,8.9817,2.195189174,,0.032,0.03,6.909,1.93282491,,0.047,0.045,10.3635,2.338290018,,0.043,0.041,9.4423,2.245199595,,0.041,0.039,8.9817,2.195189174,,0.047,0.045,10.3635,2.338290018,,0.037,0.035,8.0605,2.086975589,
290,0.002,0.027,0.025,5.7575,1.750503353,,0.04,0.038,8.7514,2.169213688,,0.031,0.029,6.6787,1.898923358,,0.046,0.044,10.1332,2.315817162,,0.043,0.041,9.4423,2.245199595,,0.04,0.038,8.7514,2.169213688,,0.046,0.044,10.1332,2.315817162,,0.037,0.035,8.0605,2.086975589,
291,0.002,0.027,0.025,5.7575,1.750503353,,0.04,0.038,8.7514,2.169213688,,0.031,0.029,6.6787,1.898923358,,0.045,0.043,9.9029,2.292827644,,0.042,0.04,9.212,2.220506982,,0.04,0.038,8.7514,2.169213688,,0.046,0.044,10.1332,2.315817162,,0.036,0.034,7.8302,2.057988052,
292,0.001,0.027,0.026,5.9878,1.789724066,,0.039,0.038,8.7514,2.169213688,,0.03,0.029,6.6787,1.898923358,,0.045,0.044,10.1332,2.315817162,,0.041,0.04,9.212,2.220506982,,0.039,0.038,8.7514,2.169213688,,0.045,0.044,10.1332,2.315817162,,0.036,0.035,8.0605,2.086975589,
293,0.002,0.027,0.025,5.7575,1.750503353,,0.039,0.037,8.5211,2.14254544,,0.03,0.028,6.4484,1.863832038,,0.044,0.042,9.6726,2.269297146,,0.04,0.038,8.7514,2.169213688,,0.038,0.036,8.2908,2.115146466,,0.044,0.042,9.6726,2.269297146,,0.035,0.033,7.5999,2.028135089,
294,0.002,0.026,0.024,5.5272,1.709681358,,0.038,0.036,8.2908,2.115146466,,0.029,0.027,6.2181,1.827464394,,0.043,0.041,9.4423,2.245199595,,0.04,0.038,8.7514,2.169213688,,0.037,0.035,8.0605,2.086975589,,0.044,0.042,9.6726,2.269297146,,0.035,0.033,7.5999,2.028135089,
295,0.002,0.026,0.024,5.5272,1.709681358,,0.038,0.036,8.2908,2.115146466,,0.029,0.027,6.2181,1.827464394,,0.042,0.04,9.212,2.220506982,,0.039,0.037,8.5211,2.14254544,,0.037,0.035,8.0605,2.086975589,,0.043,0.041,9.4423,2.245199595,,0.035,0.033,7.5999,2.028135089,
296,0.002,0.026,0.024,5.5272,1.709681358,,0.037,0.035,8.0605,2.086975589,,0.029,0.027,6.2181,1.827464394,,0.042,0.04,9.212,2.220506982,,0.038,0.036,8.2908,2.115146466,,0.037,0.035,8.0605,2.086975589,,0.043,0.041,9.4423,2.245199595,,0.034,0.032,7.3696,1.997363431,
297,0.002,0.025,0.023,5.2969,1.667121744,,0.037,0.035,8.0605,2.086975589,,0.028,0.026,5.9878,1.789724066,,0.041,0.039,8.9817,2.195189174,,0.037,0.035,8.0605,2.086975589,,0.036,0.034,7.8302,2.057988052,,0.042,0.04,9.212,2.220506982,,0.034,0.032,7.3696,1.997363431,
298,0.002,0.025,0.023,5.2969,1.667121744,,0.036,0.034,7.8302,2.057988052,,0.028,0.026,5.9878,1.789724066,,0.04,0.038,8.7514,2.169213688,,0.037,0.035,8.0605,2.086975589,,0.035,0.033,7.5999,2.028135089,,0.042,0.04,9.212,2.220506982,,0.034,0.032,7.3696,1.997363431,
299,0.002,0.025,0.023,5.2969,1.667121744,,0.036,0.034,7.8302,2.057988052,,0.027,0.025,5.7575,1.750503353,,0.039,0.037,8.5211,2.14254544,,0.036,0.034,7.8302,2.057988052,,0.035,0.033,7.5999,2.028135089,,0.042,0.04,9.212,2.220506982,,0.033,0.031,7.1393,1.965614732,
300,0.002,0.025,0.023,5.2969,1.667121744,,0.035,0.033,7.5999,2.028135089,,0.027,0.025,5.7575,1.750503353,,0.039,0.037,8.5211,2.14254544,,0.035,0.033,7.5999,2.028135089,,0.034,0.032,7.3696,1.997363431,,0.042,0.04,9.212,2.220506982,,0.033,0.031,7.1393,1.965614732,
301,0.002,0.025,0.023,5.2969,1.667121744,,0.035,0.033,7.5999,2.028135089,,0.027,0.025,5.7575,1.750503353,,0.038,0.036,8.2908,2.115146466,,0.035,0.033,7.5999,2.028135089,,0.034,0.032,7.3696,1.997363431,,0.041,0.039,8.9817,2.195189174,,0.033,0.031,7.1393,1.965614732,
302,0.002,0.024,0.022,5.0666,1.622669981,,0.034,0.032,7.3696,1.997363431,,0.026,0.024,5.5272,1.709681358,,0.037,0.035,8.0605,2.086975589,,0.034,0.032,7.3696,1.997363431,,0.033,0.031,7.1393,1.965614732,,0.04,0.038,8.7514,2.169213688,,0.032,0.03,6.909,1.93282491,
303,0.001,0.024,0.023,5.2969,1.667121744,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,,0.036,0.035,8.0605,2.086975589,,0.033,0.032,7.3696,1.997363431,,0.032,0.031,7.1393,1.965614732,,0.04,0.039,8.9817,2.195189174,,0.032,0.031,7.1393,1.965614732,
304,0.002,0.024,0.022,5.0666,1.622669981,,0.033,0.031,7.1393,1.965614732,,0.025,0.023,5.2969,1.667121744,,0.035,0.033,7.5999,2.028135089,,0.032,0.03,6.909,1.93282491,,0.032,0.03,6.909,1.93282491,,0.039,0.037,8.5211,2.14254544,,0.032,0.03,6.909,1.93282491,
305,0.002,0.023,0.021,4.8363,1.576149966,,0.033,0.031,7.1393,1.965614732,,0.025,0.023,5.2969,1.667121744,,0.035,0.033,7.5999,2.028135089,,0.032,0.03,6.909,1.93282491,,0.032,0.03,6.909,1.93282491,,0.039,0.037,8.5211,2.14254544,,0.031,0.029,6.6787,1.898923358,
306,0.001,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.024,0.023,5.2969,1.667121744,,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.031,0.03,6.909,1.93282491,,0.039,0.038,8.7514,2.169213688,,0.031,0.03,6.909,1.93282491,
307,0.001,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.024,0.023,5.2969,1.667121744,,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.031,0.03,6.909,1.93282491,,0.038,0.037,8.5211,2.14254544,,0.031,0.03,6.909,1.93282491,
308,0.002,0.023,0.021,4.8363,1.576149966,,0.031,0.029,6.6787,1.898923358,,0.024,0.022,5.0666,1.622669981,,0.033,0.031,7.1393,1.965614732,,0.03,0.028,6.4484,1.863832038,,0.03,0.028,6.4484,1.863832038,,0.038,0.036,8.2908,2.115146466,,0.03,0.028,6.4484,1.863832038,
309,0.002,0.022,0.02,4.606,1.527359801,,0.031,0.029,6.6787,1.898923358,,0.024,0.022,5.0666,1.622669981,,0.032,0.03,6.909,1.93282491,,0.029,0.027,6.2181,1.827464394,,0.03,0.028,6.4484,1.863832038,,0.038,0.036,8.2908,2.115146466,,0.03,0.028,6.4484,1.863832038,
310,0.002,0.022,0.02,4.606,1.527359801,,0.031,0.029,6.6787,1.898923358,,0.023,0.021,4.8363,1.576149966,,0.031,0.029,6.6787,1.898923358,,0.029,0.027,6.2181,1.827464394,,0.029,0.027,6.2181,1.827464394,,0.037,0.035,8.0605,2.086975589,,0.03,0.028,6.4484,1.863832038,
311,0.001,0.022,0.021,4.8363,1.576149966,,0.03,0.029,6.6787,1.898923358,,0.023,0.022,5.0666,1.622669981,,0.031,0.03,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.029,0.028,6.4484,1.863832038,,0.037,0.036,8.2908,2.115146466,,0.029,0.028,6.4484,1.863832038,
312,0.001,0.022,0.021,4.8363,1.576149966,,0.03,0.029,6.6787,1.898923358,,0.023,0.022,5.0666,1.622669981,,0.03,0.029,6.6787,1.898923358,,0.028,0.027,6.2181,1.827464394,,0.028,0.027,6.2181,1.827464394,,0.037,0.036,8.2908,2.115146466,,0.029,0.028,6.4484,1.863832038,
313,0.001,0.022,0.021,4.8363,1.576149966,,0.029,0.028,6.4484,1.863832038,,0.023,0.022,5.0666,1.622669981,,0.03,0.029,6.6787,1.898923358,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,,0.036,0.035,8.0605,2.086975589,,0.029,0.028,6.4484,1.863832038,
314,0.001,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.029,0.028,6.4484,1.863832038,,0.027,0.026,5.9878,1.789724066,,0.027,0.026,5.9878,1.789724066,,0.036,0.035,8.0605,2.086975589,,0.028,0.027,6.2181,1.827464394,
315,0.001,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.029,0.028,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,,0.035,0.034,7.8302,2.057988052,,0.028,0.027,6.2181,1.827464394,
316,0.001,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.029,0.028,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,,0.035,0.034,7.8302,2.057988052,,0.028,0.027,6.2181,1.827464394,
317,0.001,0.021,0.02,4.606,1.527359801,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.028,0.027,6.2181,1.827464394,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,,0.035,0.034,7.8302,2.057988052,,0.028,0.027,6.2181,1.827464394,
318,0.002,0.021,0.019,4.3757,1.476066507,,0.028,0.026,5.9878,1.789724066,,0.021,0.019,4.3757,1.476066507,,0.028,0.026,5.9878,1.789724066,,0.026,0.024,5.5272,1.709681358,,0.026,0.024,5.5272,1.709681358,,0.035,0.033,7.5999,2.028135089,,0.028,0.026,5.9878,1.789724066,
319,0.001,0.021,0.02,4.606,1.527359801,,0.028,0.027,6.2181,1.827464394,,0.021,0.02,4.606,1.527359801,,0.027,0.026,5.9878,1.789724066,,0.025,0.024,5.5272,1.709681358,,0.026,0.025,5.7575,1.750503353,,0.034,0.033,7.5999,2.028135089,,0.027,0.026,5.9878,1.789724066,
320,0.001,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.021,0.02,4.606,1.527359801,,0.027,0.026,5.9878,1.789724066,,0.025,0.024,5.5272,1.709681358,,0.025,0.024,5.5272,1.709681358,,0.034,0.033,7.5999,2.028135089,,0.027,0.026,5.9878,1.789724066,
321,0.001,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.025,0.024,5.5272,1.709681358,,0.025,0.024,5.5272,1.709681358,,0.034,0.033,7.5999,2.028135089,,0.027,0.026,5.9878,1.789724066,
322,0.001,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.024,0.023,5.2969,1.667121744,,0.025,0.024,5.5272,1.709681358,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,
323,0.001,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.024,0.023,5.2969,1.667121744,,0.025,0.024,5.5272,1.709681358,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,
324,0.001,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.024,0.023,5.2969,1.667121744,,0.024,0.023,5.2969,1.667121744,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,
325,0.001,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.02,0.019,4.3757,1.476066507,,0.025,0.024,5.5272,1.709681358,,0.024,0.023,5.2969,1.667121744,,0.024,0.023,5.2969,1.667121744,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,
326,0.001,0.02,0.019,4.3757,1.476066507,,0.026,0.025,5.7575,1.750503353,,0.02,0.019,4.3757,1.476066507,,0.025,0.024,5.5272,1.709681358,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,
327,0.001,0.019,0.018,4.1454,1.421999286,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.025,0.024,5.5272,1.709681358,
328,0.001,0.019,0.018,4.1454,1.421999286,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.025,0.024,5.5272,1.709681358,
329,0.001,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.019,0.018,4.1454,1.421999286,,0.024,0.023,5.2969,1.667121744,,0.023,0.022,5.0666,1.622669981,,0.023,0.022,5.0666,1.622669981,,0.032,0.031,7.1393,1.965614732,,0.025,0.024,5.5272,1.709681358,
330,0.001,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.019,0.018,4.1454,1.421999286,,0.024,0.023,5.2969,1.667121744,,0.023,0.022,5.0666,1.622669981,,0.022,0.021,4.8363,1.576149966,,0.032,0.031,7.1393,1.965614732,,0.025,0.024,5.5272,1.709681358,
331,0.001,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.019,0.018,4.1454,1.421999286,,0.024,0.023,5.2969,1.667121744,,0.022,0.021,4.8363,1.576149966,,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.025,0.024,5.5272,1.709681358,
332,0.001,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.023,0.022,5.0666,1.622669981,,0.022,0.021,4.8363,1.576149966,,0.022,0.021,4.8363,1.576149966,,0.031,0.03,6.909,1.93282491,,0.024,0.023,5.2969,1.667121744,
333,0.001,0.019,0.018,4.1454,1.421999286,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.023,0.022,5.0666,1.622669981,,0.022,0.021,4.8363,1.576149966,,0.021,0.02,4.606,1.527359801,,0.031,0.03,6.909,1.93282491,,0.024,0.023,5.2969,1.667121744,
334,0.001,0.018,0.017,3.9151,1.364840872,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.023,0.022,5.0666,1.622669981,,0.022,0.021,4.8363,1.576149966,,0.021,0.02,4.606,1.527359801,,0.031,0.03,6.909,1.93282491,,0.024,0.023,5.2969,1.667121744,
335,0.002,0.019,0.017,3.9151,1.364840872,,0.024,0.022,5.0666,1.622669981,,0.018,0.016,3.6848,1.30421625,,0.023,0.021,4.8363,1.576149966,,0.022,0.02,4.606,1.527359801,,0.021,0.019,4.3757,1.476066507,,0.031,0.029,6.6787,1.898923358,,0.024,0.022,5.0666,1.622669981,
336,0.002,0.018,0.016,3.6848,1.30421625,,0.024,0.022,5.0666,1.622669981,,0.018,0.016,3.6848,1.30421625,,0.022,0.02,4.606,1.527359801,,0.021,0.019,4.3757,1.476066507,,0.021,0.019,4.3757,1.476066507,,0.03,0.028,6.4484,1.863832038,,0.024,0.022,5.0666,1.622669981,
337,0.001,0.018,0.017,3.9151,1.364840872,,0.023,0.022,5.0666,1.622669981,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.021,0.02,4.606,1.527359801,,0.02,0.019,4.3757,1.476066507,,0.03,0.029,6.6787,1.898923358,,0.023,0.022,5.0666,1.622669981,
338,0.001,0.018,0.017,3.9151,1.364840872,,0.023,0.022,5.0666,1.622669981,,0.017,0.016,3.6848,1.30421625,,0.022,0.021,4.8363,1.576149966,,0.021,0.02,4.606,1.527359801,,0.02,0.019,4.3757,1.476066507,,0.03,0.029,6.6787,1.898923358,,0.023,0.022,5.0666,1.622669981,
339,0.002,0.018,0.016,3.6848,1.30421625,,0.023,0.021,4.8363,1.576149966,,0.018,0.016,3.6848,1.30421625,,0.022,0.02,4.606,1.527359801,,0.021,0.019,4.3757,1.476066507,,0.02,0.018,4.1454,1.421999286,,0.03,0.028,6.4484,1.863832038,,0.023,0.021,4.8363,1.576149966,
340,0.003,0.019,0.016,3.6848,1.30421625,,0.024,0.021,4.8363,1.576149966,,0.019,0.016,3.6848,1.30421625,,0.023,0.02,4.606,1.527359801,,0.022,0.019,4.3757,1.476066507,,0.021,0.018,4.1454,1.421999286,,0.031,0.028,6.4484,1.863832038,,0.024,0.021,4.8363,1.576149966,
341,0.002,0.019,0.017,3.9151,1.364840872,,0.023,0.021,4.8363,1.576149966,,0.017,0.015,3.4545,1.239677729,,0.022,0.02,4.606,1.527359801,,0.021,0.019,4.3757,1.476066507,,0.02,0.018,4.1454,1.421999286,,0.03,0.028,6.4484,1.863832038,,0.023,0.021,4.8363,1.576149966,
342,0.001,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.017,0.016,3.6848,1.30421625,,0.021,0.02,4.606,1.527359801,,0.021,0.02,4.606,1.527359801,,0.019,0.018,4.1454,1.421999286,,0.03,0.029,6.6787,1.898923358,,0.022,0.021,4.8363,1.576149966,
343,0.001,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.02,0.019,4.3757,1.476066507,,0.018,0.017,3.9151,1.364840872,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,
