,MilliQ,B30May19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,F30May19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr
210,0.005,0.073,0.068,15.6604,2.751135233,,0.114,0.109,25.1027,3.22297541,,0.091,0.086,19.8058,2.985974824,,0.137,0.132,30.3996,3.41442945,,0.122,0.117,26.9451,3.293801463,,0.128,0.123,28.3269,3.343811883,,0.119,0.114,26.2542,3.267825976,,0.185,0.18,41.454,3.724584379,
211,0.005,0.071,0.066,15.1998,2.72128227,,0.111,0.106,24.4118,3.195066622,,0.088,0.083,19.1149,2.950468136,,0.133,0.128,29.4784,3.383657792,,0.118,0.113,26.0239,3.259015347,,0.124,0.119,27.4057,3.310751021,,0.116,0.111,25.5633,3.241157729,,0.179,0.174,40.0722,3.690682827,
212,0.005,0.069,0.064,14.7392,2.690510611,,0.107,0.102,23.4906,3.156600341,,0.086,0.081,18.6543,2.926076683,,0.128,0.123,28.3269,3.343811883,,0.115,0.11,25.333,3.232107894,,0.121,0.116,26.7148,3.285217719,,0.114,0.109,25.1027,3.22297541,,0.172,0.167,38.4601,3.64962134,
213,0.005,0.067,0.062,14.2786,2.658761913,,0.104,0.099,22.7997,3.126747378,,0.083,0.078,17.9634,2.888336355,,0.124,0.119,27.4057,3.310751021,,0.111,0.106,24.4118,3.195066622,,0.117,0.112,25.7936,3.250126399,,0.111,0.106,24.4118,3.195066622,,0.165,0.16,36.848,3.606801343,
214,0.004,0.066,0.062,14.2786,2.658761913,,0.101,0.097,22.3391,3.106338506,,0.081,0.077,17.7331,2.87543295,,0.12,0.116,26.7148,3.285217719,,0.107,0.103,23.7209,3.166356516,,0.114,0.11,25.333,3.232107894,,0.108,0.104,23.9512,3.176018427,,0.158,0.154,35.4662,3.56858013,
215,0.004,0.064,0.06,13.818,2.62597209,,0.098,0.094,21.6482,3.07492231,,0.079,0.075,17.2725,2.849115641,,0.116,0.112,25.7936,3.250126399,,0.104,0.1,23.03,3.136797714,,0.111,0.107,24.6421,3.204456362,,0.105,0.101,23.2603,3.146748045,,0.151,0.147,33.8541,3.522060115,
216,0.004,0.063,0.059,13.5877,2.609164972,,0.096,0.092,21.1876,3.053416105,,0.077,0.073,16.8119,2.822086969,,0.113,0.109,25.1027,3.22297541,,0.1,0.096,22.1088,3.095975719,,0.108,0.104,23.9512,3.176018427,,0.102,0.098,22.5694,3.116595007,,0.144,0.14,32.242,3.47326995,
217,0.004,0.061,0.057,13.1271,2.574678796,,0.093,0.089,20.4967,3.020263898,,0.075,0.071,16.3513,2.794307405,,0.109,0.105,24.1815,3.185587878,,0.097,0.093,21.4179,3.064227021,,0.105,0.101,23.2603,3.146748045,,0.1,0.096,22.1088,3.095975719,,0.137,0.133,30.6299,3.421976656,
218,0.004,0.059,0.055,12.6665,2.538960713,,0.091,0.087,20.0361,2.997535646,,0.074,0.07,16.121,2.78012277,,0.106,0.102,23.4906,3.156600341,,0.094,0.09,20.727,3.031437198,,0.103,0.099,22.7997,3.126747378,,0.098,0.094,21.6482,3.07492231,,0.13,0.126,29.0178,3.367909435,
219,0.003,0.058,0.055,12.6665,2.538960713,,0.089,0.086,19.8058,2.985974824,,0.072,0.069,15.8907,2.765734032,,0.103,0.1,23.03,3.136797714,,0.091,0.088,20.2664,3.008964342,,0.101,0.098,22.5694,3.116595007,,0.096,0.093,21.4179,3.064227021,,0.124,0.121,27.8663,3.327418073,
220,0.003,0.057,0.054,12.4362,2.520611574,,0.087,0.084,19.3452,2.962444327,,0.07,0.067,15.4301,2.736320147,,0.1,0.097,22.3391,3.106338506,,0.089,0.086,19.8058,2.985974824,,0.098,0.095,21.8785,3.085504419,,0.093,0.09,20.727,3.031437198,,0.117,0.114,26.2542,3.267825976,
221,0.003,0.056,0.053,12.2059,2.501919441,,0.085,0.082,18.8846,2.938346775,,0.069,0.066,15.1998,2.72128227,,0.098,0.095,21.8785,3.085504419,,0.086,0.083,19.1149,2.950468136,,0.096,0.093,21.4179,3.064227021,,0.091,0.088,20.2664,3.008964342,,0.111,0.108,24.8724,3.213758755,
222,0.003,0.055,0.052,11.9756,2.482871246,,0.083,0.08,18.424,2.913654163,,0.067,0.064,14.7392,2.690510611,,0.095,0.092,21.1876,3.053416105,,0.084,0.081,18.6543,2.926076683,,0.094,0.091,20.9573,3.042487034,,0.089,0.086,19.8058,2.985974824,,0.106,0.103,23.7209,3.166356516,
223,0.003,0.053,0.05,11.515,2.443650533,,0.081,0.078,17.9634,2.888336355,,0.066,0.063,14.5089,2.674762254,,0.093,0.09,20.727,3.031437198,,0.081,0.078,17.9634,2.888336355,,0.092,0.089,20.4967,3.020263898,,0.088,0.085,19.5755,2.974278784,,0.1,0.097,22.3391,3.106338506,
224,0.003,0.052,0.049,11.2847,2.423447826,,0.08,0.077,17.7331,2.87543295,,0.065,0.062,14.2786,2.658761913,,0.091,0.088,20.2664,3.008964342,,0.079,0.076,17.5028,2.862360868,,0.09,0.087,20.0361,2.997535646,,0.086,0.083,19.1149,2.950468136,,0.096,0.093,21.4179,3.064227021,
225,0.003,0.051,0.048,11.0544,2.402828539,,0.078,0.075,17.2725,2.849115641,,0.064,0.061,14.0483,2.642501392,,0.088,0.085,19.5755,2.974278784,,0.077,0.074,17.0422,2.835692621,,0.089,0.086,19.8058,2.985974824,,0.084,0.081,18.6543,2.926076683,,0.091,0.088,20.2664,3.008964342,
226,0.003,0.05,0.047,10.8241,2.38177513,,0.076,0.073,16.8119,2.822086969,,0.062,0.059,13.5877,2.609164972,,0.086,0.083,19.1149,2.950468136,,0.075,0.072,16.5816,2.808293647,,0.087,0.084,19.3452,2.962444327,,0.083,0.08,18.424,2.913654163,,0.087,0.084,19.3452,2.962444327,
227,0.003,0.049,0.046,10.5938,2.360268924,,0.075,0.072,16.5816,2.808293647,,0.061,0.058,13.3574,2.592070538,,0.084,0.081,18.6543,2.926076683,,0.073,0.07,16.121,2.78012277,,0.085,0.082,18.8846,2.938346775,,0.081,0.078,17.9634,2.888336355,,0.083,0.08,18.424,2.913654163,
