,Blank,F22Jul19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Jul19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
207,-0.007,0.178,0.185,42.6055,3.751983353,,0.088,0.095,43.757,3.7786516,,0.087,0.094,21.6482,3.07492231,,0.153,0.16,36.848,3.606801343,,0.072,0.079,36.3874,3.594222561,
208,-0.007,0.172,0.179,41.2237,3.719013334,,0.085,0.092,42.3752,3.746563285,,0.085,0.092,21.1876,3.053416105,,0.151,0.158,36.3874,3.594222561,,0.071,0.078,35.9268,3.581483535,
209,-0.007,0.167,0.174,40.0722,3.690682827,,0.082,0.089,40.9934,3.713411078,,0.083,0.09,20.727,3.031437198,,0.148,0.155,35.6965,3.575052645,,0.069,0.076,35.0056,3.555508049,
210,-0.007,0.162,0.169,38.9207,3.661526243,,0.08,0.087,40.0722,3.690682827,,0.081,0.088,20.2664,3.008964342,,0.145,0.152,35.0056,3.555508049,,0.068,0.075,34.545,3.542262822,
211,-0.007,0.157,0.164,37.7692,3.631493956,,0.078,0.085,39.151,3.667425965,,0.079,0.086,19.8058,2.985974824,,0.143,0.15,34.545,3.542262822,,0.067,0.074,34.0844,3.528839802,
212,-0.007,0.153,0.16,36.848,3.606801343,,0.076,0.083,38.2298,3.643615316,,0.077,0.084,19.3452,2.962444327,,0.141,0.148,34.0844,3.528839802,,0.066,0.073,33.6238,3.51523415,
213,-0.007,0.149,0.156,35.9268,3.581483535,,0.074,0.081,37.3086,3.619223863,,0.075,0.082,18.8846,2.938346775,,0.139,0.146,33.6238,3.51523415,,0.065,0.072,33.1632,3.501440827,
214,-0.007,0.145,0.152,35.0056,3.555508049,,0.072,0.079,36.3874,3.594222561,,0.074,0.081,18.6543,2.926076683,,0.137,0.144,33.1632,3.501440827,,0.064,0.071,32.7026,3.487454585,
215,-0.006,0.142,0.148,34.0844,3.528839802,,0.07,0.076,35.0056,3.555508049,,0.072,0.078,17.9634,2.888336355,,0.135,0.141,32.4723,3.480387418,,0.063,0.069,31.7814,3.458881213,
216,-0.006,0.139,0.145,33.3935,3.50836127,,0.069,0.075,34.545,3.542262822,,0.071,0.077,17.7331,2.87543295,,0.133,0.139,32.0117,3.466101461,,0.062,0.068,31.3208,3.444282414,
217,-0.007,0.136,0.143,32.9329,3.494472158,,0.067,0.074,34.0844,3.528839802,,0.07,0.077,17.7331,2.87543295,,0.132,0.139,32.0117,3.466101461,,0.061,0.068,31.3208,3.444282414,
218,-0.006,0.133,0.139,32.0117,3.466101461,,0.066,0.072,33.1632,3.501440827,,0.068,0.074,17.0422,2.835692621,,0.13,0.136,31.3208,3.444282414,,0.06,0.066,30.3996,3.41442945,
219,-0.006,0.131,0.137,31.5511,3.451608454,,0.064,0.07,32.242,3.47326995,,0.067,0.073,16.8119,2.822086969,,0.129,0.135,31.0905,3.436902306,,0.06,0.066,30.3996,3.41442945,
220,-0.006,0.128,0.134,30.8602,3.429467328,,0.063,0.069,31.7814,3.458881213,,0.066,0.072,16.5816,2.808293647,,0.127,0.133,30.6299,3.421976656,,0.059,0.065,29.939,3.399161978,
221,-0.006,0.126,0.132,30.3996,3.41442945,,0.062,0.068,31.3208,3.444282414,,0.065,0.071,16.3513,2.794307405,,0.126,0.132,30.3996,3.41442945,,0.058,0.064,29.4784,3.383657792,
222,-0.006,0.124,0.13,29.939,3.399161978,,0.061,0.067,30.8602,3.429467328,,0.064,0.07,16.121,2.78012277,,0.125,0.131,30.1693,3.406824851,,0.058,0.064,29.4784,3.383657792,
223,-0.005,0.122,0.127,29.2481,3.375814614,,0.06,0.065,29.939,3.399161978,,0.064,0.069,15.8907,2.765734032,,0.124,0.129,29.7087,3.391439932,,0.057,0.062,28.5572,3.351909093,
224,-0.005,0.12,0.125,28.7875,3.359941265,,0.06,0.065,29.939,3.399161978,,0.063,0.068,15.6604,2.751135233,,0.123,0.128,29.4784,3.383657792,,0.057,0.062,28.5572,3.351909093,
225,-0.005,0.119,0.124,28.5572,3.351909093,,0.059,0.064,29.4784,3.383657792,,0.062,0.067,15.4301,2.736320147,,0.122,0.127,29.2481,3.375814614,,0.057,0.062,28.5572,3.351909093,
226,-0.005,0.117,0.122,28.0966,3.335648573,,0.058,0.063,29.0178,3.367909435,,0.061,0.066,15.1998,2.72128227,,0.121,0.126,29.0178,3.367909435,,0.056,0.061,28.0966,3.335648573,
227,-0.005,0.115,0.12,27.636,3.319119271,,0.057,0.062,28.5572,3.351909093,,0.06,0.065,14.9695,2.706014798,,0.12,0.125,28.7875,3.359941265,,0.056,0.061,28.0966,3.335648573,
228,-0.004,0.114,0.118,27.1754,3.302312152,,0.057,0.061,28.0966,3.335648573,,0.06,0.064,14.7392,2.690510611,,0.119,0.123,28.3269,3.343811883,,0.056,0.06,27.636,3.319119271,
229,-0.003,0.113,0.116,26.7148,3.285217719,,0.056,0.059,27.1754,3.302312152,,0.059,0.062,14.2786,2.658761913,,0.118,0.121,27.8663,3.327418073,,0.055,0.058,26.7148,3.285217719,
230,-0.003,0.112,0.115,26.4845,3.276559656,,0.056,0.059,27.1754,3.302312152,,0.059,0.062,14.2786,2.658761913,,0.118,0.121,27.8663,3.327418073,,0.055,0.058,26.7148,3.285217719,
