,Blank,F11Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
200,-0.015,0.16,0.175,40.3025,3.696413502,,0.08,0.095,43.757,3.7786516,,0.29,0.305,70.2415,4.251939304,,0.064,0.079,36.3874,3.594222561,,0.282,0.297,68.3991,4.225359667,,0.126,0.141,64.9446,4.173534599,,0.078,0.093,21.4179,3.064227021,,0.198,0.213,49.0539,3.892919694,,0.1,0.115,52.969,3.969706837,,0.204,0.219,50.4357,3.920699258,,0.1,0.115,52.969,3.969706837,,0.206,0.221,50.8963,3.929790229,,0.1,0.115,52.969,3.969706837,
201,-0.015,0.155,0.17,39.151,3.667425965,,0.077,0.092,42.3752,3.746563285,,0.273,0.288,66.3264,4.194588008,,0.061,0.076,35.0056,3.555508049,,0.274,0.289,66.5567,4.198054216,,0.121,0.136,62.6416,4.137429594,,0.072,0.087,20.0361,2.997535646,,0.189,0.204,46.9812,3.849747522,,0.096,0.111,51.1266,3.93430491,,0.195,0.21,48.363,3.878735059,,0.096,0.111,51.1266,3.93430491,,0.198,0.213,49.0539,3.892919694,,0.095,0.11,50.666,3.925255074,
202,-0.013,0.152,0.165,37.9995,3.637573002,,0.076,0.089,40.9934,3.713411078,,0.258,0.271,62.4113,4.133746349,,0.058,0.071,32.7026,3.487454585,,0.266,0.279,64.2537,4.16283931,,0.118,0.131,60.3386,4.099972032,,0.066,0.079,18.1937,2.90107538,,0.182,0.195,44.9085,3.804627086,,0.092,0.105,48.363,3.878735059,,0.187,0.2,46.06,3.829944894,,0.093,0.106,48.8236,3.888213803,,0.191,0.204,46.9812,3.849747522,,0.092,0.105,48.363,3.878735059,
203,-0.012,0.149,0.161,37.0783,3.613031893,,0.075,0.087,40.0722,3.690682827,,0.245,0.257,59.1871,4.080703613,,0.055,0.067,30.8602,3.429467328,,0.261,0.273,62.8719,4.141099323,,0.116,0.128,58.9568,4.076804972,,0.063,0.075,17.2725,2.849115641,,0.176,0.188,43.2964,3.768069491,,0.089,0.101,46.5206,3.839895225,,0.18,0.192,44.2176,3.7891229,,0.09,0.102,46.9812,3.849747522,,0.184,0.196,45.1388,3.809742187,,0.089,0.101,46.5206,3.839895225,
204,-0.011,0.146,0.157,36.1571,3.587873333,,0.073,0.084,38.6904,3.655591507,,0.232,0.243,55.9629,4.024688971,,0.052,0.063,29.0178,3.367909435,,0.255,0.266,61.2598,4.115123837,,0.114,0.125,57.575,4.053088446,,0.059,0.07,16.121,2.78012277,,0.169,0.18,41.454,3.724584379,,0.085,0.096,44.2176,3.7891229,,0.173,0.184,42.3752,3.746563285,,0.087,0.098,45.1388,3.809742187,,0.177,0.188,43.2964,3.768069491,,0.085,0.096,44.2176,3.7891229,
205,-0.011,0.144,0.155,35.6965,3.575052645,,0.072,0.083,38.2298,3.643615316,,0.22,0.231,53.1993,3.974045238,,0.049,0.06,27.636,3.319119271,,0.249,0.26,59.878,4.092309159,,0.112,0.123,56.6538,4.036959064,,0.055,0.066,15.1998,2.72128227,,0.163,0.174,40.0722,3.690682827,,0.082,0.093,42.8358,3.757374202,,0.166,0.177,40.7631,3.70777726,,0.083,0.094,43.2964,3.768069491,,0.171,0.182,41.9146,3.735634215,,0.082,0.093,42.8358,3.757374202,
206,-0.011,0.142,0.153,35.2359,3.562065449,,0.071,0.082,37.7692,3.631493956,,0.209,0.22,50.666,3.925255074,,0.047,0.058,26.7148,3.285217719,,0.245,0.256,58.9568,4.076804972,,0.11,0.121,55.7326,4.020565254,,0.052,0.063,14.5089,2.674762254,,0.157,0.168,38.6904,3.655591507,,0.079,0.09,41.454,3.724584379,,0.16,0.171,39.3813,3.673291084,,0.08,0.091,41.9146,3.735634215,,0.165,0.176,40.5328,3.702111523,,0.079,0.09,41.454,3.724584379,
207,-0.011,0.14,0.151,34.7753,3.548907365,,0.07,0.081,37.3086,3.619223863,,0.2,0.211,48.5933,3.883485661,,0.045,0.056,25.7936,3.250126399,,0.241,0.252,58.0356,4.061056615,,0.108,0.119,54.8114,4.003898202,,0.05,0.061,14.0483,2.642501392,,0.152,0.163,37.5389,3.625377729,,0.077,0.088,40.5328,3.702111523,,0.155,0.166,38.2298,3.643615316,,0.077,0.088,40.5328,3.702111523,,0.16,0.171,39.3813,3.673291084,,0.077,0.088,40.5328,3.702111523,
208,-0.01,0.138,0.148,34.0844,3.528839802,,0.069,0.079,36.3874,3.594222561,,0.191,0.201,46.2903,3.834932436,,0.043,0.053,24.4118,3.195066622,,0.238,0.248,57.1144,4.045056274,,0.107,0.117,53.8902,3.986948643,,0.048,0.058,13.3574,2.592070538,,0.147,0.157,36.1571,3.587873333,,0.074,0.084,38.6904,3.655591507,,0.15,0.16,36.848,3.606801343,,0.075,0.085,39.151,3.667425965,,0.155,0.165,37.9995,3.637573002,,0.074,0.084,38.6904,3.655591507,
209,-0.01,0.137,0.147,33.8541,3.522060115,,0.068,0.078,35.9268,3.581483535,,0.183,0.193,44.4479,3.794317717,,0.04,0.05,23.03,3.136797714,,0.235,0.245,56.4235,4.032885738,,0.105,0.115,52.969,3.969706837,,0.046,0.056,12.8968,2.556979219,,0.143,0.153,35.2359,3.562065449,,0.072,0.082,37.7692,3.631493956,,0.145,0.155,35.6965,3.575052645,,0.072,0.082,37.7692,3.631493956,,0.15,0.16,36.848,3.606801343,,0.072,0.082,37.7692,3.631493956,
210,-0.01,0.135,0.145,33.3935,3.50836127,,0.067,0.077,35.4662,3.56858013,,0.176,0.186,42.8358,3.757374202,,0.039,0.049,22.5694,3.116595007,,0.232,0.242,55.7326,4.020565254,,0.104,0.114,52.5084,3.960973157,,0.044,0.054,12.4362,2.520611574,,0.139,0.149,34.3147,3.535573834,,0.07,0.08,36.848,3.606801343,,0.141,0.151,34.7753,3.548907365,,0.07,0.08,36.848,3.606801343,,0.146,0.156,35.9268,3.581483535,,0.07,0.08,36.848,3.606801343,
211,-0.01,0.134,0.144,33.1632,3.501440827,,0.067,0.077,35.4662,3.56858013,,0.17,0.18,41.454,3.724584379,,0.037,0.047,21.6482,3.07492231,,0.23,0.24,55.272,4.012266451,,0.103,0.113,52.0478,3.952162527,,0.043,0.053,12.2059,2.501919441,,0.135,0.145,33.3935,3.50836127,,0.068,0.078,35.9268,3.581483535,,0.137,0.147,33.8541,3.522060115,,0.067,0.077,35.4662,3.56858013,,0.142,0.152,35.0056,3.555508049,,0.068,0.078,35.9268,3.581483535,
