,Blank,F11Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
345,-0.002,0.051,0.053,12.2059,2.501919441,,0.024,0.026,11.9756,2.482871246,,0.024,0.026,5.9878,1.789724066,,0.004,0.006,2.7636,1.016534178,,0.092,0.094,21.6482,3.07492231,,0.041,0.043,19.8058,2.985974824,,0.008,0.01,2.303,0.834212621,,0.025,0.027,6.2181,1.827464394,,0.013,0.015,6.909,1.93282491,,0.025,0.027,6.2181,1.827464394,,0.013,0.015,6.909,1.93282491,,0.027,0.029,6.6787,1.898923358,,0.014,0.016,7.3696,1.997363431,
346,-0.002,0.051,0.053,12.2059,2.501919441,,0.024,0.026,11.9756,2.482871246,,0.024,0.026,5.9878,1.789724066,,0.004,0.006,2.7636,1.016534178,,0.091,0.093,21.4179,3.064227021,,0.041,0.043,19.8058,2.985974824,,0.008,0.01,2.303,0.834212621,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.025,0.027,6.2181,1.827464394,,0.013,0.015,6.909,1.93282491,,0.027,0.029,6.6787,1.898923358,,0.013,0.015,6.909,1.93282491,
347,-0.002,0.05,0.052,11.9756,2.482871246,,0.024,0.026,11.9756,2.482871246,,0.024,0.026,5.9878,1.789724066,,0.004,0.006,2.7636,1.016534178,,0.091,0.093,21.4179,3.064227021,,0.04,0.042,19.3452,2.962444327,,0.008,0.01,2.303,0.834212621,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.024,0.026,5.9878,1.789724066,,0.013,0.015,6.909,1.93282491,,0.027,0.029,6.6787,1.898923358,,0.013,0.015,6.909,1.93282491,
348,-0.002,0.05,0.052,11.9756,2.482871246,,0.023,0.025,11.515,2.443650533,,0.023,0.025,5.7575,1.750503353,,0.004,0.006,2.7636,1.016534178,,0.09,0.092,21.1876,3.053416105,,0.04,0.042,19.3452,2.962444327,,0.008,0.01,2.303,0.834212621,,0.024,0.026,5.9878,1.789724066,,0.012,0.014,6.4484,1.863832038,,0.024,0.026,5.9878,1.789724066,,0.013,0.015,6.909,1.93282491,,0.026,0.028,6.4484,1.863832038,,0.013,0.015,6.909,1.93282491,
349,-0.001,0.05,0.051,11.7453,2.463453161,,0.023,0.024,11.0544,2.402828539,,0.023,0.024,5.5272,1.709681358,,0.004,0.005,2.303,0.834212621,,0.09,0.091,20.9573,3.042487034,,0.04,0.041,18.8846,2.938346775,,0.008,0.009,2.0727,0.728852105,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,
350,-0.001,0.049,0.05,11.515,2.443650533,,0.023,0.024,11.0544,2.402828539,,0.023,0.024,5.5272,1.709681358,,0.003,0.004,1.8424,0.61106907,,0.089,0.09,20.727,3.031437198,,0.04,0.041,18.8846,2.938346775,,0.007,0.008,1.8424,0.61106907,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,
351,-0.001,0.049,0.05,11.515,2.443650533,,0.023,0.024,11.0544,2.402828539,,0.023,0.024,5.5272,1.709681358,,0.004,0.005,2.303,0.834212621,,0.089,0.09,20.727,3.031437198,,0.04,0.041,18.8846,2.938346775,,0.007,0.008,1.8424,0.61106907,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,
352,-0.001,0.048,0.049,11.2847,2.423447826,,0.022,0.023,10.5938,2.360268924,,0.022,0.023,5.2969,1.667121744,,0.003,0.004,1.8424,0.61106907,,0.089,0.09,20.727,3.031437198,,0.039,0.04,18.424,2.913654163,,0.007,0.008,1.8424,0.61106907,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,
353,-0.001,0.048,0.049,11.2847,2.423447826,,0.022,0.023,10.5938,2.360268924,,0.022,0.023,5.2969,1.667121744,,0.003,0.004,1.8424,0.61106907,,0.088,0.089,20.4967,3.020263898,,0.039,0.04,18.424,2.913654163,,0.007,0.008,1.8424,0.61106907,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,
354,-0.001,0.047,0.048,11.0544,2.402828539,,0.022,0.023,10.5938,2.360268924,,0.022,0.023,5.2969,1.667121744,,0.003,0.004,1.8424,0.61106907,,0.087,0.088,20.2664,3.008964342,,0.039,0.04,18.424,2.913654163,,0.007,0.008,1.8424,0.61106907,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,
355,-0.001,0.048,0.049,11.2847,2.423447826,,0.022,0.023,10.5938,2.360268924,,0.021,0.022,5.0666,1.622669981,,0.004,0.005,2.303,0.834212621,,0.087,0.088,20.2664,3.008964342,,0.039,0.04,18.424,2.913654163,,0.007,0.008,1.8424,0.61106907,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,
356,-0.001,0.047,0.048,11.0544,2.402828539,,0.022,0.023,10.5938,2.360268924,,0.021,0.022,5.0666,1.622669981,,0.003,0.004,1.8424,0.61106907,,0.086,0.087,20.0361,2.997535646,,0.038,0.039,17.9634,2.888336355,,0.007,0.008,1.8424,0.61106907,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,
357,-0.002,0.047,0.049,11.2847,2.423447826,,0.021,0.023,10.5938,2.360268924,,0.021,0.023,5.2969,1.667121744,,0.003,0.005,2.303,0.834212621,,0.086,0.088,20.2664,3.008964342,,0.038,0.04,18.424,2.913654163,,0.007,0.009,2.0727,0.728852105,,0.022,0.024,5.5272,1.709681358,,0.011,0.013,5.9878,1.789724066,,0.022,0.024,5.5272,1.709681358,,0.012,0.014,6.4484,1.863832038,,0.024,0.026,5.9878,1.789724066,,0.012,0.014,6.4484,1.863832038,
358,-0.001,0.046,0.047,10.8241,2.38177513,,0.022,0.023,10.5938,2.360268924,,0.021,0.022,5.0666,1.622669981,,0.003,0.004,1.8424,0.61106907,,0.085,0.086,19.8058,2.985974824,,0.038,0.039,17.9634,2.888336355,,0.007,0.008,1.8424,0.61106907,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,
359,-0.001,0.046,0.047,10.8241,2.38177513,,0.021,0.022,10.1332,2.315817162,,0.02,0.021,4.8363,1.576149966,,0.003,0.004,1.8424,0.61106907,,0.085,0.086,19.8058,2.985974824,,0.038,0.039,17.9634,2.888336355,,0.007,0.008,1.8424,0.61106907,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,
360,-0.001,0.045,0.046,10.5938,2.360268924,,0.021,0.022,10.1332,2.315817162,,0.02,0.021,4.8363,1.576149966,,0.003,0.004,1.8424,0.61106907,,0.084,0.085,19.5755,2.974278784,,0.037,0.038,17.5028,2.862360868,,0.007,0.008,1.8424,0.61106907,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,
361,-0.002,0.045,0.047,10.8241,2.38177513,,0.021,0.023,10.5938,2.360268924,,0.019,0.021,4.8363,1.576149966,,0.003,0.005,2.303,0.834212621,,0.083,0.085,19.5755,2.974278784,,0.037,0.039,17.9634,2.888336355,,0.007,0.009,2.0727,0.728852105,,0.021,0.023,5.2969,1.667121744,,0.01,0.012,5.5272,1.709681358,,0.021,0.023,5.2969,1.667121744,,0.011,0.013,5.9878,1.789724066,,0.023,0.025,5.7575,1.750503353,,0.011,0.013,5.9878,1.789724066,
362,-0.001,0.045,0.046,10.5938,2.360268924,,0.021,0.022,10.1332,2.315817162,,0.019,0.02,4.606,1.527359801,,0.003,0.004,1.8424,0.61106907,,0.083,0.084,19.3452,2.962444327,,0.037,0.038,17.5028,2.862360868,,0.007,0.008,1.8424,0.61106907,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,
363,-0.001,0.045,0.046,10.5938,2.360268924,,0.021,0.022,10.1332,2.315817162,,0.019,0.02,4.606,1.527359801,,0.003,0.004,1.8424,0.61106907,,0.083,0.084,19.3452,2.962444327,,0.037,0.038,17.5028,2.862360868,,0.007,0.008,1.8424,0.61106907,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.012,0.013,5.9878,1.789724066,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,
364,-0.001,0.044,0.045,10.3635,2.338290018,,0.021,0.022,10.1332,2.315817162,,0.019,0.02,4.606,1.527359801,,0.003,0.004,1.8424,0.61106907,,0.082,0.083,19.1149,2.950468136,,0.037,0.038,17.5028,2.862360868,,0.007,0.008,1.8424,0.61106907,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,
365,-0.001,0.044,0.045,10.3635,2.338290018,,0.02,0.021,9.6726,2.269297146,,0.019,0.02,4.606,1.527359801,,0.003,0.004,1.8424,0.61106907,,0.082,0.083,19.1149,2.950468136,,0.036,0.037,17.0422,2.835692621,,0.007,0.008,1.8424,0.61106907,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,
366,-0.001,0.044,0.045,10.3635,2.338290018,,0.02,0.021,9.6726,2.269297146,,0.019,0.02,4.606,1.527359801,,0.003,0.004,1.8424,0.61106907,,0.081,0.082,18.8846,2.938346775,,0.036,0.037,17.0422,2.835692621,,0.007,0.008,1.8424,0.61106907,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,
367,-0.001,0.043,0.044,10.1332,2.315817162,,0.02,0.021,9.6726,2.269297146,,0.018,0.019,4.3757,1.476066507,,0.003,0.004,1.8424,0.61106907,,0.081,0.082,18.8846,2.938346775,,0.036,0.037,17.0422,2.835692621,,0.006,0.007,1.6121,0.477537677,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,
368,-0.001,0.043,0.044,10.1332,2.315817162,,0.019,0.02,9.212,2.220506982,,0.018,0.019,4.3757,1.476066507,,0.002,0.003,1.3818,0.323386997,,0.08,0.081,18.6543,2.926076683,,0.035,0.036,16.5816,2.808293647,,0.006,0.007,1.6121,0.477537677,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,
369,-0.002,0.042,0.044,10.1332,2.315817162,,0.019,0.021,9.6726,2.269297146,,0.017,0.019,4.3757,1.476066507,,0.002,0.004,1.8424,0.61106907,,0.079,0.081,18.6543,2.926076683,,0.035,0.037,17.0422,2.835692621,,0.006,0.008,1.8424,0.61106907,,0.019,0.021,4.8363,1.576149966,,0.01,0.012,5.5272,1.709681358,,0.019,0.021,4.8363,1.576149966,,0.01,0.012,5.5272,1.709681358,,0.021,0.023,5.2969,1.667121744,,0.01,0.012,5.5272,1.709681358,
370,-0.001,0.042,0.043,9.9029,2.292827644,,0.019,0.02,9.212,2.220506982,,0.017,0.018,4.1454,1.421999286,,0.003,0.004,1.8424,0.61106907,,0.079,0.08,18.424,2.913654163,,0.035,0.036,16.5816,2.808293647,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,
371,-0.001,0.042,0.043,9.9029,2.292827644,,0.019,0.02,9.212,2.220506982,,0.017,0.018,4.1454,1.421999286,,0.002,0.003,1.3818,0.323386997,,0.078,0.079,18.1937,2.90107538,,0.035,0.036,16.5816,2.808293647,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,
372,-0.001,0.042,0.043,9.9029,2.292827644,,0.019,0.02,9.212,2.220506982,,0.017,0.018,4.1454,1.421999286,,0.002,0.003,1.3818,0.323386997,,0.078,0.079,18.1937,2.90107538,,0.035,0.036,16.5816,2.808293647,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,
373,-0.001,0.041,0.042,9.6726,2.269297146,,0.019,0.02,9.212,2.220506982,,0.017,0.018,4.1454,1.421999286,,0.002,0.003,1.3818,0.323386997,,0.078,0.079,18.1937,2.90107538,,0.034,0.035,16.121,2.78012277,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,
374,-0.001,0.041,0.042,9.6726,2.269297146,,0.019,0.02,9.212,2.220506982,,0.016,0.017,3.9151,1.364840872,,0.002,0.003,1.3818,0.323386997,,0.077,0.078,17.9634,2.888336355,,0.034,0.035,16.121,2.78012277,,0.006,0.007,1.6121,0.477537677,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,
375,-0.001,0.041,0.042,9.6726,2.269297146,,0.018,0.019,8.7514,2.169213688,,0.016,0.017,3.9151,1.364840872,,0.002,0.003,1.3818,0.323386997,,0.076,0.077,17.7331,2.87543295,,0.034,0.035,16.121,2.78012277,,0.006,0.007,1.6121,0.477537677,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,
376,-0.001,0.04,0.041,9.4423,2.245199595,,0.018,0.019,8.7514,2.169213688,,0.016,0.017,3.9151,1.364840872,,0.002,0.003,1.3818,0.323386997,,0.076,0.077,17.7331,2.87543295,,0.033,0.034,15.6604,2.751135233,,0.006,0.007,1.6121,0.477537677,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,
377,-0.001,0.04,0.041,9.4423,2.245199595,,0.018,0.019,8.7514,2.169213688,,0.016,0.017,3.9151,1.364840872,,0.002,0.003,1.3818,0.323386997,,0.075,0.076,17.5028,2.862360868,,0.033,0.034,15.6604,2.751135233,,0.006,0.007,1.6121,0.477537677,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,
378,-0.001,0.04,0.041,9.4423,2.245199595,,0.018,0.019,8.7514,2.169213688,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,1.3818,0.323386997,,0.075,0.076,17.5028,2.862360868,,0.033,0.034,15.6604,2.751135233,,0.006,0.007,1.6121,0.477537677,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
379,-0.001,0.04,0.041,9.4423,2.245199595,,0.018,0.019,8.7514,2.169213688,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,1.3818,0.323386997,,0.074,0.075,17.2725,2.849115641,,0.033,0.034,15.6604,2.751135233,,0.005,0.006,1.3818,0.323386997,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,
380,-0.001,0.039,0.04,9.212,2.220506982,,0.018,0.019,8.7514,2.169213688,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,1.3818,0.323386997,,0.074,0.075,17.2725,2.849115641,,0.033,0.034,15.6604,2.751135233,,0.005,0.006,1.3818,0.323386997,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,
381,-0.001,0.039,0.04,9.212,2.220506982,,0.017,0.018,8.2908,2.115146466,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,1.3818,0.323386997,,0.073,0.074,17.0422,2.835692621,,0.032,0.033,15.1998,2.72128227,,0.005,0.006,1.3818,0.323386997,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,
382,-0.001,0.039,0.04,9.212,2.220506982,,0.017,0.018,8.2908,2.115146466,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,1.3818,0.323386997,,0.073,0.074,17.0422,2.835692621,,0.032,0.033,15.1998,2.72128227,,0.005,0.006,1.3818,0.323386997,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,
383,-0.001,0.039,0.04,9.212,2.220506982,,0.017,0.018,8.2908,2.115146466,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,1.3818,0.323386997,,0.072,0.073,16.8119,2.822086969,,0.032,0.033,15.1998,2.72128227,,0.005,0.006,1.3818,0.323386997,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,
384,-0.001,0.038,0.039,8.9817,2.195189174,,0.017,0.018,8.2908,2.115146466,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,1.3818,0.323386997,,0.072,0.073,16.8119,2.822086969,,0.032,0.033,15.1998,2.72128227,,0.005,0.006,1.3818,0.323386997,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,
385,-0.001,0.038,0.039,8.9817,2.195189174,,0.017,0.018,8.2908,2.115146466,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,1.3818,0.323386997,,0.071,0.072,16.5816,2.808293647,,0.031,0.032,14.7392,2.690510611,,0.005,0.006,1.3818,0.323386997,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,
386,-0.001,0.038,0.039,8.9817,2.195189174,,0.017,0.018,8.2908,2.115146466,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,1.3818,0.323386997,,0.071,0.072,16.5816,2.808293647,,0.031,0.032,14.7392,2.690510611,,0.005,0.006,1.3818,0.323386997,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.009,0.01,4.606,1.527359801,
387,-0.001,0.037,0.038,8.7514,2.169213688,,0.016,0.017,7.8302,2.057988052,,0.013,0.014,3.2242,1.170684857,,0.001,0.002,0.9212,-0.082078111,,0.07,0.071,16.3513,2.794307405,,0.031,0.032,14.7392,2.690510611,,0.005,0.006,1.3818,0.323386997,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.009,0.01,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,
388,-0.001,0.037,0.038,8.7514,2.169213688,,0.017,0.018,8.2908,2.115146466,,0.013,0.014,3.2242,1.170684857,,0.001,0.002,0.9212,-0.082078111,,0.07,0.071,16.3513,2.794307405,,0.031,0.032,14.7392,2.690510611,,0.005,0.006,1.3818,0.323386997,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.009,0.01,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,
389,-0.001,0.037,0.038,8.7514,2.169213688,,0.016,0.017,7.8302,2.057988052,,0.013,0.014,3.2242,1.170684857,,0.001,0.002,0.9212,-0.082078111,,0.07,0.071,16.3513,2.794307405,,0.031,0.032,14.7392,2.690510611,,0.005,0.006,1.3818,0.323386997,,0.015,0.016,3.6848,1.30421625,,0.008,0.009,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.009,0.01,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.009,0.01,4.606,1.527359801,
390,-0.001,0.037,0.038,8.7514,2.169213688,,0.016,0.017,7.8302,2.057988052,,0.013,0.014,3.2242,1.170684857,,0.001,0.002,0.9212,-0.082078111,,0.069,0.07,16.121,2.78012277,,0.03,0.031,14.2786,2.658761913,,0.005,0.006,1.3818,0.323386997,,0.015,0.016,3.6848,1.30421625,,0.008,0.009,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.008,0.009,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,
391,-0.001,0.036,0.037,8.5211,2.14254544,,0.016,0.017,7.8302,2.057988052,,0.013,0.014,3.2242,1.170684857,,0.001,0.002,0.9212,-0.082078111,,0.068,0.069,15.8907,2.765734032,,0.03,0.031,14.2786,2.658761913,,0.005,0.006,1.3818,0.323386997,,0.015,0.016,3.6848,1.30421625,,0.008,0.009,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.008,0.009,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,
392,-0.001,0.036,0.037,8.5211,2.14254544,,0.016,0.017,7.8302,2.057988052,,0.012,0.013,2.9939,1.096576885,,0.001,0.002,0.9212,-0.082078111,,0.068,0.069,15.8907,2.765734032,,0.03,0.031,14.2786,2.658761913,,0.005,0.006,1.3818,0.323386997,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,
393,-0.001,0.036,0.037,8.5211,2.14254544,,0.016,0.017,7.8302,2.057988052,,0.012,0.013,2.9939,1.096576885,,0.001,0.002,0.9212,-0.082078111,,0.068,0.069,15.8907,2.765734032,,0.03,0.031,14.2786,2.658761913,,0.005,0.006,1.3818,0.323386997,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,
394,-0.001,0.036,0.037,8.5211,2.14254544,,0.016,0.017,7.8302,2.057988052,,0.012,0.013,2.9939,1.096576885,,0.001,0.002,0.9212,-0.082078111,,0.067,0.068,15.6604,2.751135233,,0.03,0.031,14.2786,2.658761913,,0.005,0.006,1.3818,0.323386997,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.008,0.009,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,
