,MilliQ,F16Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
326,0.001,0.042,0.041,9.4423,2.245199595,,0.045,0.044,10.1332,2.315817162,,0.025,0.024,5.5272,1.709681358,,0.03,0.029,6.6787,1.898923358,,0.037,0.036,8.2908,2.115146466,,0.035,0.034,7.8302,2.057988052,,0.038,0.037,8.5211,2.14254544,,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.036,0.035,8.0605,2.086975589,,0.037,0.036,8.2908,2.115146466,,0.029,0.028,6.4484,1.863832038,,0.03,0.029,6.6787,1.898923358,
327,0.001,0.042,0.041,9.4423,2.245199595,,0.044,0.043,9.9029,2.292827644,,0.024,0.023,5.2969,1.667121744,,0.03,0.029,6.6787,1.898923358,,0.036,0.035,8.0605,2.086975589,,0.035,0.034,7.8302,2.057988052,,0.037,0.036,8.2908,2.115146466,,0.026,0.025,5.7575,1.750503353,,0.031,0.03,6.909,1.93282491,,0.036,0.035,8.0605,2.086975589,,0.036,0.035,8.0605,2.086975589,,0.029,0.028,6.4484,1.863832038,,0.03,0.029,6.6787,1.898923358,
328,0.002,0.042,0.04,9.212,2.220506982,,0.044,0.042,9.6726,2.269297146,,0.025,0.023,5.2969,1.667121744,,0.029,0.027,6.2181,1.827464394,,0.036,0.034,7.8302,2.057988052,,0.034,0.032,7.3696,1.997363431,,0.037,0.035,8.0605,2.086975589,,0.026,0.024,5.5272,1.709681358,,0.031,0.029,6.6787,1.898923358,,0.035,0.033,7.5999,2.028135089,,0.036,0.034,7.8302,2.057988052,,0.029,0.027,6.2181,1.827464394,,0.029,0.027,6.2181,1.827464394,
329,0.001,0.041,0.04,9.212,2.220506982,,0.044,0.043,9.9029,2.292827644,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.036,0.035,8.0605,2.086975589,,0.034,0.033,7.5999,2.028135089,,0.037,0.036,8.2908,2.115146466,,0.026,0.025,5.7575,1.750503353,,0.031,0.03,6.909,1.93282491,,0.035,0.034,7.8302,2.057988052,,0.036,0.035,8.0605,2.086975589,,0.029,0.028,6.4484,1.863832038,,0.029,0.028,6.4484,1.863832038,
330,0.001,0.04,0.039,8.9817,2.195189174,,0.043,0.042,9.6726,2.269297146,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.036,0.035,8.0605,2.086975589,,0.034,0.033,7.5999,2.028135089,,0.036,0.035,8.0605,2.086975589,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.034,0.033,7.5999,2.028135089,,0.035,0.034,7.8302,2.057988052,,0.028,0.027,6.2181,1.827464394,,0.029,0.028,6.4484,1.863832038,
331,0.001,0.04,0.039,8.9817,2.195189174,,0.043,0.042,9.6726,2.269297146,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.035,0.034,7.8302,2.057988052,,0.033,0.032,7.3696,1.997363431,,0.036,0.035,8.0605,2.086975589,,0.025,0.024,5.5272,1.709681358,,0.03,0.029,6.6787,1.898923358,,0.034,0.033,7.5999,2.028135089,,0.035,0.034,7.8302,2.057988052,,0.028,0.027,6.2181,1.827464394,,0.029,0.028,6.4484,1.863832038,
332,0.001,0.039,0.038,8.7514,2.169213688,,0.042,0.041,9.4423,2.245199595,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.035,0.034,7.8302,2.057988052,,0.033,0.032,7.3696,1.997363431,,0.035,0.034,7.8302,2.057988052,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.034,0.033,7.5999,2.028135089,,0.035,0.034,7.8302,2.057988052,,0.028,0.027,6.2181,1.827464394,,0.028,0.027,6.2181,1.827464394,
333,0.001,0.039,0.038,8.7514,2.169213688,,0.042,0.041,9.4423,2.245199595,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.035,0.034,7.8302,2.057988052,,0.033,0.032,7.3696,1.997363431,,0.035,0.034,7.8302,2.057988052,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.034,0.033,7.5999,2.028135089,,0.034,0.033,7.5999,2.028135089,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,
334,0.001,0.039,0.038,8.7514,2.169213688,,0.042,0.041,9.4423,2.245199595,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.034,0.033,7.5999,2.028135089,,0.032,0.031,7.1393,1.965614732,,0.035,0.034,7.8302,2.057988052,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.034,0.033,7.5999,2.028135089,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,
335,0.001,0.038,0.037,8.5211,2.14254544,,0.041,0.04,9.212,2.220506982,,0.023,0.022,5.0666,1.622669981,,0.028,0.027,6.2181,1.827464394,,0.034,0.033,7.5999,2.028135089,,0.032,0.031,7.1393,1.965614732,,0.035,0.034,7.8302,2.057988052,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.034,0.033,7.5999,2.028135089,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,
336,0.001,0.038,0.037,8.5211,2.14254544,,0.041,0.04,9.212,2.220506982,,0.023,0.022,5.0666,1.622669981,,0.028,0.027,6.2181,1.827464394,,0.034,0.033,7.5999,2.028135089,,0.032,0.031,7.1393,1.965614732,,0.034,0.033,7.5999,2.028135089,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.033,0.032,7.3696,1.997363431,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,
337,0.001,0.037,0.036,8.2908,2.115146466,,0.04,0.039,8.9817,2.195189174,,0.023,0.022,5.0666,1.622669981,,0.028,0.027,6.2181,1.827464394,,0.033,0.032,7.3696,1.997363431,,0.031,0.03,6.909,1.93282491,,0.034,0.033,7.5999,2.028135089,,0.023,0.022,5.0666,1.622669981,,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,
338,0.001,0.037,0.036,8.2908,2.115146466,,0.04,0.039,8.9817,2.195189174,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.033,0.032,7.3696,1.997363431,,0.031,0.03,6.909,1.93282491,,0.033,0.032,7.3696,1.997363431,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.032,0.031,7.1393,1.965614732,,0.033,0.032,7.3696,1.997363431,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,
339,0.002,0.037,0.035,8.0605,2.086975589,,0.04,0.038,8.7514,2.169213688,,0.023,0.021,4.8363,1.576149966,,0.028,0.026,5.9878,1.789724066,,0.033,0.031,7.1393,1.965614732,,0.031,0.029,6.6787,1.898923358,,0.034,0.032,7.3696,1.997363431,,0.024,0.022,5.0666,1.622669981,,0.027,0.025,5.7575,1.750503353,,0.032,0.03,6.909,1.93282491,,0.033,0.031,7.1393,1.965614732,,0.026,0.024,5.5272,1.709681358,,0.027,0.025,5.7575,1.750503353,
340,0.003,0.036,0.033,7.5999,2.028135089,,0.04,0.037,8.5211,2.14254544,,0.024,0.021,4.8363,1.576149966,,0.029,0.026,5.9878,1.789724066,,0.033,0.03,6.909,1.93282491,,0.031,0.028,6.4484,1.863832038,,0.034,0.031,7.1393,1.965614732,,0.024,0.021,4.8363,1.576149966,,0.028,0.025,5.7575,1.750503353,,0.032,0.029,6.6787,1.898923358,,0.034,0.031,7.1393,1.965614732,,0.027,0.024,5.5272,1.709681358,,0.028,0.025,5.7575,1.750503353,
341,0.002,0.034,0.032,7.3696,1.997363431,,0.038,0.036,8.2908,2.115146466,,0.022,0.02,4.606,1.527359801,,0.027,0.025,5.7575,1.750503353,,0.032,0.03,6.909,1.93282491,,0.029,0.027,6.2181,1.827464394,,0.033,0.031,7.1393,1.965614732,,0.023,0.021,4.8363,1.576149966,,0.027,0.025,5.7575,1.750503353,,0.031,0.029,6.6787,1.898923358,,0.033,0.031,7.1393,1.965614732,,0.025,0.023,5.2969,1.667121744,,0.027,0.025,5.7575,1.750503353,
342,0.001,0.033,0.032,7.3696,1.997363431,,0.037,0.036,8.2908,2.115146466,,0.022,0.021,4.8363,1.576149966,,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.032,0.031,7.1393,1.965614732,,0.025,0.024,5.5272,1.709681358,,0.026,0.025,5.7575,1.750503353,
343,0.001,0.033,0.032,7.3696,1.997363431,,0.037,0.036,8.2908,2.115146466,,0.022,0.021,4.8363,1.576149966,,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.032,0.031,7.1393,1.965614732,,0.025,0.024,5.5272,1.709681358,,0.026,0.025,5.7575,1.750503353,
344,0.001,0.032,0.031,7.1393,1.965614732,,0.037,0.036,8.2908,2.115146466,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.032,0.031,7.1393,1.965614732,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,
345,0.001,0.032,0.031,7.1393,1.965614732,,0.036,0.035,8.0605,2.086975589,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.027,0.026,5.9878,1.789724066,,0.032,0.031,7.1393,1.965614732,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.031,0.03,6.909,1.93282491,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,
346,0.001,0.032,0.031,7.1393,1.965614732,,0.036,0.035,8.0605,2.086975589,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.031,0.03,6.909,1.93282491,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,
347,0.001,0.032,0.031,7.1393,1.965614732,,0.035,0.034,7.8302,2.057988052,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.031,0.03,6.909,1.93282491,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,
348,0.001,0.031,0.03,6.909,1.93282491,,0.035,0.034,7.8302,2.057988052,,0.022,0.021,4.8363,1.576149966,,0.025,0.024,5.5272,1.709681358,,0.03,0.029,6.6787,1.898923358,,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.031,0.03,6.909,1.93282491,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,
349,0.001,0.031,0.03,6.909,1.93282491,,0.035,0.034,7.8302,2.057988052,,0.022,0.021,4.8363,1.576149966,,0.025,0.024,5.5272,1.709681358,,0.03,0.029,6.6787,1.898923358,,0.026,0.025,5.7575,1.750503353,,0.031,0.03,6.909,1.93282491,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.028,0.027,6.2181,1.827464394,,0.031,0.03,6.909,1.93282491,,0.023,0.022,5.0666,1.622669981,,0.026,0.025,5.7575,1.750503353,
350,0.002,0.031,0.029,6.6787,1.898923358,,0.035,0.033,7.5999,2.028135089,,0.021,0.019,4.3757,1.476066507,,0.025,0.023,5.2969,1.667121744,,0.029,0.027,6.2181,1.827464394,,0.026,0.024,5.5272,1.709681358,,0.031,0.029,6.6787,1.898923358,,0.02,0.018,4.1454,1.421999286,,0.024,0.022,5.0666,1.622669981,,0.028,0.026,5.9878,1.789724066,,0.03,0.028,6.4484,1.863832038,,0.023,0.021,4.8363,1.576149966,,0.025,0.023,5.2969,1.667121744,
351,0.001,0.03,0.029,6.6787,1.898923358,,0.035,0.034,7.8302,2.057988052,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.031,0.03,6.909,1.93282491,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.03,0.029,6.6787,1.898923358,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,
352,0.001,0.03,0.029,6.6787,1.898923358,,0.034,0.033,7.5999,2.028135089,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.03,0.029,6.6787,1.898923358,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,
353,0.001,0.029,0.028,6.4484,1.863832038,,0.034,0.033,7.5999,2.028135089,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.025,0.024,5.5272,1.709681358,,0.03,0.029,6.6787,1.898923358,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.025,0.024,5.5272,1.709681358,
354,0.001,0.029,0.028,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.025,0.024,5.5272,1.709681358,,0.03,0.029,6.6787,1.898923358,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.024,0.023,5.2969,1.667121744,
355,0.001,0.029,0.028,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.029,0.028,6.4484,1.863832038,,0.022,0.021,4.8363,1.576149966,,0.024,0.023,5.2969,1.667121744,
356,0.001,0.029,0.028,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,,0.026,0.025,5.7575,1.750503353,,0.029,0.028,6.4484,1.863832038,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,
357,0.001,0.028,0.027,6.2181,1.827464394,,0.033,0.032,7.3696,1.997363431,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,,0.026,0.025,5.7575,1.750503353,,0.029,0.028,6.4484,1.863832038,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,
358,0.001,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,,0.026,0.025,5.7575,1.750503353,,0.028,0.027,6.2181,1.827464394,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,
359,0.001,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.027,0.026,5.9878,1.789724066,,0.024,0.023,5.2969,1.667121744,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.028,0.027,6.2181,1.827464394,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,
360,0.002,0.028,0.026,5.9878,1.789724066,,0.032,0.03,6.909,1.93282491,,0.02,0.018,4.1454,1.421999286,,0.024,0.022,5.0666,1.622669981,,0.027,0.025,5.7575,1.750503353,,0.023,0.021,4.8363,1.576149966,,0.028,0.026,5.9878,1.789724066,,0.019,0.017,3.9151,1.364840872,,0.022,0.02,4.606,1.527359801,,0.026,0.024,5.5272,1.709681358,,0.028,0.026,5.9878,1.789724066,,0.021,0.019,4.3757,1.476066507,,0.024,0.022,5.0666,1.622669981,
361,0.001,0.028,0.027,6.2181,1.827464394,,0.032,0.031,7.1393,1.965614732,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.027,0.026,5.9878,1.789724066,,0.023,0.022,5.0666,1.622669981,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.028,0.027,6.2181,1.827464394,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,
362,0.001,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.023,0.022,5.0666,1.622669981,,0.028,0.027,6.2181,1.827464394,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,,0.025,0.024,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,
363,0.001,0.027,0.026,5.9878,1.789724066,,0.031,0.03,6.909,1.93282491,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.026,0.025,5.7575,1.750503353,,0.022,0.021,4.8363,1.576149966,,0.028,0.027,6.2181,1.827464394,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,
364,0.001,0.027,0.026,5.9878,1.789724066,,0.03,0.029,6.6787,1.898923358,,0.02,0.019,4.3757,1.476066507,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.022,0.021,4.8363,1.576149966,,0.027,0.026,5.9878,1.789724066,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,
365,0.001,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.023,0.022,5.0666,1.622669981,,0.027,0.026,5.9878,1.789724066,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.027,0.026,5.9878,1.789724066,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,
366,0.001,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.02,0.019,4.3757,1.476066507,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.022,0.021,4.8363,1.576149966,,0.027,0.026,5.9878,1.789724066,,0.017,0.016,3.6848,1.30421625,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,
367,0.001,0.026,0.025,5.7575,1.750503353,,0.03,0.029,6.6787,1.898923358,,0.02,0.019,4.3757,1.476066507,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.022,0.021,4.8363,1.576149966,,0.027,0.026,5.9878,1.789724066,,0.017,0.016,3.6848,1.30421625,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.023,0.022,5.0666,1.622669981,
368,0.001,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.026,0.025,5.7575,1.750503353,,0.022,0.021,4.8363,1.576149966,,0.027,0.026,5.9878,1.789724066,,0.017,0.016,3.6848,1.30421625,,0.021,0.02,4.606,1.527359801,,0.024,0.023,5.2969,1.667121744,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,
369,0.001,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.026,0.025,5.7575,1.750503353,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,
370,0.001,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.026,0.025,5.7575,1.750503353,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.026,0.025,5.7575,1.750503353,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,
371,0.001,0.025,0.024,5.5272,1.709681358,,0.029,0.028,6.4484,1.863832038,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.026,0.025,5.7575,1.750503353,,0.017,0.016,3.6848,1.30421625,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,
372,0.001,0.025,0.024,5.5272,1.709681358,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.022,0.021,4.8363,1.576149966,
373,0.001,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.021,0.02,4.606,1.527359801,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.023,0.022,5.0666,1.622669981,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,
374,0.001,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,
375,0.001,0.024,0.023,5.2969,1.667121744,,0.028,0.027,6.2181,1.827464394,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.021,0.02,4.606,1.527359801,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.025,0.024,5.5272,1.709681358,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,
376,0.001,0.024,0.023,5.2969,1.667121744,,0.027,0.026,5.9878,1.789724066,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,,0.024,0.023,5.2969,1.667121744,,0.02,0.019,4.3757,1.476066507,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.022,0.021,4.8363,1.576149966,,0.024,0.023,5.2969,1.667121744,,0.018,0.017,3.9151,1.364840872,,0.021,0.02,4.606,1.527359801,
