,MilliQ,F16Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
200,0.013,0.232,0.219,50.4357,3.920699258,,0.272,0.259,59.6477,4.08845559,,0.128,0.115,26.4845,3.276559656,,0.164,0.151,34.7753,3.548907365,,0.209,0.196,45.1388,3.809742187,,0.234,0.221,50.8963,3.929790229,,0.202,0.189,43.5267,3.773374543,,0.124,0.111,25.5633,3.241157729,,0.221,0.208,47.9024,3.869165608,,0.222,0.209,48.1327,3.87396178,,0.225,0.212,48.8236,3.888213803,,0.212,0.199,45.8297,3.824932353,,0.153,0.14,32.242,3.47326995,
201,0.012,0.222,0.21,48.363,3.878735059,,0.26,0.248,57.1144,4.045056274,,0.121,0.109,25.1027,3.22297541,,0.156,0.144,33.1632,3.501440827,,0.2,0.188,43.2964,3.768069491,,0.224,0.212,48.8236,3.888213803,,0.193,0.181,41.6843,3.730124559,,0.118,0.106,24.4118,3.195066622,,0.21,0.198,45.5994,3.819894559,,0.212,0.2,46.06,3.829944894,,0.215,0.203,46.7509,3.844833507,,0.202,0.19,43.757,3.7786516,,0.144,0.132,30.3996,3.41442945,
202,0.01,0.212,0.202,46.5206,3.839895225,,0.249,0.239,55.0417,4.00809108,,0.115,0.105,24.1815,3.185587878,,0.15,0.14,32.242,3.47326995,,0.191,0.181,41.6843,3.730124559,,0.214,0.204,46.9812,3.849747522,,0.184,0.174,40.0722,3.690682827,,0.114,0.104,23.9512,3.176018427,,0.199,0.189,43.5267,3.773374543,,0.203,0.193,44.4479,3.794317717,,0.205,0.195,44.9085,3.804627086,,0.192,0.182,41.9146,3.735634215,,0.136,0.126,29.0178,3.367909435,
203,0.01,0.204,0.194,44.6782,3.799485687,,0.239,0.229,52.7387,3.965349531,,0.109,0.099,22.7997,3.126747378,,0.145,0.135,31.0905,3.436902306,,0.184,0.174,40.0722,3.690682827,,0.206,0.196,45.1388,3.809742187,,0.177,0.167,38.4601,3.64962134,,0.111,0.101,23.2603,3.146748045,,0.19,0.18,41.454,3.724584379,,0.195,0.185,42.6055,3.751983353,,0.196,0.186,42.8358,3.757374202,,0.184,0.174,40.0722,3.690682827,,0.129,0.119,27.4057,3.310751021,
204,0.009,0.196,0.187,43.0661,3.762736145,,0.229,0.22,50.666,3.925255074,,0.105,0.096,22.1088,3.095975719,,0.14,0.131,30.1693,3.406824851,,0.176,0.167,38.4601,3.64962134,,0.197,0.188,43.2964,3.768069491,,0.17,0.161,37.0783,3.613031893,,0.108,0.099,22.7997,3.126747378,,0.182,0.173,39.8419,3.684919122,,0.187,0.178,40.9934,3.713411078,,0.188,0.179,41.2237,3.719013334,,0.176,0.167,38.4601,3.64962134,,0.123,0.114,26.2542,3.267825976,
205,0.008,0.188,0.18,41.454,3.724584379,,0.22,0.212,48.8236,3.888213803,,0.1,0.092,21.1876,3.053416105,,0.135,0.127,29.2481,3.375814614,,0.169,0.161,37.0783,3.613031893,,0.189,0.181,41.6843,3.730124559,,0.164,0.156,35.9268,3.581483535,,0.105,0.097,22.3391,3.106338506,,0.174,0.166,38.2298,3.643615316,,0.18,0.172,39.6116,3.679122005,,0.18,0.172,39.6116,3.679122005,,0.168,0.16,36.848,3.606801343,,0.117,0.109,25.1027,3.22297541,
206,0.008,0.181,0.173,39.8419,3.684919122,,0.212,0.204,46.9812,3.849747522,,0.097,0.089,20.4967,3.020263898,,0.132,0.124,28.5572,3.351909093,,0.164,0.156,35.9268,3.581483535,,0.183,0.175,40.3025,3.696413502,,0.159,0.151,34.7753,3.548907365,,0.103,0.095,21.8785,3.085504419,,0.167,0.159,36.6177,3.60053173,,0.174,0.166,38.2298,3.643615316,,0.174,0.166,38.2298,3.643615316,,0.161,0.153,35.2359,3.562065449,,0.113,0.105,24.1815,3.185587878,
207,0.008,0.176,0.168,38.6904,3.655591507,,0.205,0.197,45.3691,3.814831257,,0.094,0.086,19.8058,2.985974824,,0.128,0.12,27.636,3.319119271,,0.159,0.151,34.7753,3.548907365,,0.177,0.169,38.9207,3.661526243,,0.154,0.146,33.6238,3.51523415,,0.101,0.093,21.4179,3.064227021,,0.161,0.153,35.2359,3.562065449,,0.168,0.16,36.848,3.606801343,,0.169,0.161,37.0783,3.613031893,,0.156,0.148,34.0844,3.528839802,,0.11,0.102,23.4906,3.156600341,
208,0.007,0.17,0.163,37.5389,3.625377729,,0.198,0.191,43.9873,3.783900956,,0.091,0.084,19.3452,2.962444327,,0.125,0.118,27.1754,3.302312152,,0.155,0.148,34.0844,3.528839802,,0.171,0.164,37.7692,3.631493956,,0.15,0.143,32.9329,3.494472158,,0.099,0.092,21.1876,3.053416105,,0.156,0.149,34.3147,3.535573834,,0.163,0.156,35.9268,3.581483535,,0.163,0.156,35.9268,3.581483535,,0.151,0.144,33.1632,3.501440827,,0.106,0.099,22.7997,3.126747378,
209,0.007,0.165,0.158,36.3874,3.594222561,,0.191,0.184,42.3752,3.746563285,,0.088,0.081,18.6543,2.926076683,,0.122,0.115,26.4845,3.276559656,,0.15,0.143,32.9329,3.494472158,,0.166,0.159,36.6177,3.60053173,,0.146,0.139,32.0117,3.466101461,,0.096,0.089,20.4967,3.020263898,,0.15,0.143,32.9329,3.494472158,,0.158,0.151,34.7753,3.548907365,,0.158,0.151,34.7753,3.548907365,,0.146,0.139,32.0117,3.466101461,,0.103,0.096,22.1088,3.095975719,
