,MilliQ,F5Aug19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Wet_R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_101_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_30_R1,A(CDOM),a(CDOM),ln(a),Sr
200,-0.008,0.178,0.186,42.8358,3.757374202,,0.215,0.223,51.3569,3.938799299,,0.188,0.196,45.1388,3.809742187,,0.214,0.222,51.1266,3.93430491,,0.134,0.142,32.7026,3.487454585,,0.095,0.103,23.7209,3.166356516,,0.096,0.104,23.9512,3.176018427,,0.099,0.107,24.6421,3.204456362,
201,-0.008,0.175,0.183,42.1449,3.741113681,,0.211,0.219,50.4357,3.920699258,,0.185,0.193,44.4479,3.794317717,,0.206,0.214,49.2842,3.897603543,,0.129,0.137,31.5511,3.451608454,,0.091,0.099,22.7997,3.126747378,,0.092,0.1,23.03,3.136797714,,0.095,0.103,23.7209,3.166356516,
202,-0.008,0.172,0.18,41.454,3.724584379,,0.208,0.216,49.7448,3.906905936,,0.182,0.19,43.757,3.7786516,,0.199,0.207,47.6721,3.864346321,,0.124,0.132,30.3996,3.41442945,,0.088,0.096,22.1088,3.095975719,,0.09,0.098,22.5694,3.116595007,,0.093,0.101,23.2603,3.146748045,
203,-0.007,0.17,0.177,40.7631,3.70777726,,0.206,0.213,49.0539,3.892919694,,0.18,0.187,43.0661,3.762736145,,0.194,0.201,46.2903,3.834932436,,0.121,0.128,29.4784,3.383657792,,0.086,0.093,21.4179,3.064227021,,0.088,0.095,21.8785,3.085504419,,0.09,0.097,22.3391,3.106338506,
204,-0.007,0.168,0.175,40.3025,3.696413502,,0.202,0.209,48.1327,3.87396178,,0.177,0.184,42.3752,3.746563285,,0.188,0.195,44.9085,3.804627086,,0.117,0.124,28.5572,3.351909093,,0.084,0.091,20.9573,3.042487034,,0.086,0.093,21.4179,3.064227021,,0.088,0.095,21.8785,3.085504419,
205,-0.007,0.165,0.172,39.6116,3.679122005,,0.198,0.205,47.2115,3.854637507,,0.174,0.181,41.6843,3.730124559,,0.182,0.189,43.5267,3.773374543,,0.113,0.12,27.636,3.319119271,,0.081,0.088,20.2664,3.008964342,,0.083,0.09,20.727,3.031437198,,0.085,0.092,21.1876,3.053416105,
206,-0.006,0.162,0.168,38.6904,3.655591507,,0.194,0.2,46.06,3.829944894,,0.172,0.178,40.9934,3.713411078,,0.177,0.183,42.1449,3.741113681,,0.109,0.115,26.4845,3.276559656,,0.079,0.085,19.5755,2.974278784,,0.081,0.087,20.0361,2.997535646,,0.083,0.089,20.4967,3.020263898,
207,-0.006,0.16,0.166,38.2298,3.643615316,,0.19,0.196,45.1388,3.809742187,,0.169,0.175,40.3025,3.696413502,,0.173,0.179,41.2237,3.719013334,,0.106,0.112,25.7936,3.250126399,,0.077,0.083,19.1149,2.950468136,,0.079,0.085,19.5755,2.974278784,,0.081,0.087,20.0361,2.997535646,
208,-0.006,0.158,0.164,37.7692,3.631493956,,0.186,0.192,44.2176,3.7891229,,0.166,0.172,39.6116,3.679122005,,0.168,0.174,40.0722,3.690682827,,0.103,0.109,25.1027,3.22297541,,0.075,0.081,18.6543,2.926076683,,0.077,0.083,19.1149,2.950468136,,0.079,0.085,19.5755,2.974278784,
209,-0.006,0.155,0.161,37.0783,3.613031893,,0.18,0.186,42.8358,3.757374202,,0.163,0.169,38.9207,3.661526243,,0.163,0.169,38.9207,3.661526243,,0.099,0.105,24.1815,3.185587878,,0.073,0.079,18.1937,2.90107538,,0.075,0.081,18.6543,2.926076683,,0.077,0.083,19.1149,2.950468136,
