,Blank,F8Jul19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F1Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr
206,-0.002,0.101,0.103,23.7209,3.166356516,,0.11,0.112,25.7936,3.250126399,,0.094,0.096,22.1088,3.095975719,,0.25,0.252,58.0356,4.061056615,,0.061,0.063,29.0178,3.367909435,,0.138,0.14,32.242,3.47326995,,0.064,0.066,30.3996,3.41442945,,0.079,0.081,18.6543,2.926076683,
207,-0.002,0.099,0.101,23.2603,3.146748045,,0.107,0.109,25.1027,3.22297541,,0.092,0.094,21.6482,3.07492231,,0.241,0.243,55.9629,4.024688971,,0.059,0.061,28.0966,3.335648573,,0.133,0.135,31.0905,3.436902306,,0.062,0.064,29.4784,3.383657792,,0.077,0.079,18.1937,2.90107538,
208,-0.001,0.097,0.098,22.5694,3.116595007,,0.105,0.106,24.4118,3.195066622,,0.09,0.091,20.9573,3.042487034,,0.232,0.233,53.6599,3.982665981,,0.057,0.058,26.7148,3.285217719,,0.13,0.131,30.1693,3.406824851,,0.061,0.062,28.5572,3.351909093,,0.075,0.076,17.5028,2.862360868,
209,-0.001,0.094,0.095,21.8785,3.085504419,,0.103,0.104,23.9512,3.176018427,,0.088,0.089,20.4967,3.020263898,,0.224,0.225,51.8175,3.94772793,,0.055,0.056,25.7936,3.250126399,,0.126,0.127,29.2481,3.375814614,,0.059,0.06,27.636,3.319119271,,0.073,0.074,17.0422,2.835692621,
210,-0.001,0.093,0.094,21.6482,3.07492231,,0.101,0.102,23.4906,3.156600341,,0.087,0.088,20.2664,3.008964342,,0.216,0.217,49.9751,3.911524881,,0.053,0.054,24.8724,3.213758755,,0.122,0.123,28.3269,3.343811883,,0.057,0.058,26.7148,3.285217719,,0.072,0.073,16.8119,2.822086969,
211,-0.001,0.092,0.093,21.4179,3.064227021,,0.099,0.1,23.03,3.136797714,,0.086,0.087,20.0361,2.997535646,,0.209,0.21,48.363,3.878735059,,0.052,0.053,24.4118,3.195066622,,0.119,0.12,27.636,3.319119271,,0.056,0.057,26.2542,3.267825976,,0.07,0.071,16.3513,2.794307405,
212,0,0.09,0.09,20.727,3.031437198,,0.097,0.097,22.3391,3.106338506,,0.084,0.084,19.3452,2.962444327,,0.202,0.202,46.5206,3.839895225,,0.05,0.05,23.03,3.136797714,,0.116,0.116,26.7148,3.285217719,,0.055,0.055,25.333,3.232107894,,0.069,0.069,15.8907,2.765734032,
213,0,0.089,0.089,20.4967,3.020263898,,0.095,0.095,21.8785,3.085504419,,0.083,0.083,19.1149,2.950468136,,0.196,0.196,45.1388,3.809742187,,0.049,0.049,22.5694,3.116595007,,0.113,0.113,26.0239,3.259015347,,0.053,0.053,24.4118,3.195066622,,0.068,0.068,15.6604,2.751135233,
214,0,0.087,0.087,20.0361,2.997535646,,0.094,0.094,21.6482,3.07492231,,0.081,0.081,18.6543,2.926076683,,0.189,0.189,43.5267,3.773374543,,0.047,0.047,21.6482,3.07492231,,0.11,0.11,25.333,3.232107894,,0.052,0.052,23.9512,3.176018427,,0.066,0.066,15.1998,2.72128227,
215,0,0.086,0.086,19.8058,2.985974824,,0.092,0.092,21.1876,3.053416105,,0.08,0.08,18.424,2.913654163,,0.184,0.184,42.3752,3.746563285,,0.046,0.046,21.1876,3.053416105,,0.108,0.108,24.8724,3.213758755,,0.051,0.051,23.4906,3.156600341,,0.065,0.065,14.9695,2.706014798,
216,0,0.085,0.085,19.5755,2.974278784,,0.09,0.09,20.727,3.031437198,,0.079,0.079,18.1937,2.90107538,,0.178,0.178,40.9934,3.713411078,,0.045,0.045,20.727,3.031437198,,0.105,0.105,24.1815,3.185587878,,0.049,0.049,22.5694,3.116595007,,0.064,0.064,14.7392,2.690510611,
217,0,0.083,0.083,19.1149,2.950468136,,0.089,0.089,20.4967,3.020263898,,0.078,0.078,17.9634,2.888336355,,0.173,0.173,39.8419,3.684919122,,0.043,0.043,19.8058,2.985974824,,0.103,0.103,23.7209,3.166356516,,0.048,0.048,22.1088,3.095975719,,0.063,0.063,14.5089,2.674762254,
218,0.001,0.082,0.081,18.6543,2.926076683,,0.087,0.086,19.8058,2.985974824,,0.077,0.076,17.5028,2.862360868,,0.168,0.167,38.4601,3.64962134,,0.042,0.041,18.8846,2.938346775,,0.1,0.099,22.7997,3.126747378,,0.047,0.046,21.1876,3.053416105,,0.062,0.061,14.0483,2.642501392,
219,0.001,0.082,0.081,18.6543,2.926076683,,0.086,0.085,19.5755,2.974278784,,0.076,0.075,17.2725,2.849115641,,0.164,0.163,37.5389,3.625377729,,0.041,0.04,18.424,2.913654163,,0.098,0.097,22.3391,3.106338506,,0.046,0.045,20.727,3.031437198,,0.061,0.06,13.818,2.62597209,
220,0.001,0.081,0.08,18.424,2.913654163,,0.085,0.084,19.3452,2.962444327,,0.075,0.074,17.0422,2.835692621,,0.16,0.159,36.6177,3.60053173,,0.041,0.04,18.424,2.913654163,,0.096,0.095,21.8785,3.085504419,,0.046,0.045,20.727,3.031437198,,0.06,0.059,13.5877,2.609164972,
221,0.001,0.08,0.079,18.1937,2.90107538,,0.084,0.083,19.1149,2.950468136,,0.074,0.073,16.8119,2.822086969,,0.155,0.154,35.4662,3.56858013,,0.04,0.039,17.9634,2.888336355,,0.094,0.093,21.4179,3.064227021,,0.045,0.044,20.2664,3.008964342,,0.059,0.058,13.3574,2.592070538,
222,0.001,0.079,0.078,17.9634,2.888336355,,0.083,0.082,18.8846,2.938346775,,0.073,0.072,16.5816,2.808293647,,0.151,0.15,34.545,3.542262822,,0.039,0.038,17.5028,2.862360868,,0.093,0.092,21.1876,3.053416105,,0.044,0.043,19.8058,2.985974824,,0.059,0.058,13.3574,2.592070538,
223,0.001,0.078,0.077,17.7331,2.87543295,,0.081,0.08,18.424,2.913654163,,0.073,0.072,16.5816,2.808293647,,0.148,0.147,33.8541,3.522060115,,0.038,0.037,17.0422,2.835692621,,0.091,0.09,20.727,3.031437198,,0.043,0.042,19.3452,2.962444327,,0.058,0.057,13.1271,2.574678796,
224,0.001,0.077,0.076,17.5028,2.862360868,,0.08,0.079,18.1937,2.90107538,,0.072,0.071,16.3513,2.794307405,,0.144,0.143,32.9329,3.494472158,,0.037,0.036,16.5816,2.808293647,,0.089,0.088,20.2664,3.008964342,,0.042,0.041,18.8846,2.938346775,,0.057,0.056,12.8968,2.556979219,
225,0.001,0.076,0.075,17.2725,2.849115641,,0.079,0.078,17.9634,2.888336355,,0.071,0.07,16.121,2.78012277,,0.141,0.14,32.242,3.47326995,,0.036,0.035,16.121,2.78012277,,0.088,0.087,20.0361,2.997535646,,0.042,0.041,18.8846,2.938346775,,0.056,0.055,12.6665,2.538960713,
