,Blank,F8Jul19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F1Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr
257,0,0.058,0.058,13.3574,2.592070538,,0.059,0.059,13.5877,2.609164972,,0.054,0.054,12.4362,2.520611574,,0.086,0.086,19.8058,2.985974824,,0.022,0.022,10.1332,2.315817162,,0.059,0.059,13.5877,2.609164972,,0.028,0.028,12.8968,2.556979219,,0.041,0.041,9.4423,2.245199595,
258,0,0.058,0.058,13.3574,2.592070538,,0.059,0.059,13.5877,2.609164972,,0.053,0.053,12.2059,2.501919441,,0.085,0.085,19.5755,2.974278784,,0.021,0.021,9.6726,2.269297146,,0.059,0.059,13.5877,2.609164972,,0.028,0.028,12.8968,2.556979219,,0.041,0.041,9.4423,2.245199595,
259,0,0.058,0.058,13.3574,2.592070538,,0.059,0.059,13.5877,2.609164972,,0.053,0.053,12.2059,2.501919441,,0.085,0.085,19.5755,2.974278784,,0.021,0.021,9.6726,2.269297146,,0.059,0.059,13.5877,2.609164972,,0.028,0.028,12.8968,2.556979219,,0.04,0.04,9.212,2.220506982,
260,0,0.057,0.057,13.1271,2.574678796,,0.058,0.058,13.3574,2.592070538,,0.053,0.053,12.2059,2.501919441,,0.085,0.085,19.5755,2.974278784,,0.021,0.021,9.6726,2.269297146,,0.058,0.058,13.3574,2.592070538,,0.028,0.028,12.8968,2.556979219,,0.04,0.04,9.212,2.220506982,
261,0,0.057,0.057,13.1271,2.574678796,,0.058,0.058,13.3574,2.592070538,,0.052,0.052,11.9756,2.482871246,,0.085,0.085,19.5755,2.974278784,,0.021,0.021,9.6726,2.269297146,,0.058,0.058,13.3574,2.592070538,,0.028,0.028,12.8968,2.556979219,,0.04,0.04,9.212,2.220506982,
262,0,0.057,0.057,13.1271,2.574678796,,0.058,0.058,13.3574,2.592070538,,0.052,0.052,11.9756,2.482871246,,0.084,0.084,19.3452,2.962444327,,0.021,0.021,9.6726,2.269297146,,0.057,0.057,13.1271,2.574678796,,0.027,0.027,12.4362,2.520611574,,0.039,0.039,8.9817,2.195189174,
263,0,0.057,0.057,13.1271,2.574678796,,0.058,0.058,13.3574,2.592070538,,0.052,0.052,11.9756,2.482871246,,0.084,0.084,19.3452,2.962444327,,0.021,0.021,9.6726,2.269297146,,0.057,0.057,13.1271,2.574678796,,0.027,0.027,12.4362,2.520611574,,0.039,0.039,8.9817,2.195189174,
264,0,0.056,0.056,12.8968,2.556979219,,0.057,0.057,13.1271,2.574678796,,0.052,0.052,11.9756,2.482871246,,0.083,0.083,19.1149,2.950468136,,0.021,0.021,9.6726,2.269297146,,0.056,0.056,12.8968,2.556979219,,0.027,0.027,12.4362,2.520611574,,0.039,0.039,8.9817,2.195189174,
265,0,0.056,0.056,12.8968,2.556979219,,0.057,0.057,13.1271,2.574678796,,0.051,0.051,11.7453,2.463453161,,0.083,0.083,19.1149,2.950468136,,0.021,0.021,9.6726,2.269297146,,0.055,0.055,12.6665,2.538960713,,0.027,0.027,12.4362,2.520611574,,0.039,0.039,8.9817,2.195189174,
266,0,0.055,0.055,12.6665,2.538960713,,0.056,0.056,12.8968,2.556979219,,0.051,0.051,11.7453,2.463453161,,0.083,0.083,19.1149,2.950468136,,0.021,0.021,9.6726,2.269297146,,0.055,0.055,12.6665,2.538960713,,0.026,0.026,11.9756,2.482871246,,0.038,0.038,8.7514,2.169213688,
267,0,0.055,0.055,12.6665,2.538960713,,0.056,0.056,12.8968,2.556979219,,0.051,0.051,11.7453,2.463453161,,0.082,0.082,18.8846,2.938346775,,0.021,0.021,9.6726,2.269297146,,0.055,0.055,12.6665,2.538960713,,0.026,0.026,11.9756,2.482871246,,0.038,0.038,8.7514,2.169213688,
268,0,0.055,0.055,12.6665,2.538960713,,0.056,0.056,12.8968,2.556979219,,0.05,0.05,11.515,2.443650533,,0.082,0.082,18.8846,2.938346775,,0.02,0.02,9.212,2.220506982,,0.054,0.054,12.4362,2.520611574,,0.026,0.026,11.9756,2.482871246,,0.038,0.038,8.7514,2.169213688,
269,0,0.055,0.055,12.6665,2.538960713,,0.055,0.055,12.6665,2.538960713,,0.05,0.05,11.515,2.443650533,,0.082,0.082,18.8846,2.938346775,,0.02,0.02,9.212,2.220506982,,0.054,0.054,12.4362,2.520611574,,0.026,0.026,11.9756,2.482871246,,0.038,0.038,8.7514,2.169213688,
270,0,0.054,0.054,12.4362,2.520611574,,0.055,0.055,12.6665,2.538960713,,0.05,0.05,11.515,2.443650533,,0.081,0.081,18.6543,2.926076683,,0.02,0.02,9.212,2.220506982,,0.053,0.053,12.2059,2.501919441,,0.025,0.025,11.515,2.443650533,,0.037,0.037,8.5211,2.14254544,
271,0,0.054,0.054,12.4362,2.520611574,,0.054,0.054,12.4362,2.520611574,,0.049,0.049,11.2847,2.423447826,,0.081,0.081,18.6543,2.926076683,,0.02,0.02,9.212,2.220506982,,0.053,0.053,12.2059,2.501919441,,0.025,0.025,11.515,2.443650533,,0.037,0.037,8.5211,2.14254544,
272,0,0.053,0.053,12.2059,2.501919441,,0.054,0.054,12.4362,2.520611574,,0.049,0.049,11.2847,2.423447826,,0.08,0.08,18.424,2.913654163,,0.02,0.02,9.212,2.220506982,,0.052,0.052,11.9756,2.482871246,,0.025,0.025,11.515,2.443650533,,0.036,0.036,8.2908,2.115146466,
273,0,0.053,0.053,12.2059,2.501919441,,0.054,0.054,12.4362,2.520611574,,0.049,0.049,11.2847,2.423447826,,0.08,0.08,18.424,2.913654163,,0.02,0.02,9.212,2.220506982,,0.051,0.051,11.7453,2.463453161,,0.025,0.025,11.515,2.443650533,,0.036,0.036,8.2908,2.115146466,
274,0,0.053,0.053,12.2059,2.501919441,,0.053,0.053,12.2059,2.501919441,,0.048,0.048,11.0544,2.402828539,,0.079,0.079,18.1937,2.90107538,,0.019,0.019,8.7514,2.169213688,,0.051,0.051,11.7453,2.463453161,,0.024,0.024,11.0544,2.402828539,,0.036,0.036,8.2908,2.115146466,
275,0,0.052,0.052,11.9756,2.482871246,,0.053,0.053,12.2059,2.501919441,,0.048,0.048,11.0544,2.402828539,,0.079,0.079,18.1937,2.90107538,,0.019,0.019,8.7514,2.169213688,,0.05,0.05,11.515,2.443650533,,0.024,0.024,11.0544,2.402828539,,0.036,0.036,8.2908,2.115146466,
276,0,0.052,0.052,11.9756,2.482871246,,0.053,0.053,12.2059,2.501919441,,0.048,0.048,11.0544,2.402828539,,0.078,0.078,17.9634,2.888336355,,0.019,0.019,8.7514,2.169213688,,0.05,0.05,11.515,2.443650533,,0.024,0.024,11.0544,2.402828539,,0.035,0.035,8.0605,2.086975589,
277,0,0.052,0.052,11.9756,2.482871246,,0.052,0.052,11.9756,2.482871246,,0.047,0.047,10.8241,2.38177513,,0.077,0.077,17.7331,2.87543295,,0.019,0.019,8.7514,2.169213688,,0.049,0.049,11.2847,2.423447826,,0.023,0.023,10.5938,2.360268924,,0.035,0.035,8.0605,2.086975589,
278,0,0.051,0.051,11.7453,2.463453161,,0.052,0.052,11.9756,2.482871246,,0.047,0.047,10.8241,2.38177513,,0.077,0.077,17.7331,2.87543295,,0.019,0.019,8.7514,2.169213688,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,10.5938,2.360268924,,0.035,0.035,8.0605,2.086975589,
279,0,0.051,0.051,11.7453,2.463453161,,0.051,0.051,11.7453,2.463453161,,0.047,0.047,10.8241,2.38177513,,0.076,0.076,17.5028,2.862360868,,0.019,0.019,8.7514,2.169213688,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,10.5938,2.360268924,,0.034,0.034,7.8302,2.057988052,
280,0,0.051,0.051,11.7453,2.463453161,,0.051,0.051,11.7453,2.463453161,,0.046,0.046,10.5938,2.360268924,,0.075,0.075,17.2725,2.849115641,,0.019,0.019,8.7514,2.169213688,,0.047,0.047,10.8241,2.38177513,,0.022,0.022,10.1332,2.315817162,,0.034,0.034,7.8302,2.057988052,
281,0,0.05,0.05,11.515,2.443650533,,0.05,0.05,11.515,2.443650533,,0.046,0.046,10.5938,2.360268924,,0.074,0.074,17.0422,2.835692621,,0.018,0.018,8.2908,2.115146466,,0.046,0.046,10.5938,2.360268924,,0.022,0.022,10.1332,2.315817162,,0.034,0.034,7.8302,2.057988052,
282,0,0.049,0.049,11.2847,2.423447826,,0.05,0.05,11.515,2.443650533,,0.045,0.045,10.3635,2.338290018,,0.073,0.073,16.8119,2.822086969,,0.018,0.018,8.2908,2.115146466,,0.045,0.045,10.3635,2.338290018,,0.022,0.022,10.1332,2.315817162,,0.033,0.033,7.5999,2.028135089,
283,0,0.049,0.049,11.2847,2.423447826,,0.05,0.05,11.515,2.443650533,,0.045,0.045,10.3635,2.338290018,,0.073,0.073,16.8119,2.822086969,,0.018,0.018,8.2908,2.115146466,,0.045,0.045,10.3635,2.338290018,,0.021,0.021,9.6726,2.269297146,,0.033,0.033,7.5999,2.028135089,
284,0,0.049,0.049,11.2847,2.423447826,,0.049,0.049,11.2847,2.423447826,,0.044,0.044,10.1332,2.315817162,,0.072,0.072,16.5816,2.808293647,,0.018,0.018,8.2908,2.115146466,,0.044,0.044,10.1332,2.315817162,,0.021,0.021,9.6726,2.269297146,,0.033,0.033,7.5999,2.028135089,
285,0,0.048,0.048,11.0544,2.402828539,,0.049,0.049,11.2847,2.423447826,,0.044,0.044,10.1332,2.315817162,,0.071,0.071,16.3513,2.794307405,,0.017,0.017,7.8302,2.057988052,,0.044,0.044,10.1332,2.315817162,,0.021,0.021,9.6726,2.269297146,,0.032,0.032,7.3696,1.997363431,
286,0,0.048,0.048,11.0544,2.402828539,,0.048,0.048,11.0544,2.402828539,,0.044,0.044,10.1332,2.315817162,,0.07,0.07,16.121,2.78012277,,0.017,0.017,7.8302,2.057988052,,0.043,0.043,9.9029,2.292827644,,0.02,0.02,9.212,2.220506982,,0.032,0.032,7.3696,1.997363431,
287,0,0.048,0.048,11.0544,2.402828539,,0.048,0.048,11.0544,2.402828539,,0.043,0.043,9.9029,2.292827644,,0.069,0.069,15.8907,2.765734032,,0.017,0.017,7.8302,2.057988052,,0.042,0.042,9.6726,2.269297146,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,
288,0,0.047,0.047,10.8241,2.38177513,,0.047,0.047,10.8241,2.38177513,,0.043,0.043,9.9029,2.292827644,,0.068,0.068,15.6604,2.751135233,,0.016,0.016,7.3696,1.997363431,,0.041,0.041,9.4423,2.245199595,,0.02,0.02,9.212,2.220506982,,0.031,0.031,7.1393,1.965614732,
289,0,0.047,0.047,10.8241,2.38177513,,0.047,0.047,10.8241,2.38177513,,0.043,0.043,9.9029,2.292827644,,0.067,0.067,15.4301,2.736320147,,0.016,0.016,7.3696,1.997363431,,0.041,0.041,9.4423,2.245199595,,0.019,0.019,8.7514,2.169213688,,0.031,0.031,7.1393,1.965614732,
290,0,0.047,0.047,10.8241,2.38177513,,0.047,0.047,10.8241,2.38177513,,0.042,0.042,9.6726,2.269297146,,0.066,0.066,15.1998,2.72128227,,0.016,0.016,7.3696,1.997363431,,0.04,0.04,9.212,2.220506982,,0.019,0.019,8.7514,2.169213688,,0.031,0.031,7.1393,1.965614732,
291,0,0.046,0.046,10.5938,2.360268924,,0.046,0.046,10.5938,2.360268924,,0.042,0.042,9.6726,2.269297146,,0.065,0.065,14.9695,2.706014798,,0.016,0.016,7.3696,1.997363431,,0.04,0.04,9.212,2.220506982,,0.019,0.019,8.7514,2.169213688,,0.03,0.03,6.909,1.93282491,
292,0,0.046,0.046,10.5938,2.360268924,,0.046,0.046,10.5938,2.360268924,,0.041,0.041,9.4423,2.245199595,,0.064,0.064,14.7392,2.690510611,,0.015,0.015,6.909,1.93282491,,0.039,0.039,8.9817,2.195189174,,0.018,0.018,8.2908,2.115146466,,0.03,0.03,6.909,1.93282491,
293,0,0.045,0.045,10.3635,2.338290018,,0.045,0.045,10.3635,2.338290018,,0.041,0.041,9.4423,2.245199595,,0.062,0.062,14.2786,2.658761913,,0.015,0.015,6.909,1.93282491,,0.038,0.038,8.7514,2.169213688,,0.018,0.018,8.2908,2.115146466,,0.03,0.03,6.909,1.93282491,
294,0,0.045,0.045,10.3635,2.338290018,,0.045,0.045,10.3635,2.338290018,,0.041,0.041,9.4423,2.245199595,,0.062,0.062,14.2786,2.658761913,,0.015,0.015,6.909,1.93282491,,0.038,0.038,8.7514,2.169213688,,0.018,0.018,8.2908,2.115146466,,0.029,0.029,6.6787,1.898923358,
295,0,0.045,0.045,10.3635,2.338290018,,0.045,0.045,10.3635,2.338290018,,0.04,0.04,9.212,2.220506982,,0.061,0.061,14.0483,2.642501392,,0.015,0.015,6.909,1.93282491,,0.037,0.037,8.5211,2.14254544,,0.018,0.018,8.2908,2.115146466,,0.029,0.029,6.6787,1.898923358,
296,0,0.044,0.044,10.1332,2.315817162,,0.044,0.044,10.1332,2.315817162,,0.04,0.04,9.212,2.220506982,,0.06,0.06,13.818,2.62597209,,0.014,0.014,6.4484,1.863832038,,0.036,0.036,8.2908,2.115146466,,0.017,0.017,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,
297,0,0.044,0.044,10.1332,2.315817162,,0.044,0.044,10.1332,2.315817162,,0.04,0.04,9.212,2.220506982,,0.059,0.059,13.5877,2.609164972,,0.014,0.014,6.4484,1.863832038,,0.036,0.036,8.2908,2.115146466,,0.017,0.017,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,
298,0,0.044,0.044,10.1332,2.315817162,,0.044,0.044,10.1332,2.315817162,,0.039,0.039,8.9817,2.195189174,,0.058,0.058,13.3574,2.592070538,,0.014,0.014,6.4484,1.863832038,,0.036,0.036,8.2908,2.115146466,,0.017,0.017,7.8302,2.057988052,,0.028,0.028,6.4484,1.863832038,
299,0,0.043,0.043,9.9029,2.292827644,,0.043,0.043,9.9029,2.292827644,,0.039,0.039,8.9817,2.195189174,,0.057,0.057,13.1271,2.574678796,,0.014,0.014,6.4484,1.863832038,,0.035,0.035,8.0605,2.086975589,,0.017,0.017,7.8302,2.057988052,,0.027,0.027,6.2181,1.827464394,
300,0,0.043,0.043,9.9029,2.292827644,,0.043,0.043,9.9029,2.292827644,,0.038,0.038,8.7514,2.169213688,,0.056,0.056,12.8968,2.556979219,,0.013,0.013,5.9878,1.789724066,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.027,0.027,6.2181,1.827464394,
301,0,0.043,0.043,9.9029,2.292827644,,0.043,0.043,9.9029,2.292827644,,0.038,0.038,8.7514,2.169213688,,0.055,0.055,12.6665,2.538960713,,0.013,0.013,5.9878,1.789724066,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.027,0.027,6.2181,1.827464394,
302,0,0.043,0.043,9.9029,2.292827644,,0.042,0.042,9.6726,2.269297146,,0.038,0.038,8.7514,2.169213688,,0.054,0.054,12.4362,2.520611574,,0.013,0.013,5.9878,1.789724066,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.026,0.026,5.9878,1.789724066,
303,0,0.042,0.042,9.6726,2.269297146,,0.042,0.042,9.6726,2.269297146,,0.038,0.038,8.7514,2.169213688,,0.053,0.053,12.2059,2.501919441,,0.013,0.013,5.9878,1.789724066,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.026,0.026,5.9878,1.789724066,
304,0,0.042,0.042,9.6726,2.269297146,,0.042,0.042,9.6726,2.269297146,,0.037,0.037,8.5211,2.14254544,,0.052,0.052,11.9756,2.482871246,,0.012,0.012,5.5272,1.709681358,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.026,0.026,5.9878,1.789724066,
305,0,0.042,0.042,9.6726,2.269297146,,0.042,0.042,9.6726,2.269297146,,0.037,0.037,8.5211,2.14254544,,0.051,0.051,11.7453,2.463453161,,0.012,0.012,5.5272,1.709681358,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.025,0.025,5.7575,1.750503353,
306,0,0.042,0.042,9.6726,2.269297146,,0.041,0.041,9.4423,2.245199595,,0.036,0.036,8.2908,2.115146466,,0.051,0.051,11.7453,2.463453161,,0.012,0.012,5.5272,1.709681358,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.025,0.025,5.7575,1.750503353,
307,0,0.041,0.041,9.4423,2.245199595,,0.041,0.041,9.4423,2.245199595,,0.036,0.036,8.2908,2.115146466,,0.05,0.05,11.515,2.443650533,,0.012,0.012,5.5272,1.709681358,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.025,0.025,5.7575,1.750503353,
308,0,0.041,0.041,9.4423,2.245199595,,0.04,0.04,9.212,2.220506982,,0.036,0.036,8.2908,2.115146466,,0.05,0.05,11.515,2.443650533,,0.012,0.012,5.5272,1.709681358,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.025,0.025,5.7575,1.750503353,
309,0,0.041,0.041,9.4423,2.245199595,,0.04,0.04,9.212,2.220506982,,0.035,0.035,8.0605,2.086975589,,0.049,0.049,11.2847,2.423447826,,0.012,0.012,5.5272,1.709681358,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.025,0.025,5.7575,1.750503353,
310,0,0.041,0.041,9.4423,2.245199595,,0.04,0.04,9.212,2.220506982,,0.035,0.035,8.0605,2.086975589,,0.048,0.048,11.0544,2.402828539,,0.011,0.011,5.0666,1.622669981,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.024,0.024,5.5272,1.709681358,
311,0,0.04,0.04,9.212,2.220506982,,0.04,0.04,9.212,2.220506982,,0.035,0.035,8.0605,2.086975589,,0.047,0.047,10.8241,2.38177513,,0.011,0.011,5.0666,1.622669981,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.024,0.024,5.5272,1.709681358,
312,0,0.041,0.041,9.4423,2.245199595,,0.039,0.039,8.9817,2.195189174,,0.035,0.035,8.0605,2.086975589,,0.047,0.047,10.8241,2.38177513,,0.011,0.011,5.0666,1.622669981,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.024,0.024,5.5272,1.709681358,
313,0,0.04,0.04,9.212,2.220506982,,0.039,0.039,8.9817,2.195189174,,0.035,0.035,8.0605,2.086975589,,0.046,0.046,10.5938,2.360268924,,0.011,0.011,5.0666,1.622669981,,0.029,0.029,6.6787,1.898923358,,0.014,0.014,6.4484,1.863832038,,0.024,0.024,5.5272,1.709681358,
314,0,0.04,0.04,9.212,2.220506982,,0.039,0.039,8.9817,2.195189174,,0.034,0.034,7.8302,2.057988052,,0.046,0.046,10.5938,2.360268924,,0.011,0.011,5.0666,1.622669981,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,
315,0,0.04,0.04,9.212,2.220506982,,0.039,0.039,8.9817,2.195189174,,0.034,0.034,7.8302,2.057988052,,0.045,0.045,10.3635,2.338290018,,0.01,0.01,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,
316,0,0.039,0.039,8.9817,2.195189174,,0.039,0.039,8.9817,2.195189174,,0.034,0.034,7.8302,2.057988052,,0.044,0.044,10.1332,2.315817162,,0.01,0.01,4.606,1.527359801,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,
317,0,0.039,0.039,8.9817,2.195189174,,0.038,0.038,8.7514,2.169213688,,0.034,0.034,7.8302,2.057988052,,0.044,0.044,10.1332,2.315817162,,0.01,0.01,4.606,1.527359801,,0.027,0.027,6.2181,1.827464394,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,
318,0,0.039,0.039,8.9817,2.195189174,,0.038,0.038,8.7514,2.169213688,,0.033,0.033,7.5999,2.028135089,,0.044,0.044,10.1332,2.315817162,,0.01,0.01,4.606,1.527359801,,0.027,0.027,6.2181,1.827464394,,0.013,0.013,5.9878,1.789724066,,0.023,0.023,5.2969,1.667121744,
319,-0.001,0.039,0.04,9.212,2.220506982,,0.038,0.039,8.9817,2.195189174,,0.033,0.034,7.8302,2.057988052,,0.043,0.044,10.1332,2.315817162,,0.01,0.011,5.0666,1.622669981,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,
320,-0.001,0.039,0.04,9.212,2.220506982,,0.037,0.038,8.7514,2.169213688,,0.032,0.033,7.5999,2.028135089,,0.042,0.043,9.9029,2.292827644,,0.01,0.011,5.0666,1.622669981,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,
321,-0.001,0.039,0.04,9.212,2.220506982,,0.037,0.038,8.7514,2.169213688,,0.032,0.033,7.5999,2.028135089,,0.042,0.043,9.9029,2.292827644,,0.01,0.011,5.0666,1.622669981,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,
322,0,0.038,0.038,8.7514,2.169213688,,0.037,0.037,8.5211,2.14254544,,0.032,0.032,7.3696,1.997363431,,0.042,0.042,9.6726,2.269297146,,0.01,0.01,4.606,1.527359801,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.022,0.022,5.0666,1.622669981,
323,0,0.038,0.038,8.7514,2.169213688,,0.037,0.037,8.5211,2.14254544,,0.032,0.032,7.3696,1.997363431,,0.041,0.041,9.4423,2.245199595,,0.01,0.01,4.606,1.527359801,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.022,0.022,5.0666,1.622669981,
324,0,0.038,0.038,8.7514,2.169213688,,0.037,0.037,8.5211,2.14254544,,0.032,0.032,7.3696,1.997363431,,0.041,0.041,9.4423,2.245199595,,0.009,0.009,4.1454,1.421999286,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.021,0.021,4.8363,1.576149966,
325,0,0.038,0.038,8.7514,2.169213688,,0.036,0.036,8.2908,2.115146466,,0.032,0.032,7.3696,1.997363431,,0.041,0.041,9.4423,2.245199595,,0.009,0.009,4.1454,1.421999286,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.021,0.021,4.8363,1.576149966,
326,-0.001,0.038,0.039,8.9817,2.195189174,,0.036,0.037,8.5211,2.14254544,,0.032,0.033,7.5999,2.028135089,,0.04,0.041,9.4423,2.245199595,,0.009,0.01,4.606,1.527359801,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,
327,0,0.037,0.037,8.5211,2.14254544,,0.036,0.036,8.2908,2.115146466,,0.031,0.031,7.1393,1.965614732,,0.04,0.04,9.212,2.220506982,,0.009,0.009,4.1454,1.421999286,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.021,0.021,4.8363,1.576149966,
328,-0.001,0.037,0.038,8.7514,2.169213688,,0.036,0.037,8.5211,2.14254544,,0.031,0.032,7.3696,1.997363431,,0.039,0.04,9.212,2.220506982,,0.009,0.01,4.606,1.527359801,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
329,-0.001,0.037,0.038,8.7514,2.169213688,,0.036,0.037,8.5211,2.14254544,,0.031,0.032,7.3696,1.997363431,,0.039,0.04,9.212,2.220506982,,0.009,0.01,4.606,1.527359801,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
330,-0.001,0.037,0.038,8.7514,2.169213688,,0.035,0.036,8.2908,2.115146466,,0.03,0.031,7.1393,1.965614732,,0.038,0.039,8.9817,2.195189174,,0.009,0.01,4.606,1.527359801,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
331,-0.001,0.037,0.038,8.7514,2.169213688,,0.035,0.036,8.2908,2.115146466,,0.03,0.031,7.1393,1.965614732,,0.038,0.039,8.9817,2.195189174,,0.009,0.01,4.606,1.527359801,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,
332,0,0.037,0.037,8.5211,2.14254544,,0.035,0.035,8.0605,2.086975589,,0.03,0.03,6.909,1.93282491,,0.038,0.038,8.7514,2.169213688,,0.009,0.009,4.1454,1.421999286,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,
333,-0.001,0.036,0.037,8.5211,2.14254544,,0.035,0.036,8.2908,2.115146466,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,,0.009,0.01,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,
334,-0.001,0.036,0.037,8.5211,2.14254544,,0.034,0.035,8.0605,2.086975589,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,,0.009,0.01,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,
335,-0.001,0.036,0.037,8.5211,2.14254544,,0.034,0.035,8.0605,2.086975589,,0.03,0.031,7.1393,1.965614732,,0.036,0.037,8.5211,2.14254544,,0.008,0.009,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,
336,-0.001,0.036,0.037,8.5211,2.14254544,,0.034,0.035,8.0605,2.086975589,,0.03,0.031,7.1393,1.965614732,,0.036,0.037,8.5211,2.14254544,,0.008,0.009,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,
337,-0.001,0.035,0.036,8.2908,2.115146466,,0.034,0.035,8.0605,2.086975589,,0.029,0.03,6.909,1.93282491,,0.036,0.037,8.5211,2.14254544,,0.008,0.009,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,
338,-0.001,0.035,0.036,8.2908,2.115146466,,0.033,0.034,7.8302,2.057988052,,0.029,0.03,6.909,1.93282491,,0.035,0.036,8.2908,2.115146466,,0.008,0.009,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.009,0.01,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,
339,0,0.035,0.035,8.0605,2.086975589,,0.034,0.034,7.8302,2.057988052,,0.029,0.029,6.6787,1.898923358,,0.036,0.036,8.2908,2.115146466,,0.008,0.008,3.6848,1.30421625,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.019,0.019,4.3757,1.476066507,
