,MilliQ,B18Jul19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B19Jul19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_102_R1,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F30May19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_50_R1,A(CDOM),a(CDOM),ln(a),Sr
313,-0.002,0.036,0.038,8.7514,2.169213688,,0.063,0.065,14.9695,2.706014798,,0.032,0.034,7.8302,2.057988052,,0.049,0.051,11.7453,2.463453161,,0.027,0.029,6.6787,1.898923358,,0.031,0.033,7.5999,2.028135089,,0.026,0.028,6.4484,1.863832038,,0.028,0.03,6.909,1.93282491,,0.038,0.04,9.212,2.220506982,,0.028,0.03,6.909,1.93282491,,0.022,0.024,5.5272,1.709681358,
314,-0.002,0.035,0.037,8.5211,2.14254544,,0.063,0.065,14.9695,2.706014798,,0.032,0.034,7.8302,2.057988052,,0.049,0.051,11.7453,2.463453161,,0.026,0.028,6.4484,1.863832038,,0.03,0.032,7.3696,1.997363431,,0.026,0.028,6.4484,1.863832038,,0.028,0.03,6.909,1.93282491,,0.038,0.04,9.212,2.220506982,,0.028,0.03,6.909,1.93282491,,0.022,0.024,5.5272,1.709681358,
315,-0.002,0.035,0.037,8.5211,2.14254544,,0.062,0.064,14.7392,2.690510611,,0.032,0.034,7.8302,2.057988052,,0.048,0.05,11.515,2.443650533,,0.026,0.028,6.4484,1.863832038,,0.03,0.032,7.3696,1.997363431,,0.025,0.027,6.2181,1.827464394,,0.027,0.029,6.6787,1.898923358,,0.038,0.04,9.212,2.220506982,,0.027,0.029,6.6787,1.898923358,,0.021,0.023,5.2969,1.667121744,
316,-0.001,0.035,0.036,8.2908,2.115146466,,0.062,0.063,14.5089,2.674762254,,0.032,0.033,7.5999,2.028135089,,0.048,0.049,11.2847,2.423447826,,0.025,0.026,5.9878,1.789724066,,0.03,0.031,7.1393,1.965614732,,0.025,0.026,5.9878,1.789724066,,0.027,0.028,6.4484,1.863832038,,0.038,0.039,8.9817,2.195189174,,0.027,0.028,6.4484,1.863832038,,0.022,0.023,5.2969,1.667121744,
317,-0.002,0.035,0.037,8.5211,2.14254544,,0.062,0.064,14.7392,2.690510611,,0.031,0.033,7.5999,2.028135089,,0.047,0.049,11.2847,2.423447826,,0.025,0.027,6.2181,1.827464394,,0.03,0.032,7.3696,1.997363431,,0.025,0.027,6.2181,1.827464394,,0.027,0.029,6.6787,1.898923358,,0.037,0.039,8.9817,2.195189174,,0.027,0.029,6.6787,1.898923358,,0.021,0.023,5.2969,1.667121744,
318,-0.002,0.034,0.036,8.2908,2.115146466,,0.061,0.063,14.5089,2.674762254,,0.031,0.033,7.5999,2.028135089,,0.047,0.049,11.2847,2.423447826,,0.025,0.027,6.2181,1.827464394,,0.029,0.031,7.1393,1.965614732,,0.024,0.026,5.9878,1.789724066,,0.026,0.028,6.4484,1.863832038,,0.037,0.039,8.9817,2.195189174,,0.026,0.028,6.4484,1.863832038,,0.021,0.023,5.2969,1.667121744,
319,-0.001,0.034,0.035,8.0605,2.086975589,,0.061,0.062,14.2786,2.658761913,,0.031,0.032,7.3696,1.997363431,,0.046,0.047,10.8241,2.38177513,,0.025,0.026,5.9878,1.789724066,,0.029,0.03,6.909,1.93282491,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.037,0.038,8.7514,2.169213688,,0.026,0.027,6.2181,1.827464394,,0.021,0.022,5.0666,1.622669981,
320,-0.002,0.034,0.036,8.2908,2.115146466,,0.06,0.062,14.2786,2.658761913,,0.031,0.033,7.5999,2.028135089,,0.046,0.048,11.0544,2.402828539,,0.024,0.026,5.9878,1.789724066,,0.029,0.031,7.1393,1.965614732,,0.024,0.026,5.9878,1.789724066,,0.026,0.028,6.4484,1.863832038,,0.036,0.038,8.7514,2.169213688,,0.026,0.028,6.4484,1.863832038,,0.02,0.022,5.0666,1.622669981,
321,-0.002,0.034,0.036,8.2908,2.115146466,,0.06,0.062,14.2786,2.658761913,,0.03,0.032,7.3696,1.997363431,,0.045,0.047,10.8241,2.38177513,,0.024,0.026,5.9878,1.789724066,,0.029,0.031,7.1393,1.965614732,,0.024,0.026,5.9878,1.789724066,,0.026,0.028,6.4484,1.863832038,,0.036,0.038,8.7514,2.169213688,,0.026,0.028,6.4484,1.863832038,,0.02,0.022,5.0666,1.622669981,
322,-0.002,0.033,0.035,8.0605,2.086975589,,0.059,0.061,14.0483,2.642501392,,0.03,0.032,7.3696,1.997363431,,0.045,0.047,10.8241,2.38177513,,0.023,0.025,5.7575,1.750503353,,0.028,0.03,6.909,1.93282491,,0.023,0.025,5.7575,1.750503353,,0.026,0.028,6.4484,1.863832038,,0.036,0.038,8.7514,2.169213688,,0.026,0.028,6.4484,1.863832038,,0.02,0.022,5.0666,1.622669981,
323,-0.002,0.033,0.035,8.0605,2.086975589,,0.059,0.061,14.0483,2.642501392,,0.03,0.032,7.3696,1.997363431,,0.045,0.047,10.8241,2.38177513,,0.023,0.025,5.7575,1.750503353,,0.028,0.03,6.909,1.93282491,,0.023,0.025,5.7575,1.750503353,,0.026,0.028,6.4484,1.863832038,,0.035,0.037,8.5211,2.14254544,,0.025,0.027,6.2181,1.827464394,,0.02,0.022,5.0666,1.622669981,
324,-0.001,0.033,0.034,7.8302,2.057988052,,0.059,0.06,13.818,2.62597209,,0.03,0.031,7.1393,1.965614732,,0.045,0.046,10.5938,2.360268924,,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,,0.023,0.024,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.035,0.036,8.2908,2.115146466,,0.025,0.026,5.9878,1.789724066,,0.02,0.021,4.8363,1.576149966,
325,-0.001,0.033,0.034,7.8302,2.057988052,,0.059,0.06,13.818,2.62597209,,0.029,0.03,6.909,1.93282491,,0.044,0.045,10.3635,2.338290018,,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,,0.023,0.024,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.035,0.036,8.2908,2.115146466,,0.025,0.026,5.9878,1.789724066,,0.02,0.021,4.8363,1.576149966,
326,-0.001,0.032,0.033,7.5999,2.028135089,,0.058,0.059,13.5877,2.609164972,,0.029,0.03,6.909,1.93282491,,0.044,0.045,10.3635,2.338290018,,0.023,0.024,5.5272,1.709681358,,0.027,0.028,6.4484,1.863832038,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,,0.035,0.036,8.2908,2.115146466,,0.024,0.025,5.7575,1.750503353,,0.019,0.02,4.606,1.527359801,
327,-0.001,0.032,0.033,7.5999,2.028135089,,0.058,0.059,13.5877,2.609164972,,0.029,0.03,6.909,1.93282491,,0.044,0.045,10.3635,2.338290018,,0.023,0.024,5.5272,1.709681358,,0.027,0.028,6.4484,1.863832038,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,,0.035,0.036,8.2908,2.115146466,,0.025,0.026,5.9878,1.789724066,,0.019,0.02,4.606,1.527359801,
328,-0.001,0.032,0.033,7.5999,2.028135089,,0.058,0.059,13.5877,2.609164972,,0.029,0.03,6.909,1.93282491,,0.043,0.044,10.1332,2.315817162,,0.022,0.023,5.2969,1.667121744,,0.027,0.028,6.4484,1.863832038,,0.022,0.023,5.2969,1.667121744,,0.024,0.025,5.7575,1.750503353,,0.034,0.035,8.0605,2.086975589,,0.024,0.025,5.7575,1.750503353,,0.019,0.02,4.606,1.527359801,
329,-0.002,0.032,0.034,7.8302,2.057988052,,0.057,0.059,13.5877,2.609164972,,0.028,0.03,6.909,1.93282491,,0.043,0.045,10.3635,2.338290018,,0.022,0.024,5.5272,1.709681358,,0.027,0.029,6.6787,1.898923358,,0.021,0.023,5.2969,1.667121744,,0.024,0.026,5.9878,1.789724066,,0.034,0.036,8.2908,2.115146466,,0.024,0.026,5.9878,1.789724066,,0.019,0.021,4.8363,1.576149966,
330,-0.001,0.032,0.033,7.5999,2.028135089,,0.057,0.058,13.3574,2.592070538,,0.028,0.029,6.6787,1.898923358,,0.043,0.044,10.1332,2.315817162,,0.022,0.023,5.2969,1.667121744,,0.027,0.028,6.4484,1.863832038,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,,0.034,0.035,8.0605,2.086975589,,0.024,0.025,5.7575,1.750503353,,0.018,0.019,4.3757,1.476066507,
331,-0.001,0.031,0.032,7.3696,1.997363431,,0.056,0.057,13.1271,2.574678796,,0.028,0.029,6.6787,1.898923358,,0.042,0.043,9.9029,2.292827644,,0.022,0.023,5.2969,1.667121744,,0.026,0.027,6.2181,1.827464394,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,,0.034,0.035,8.0605,2.086975589,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,
332,-0.001,0.031,0.032,7.3696,1.997363431,,0.056,0.057,13.1271,2.574678796,,0.028,0.029,6.6787,1.898923358,,0.042,0.043,9.9029,2.292827644,,0.021,0.022,5.0666,1.622669981,,0.026,0.027,6.2181,1.827464394,,0.02,0.021,4.8363,1.576149966,,0.024,0.025,5.7575,1.750503353,,0.033,0.034,7.8302,2.057988052,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,
333,-0.001,0.031,0.032,7.3696,1.997363431,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.042,0.043,9.9029,2.292827644,,0.021,0.022,5.0666,1.622669981,,0.025,0.026,5.9878,1.789724066,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,,0.033,0.034,7.8302,2.057988052,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,
334,-0.001,0.03,0.031,7.1393,1.965614732,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.042,0.043,9.9029,2.292827644,,0.021,0.022,5.0666,1.622669981,,0.025,0.026,5.9878,1.789724066,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,,0.033,0.034,7.8302,2.057988052,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,
335,-0.001,0.03,0.031,7.1393,1.965614732,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.041,0.042,9.6726,2.269297146,,0.021,0.022,5.0666,1.622669981,,0.025,0.026,5.9878,1.789724066,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,,0.032,0.033,7.5999,2.028135089,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,
336,-0.001,0.03,0.031,7.1393,1.965614732,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.041,0.042,9.6726,2.269297146,,0.021,0.022,5.0666,1.622669981,,0.025,0.026,5.9878,1.789724066,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,,0.032,0.033,7.5999,2.028135089,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,
337,-0.001,0.03,0.031,7.1393,1.965614732,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.041,0.042,9.6726,2.269297146,,0.021,0.022,5.0666,1.622669981,,0.025,0.026,5.9878,1.789724066,,0.019,0.02,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.032,0.033,7.5999,2.028135089,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,
338,-0.001,0.029,0.03,6.909,1.93282491,,0.054,0.055,12.6665,2.538960713,,0.026,0.027,6.2181,1.827464394,,0.041,0.042,9.6726,2.269297146,,0.02,0.021,4.8363,1.576149966,,0.024,0.025,5.7575,1.750503353,,0.019,0.02,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.031,0.032,7.3696,1.997363431,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,
339,-0.001,0.03,0.031,7.1393,1.965614732,,0.054,0.055,12.6665,2.538960713,,0.026,0.027,6.2181,1.827464394,,0.041,0.042,9.6726,2.269297146,,0.02,0.021,4.8363,1.576149966,,0.024,0.025,5.7575,1.750503353,,0.019,0.02,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.031,0.032,7.3696,1.997363431,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,
340,0,0.03,0.03,6.909,1.93282491,,0.055,0.055,12.6665,2.538960713,,0.027,0.027,6.2181,1.827464394,,0.042,0.042,9.6726,2.269297146,,0.021,0.021,4.8363,1.576149966,,0.025,0.025,5.7575,1.750503353,,0.02,0.02,4.606,1.527359801,,0.023,0.023,5.2969,1.667121744,,0.033,0.033,7.5999,2.028135089,,0.023,0.023,5.2969,1.667121744,,0.018,0.018,4.1454,1.421999286,
341,-0.001,0.029,0.03,6.909,1.93282491,,0.054,0.055,12.6665,2.538960713,,0.026,0.027,6.2181,1.827464394,,0.041,0.042,9.6726,2.269297146,,0.02,0.021,4.8363,1.576149966,,0.024,0.025,5.7575,1.750503353,,0.018,0.019,4.3757,1.476066507,,0.022,0.023,5.2969,1.667121744,,0.031,0.032,7.3696,1.997363431,,0.022,0.023,5.2969,1.667121744,,0.016,0.017,3.9151,1.364840872,
342,-0.001,0.028,0.029,6.6787,1.898923358,,0.053,0.054,12.4362,2.520611574,,0.026,0.027,6.2181,1.827464394,,0.04,0.041,9.4423,2.245199595,,0.019,0.02,4.606,1.527359801,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,,0.021,0.022,5.0666,1.622669981,,0.031,0.032,7.3696,1.997363431,,0.021,0.022,5.0666,1.622669981,,0.016,0.017,3.9151,1.364840872,
343,-0.002,0.028,0.03,6.909,1.93282491,,0.053,0.055,12.6665,2.538960713,,0.026,0.028,6.4484,1.863832038,,0.04,0.042,9.6726,2.269297146,,0.019,0.021,4.8363,1.576149966,,0.023,0.025,5.7575,1.750503353,,0.018,0.02,4.606,1.527359801,,0.021,0.023,5.2969,1.667121744,,0.03,0.032,7.3696,1.997363431,,0.021,0.023,5.2969,1.667121744,,0.016,0.018,4.1454,1.421999286,
344,-0.001,0.028,0.029,6.6787,1.898923358,,0.053,0.054,12.4362,2.520611574,,0.025,0.026,5.9878,1.789724066,,0.04,0.041,9.4423,2.245199595,,0.019,0.02,4.606,1.527359801,,0.023,0.024,5.5272,1.709681358,,0.018,0.019,4.3757,1.476066507,,0.021,0.022,5.0666,1.622669981,,0.03,0.031,7.1393,1.965614732,,0.021,0.022,5.0666,1.622669981,,0.016,0.017,3.9151,1.364840872,
345,-0.001,0.028,0.029,6.6787,1.898923358,,0.053,0.054,12.4362,2.520611574,,0.025,0.026,5.9878,1.789724066,,0.039,0.04,9.212,2.220506982,,0.018,0.019,4.3757,1.476066507,,0.023,0.024,5.5272,1.709681358,,0.017,0.018,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.03,0.031,7.1393,1.965614732,,0.021,0.022,5.0666,1.622669981,,0.016,0.017,3.9151,1.364840872,
346,-0.001,0.028,0.029,6.6787,1.898923358,,0.052,0.053,12.2059,2.501919441,,0.025,0.026,5.9878,1.789724066,,0.039,0.04,9.212,2.220506982,,0.019,0.02,4.606,1.527359801,,0.023,0.024,5.5272,1.709681358,,0.017,0.018,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.03,0.031,7.1393,1.965614732,,0.02,0.021,4.8363,1.576149966,,0.015,0.016,3.6848,1.30421625,
347,-0.001,0.028,0.029,6.6787,1.898923358,,0.052,0.053,12.2059,2.501919441,,0.025,0.026,5.9878,1.789724066,,0.039,0.04,9.212,2.220506982,,0.018,0.019,4.3757,1.476066507,,0.023,0.024,5.5272,1.709681358,,0.017,0.018,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.03,0.031,7.1393,1.965614732,,0.02,0.021,4.8363,1.576149966,,0.015,0.016,3.6848,1.30421625,
348,-0.002,0.027,0.029,6.6787,1.898923358,,0.051,0.053,12.2059,2.501919441,,0.024,0.026,5.9878,1.789724066,,0.038,0.04,9.212,2.220506982,,0.018,0.02,4.606,1.527359801,,0.022,0.024,5.5272,1.709681358,,0.017,0.019,4.3757,1.476066507,,0.02,0.022,5.0666,1.622669981,,0.029,0.031,7.1393,1.965614732,,0.02,0.022,5.0666,1.622669981,,0.015,0.017,3.9151,1.364840872,
349,-0.001,0.027,0.028,6.4484,1.863832038,,0.051,0.052,11.9756,2.482871246,,0.024,0.025,5.7575,1.750503353,,0.038,0.039,8.9817,2.195189174,,0.018,0.019,4.3757,1.476066507,,0.022,0.023,5.2969,1.667121744,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.015,0.016,3.6848,1.30421625,
350,-0.001,0.027,0.028,6.4484,1.863832038,,0.051,0.052,11.9756,2.482871246,,0.024,0.025,5.7575,1.750503353,,0.038,0.039,8.9817,2.195189174,,0.018,0.019,4.3757,1.476066507,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.015,0.016,3.6848,1.30421625,
351,-0.001,0.027,0.028,6.4484,1.863832038,,0.05,0.051,11.7453,2.463453161,,0.024,0.025,5.7575,1.750503353,,0.038,0.039,8.9817,2.195189174,,0.017,0.018,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.015,0.016,3.6848,1.30421625,
352,-0.001,0.026,0.027,6.2181,1.827464394,,0.05,0.051,11.7453,2.463453161,,0.024,0.025,5.7575,1.750503353,,0.038,0.039,8.9817,2.195189174,,0.017,0.018,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.015,0.016,3.6848,1.30421625,
353,-0.001,0.026,0.027,6.2181,1.827464394,,0.05,0.051,11.7453,2.463453161,,0.024,0.025,5.7575,1.750503353,,0.037,0.038,8.7514,2.169213688,,0.017,0.018,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.028,0.029,6.6787,1.898923358,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,
354,-0.001,0.026,0.027,6.2181,1.827464394,,0.05,0.051,11.7453,2.463453161,,0.024,0.025,5.7575,1.750503353,,0.037,0.038,8.7514,2.169213688,,0.017,0.018,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.028,0.029,6.6787,1.898923358,,0.019,0.02,4.606,1.527359801,,0.015,0.016,3.6848,1.30421625,
355,-0.001,0.026,0.027,6.2181,1.827464394,,0.049,0.05,11.515,2.443650533,,0.024,0.025,5.7575,1.750503353,,0.037,0.038,8.7514,2.169213688,,0.017,0.018,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.028,0.029,6.6787,1.898923358,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,
356,-0.001,0.026,0.027,6.2181,1.827464394,,0.049,0.05,11.515,2.443650533,,0.024,0.025,5.7575,1.750503353,,0.036,0.037,8.5211,2.14254544,,0.017,0.018,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.028,0.029,6.6787,1.898923358,,0.018,0.019,4.3757,1.476066507,,0.014,0.015,3.4545,1.239677729,
357,-0.001,0.026,0.027,6.2181,1.827464394,,0.049,0.05,11.515,2.443650533,,0.023,0.024,5.5272,1.709681358,,0.036,0.037,8.5211,2.14254544,,0.017,0.018,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.028,0.029,6.6787,1.898923358,,0.018,0.019,4.3757,1.476066507,,0.014,0.015,3.4545,1.239677729,
358,-0.001,0.026,0.027,6.2181,1.827464394,,0.048,0.049,11.2847,2.423447826,,0.023,0.024,5.5272,1.709681358,,0.036,0.037,8.5211,2.14254544,,0.017,0.018,4.1454,1.421999286,,0.021,0.022,5.0666,1.622669981,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.027,0.028,6.4484,1.863832038,,0.018,0.019,4.3757,1.476066507,,0.014,0.015,3.4545,1.239677729,
359,-0.001,0.025,0.026,5.9878,1.789724066,,0.048,0.049,11.2847,2.423447826,,0.023,0.024,5.5272,1.709681358,,0.035,0.036,8.2908,2.115146466,,0.016,0.017,3.9151,1.364840872,,0.02,0.021,4.8363,1.576149966,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.027,0.028,6.4484,1.863832038,,0.018,0.019,4.3757,1.476066507,,0.013,0.014,3.2242,1.170684857,
360,-0.001,0.025,0.026,5.9878,1.789724066,,0.048,0.049,11.2847,2.423447826,,0.023,0.024,5.5272,1.709681358,,0.035,0.036,8.2908,2.115146466,,0.016,0.017,3.9151,1.364840872,,0.021,0.022,5.0666,1.622669981,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.027,0.028,6.4484,1.863832038,,0.018,0.019,4.3757,1.476066507,,0.014,0.015,3.4545,1.239677729,
361,-0.001,0.025,0.026,5.9878,1.789724066,,0.048,0.049,11.2847,2.423447826,,0.023,0.024,5.5272,1.709681358,,0.035,0.036,8.2908,2.115146466,,0.016,0.017,3.9151,1.364840872,,0.02,0.021,4.8363,1.576149966,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.027,0.028,6.4484,1.863832038,,0.018,0.019,4.3757,1.476066507,,0.014,0.015,3.4545,1.239677729,
362,-0.001,0.025,0.026,5.9878,1.789724066,,0.047,0.048,11.0544,2.402828539,,0.023,0.024,5.5272,1.709681358,,0.035,0.036,8.2908,2.115146466,,0.016,0.017,3.9151,1.364840872,,0.02,0.021,4.8363,1.576149966,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.027,0.028,6.4484,1.863832038,,0.017,0.018,4.1454,1.421999286,,0.014,0.015,3.4545,1.239677729,
363,-0.001,0.025,0.026,5.9878,1.789724066,,0.047,0.048,11.0544,2.402828539,,0.022,0.023,5.2969,1.667121744,,0.035,0.036,8.2908,2.115146466,,0.016,0.017,3.9151,1.364840872,,0.02,0.021,4.8363,1.576149966,,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.027,0.028,6.4484,1.863832038,,0.017,0.018,4.1454,1.421999286,,0.013,0.014,3.2242,1.170684857,
364,-0.001,0.024,0.025,5.7575,1.750503353,,0.047,0.048,11.0544,2.402828539,,0.022,0.023,5.2969,1.667121744,,0.035,0.036,8.2908,2.115146466,,0.016,0.017,3.9151,1.364840872,,0.02,0.021,4.8363,1.576149966,,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.026,0.027,6.2181,1.827464394,,0.017,0.018,4.1454,1.421999286,,0.013,0.014,3.2242,1.170684857,
365,-0.001,0.024,0.025,5.7575,1.750503353,,0.046,0.047,10.8241,2.38177513,,0.022,0.023,5.2969,1.667121744,,0.034,0.035,8.0605,2.086975589,,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.026,0.027,6.2181,1.827464394,,0.017,0.018,4.1454,1.421999286,,0.013,0.014,3.2242,1.170684857,
366,-0.001,0.024,0.025,5.7575,1.750503353,,0.046,0.047,10.8241,2.38177513,,0.022,0.023,5.2969,1.667121744,,0.034,0.035,8.0605,2.086975589,,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.026,0.027,6.2181,1.827464394,,0.016,0.017,3.9151,1.364840872,,0.013,0.014,3.2242,1.170684857,
367,-0.001,0.024,0.025,5.7575,1.750503353,,0.046,0.047,10.8241,2.38177513,,0.022,0.023,5.2969,1.667121744,,0.034,0.035,8.0605,2.086975589,,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.026,0.027,6.2181,1.827464394,,0.016,0.017,3.9151,1.364840872,,0.013,0.014,3.2242,1.170684857,
368,-0.001,0.024,0.025,5.7575,1.750503353,,0.046,0.047,10.8241,2.38177513,,0.021,0.022,5.0666,1.622669981,,0.034,0.035,8.0605,2.086975589,,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,,0.016,0.017,3.9151,1.364840872,,0.025,0.026,5.9878,1.789724066,,0.016,0.017,3.9151,1.364840872,,0.012,0.013,2.9939,1.096576885,
369,-0.001,0.024,0.025,5.7575,1.750503353,,0.045,0.046,10.5938,2.360268924,,0.021,0.022,5.0666,1.622669981,,0.034,0.035,8.0605,2.086975589,,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.014,0.015,3.4545,1.239677729,,0.016,0.017,3.9151,1.364840872,,0.025,0.026,5.9878,1.789724066,,0.016,0.017,3.9151,1.364840872,,0.012,0.013,2.9939,1.096576885,
370,-0.001,0.024,0.025,5.7575,1.750503353,,0.045,0.046,10.5938,2.360268924,,0.021,0.022,5.0666,1.622669981,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.025,0.026,5.9878,1.789724066,,0.016,0.017,3.9151,1.364840872,,0.012,0.013,2.9939,1.096576885,
371,-0.001,0.023,0.024,5.5272,1.709681358,,0.045,0.046,10.5938,2.360268924,,0.021,0.022,5.0666,1.622669981,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.025,0.026,5.9878,1.789724066,,0.015,0.016,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,
372,-0.001,0.023,0.024,5.5272,1.709681358,,0.044,0.045,10.3635,2.338290018,,0.021,0.022,5.0666,1.622669981,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.025,0.026,5.9878,1.789724066,,0.015,0.016,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,
