,MilliQ,PonyLake,A(CDOM),a(CDOM),ln(a),Sr,SuwanneeRiver,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr
210,0,0.332,0.332,76.4596,4.336762497,,0.365,0.365,84.0595,4.431524881,,0.135,0.135,31.0905,3.436902306,,0.066,0.066,15.1998,2.72128227,
211,0,0.325,0.325,74.8475,4.31545271,,0.362,0.362,83.3686,4.42327174,,0.132,0.132,30.3996,3.41442945,,0.065,0.065,14.9695,2.706014798,
212,0,0.317,0.317,73.0051,4.290529302,,0.358,0.358,82.4474,4.412160514,,0.128,0.128,29.4784,3.383657792,,0.064,0.064,14.7392,2.690510611,
213,0,0.31,0.31,71.393,4.268199825,,0.355,0.355,81.7565,4.403745317,,0.125,0.125,28.7875,3.359941265,,0.063,0.063,14.5089,2.674762254,
214,0,0.303,0.303,69.7809,4.245360333,,0.351,0.351,80.8353,4.392413751,,0.122,0.122,28.0966,3.335648573,,0.061,0.061,14.0483,2.642501392,
215,0,0.297,0.297,68.3991,4.225359667,,0.347,0.347,79.9141,4.380952308,,0.119,0.119,27.4057,3.310751021,,0.06,0.06,13.818,2.62597209,
216,0,0.29,0.29,66.787,4.201508451,,0.343,0.343,78.9929,4.369357975,,0.117,0.117,26.9451,3.293801463,,0.059,0.059,13.5877,2.609164972,
217,0,0.284,0.284,65.4052,4.180601766,,0.338,0.338,77.8414,4.354673423,,0.114,0.114,26.2542,3.267825976,,0.058,0.058,13.3574,2.592070538,
218,0,0.279,0.279,64.2537,4.16283931,,0.334,0.334,76.9202,4.342768521,,0.111,0.111,25.5633,3.241157729,,0.057,0.057,13.1271,2.574678796,
219,0,0.273,0.273,62.8719,4.141099323,,0.329,0.329,75.7687,4.327685279,,0.109,0.109,25.1027,3.22297541,,0.056,0.056,12.8968,2.556979219,
220,0,0.268,0.268,61.7204,4.122614508,,0.325,0.325,74.8475,4.31545271,,0.107,0.107,24.6421,3.204456362,,0.055,0.055,12.6665,2.538960713,
221,0,0.263,0.263,60.5689,4.10378156,,0.321,0.321,73.9263,4.303068651,,0.106,0.106,24.4118,3.195066622,,0.054,0.054,12.4362,2.520611574,
222,0,0.258,0.258,59.4174,4.084587113,,0.317,0.317,73.0051,4.290529302,,0.104,0.104,23.9512,3.176018427,,0.053,0.053,12.2059,2.501919441,
223,0,0.253,0.253,58.2659,4.065017017,,0.313,0.313,72.0839,4.277830718,,0.102,0.102,23.4906,3.156600341,,0.053,0.053,12.2059,2.501919441,
224,0,0.248,0.248,57.1144,4.045056274,,0.308,0.308,70.9324,4.261727311,,0.1,0.1,23.03,3.136797714,,0.052,0.052,11.9756,2.482871246,
225,0,0.244,0.244,56.1932,4.028795753,,0.304,0.304,70.0112,4.248655229,,0.098,0.098,22.5694,3.116595007,,0.051,0.051,11.7453,2.463453161,
226,0,0.24,0.24,55.272,4.012266451,,0.299,0.299,68.8597,4.232071101,,0.097,0.097,22.3391,3.106338506,,0.051,0.051,11.7453,2.463453161,
227,0,0.235,0.235,54.1205,3.991213042,,0.295,0.295,67.9385,4.218602884,,0.095,0.095,21.8785,3.085504419,,0.05,0.05,11.515,2.443650533,
228,0,0.231,0.231,53.1993,3.974045238,,0.291,0.291,67.0173,4.204950795,,0.094,0.094,21.6482,3.07492231,,0.049,0.049,11.2847,2.423447826,
229,0,0.227,0.227,52.2781,3.956577545,,0.286,0.286,65.8658,4.187619339,,0.092,0.092,21.1876,3.053416105,,0.049,0.049,11.2847,2.423447826,
230,0,0.223,0.223,51.3569,3.938799299,,0.282,0.282,64.9446,4.173534599,,0.09,0.09,20.727,3.031437198,,0.048,0.048,11.0544,2.402828539,
231,0,0.219,0.219,50.4357,3.920699258,,0.277,0.277,63.7931,4.155645034,,0.089,0.089,20.4967,3.020263898,,0.047,0.047,10.8241,2.38177513,
232,0,0.215,0.215,49.5145,3.902265556,,0.273,0.273,62.8719,4.141099323,,0.087,0.087,20.0361,2.997535646,,0.047,0.047,10.8241,2.38177513,
233,0,0.211,0.211,48.5933,3.883485661,,0.268,0.268,61.7204,4.122614508,,0.086,0.086,19.8058,2.985974824,,0.046,0.046,10.5938,2.360268924,
234,0,0.208,0.208,47.9024,3.869165608,,0.264,0.264,60.7992,4.107576631,,0.085,0.085,19.5755,2.974278784,,0.046,0.046,10.5938,2.360268924,
235,0,0.204,0.204,46.9812,3.849747522,,0.259,0.259,59.6477,4.08845559,,0.083,0.083,19.1149,2.950468136,,0.045,0.045,10.3635,2.338290018,
236,0,0.201,0.201,46.2903,3.834932436,,0.255,0.255,58.7265,4.072891073,,0.082,0.082,18.8846,2.938346775,,0.044,0.044,10.1332,2.315817162,
237,0,0.197,0.197,45.3691,3.814831257,,0.251,0.251,57.8053,4.057080467,,0.081,0.081,18.6543,2.926076683,,0.044,0.044,10.1332,2.315817162,
238,0,0.194,0.194,44.6782,3.799485687,,0.247,0.247,56.8841,4.041015864,,0.08,0.08,18.424,2.913654163,,0.043,0.043,9.9029,2.292827644,
239,0,0.191,0.191,43.9873,3.783900956,,0.243,0.243,55.9629,4.024688971,,0.078,0.078,17.9634,2.888336355,,0.043,0.043,9.9029,2.292827644,
240,0,0.188,0.188,43.2964,3.768069491,,0.239,0.239,55.0417,4.00809108,,0.077,0.077,17.7331,2.87543295,,0.042,0.042,9.6726,2.269297146,
241,0,0.185,0.185,42.6055,3.751983353,,0.235,0.235,54.1205,3.991213042,,0.077,0.077,17.7331,2.87543295,,0.042,0.042,9.6726,2.269297146,
242,0,0.182,0.182,41.9146,3.735634215,,0.232,0.232,53.4296,3.9783649,,0.076,0.076,17.5028,2.862360868,,0.042,0.042,9.6726,2.269297146,
243,0,0.18,0.18,41.454,3.724584379,,0.229,0.229,52.7387,3.965349531,,0.075,0.075,17.2725,2.849115641,,0.041,0.041,9.4423,2.245199595,
244,0,0.177,0.177,40.7631,3.70777726,,0.226,0.226,52.0478,3.952162527,,0.074,0.074,17.0422,2.835692621,,0.041,0.041,9.4423,2.245199595,
245,0,0.175,0.175,40.3025,3.696413502,,0.223,0.223,51.3569,3.938799299,,0.073,0.073,16.8119,2.822086969,,0.04,0.04,9.212,2.220506982,
246,0,0.173,0.173,39.8419,3.684919122,,0.22,0.22,50.666,3.925255074,,0.073,0.073,16.8119,2.822086969,,0.04,0.04,9.212,2.220506982,
247,0,0.17,0.17,39.151,3.667425965,,0.217,0.217,49.9751,3.911524881,,0.072,0.072,16.5816,2.808293647,,0.04,0.04,9.212,2.220506982,
248,0,0.168,0.168,38.6904,3.655591507,,0.215,0.215,49.5145,3.902265556,,0.071,0.071,16.3513,2.794307405,,0.039,0.039,8.9817,2.195189174,
249,0,0.166,0.166,38.2298,3.643615316,,0.213,0.213,49.0539,3.892919694,,0.071,0.071,16.3513,2.794307405,,0.039,0.039,8.9817,2.195189174,
250,0,0.164,0.164,37.7692,3.631493956,,0.211,0.211,48.5933,3.883485661,,0.07,0.07,16.121,2.78012277,,0.039,0.039,8.9817,2.195189174,
251,0,0.162,0.162,37.3086,3.619223863,,0.209,0.209,48.1327,3.87396178,,0.07,0.07,16.121,2.78012277,,0.038,0.038,8.7514,2.169213688,
252,0,0.16,0.16,36.848,3.606801343,,0.207,0.207,47.6721,3.864346321,,0.07,0.07,16.121,2.78012277,,0.038,0.038,8.7514,2.169213688,
253,0,0.158,0.158,36.3874,3.594222561,,0.205,0.205,47.2115,3.854637507,,0.069,0.069,15.8907,2.765734032,,0.038,0.038,8.7514,2.169213688,
254,0,0.155,0.155,35.6965,3.575052645,,0.203,0.203,46.7509,3.844833507,,0.068,0.068,15.6604,2.751135233,,0.038,0.038,8.7514,2.169213688,
