,MilliQ,PonyLake,A(CDOM),a(CDOM),ln(a),Sr,PonyLake Dil 1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,PonyLake Dil 1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,SuwanneeRiver,A(CDOM),a(CDOM),ln(a),Sr,SuwanneeRiver Dil 1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,SuwanneeRiver Dil 1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F15Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_FltDil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_9mR2_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_9mR2_Flt,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_9mR2_FltDil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9mR2_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
325,0.002,0.064,0.062,14.2786,2.658761913,,0.032,0.03,13.818,2.62597209,,0.017,0.015,13.818,2.62597209,,0.08,0.078,17.9634,2.888336355,,0.041,0.039,17.9634,2.888336355,,0.022,0.02,18.424,2.913654163,,0.031,0.029,6.6787,1.898923358,,0.017,0.015,6.909,1.93282491,,0.032,0.03,6.909,1.93282491,,0.017,0.015,6.909,1.93282491,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.055,0.053,12.2059,2.501919441,,0.032,0.03,13.818,2.62597209,,0.047,0.045,10.3635,2.338290018,,0.024,0.022,10.1332,2.315817162,,0.044,0.042,9.6726,2.269297146,,0.022,0.02,9.212,2.220506982,,0.022,0.02,4.606,1.527359801,,0.012,0.01,4.606,1.527359801,,0.078,0.076,17.5028,2.862360868,,0.037,0.035,16.121,2.78012277,
326,0.002,0.063,0.061,14.0483,2.642501392,,0.032,0.03,13.818,2.62597209,,0.017,0.015,13.818,2.62597209,,0.079,0.077,17.7331,2.87543295,,0.041,0.039,17.9634,2.888336355,,0.022,0.02,18.424,2.913654163,,0.031,0.029,6.6787,1.898923358,,0.016,0.014,6.4484,1.863832038,,0.031,0.029,6.6787,1.898923358,,0.017,0.015,6.909,1.93282491,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.055,0.053,12.2059,2.501919441,,0.032,0.03,13.818,2.62597209,,0.046,0.044,10.1332,2.315817162,,0.024,0.022,10.1332,2.315817162,,0.044,0.042,9.6726,2.269297146,,0.021,0.019,8.7514,2.169213688,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.077,0.075,17.2725,2.849115641,,0.037,0.035,16.121,2.78012277,
327,0.002,0.062,0.06,13.818,2.62597209,,0.031,0.029,13.3574,2.592070538,,0.017,0.015,13.818,2.62597209,,0.078,0.076,17.5028,2.862360868,,0.04,0.038,17.5028,2.862360868,,0.021,0.019,17.5028,2.862360868,,0.031,0.029,6.6787,1.898923358,,0.016,0.014,6.4484,1.863832038,,0.031,0.029,6.6787,1.898923358,,0.016,0.014,6.4484,1.863832038,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.055,0.053,12.2059,2.501919441,,0.032,0.03,13.818,2.62597209,,0.046,0.044,10.1332,2.315817162,,0.024,0.022,10.1332,2.315817162,,0.044,0.042,9.6726,2.269297146,,0.022,0.02,9.212,2.220506982,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.077,0.075,17.2725,2.849115641,,0.037,0.035,16.121,2.78012277,
328,0.002,0.061,0.059,13.5877,2.609164972,,0.031,0.029,13.3574,2.592070538,,0.016,0.014,12.8968,2.556979219,,0.077,0.075,17.2725,2.849115641,,0.04,0.038,17.5028,2.862360868,,0.021,0.019,17.5028,2.862360868,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.031,0.029,6.6787,1.898923358,,0.016,0.014,6.4484,1.863832038,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.054,0.052,11.9756,2.482871246,,0.032,0.03,13.818,2.62597209,,0.045,0.043,9.9029,2.292827644,,0.023,0.021,9.6726,2.269297146,,0.044,0.042,9.6726,2.269297146,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.076,0.074,17.0422,2.835692621,,0.036,0.034,15.6604,2.751135233,
329,0.002,0.06,0.058,13.3574,2.592070538,,0.03,0.028,12.8968,2.556979219,,0.016,0.014,12.8968,2.556979219,,0.076,0.074,17.0422,2.835692621,,0.039,0.037,17.0422,2.835692621,,0.021,0.019,17.5028,2.862360868,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.018,0.016,3.6848,1.30421625,,0.01,0.008,3.6848,1.30421625,,0.054,0.052,11.9756,2.482871246,,0.032,0.03,13.818,2.62597209,,0.045,0.043,9.9029,2.292827644,,0.023,0.021,9.6726,2.269297146,,0.044,0.042,9.6726,2.269297146,,0.021,0.019,8.7514,2.169213688,,0.022,0.02,4.606,1.527359801,,0.011,0.009,4.1454,1.421999286,,0.076,0.074,17.0422,2.835692621,,0.036,0.034,15.6604,2.751135233,
330,0.002,0.059,0.057,13.1271,2.574678796,,0.03,0.028,12.8968,2.556979219,,0.016,0.014,12.8968,2.556979219,,0.075,0.073,16.8119,2.822086969,,0.039,0.037,17.0422,2.835692621,,0.02,0.018,16.5816,2.808293647,,0.03,0.028,6.4484,1.863832038,,0.015,0.013,5.9878,1.789724066,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.054,0.052,11.9756,2.482871246,,0.031,0.029,13.3574,2.592070538,,0.044,0.042,9.6726,2.269297146,,0.023,0.021,9.6726,2.269297146,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.076,0.074,17.0422,2.835692621,,0.036,0.034,15.6604,2.751135233,
331,0.002,0.058,0.056,12.8968,2.556979219,,0.029,0.027,12.4362,2.520611574,,0.016,0.014,12.8968,2.556979219,,0.074,0.072,16.5816,2.808293647,,0.038,0.036,16.5816,2.808293647,,0.02,0.018,16.5816,2.808293647,,0.03,0.028,6.4484,1.863832038,,0.015,0.013,5.9878,1.789724066,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.054,0.052,11.9756,2.482871246,,0.031,0.029,13.3574,2.592070538,,0.044,0.042,9.6726,2.269297146,,0.023,0.021,9.6726,2.269297146,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.075,0.073,16.8119,2.822086969,,0.036,0.034,15.6604,2.751135233,
332,0.002,0.058,0.056,12.8968,2.556979219,,0.029,0.027,12.4362,2.520611574,,0.016,0.014,12.8968,2.556979219,,0.073,0.071,16.3513,2.794307405,,0.037,0.035,16.121,2.78012277,,0.02,0.018,16.5816,2.808293647,,0.03,0.028,6.4484,1.863832038,,0.015,0.013,5.9878,1.789724066,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.054,0.052,11.9756,2.482871246,,0.031,0.029,13.3574,2.592070538,,0.043,0.041,9.4423,2.245199595,,0.022,0.02,9.212,2.220506982,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.075,0.073,16.8119,2.822086969,,0.035,0.033,15.1998,2.72128227,
333,0.002,0.057,0.055,12.6665,2.538960713,,0.029,0.027,12.4362,2.520611574,,0.015,0.013,11.9756,2.482871246,,0.072,0.07,16.121,2.78012277,,0.037,0.035,16.121,2.78012277,,0.02,0.018,16.5816,2.808293647,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.053,0.051,11.7453,2.463453161,,0.031,0.029,13.3574,2.592070538,,0.043,0.041,9.4423,2.245199595,,0.022,0.02,9.212,2.220506982,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.075,0.073,16.8119,2.822086969,,0.036,0.034,15.6604,2.751135233,
334,0.002,0.056,0.054,12.4362,2.520611574,,0.028,0.026,11.9756,2.482871246,,0.015,0.013,11.9756,2.482871246,,0.07,0.068,15.6604,2.751135233,,0.037,0.035,16.121,2.78012277,,0.02,0.018,16.5816,2.808293647,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.03,0.028,6.4484,1.863832038,,0.016,0.014,6.4484,1.863832038,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.053,0.051,11.7453,2.463453161,,0.031,0.029,13.3574,2.592070538,,0.042,0.04,9.212,2.220506982,,0.022,0.02,9.212,2.220506982,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.074,0.072,16.5816,2.808293647,,0.035,0.033,15.1998,2.72128227,
335,0.002,0.055,0.053,12.2059,2.501919441,,0.028,0.026,11.9756,2.482871246,,0.015,0.013,11.9756,2.482871246,,0.07,0.068,15.6604,2.751135233,,0.036,0.034,15.6604,2.751135233,,0.019,0.017,15.6604,2.751135233,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.053,0.051,11.7453,2.463453161,,0.031,0.029,13.3574,2.592070538,,0.042,0.04,9.212,2.220506982,,0.022,0.02,9.212,2.220506982,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.021,0.019,4.3757,1.476066507,,0.011,0.009,4.1454,1.421999286,,0.074,0.072,16.5816,2.808293647,,0.035,0.033,15.1998,2.72128227,
336,0.001,0.054,0.053,12.2059,2.501919441,,0.027,0.026,11.9756,2.482871246,,0.015,0.014,12.8968,2.556979219,,0.068,0.067,15.4301,2.736320147,,0.035,0.034,15.6604,2.751135233,,0.019,0.018,16.5816,2.808293647,,0.028,0.027,6.2181,1.827464394,,0.014,0.013,5.9878,1.789724066,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.008,0.007,3.2242,1.170684857,,0.052,0.051,11.7453,2.463453161,,0.03,0.029,13.3574,2.592070538,,0.041,0.04,9.212,2.220506982,,0.021,0.02,9.212,2.220506982,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.073,0.072,16.5816,2.808293647,,0.035,0.034,15.6604,2.751135233,
337,0.002,0.053,0.051,11.7453,2.463453161,,0.027,0.025,11.515,2.443650533,,0.015,0.013,11.9756,2.482871246,,0.067,0.065,14.9695,2.706014798,,0.035,0.033,15.1998,2.72128227,,0.019,0.017,15.6604,2.751135233,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.052,0.05,11.515,2.443650533,,0.03,0.028,12.8968,2.556979219,,0.041,0.039,8.9817,2.195189174,,0.021,0.019,8.7514,2.169213688,,0.042,0.04,9.212,2.220506982,,0.021,0.019,8.7514,2.169213688,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.073,0.071,16.3513,2.794307405,,0.034,0.032,14.7392,2.690510611,
338,0.002,0.052,0.05,11.515,2.443650533,,0.026,0.024,11.0544,2.402828539,,0.014,0.012,11.0544,2.402828539,,0.066,0.064,14.7392,2.690510611,,0.034,0.032,14.7392,2.690510611,,0.018,0.016,14.7392,2.690510611,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.052,0.05,11.515,2.443650533,,0.03,0.028,12.8968,2.556979219,,0.04,0.038,8.7514,2.169213688,,0.021,0.019,8.7514,2.169213688,,0.042,0.04,9.212,2.220506982,,0.02,0.018,8.2908,2.115146466,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.072,0.07,16.121,2.78012277,,0.034,0.032,14.7392,2.690510611,
339,0.002,0.052,0.05,11.515,2.443650533,,0.026,0.024,11.0544,2.402828539,,0.014,0.012,11.0544,2.402828539,,0.065,0.063,14.5089,2.674762254,,0.034,0.032,14.7392,2.690510611,,0.019,0.017,15.6604,2.751135233,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,,0.052,0.05,11.515,2.443650533,,0.03,0.028,12.8968,2.556979219,,0.04,0.038,8.7514,2.169213688,,0.021,0.019,8.7514,2.169213688,,0.042,0.04,9.212,2.220506982,,0.02,0.018,8.2908,2.115146466,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.072,0.07,16.121,2.78012277,,0.034,0.032,14.7392,2.690510611,
340,0.003,0.052,0.049,11.2847,2.423447826,,0.027,0.024,11.0544,2.402828539,,0.015,0.012,11.0544,2.402828539,,0.066,0.063,14.5089,2.674762254,,0.035,0.032,14.7392,2.690510611,,0.019,0.016,14.7392,2.690510611,,0.029,0.026,5.9878,1.789724066,,0.016,0.013,5.9878,1.789724066,,0.03,0.027,6.2181,1.827464394,,0.016,0.013,5.9878,1.789724066,,0.017,0.014,3.2242,1.170684857,,0.01,0.007,3.2242,1.170684857,,0.055,0.052,11.9756,2.482871246,,0.031,0.028,12.8968,2.556979219,,0.041,0.038,8.7514,2.169213688,,0.022,0.019,8.7514,2.169213688,,0.043,0.04,9.212,2.220506982,,0.022,0.019,8.7514,2.169213688,,0.021,0.018,4.1454,1.421999286,,0.011,0.008,3.6848,1.30421625,,0.072,0.069,15.8907,2.765734032,,0.036,0.033,15.1998,2.72128227,
341,0.002,0.05,0.048,11.0544,2.402828539,,0.025,0.023,10.5938,2.360268924,,0.014,0.012,11.0544,2.402828539,,0.063,0.061,14.0483,2.642501392,,0.033,0.031,14.2786,2.658761913,,0.018,0.016,14.7392,2.690510611,,0.027,0.025,5.7575,1.750503353,,0.014,0.012,5.5272,1.709681358,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.016,0.014,3.2242,1.170684857,,0.009,0.007,3.2242,1.170684857,,0.055,0.053,12.2059,2.501919441,,0.03,0.028,12.8968,2.556979219,,0.039,0.037,8.5211,2.14254544,,0.02,0.018,8.2908,2.115146466,,0.041,0.039,8.9817,2.195189174,,0.021,0.019,8.7514,2.169213688,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.07,0.068,15.6604,2.751135233,,0.035,0.033,15.1998,2.72128227,
342,0.002,0.049,0.047,10.8241,2.38177513,,0.025,0.023,10.5938,2.360268924,,0.013,0.011,10.1332,2.315817162,,0.062,0.06,13.818,2.62597209,,0.032,0.03,13.818,2.62597209,,0.018,0.016,14.7392,2.690510611,,0.027,0.025,5.7575,1.750503353,,0.014,0.012,5.5272,1.709681358,,0.029,0.027,6.2181,1.827464394,,0.015,0.013,5.9878,1.789724066,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.055,0.053,12.2059,2.501919441,,0.03,0.028,12.8968,2.556979219,,0.039,0.037,8.5211,2.14254544,,0.02,0.018,8.2908,2.115146466,,0.041,0.039,8.9817,2.195189174,,0.021,0.019,8.7514,2.169213688,,0.02,0.018,4.1454,1.421999286,,0.01,0.008,3.6848,1.30421625,,0.069,0.067,15.4301,2.736320147,,0.035,0.033,15.1998,2.72128227,
343,0.002,0.048,0.046,10.5938,2.360268924,,0.024,0.022,10.1332,2.315817162,,0.013,0.011,10.1332,2.315817162,,0.061,0.059,13.5877,2.609164972,,0.032,0.03,13.818,2.62597209,,0.017,0.015,13.818,2.62597209,,0.027,0.025,5.7575,1.750503353,,0.014,0.012,5.5272,1.709681358,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.016,0.014,3.2242,1.170684857,,0.008,0.006,2.7636,1.016534178,,0.055,0.053,12.2059,2.501919441,,0.029,0.027,12.4362,2.520611574,,0.038,0.036,8.2908,2.115146466,,0.019,0.017,7.8302,2.057988052,,0.041,0.039,8.9817,2.195189174,,0.021,0.019,8.7514,2.169213688,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.068,0.066,15.1998,2.72128227,,0.035,0.033,15.1998,2.72128227,
344,0.002,0.048,0.046,10.5938,2.360268924,,0.024,0.022,10.1332,2.315817162,,0.013,0.011,10.1332,2.315817162,,0.06,0.058,13.3574,2.592070538,,0.031,0.029,13.3574,2.592070538,,0.017,0.015,13.818,2.62597209,,0.026,0.024,5.5272,1.709681358,,0.014,0.012,5.5272,1.709681358,,0.028,0.026,5.9878,1.789724066,,0.014,0.012,5.5272,1.709681358,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.054,0.052,11.9756,2.482871246,,0.029,0.027,12.4362,2.520611574,,0.038,0.036,8.2908,2.115146466,,0.019,0.017,7.8302,2.057988052,,0.041,0.039,8.9817,2.195189174,,0.021,0.019,8.7514,2.169213688,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.068,0.066,15.1998,2.72128227,,0.034,0.032,14.7392,2.690510611,
345,0.001,0.047,0.046,10.5938,2.360268924,,0.024,0.023,10.5938,2.360268924,,0.013,0.012,11.0544,2.402828539,,0.059,0.058,13.3574,2.592070538,,0.031,0.03,13.818,2.62597209,,0.017,0.016,14.7392,2.690510611,,0.026,0.025,5.7575,1.750503353,,0.013,0.012,5.5272,1.709681358,,0.028,0.027,6.2181,1.827464394,,0.014,0.013,5.9878,1.789724066,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,,0.054,0.053,12.2059,2.501919441,,0.029,0.028,12.8968,2.556979219,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.068,0.067,15.4301,2.736320147,,0.034,0.033,15.1998,2.72128227,
346,0.001,0.046,0.045,10.3635,2.338290018,,0.023,0.022,10.1332,2.315817162,,0.012,0.011,10.1332,2.315817162,,0.058,0.057,13.1271,2.574678796,,0.03,0.029,13.3574,2.592070538,,0.016,0.015,13.818,2.62597209,,0.026,0.025,5.7575,1.750503353,,0.013,0.012,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,,0.054,0.053,12.2059,2.501919441,,0.028,0.027,12.4362,2.520611574,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.067,0.066,15.1998,2.72128227,,0.034,0.033,15.1998,2.72128227,
347,0.002,0.046,0.044,10.1332,2.315817162,,0.023,0.021,9.6726,2.269297146,,0.012,0.01,9.212,2.220506982,,0.057,0.055,12.6665,2.538960713,,0.03,0.028,12.8968,2.556979219,,0.016,0.014,12.8968,2.556979219,,0.026,0.024,5.5272,1.709681358,,0.013,0.011,5.0666,1.622669981,,0.028,0.026,5.9878,1.789724066,,0.015,0.013,5.9878,1.789724066,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.054,0.052,11.9756,2.482871246,,0.028,0.026,11.9756,2.482871246,,0.036,0.034,7.8302,2.057988052,,0.019,0.017,7.8302,2.057988052,,0.04,0.038,8.7514,2.169213688,,0.02,0.018,8.2908,2.115146466,,0.019,0.017,3.9151,1.364840872,,0.01,0.008,3.6848,1.30421625,,0.067,0.065,14.9695,2.706014798,,0.034,0.032,14.7392,2.690510611,
348,0.001,0.045,0.044,10.1332,2.315817162,,0.022,0.021,9.6726,2.269297146,,0.012,0.011,10.1332,2.315817162,,0.057,0.056,12.8968,2.556979219,,0.029,0.028,12.8968,2.556979219,,0.016,0.015,13.818,2.62597209,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,,0.054,0.053,12.2059,2.501919441,,0.028,0.027,12.4362,2.520611574,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.066,0.065,14.9695,2.706014798,,0.034,0.033,15.1998,2.72128227,
349,0.001,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.012,0.011,10.1332,2.315817162,,0.055,0.054,12.4362,2.520611574,,0.029,0.028,12.8968,2.556979219,,0.015,0.014,12.8968,2.556979219,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.066,0.065,14.9695,2.706014798,,0.034,0.033,15.1998,2.72128227,
350,0.001,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.012,0.011,10.1332,2.315817162,,0.055,0.054,12.4362,2.520611574,,0.028,0.027,12.4362,2.520611574,,0.015,0.014,12.8968,2.556979219,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.066,0.065,14.9695,2.706014798,,0.034,0.033,15.1998,2.72128227,
351,0.001,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.012,0.011,10.1332,2.315817162,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,,0.015,0.014,12.8968,2.556979219,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.007,0.006,2.7636,1.016534178,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.065,0.064,14.7392,2.690510611,,0.033,0.032,14.7392,2.690510611,
352,0.002,0.042,0.04,9.212,2.220506982,,0.021,0.019,8.7514,2.169213688,,0.012,0.01,9.212,2.220506982,,0.053,0.051,11.7453,2.463453161,,0.027,0.025,11.515,2.443650533,,0.015,0.013,11.9756,2.482871246,,0.024,0.022,5.0666,1.622669981,,0.013,0.011,5.0666,1.622669981,,0.027,0.025,5.7575,1.750503353,,0.014,0.012,5.5272,1.709681358,,0.014,0.012,2.7636,1.016534178,,0.007,0.005,2.303,0.834212621,,0.053,0.051,11.7453,2.463453161,,0.028,0.026,11.9756,2.482871246,,0.035,0.033,7.5999,2.028135089,,0.018,0.016,7.3696,1.997363431,,0.039,0.037,8.5211,2.14254544,,0.02,0.018,8.2908,2.115146466,,0.018,0.016,3.6848,1.30421625,,0.009,0.007,3.2242,1.170684857,,0.065,0.063,14.5089,2.674762254,,0.033,0.031,14.2786,2.658761913,
353,0.001,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,,0.011,0.01,9.212,2.220506982,,0.052,0.051,11.7453,2.463453161,,0.027,0.026,11.9756,2.482871246,,0.015,0.014,12.8968,2.556979219,,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,,0.026,0.025,5.7575,1.750503353,,0.014,0.013,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.007,0.006,2.7636,1.016534178,,0.053,0.052,11.9756,2.482871246,,0.028,0.027,12.4362,2.520611574,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.039,0.038,8.7514,2.169213688,,0.02,0.019,8.7514,2.169213688,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,,0.064,0.063,14.5089,2.674762254,,0.033,0.032,14.7392,2.690510611,
