,MilliQ,PonyLake,A(CDOM),a(CDOM),ln(a),Sr,PonyLake Dil 1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,PonyLake Dil 1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,SuwanneeRiver,A(CDOM),a(CDOM),ln(a),Sr,SuwanneeRiver Dil 1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,SuwanneeRiver Dil 1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F15Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_FltDil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_9mR2_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_9mR2_Flt,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_9mR2_FltDil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9mR2_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
201,0.015,0.431,0.416,95.8048,4.562312788,,0.22,0.205,94.423,4.547784688,,0.118,0.103,94.8836,4.552650877,,0.393,0.378,87.0534,4.466521723,,0.205,0.19,87.514,4.471798781,,0.115,0.1,92.12,4.523092075,,0.143,0.128,29.4784,3.383657792,,0.079,0.064,29.4784,3.383657792,,0.164,0.149,34.3147,3.535573834,,0.093,0.078,35.9268,3.581483535,,0.158,0.143,32.9329,3.494472158,,0.085,0.07,32.242,3.47326995,,0.168,0.153,35.2359,3.562065449,,0.101,0.086,39.6116,3.679122005,,0.243,0.228,52.5084,3.960973157,,0.134,0.119,54.8114,4.003898202,,0.143,0.128,29.4784,3.383657792,,0.076,0.061,28.0966,3.335648573,,0.132,0.117,26.9451,3.293801463,,0.073,0.058,26.7148,3.285217719,,0.224,0.209,48.1327,3.87396178,,0.119,0.104,47.9024,3.869165608,
202,0.015,0.42,0.405,93.2715,4.535514595,,0.214,0.199,91.6594,4.518079533,,0.115,0.1,92.12,4.523092075,,0.391,0.376,86.5928,4.461216671,,0.204,0.189,87.0534,4.466521723,,0.114,0.099,91.1988,4.513041739,,0.138,0.123,28.3269,3.343811883,,0.076,0.061,28.0966,3.335648573,,0.158,0.143,32.9329,3.494472158,,0.089,0.074,34.0844,3.528839802,,0.152,0.137,31.5511,3.451608454,,0.082,0.067,30.8602,3.429467328,,0.161,0.146,33.6238,3.51523415,,0.098,0.083,38.2298,3.643615316,,0.234,0.219,50.4357,3.920699258,,0.129,0.114,52.5084,3.960973157,,0.137,0.122,28.0966,3.335648573,,0.073,0.058,26.7148,3.285217719,,0.125,0.11,25.333,3.232107894,,0.069,0.054,24.8724,3.213758755,,0.218,0.203,46.7509,3.844833507,,0.116,0.101,46.5206,3.839895225,
203,0.014,0.409,0.395,90.9685,4.510513293,,0.208,0.194,89.3564,4.492632867,,0.112,0.098,90.2776,4.502889368,,0.39,0.376,86.5928,4.461216671,,0.203,0.189,87.0534,4.466521723,,0.113,0.099,91.1988,4.513041739,,0.134,0.12,27.636,3.319119271,,0.074,0.06,27.636,3.319119271,,0.153,0.139,32.0117,3.466101461,,0.086,0.072,33.1632,3.501440827,,0.146,0.132,30.3996,3.41442945,,0.079,0.065,29.939,3.399161978,,0.157,0.143,32.9329,3.494472158,,0.095,0.081,37.3086,3.619223863,,0.226,0.212,48.8236,3.888213803,,0.124,0.11,50.666,3.925255074,,0.133,0.119,27.4057,3.310751021,,0.071,0.057,26.2542,3.267825976,,0.119,0.105,24.1815,3.185587878,,0.066,0.052,23.9512,3.176018427,,0.213,0.199,45.8297,3.824932353,,0.113,0.099,45.5994,3.819894559,
204,0.014,0.398,0.384,88.4352,4.48227008,,0.203,0.189,87.0534,4.466521723,,0.109,0.095,87.514,4.471798781,,0.389,0.375,86.3625,4.458553554,,0.202,0.188,86.5928,4.461216671,,0.112,0.098,90.2776,4.502889368,,0.129,0.115,26.4845,3.276559656,,0.071,0.057,26.2542,3.267825976,,0.148,0.134,30.8602,3.429467328,,0.083,0.069,31.7814,3.458881213,,0.141,0.127,29.2481,3.375814614,,0.076,0.062,28.5572,3.351909093,,0.152,0.138,31.7814,3.458881213,,0.092,0.078,35.9268,3.581483535,,0.219,0.205,47.2115,3.854637507,,0.119,0.105,48.363,3.878735059,,0.128,0.114,26.2542,3.267825976,,0.068,0.054,24.8724,3.213758755,,0.114,0.1,23.03,3.136797714,,0.063,0.049,22.5694,3.116595007,,0.208,0.194,44.6782,3.799485687,,0.11,0.096,44.2176,3.7891229,
205,0.013,0.387,0.374,86.1322,4.455883325,,0.197,0.184,84.7504,4.439710466,,0.105,0.092,84.7504,4.439710466,,0.387,0.374,86.1322,4.455883325,,0.2,0.187,86.1322,4.455883325,,0.111,0.098,90.2776,4.502889368,,0.125,0.112,25.7936,3.250126399,,0.068,0.055,25.333,3.232107894,,0.143,0.13,29.939,3.399161978,,0.08,0.067,30.8602,3.429467328,,0.136,0.123,28.3269,3.343811883,,0.073,0.06,27.636,3.319119271,,0.148,0.135,31.0905,3.436902306,,0.089,0.076,35.0056,3.555508049,,0.211,0.198,45.5994,3.819894559,,0.115,0.102,46.9812,3.849747522,,0.124,0.111,25.5633,3.241157729,,0.066,0.053,24.4118,3.195066622,,0.109,0.096,22.1088,3.095975719,,0.06,0.047,21.6482,3.07492231,,0.204,0.191,43.9873,3.783900956,,0.108,0.095,43.757,3.7786516,
206,0.012,0.377,0.365,84.0595,4.431524881,,0.192,0.18,82.908,4.417731559,,0.102,0.09,82.908,4.417731559,,0.385,0.373,85.9019,4.453205947,,0.199,0.187,86.1322,4.455883325,,0.11,0.098,90.2776,4.502889368,,0.121,0.109,25.1027,3.22297541,,0.066,0.054,24.8724,3.213758755,,0.139,0.127,29.2481,3.375814614,,0.078,0.066,30.3996,3.41442945,,0.131,0.119,27.4057,3.310751021,,0.07,0.058,26.7148,3.285217719,,0.144,0.132,30.3996,3.41442945,,0.087,0.075,34.545,3.542262822,,0.205,0.193,44.4479,3.794317717,,0.111,0.099,45.5994,3.819894559,,0.12,0.108,24.8724,3.213758755,,0.064,0.052,23.9512,3.176018427,,0.105,0.093,21.4179,3.064227021,,0.058,0.046,21.1876,3.053416105,,0.2,0.188,43.2964,3.768069491,,0.105,0.093,42.8358,3.757374202,
207,0.011,0.368,0.357,82.2171,4.40936331,,0.187,0.176,81.0656,4.395258703,,0.1,0.089,81.9868,4.406558259,,0.382,0.371,85.4413,4.44782959,,0.198,0.187,86.1322,4.455883325,,0.109,0.098,90.2776,4.502889368,,0.118,0.107,24.6421,3.204456362,,0.064,0.053,24.4118,3.195066622,,0.135,0.124,28.5572,3.351909093,,0.075,0.064,29.4784,3.383657792,,0.127,0.116,26.7148,3.285217719,,0.068,0.057,26.2542,3.267825976,,0.141,0.13,29.939,3.399161978,,0.085,0.074,34.0844,3.528839802,,0.199,0.188,43.2964,3.768069491,,0.108,0.097,44.6782,3.799485687,,0.117,0.106,24.4118,3.195066622,,0.062,0.051,23.4906,3.156600341,,0.101,0.09,20.727,3.031437198,,0.056,0.045,20.727,3.031437198,,0.197,0.186,42.8358,3.757374202,,0.104,0.093,42.8358,3.757374202,
208,0.011,0.359,0.348,80.1444,4.383830008,,0.182,0.171,78.7626,4.366438265,,0.097,0.086,79.2232,4.372269185,,0.38,0.369,84.9807,4.442424172,,0.196,0.185,85.211,4.445130533,,0.108,0.097,89.3564,4.492632867,,0.115,0.104,23.9512,3.176018427,,0.062,0.051,23.4906,3.156600341,,0.131,0.12,27.636,3.319119271,,0.074,0.063,29.0178,3.367909435,,0.123,0.112,25.7936,3.250126399,,0.066,0.055,25.333,3.232107894,,0.138,0.127,29.2481,3.375814614,,0.083,0.072,33.1632,3.501440827,,0.193,0.182,41.9146,3.735634215,,0.105,0.094,43.2964,3.768069491,,0.114,0.103,23.7209,3.166356516,,0.06,0.049,22.5694,3.116595007,,0.098,0.087,20.0361,2.997535646,,0.054,0.043,19.8058,2.985974824,,0.194,0.183,42.1449,3.741113681,,0.102,0.091,41.9146,3.735634215,
209,0.01,0.35,0.34,78.302,4.360573145,,0.177,0.167,76.9202,4.342768521,,0.094,0.084,77.3808,4.348738688,,0.377,0.367,84.5201,4.436989376,,0.194,0.184,84.7504,4.439710466,,0.107,0.097,89.3564,4.492632867,,0.112,0.102,23.4906,3.156600341,,0.06,0.05,23.03,3.136797714,,0.127,0.117,26.9451,3.293801463,,0.071,0.061,28.0966,3.335648573,,0.119,0.109,25.1027,3.22297541,,0.063,0.053,24.4118,3.195066622,,0.136,0.126,29.0178,3.367909435,,0.081,0.071,32.7026,3.487454585,,0.188,0.178,40.9934,3.713411078,,0.101,0.091,41.9146,3.735634215,,0.112,0.102,23.4906,3.156600341,,0.059,0.049,22.5694,3.116595007,,0.095,0.085,19.5755,2.974278784,,0.052,0.042,19.3452,2.962444327,,0.191,0.181,41.6843,3.730124559,,0.1,0.09,41.454,3.724584379,
210,0.01,0.342,0.332,76.4596,4.336762497,,0.173,0.163,75.0778,4.318524909,,0.092,0.082,75.5384,4.324641136,,0.374,0.364,83.8292,4.428781395,,0.193,0.183,84.2898,4.434260861,,0.106,0.096,88.4352,4.48227008,,0.109,0.099,22.7997,3.126747378,,0.059,0.049,22.5694,3.116595007,,0.124,0.114,26.2542,3.267825976,,0.069,0.059,27.1754,3.302312152,,0.115,0.105,24.1815,3.185587878,,0.061,0.051,23.4906,3.156600341,,0.133,0.123,28.3269,3.343811883,,0.079,0.069,31.7814,3.458881213,,0.184,0.174,40.0722,3.690682827,,0.099,0.089,40.9934,3.713411078,,0.109,0.099,22.7997,3.126747378,,0.057,0.047,21.6482,3.07492231,,0.092,0.082,18.8846,2.938346775,,0.05,0.04,18.424,2.913654163,,0.189,0.179,41.2237,3.719013334,,0.099,0.089,40.9934,3.713411078,
