,Blank,F10Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
232,0.007,0.053,0.046,10.5938,2.360268924,,0.026,0.019,8.7514,2.169213688,,0.05,0.043,9.9029,2.292827644,,0.025,0.018,8.2908,2.115146466,,0.078,0.071,16.3513,2.794307405,,0.033,0.026,11.9756,2.482871246,
233,0.006,0.052,0.046,10.5938,2.360268924,,0.025,0.019,8.7514,2.169213688,,0.049,0.043,9.9029,2.292827644,,0.024,0.018,8.2908,2.115146466,,0.076,0.07,16.121,2.78012277,,0.032,0.026,11.9756,2.482871246,
234,0.005,0.051,0.046,10.5938,2.360268924,,0.025,0.02,9.212,2.220506982,,0.048,0.043,9.9029,2.292827644,,0.024,0.019,8.7514,2.169213688,,0.074,0.069,15.8907,2.765734032,,0.031,0.026,11.9756,2.482871246,
235,0.004,0.05,0.046,10.5938,2.360268924,,0.024,0.02,9.212,2.220506982,,0.047,0.043,9.9029,2.292827644,,0.023,0.019,8.7514,2.169213688,,0.071,0.067,15.4301,2.736320147,,0.03,0.026,11.9756,2.482871246,
236,0.004,0.05,0.046,10.5938,2.360268924,,0.024,0.02,9.212,2.220506982,,0.046,0.042,9.6726,2.269297146,,0.023,0.019,8.7514,2.169213688,,0.069,0.065,14.9695,2.706014798,,0.03,0.026,11.9756,2.482871246,
237,0.003,0.049,0.046,10.5938,2.360268924,,0.024,0.021,9.6726,2.269297146,,0.046,0.043,9.9029,2.292827644,,0.022,0.019,8.7514,2.169213688,,0.067,0.064,14.7392,2.690510611,,0.029,0.026,11.9756,2.482871246,
238,0.003,0.048,0.045,10.3635,2.338290018,,0.023,0.02,9.212,2.220506982,,0.045,0.042,9.6726,2.269297146,,0.022,0.019,8.7514,2.169213688,,0.066,0.063,14.5089,2.674762254,,0.029,0.026,11.9756,2.482871246,
239,0.003,0.048,0.045,10.3635,2.338290018,,0.023,0.02,9.212,2.220506982,,0.044,0.041,9.4423,2.245199595,,0.022,0.019,8.7514,2.169213688,,0.065,0.062,14.2786,2.658761913,,0.028,0.025,11.515,2.443650533,
240,0.002,0.047,0.045,10.3635,2.338290018,,0.022,0.02,9.212,2.220506982,,0.044,0.042,9.6726,2.269297146,,0.021,0.019,8.7514,2.169213688,,0.064,0.062,14.2786,2.658761913,,0.028,0.026,11.9756,2.482871246,
241,0.002,0.047,0.045,10.3635,2.338290018,,0.022,0.02,9.212,2.220506982,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.063,0.061,14.0483,2.642501392,,0.027,0.025,11.515,2.443650533,
242,0.002,0.046,0.044,10.1332,2.315817162,,0.022,0.02,9.212,2.220506982,,0.043,0.041,9.4423,2.245199595,,0.021,0.019,8.7514,2.169213688,,0.062,0.06,13.818,2.62597209,,0.027,0.025,11.515,2.443650533,
243,0.002,0.046,0.044,10.1332,2.315817162,,0.022,0.02,9.212,2.220506982,,0.042,0.04,9.212,2.220506982,,0.02,0.018,8.2908,2.115146466,,0.062,0.06,13.818,2.62597209,,0.027,0.025,11.515,2.443650533,
244,0.002,0.045,0.043,9.9029,2.292827644,,0.021,0.019,8.7514,2.169213688,,0.042,0.04,9.212,2.220506982,,0.02,0.018,8.2908,2.115146466,,0.061,0.059,13.5877,2.609164972,,0.026,0.024,11.0544,2.402828539,
245,0.002,0.045,0.043,9.9029,2.292827644,,0.021,0.019,8.7514,2.169213688,,0.041,0.039,8.9817,2.195189174,,0.02,0.018,8.2908,2.115146466,,0.06,0.058,13.3574,2.592070538,,0.026,0.024,11.0544,2.402828539,
246,0.002,0.044,0.042,9.6726,2.269297146,,0.021,0.019,8.7514,2.169213688,,0.041,0.039,8.9817,2.195189174,,0.02,0.018,8.2908,2.115146466,,0.059,0.057,13.1271,2.574678796,,0.026,0.024,11.0544,2.402828539,
247,0.001,0.044,0.043,9.9029,2.292827644,,0.021,0.02,9.212,2.220506982,,0.041,0.04,9.212,2.220506982,,0.02,0.019,8.7514,2.169213688,,0.059,0.058,13.3574,2.592070538,,0.025,0.024,11.0544,2.402828539,
248,0.001,0.043,0.042,9.6726,2.269297146,,0.02,0.019,8.7514,2.169213688,,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.058,0.057,13.1271,2.574678796,,0.025,0.024,11.0544,2.402828539,
249,0.001,0.043,0.042,9.6726,2.269297146,,0.02,0.019,8.7514,2.169213688,,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.058,0.057,13.1271,2.574678796,,0.025,0.024,11.0544,2.402828539,
250,0.002,0.043,0.041,9.4423,2.245199595,,0.02,0.018,8.2908,2.115146466,,0.04,0.038,8.7514,2.169213688,,0.019,0.017,7.8302,2.057988052,,0.057,0.055,12.6665,2.538960713,,0.025,0.023,10.5938,2.360268924,
251,0.002,0.043,0.041,9.4423,2.245199595,,0.02,0.018,8.2908,2.115146466,,0.04,0.038,8.7514,2.169213688,,0.019,0.017,7.8302,2.057988052,,0.057,0.055,12.6665,2.538960713,,0.025,0.023,10.5938,2.360268924,
252,0.001,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.057,0.056,12.8968,2.556979219,,0.024,0.023,10.5938,2.360268924,
253,0.001,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.056,0.055,12.6665,2.538960713,,0.024,0.023,10.5938,2.360268924,
254,0.001,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.056,0.055,12.6665,2.538960713,,0.024,0.023,10.5938,2.360268924,
255,0.001,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.055,0.054,12.4362,2.520611574,,0.024,0.023,10.5938,2.360268924,
256,0.001,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.055,0.054,12.4362,2.520611574,,0.024,0.023,10.5938,2.360268924,
257,0.001,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.055,0.054,12.4362,2.520611574,,0.024,0.023,10.5938,2.360268924,
258,0.001,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.054,0.053,12.2059,2.501919441,,0.023,0.022,10.1332,2.315817162,
259,0.001,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.054,0.053,12.2059,2.501919441,,0.023,0.022,10.1332,2.315817162,
260,0.001,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.053,0.052,11.9756,2.482871246,,0.023,0.022,10.1332,2.315817162,
261,0.001,0.041,0.04,9.212,2.220506982,,0.019,0.018,8.2908,2.115146466,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.053,0.052,11.9756,2.482871246,,0.023,0.022,10.1332,2.315817162,
262,0.001,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.053,0.052,11.9756,2.482871246,,0.023,0.022,10.1332,2.315817162,
263,0.001,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.052,0.051,11.7453,2.463453161,,0.023,0.022,10.1332,2.315817162,
264,0.001,0.04,0.039,8.9817,2.195189174,,0.018,0.017,7.8302,2.057988052,,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.052,0.051,11.7453,2.463453161,,0.022,0.021,9.6726,2.269297146,
265,0.001,0.04,0.039,8.9817,2.195189174,,0.018,0.017,7.8302,2.057988052,,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.052,0.051,11.7453,2.463453161,,0.022,0.021,9.6726,2.269297146,
266,0.001,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,7.8302,2.057988052,,0.051,0.05,11.515,2.443650533,,0.022,0.021,9.6726,2.269297146,
267,0.001,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,7.8302,2.057988052,,0.051,0.05,11.515,2.443650533,,0.022,0.021,9.6726,2.269297146,
268,0.001,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,7.8302,2.057988052,,0.05,0.049,11.2847,2.423447826,,0.021,0.02,9.212,2.220506982,
269,0.001,0.039,0.038,8.7514,2.169213688,,0.018,0.017,7.8302,2.057988052,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,7.8302,2.057988052,,0.05,0.049,11.2847,2.423447826,,0.021,0.02,9.212,2.220506982,
270,0.001,0.038,0.037,8.5211,2.14254544,,0.018,0.017,7.8302,2.057988052,,0.038,0.037,8.5211,2.14254544,,0.017,0.016,7.3696,1.997363431,,0.049,0.048,11.0544,2.402828539,,0.021,0.02,9.212,2.220506982,
271,0.001,0.038,0.037,8.5211,2.14254544,,0.018,0.017,7.8302,2.057988052,,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.049,0.048,11.0544,2.402828539,,0.021,0.02,9.212,2.220506982,
272,0.001,0.038,0.037,8.5211,2.14254544,,0.017,0.016,7.3696,1.997363431,,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.048,0.047,10.8241,2.38177513,,0.02,0.019,8.7514,2.169213688,
273,0.001,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.048,0.047,10.8241,2.38177513,,0.02,0.019,8.7514,2.169213688,
274,0.001,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.047,0.046,10.5938,2.360268924,,0.02,0.019,8.7514,2.169213688,
275,0.001,0.037,0.036,8.2908,2.115146466,,0.017,0.016,7.3696,1.997363431,,0.036,0.035,8.0605,2.086975589,,0.017,0.016,7.3696,1.997363431,,0.047,0.046,10.5938,2.360268924,,0.02,0.019,8.7514,2.169213688,
276,0.001,0.036,0.035,8.0605,2.086975589,,0.017,0.016,7.3696,1.997363431,,0.036,0.035,8.0605,2.086975589,,0.016,0.015,6.909,1.93282491,,0.046,0.045,10.3635,2.338290018,,0.019,0.018,8.2908,2.115146466,
277,0.001,0.036,0.035,8.0605,2.086975589,,0.016,0.015,6.909,1.93282491,,0.035,0.034,7.8302,2.057988052,,0.016,0.015,6.909,1.93282491,,0.046,0.045,10.3635,2.338290018,,0.019,0.018,8.2908,2.115146466,
278,0.001,0.035,0.034,7.8302,2.057988052,,0.016,0.015,6.909,1.93282491,,0.035,0.034,7.8302,2.057988052,,0.016,0.015,6.909,1.93282491,,0.045,0.044,10.1332,2.315817162,,0.019,0.018,8.2908,2.115146466,
279,0.001,0.035,0.034,7.8302,2.057988052,,0.016,0.015,6.909,1.93282491,,0.034,0.033,7.5999,2.028135089,,0.016,0.015,6.909,1.93282491,,0.045,0.044,10.1332,2.315817162,,0.019,0.018,8.2908,2.115146466,
