,Blank,F10Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
294,0,0.028,0.028,6.4484,1.863832038,,0.012,0.012,5.5272,1.709681358,,0.027,0.027,6.2181,1.827464394,,0.011,0.011,5.0666,1.622669981,,0.035,0.035,8.0605,2.086975589,,0.014,0.014,6.4484,1.863832038,
295,0,0.027,0.027,6.2181,1.827464394,,0.012,0.012,5.5272,1.709681358,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.035,0.035,8.0605,2.086975589,,0.014,0.014,6.4484,1.863832038,
296,0,0.027,0.027,6.2181,1.827464394,,0.011,0.011,5.0666,1.622669981,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.034,0.034,7.8302,2.057988052,,0.013,0.013,5.9878,1.789724066,
297,0,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.034,0.034,7.8302,2.057988052,,0.013,0.013,5.9878,1.789724066,
298,0,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.025,0.025,5.7575,1.750503353,,0.01,0.01,4.606,1.527359801,,0.033,0.033,7.5999,2.028135089,,0.013,0.013,5.9878,1.789724066,
299,0,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,4.606,1.527359801,,0.033,0.033,7.5999,2.028135089,,0.013,0.013,5.9878,1.789724066,
300,0,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.024,0.024,5.5272,1.709681358,,0.01,0.01,4.606,1.527359801,,0.032,0.032,7.3696,1.997363431,,0.012,0.012,5.5272,1.709681358,
301,0,0.025,0.025,5.7575,1.750503353,,0.01,0.01,4.606,1.527359801,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.032,0.032,7.3696,1.997363431,,0.012,0.012,5.5272,1.709681358,
302,0,0.024,0.024,5.5272,1.709681358,,0.01,0.01,4.606,1.527359801,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.031,0.031,7.1393,1.965614732,,0.012,0.012,5.5272,1.709681358,
303,0,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.022,0.022,5.0666,1.622669981,,0.009,0.009,4.1454,1.421999286,,0.031,0.031,7.1393,1.965614732,,0.012,0.012,5.5272,1.709681358,
304,0,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.022,0.022,5.0666,1.622669981,,0.009,0.009,4.1454,1.421999286,,0.03,0.03,6.909,1.93282491,,0.011,0.011,5.0666,1.622669981,
305,0,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.022,0.022,5.0666,1.622669981,,0.009,0.009,4.1454,1.421999286,,0.03,0.03,6.909,1.93282491,,0.011,0.011,5.0666,1.622669981,
306,0,0.022,0.022,5.0666,1.622669981,,0.009,0.009,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.009,0.009,4.1454,1.421999286,,0.029,0.029,6.6787,1.898923358,,0.011,0.011,5.0666,1.622669981,
307,0,0.022,0.022,5.0666,1.622669981,,0.009,0.009,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.008,0.008,3.6848,1.30421625,,0.028,0.028,6.4484,1.863832038,,0.01,0.01,4.606,1.527359801,
308,0,0.022,0.022,5.0666,1.622669981,,0.009,0.009,4.1454,1.421999286,,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,,0.028,0.028,6.4484,1.863832038,,0.01,0.01,4.606,1.527359801,
309,0,0.021,0.021,4.8363,1.576149966,,0.009,0.009,4.1454,1.421999286,,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,,0.028,0.028,6.4484,1.863832038,,0.01,0.01,4.606,1.527359801,
310,0,0.021,0.021,4.8363,1.576149966,,0.008,0.008,3.6848,1.30421625,,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,,0.027,0.027,6.2181,1.827464394,,0.01,0.01,4.606,1.527359801,
311,0,0.021,0.021,4.8363,1.576149966,,0.008,0.008,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.027,0.027,6.2181,1.827464394,,0.01,0.01,4.606,1.527359801,
312,0,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.026,0.026,5.9878,1.789724066,,0.01,0.01,4.606,1.527359801,
313,0,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.026,0.026,5.9878,1.789724066,,0.009,0.009,4.1454,1.421999286,
314,0,0.02,0.02,4.606,1.527359801,,0.008,0.008,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.026,0.026,5.9878,1.789724066,,0.009,0.009,4.1454,1.421999286,
315,0,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.025,0.025,5.7575,1.750503353,,0.009,0.009,4.1454,1.421999286,
316,0,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.025,0.025,5.7575,1.750503353,,0.009,0.009,4.1454,1.421999286,
317,0,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.025,0.025,5.7575,1.750503353,,0.009,0.009,4.1454,1.421999286,
318,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.024,0.024,5.5272,1.709681358,,0.009,0.009,4.1454,1.421999286,
319,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.024,0.024,5.5272,1.709681358,,0.008,0.008,3.6848,1.30421625,
320,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.024,0.024,5.5272,1.709681358,,0.008,0.008,3.6848,1.30421625,
321,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.023,0.023,5.2969,1.667121744,,0.008,0.008,3.6848,1.30421625,
322,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.023,0.023,5.2969,1.667121744,,0.008,0.008,3.6848,1.30421625,
323,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.023,0.023,5.2969,1.667121744,,0.008,0.008,3.6848,1.30421625,
324,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.022,0.022,5.0666,1.622669981,,0.008,0.008,3.6848,1.30421625,
325,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.022,0.022,5.0666,1.622669981,,0.008,0.008,3.6848,1.30421625,
326,0,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.022,0.022,5.0666,1.622669981,,0.007,0.007,3.2242,1.170684857,
327,0,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.022,0.022,5.0666,1.622669981,,0.007,0.007,3.2242,1.170684857,
328,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.007,0.007,3.2242,1.170684857,
329,0,0.017,0.017,3.9151,1.364840872,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.007,0.007,3.2242,1.170684857,
330,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.007,0.007,3.2242,1.170684857,
331,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.021,0.021,4.8363,1.576149966,,0.007,0.007,3.2242,1.170684857,
332,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.02,0.02,4.606,1.527359801,,0.007,0.007,3.2242,1.170684857,
333,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.02,0.02,4.606,1.527359801,,0.006,0.006,2.7636,1.016534178,
334,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.006,0.006,2.7636,1.016534178,
335,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.006,0.006,2.7636,1.016534178,
336,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.006,0.006,2.7636,1.016534178,
337,0,0.015,0.015,3.4545,1.239677729,,0.005,0.005,2.303,0.834212621,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.006,0.006,2.7636,1.016534178,
338,0,0.015,0.015,3.4545,1.239677729,,0.005,0.005,2.303,0.834212621,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.018,0.018,4.1454,1.421999286,,0.005,0.005,2.303,0.834212621,
339,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.006,0.006,2.7636,1.016534178,
340,0.002,0.015,0.013,2.9939,1.096576885,,0.006,0.004,1.8424,0.61106907,,0.015,0.013,2.9939,1.096576885,,0.006,0.004,1.8424,0.61106907,,0.02,0.018,4.1454,1.421999286,,0.007,0.005,2.303,0.834212621,
341,0.001,0.014,0.013,2.9939,1.096576885,,0.005,0.004,1.8424,0.61106907,,0.014,0.013,2.9939,1.096576885,,0.005,0.004,1.8424,0.61106907,,0.018,0.017,3.9151,1.364840872,,0.005,0.004,1.8424,0.61106907,
342,0.001,0.014,0.013,2.9939,1.096576885,,0.005,0.004,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.005,0.004,1.8424,0.61106907,,0.017,0.016,3.6848,1.30421625,,0.005,0.004,1.8424,0.61106907,
343,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.004,0.004,1.8424,0.61106907,,0.017,0.017,3.9151,1.364840872,,0.005,0.005,2.303,0.834212621,
344,0.001,0.014,0.013,2.9939,1.096576885,,0.005,0.004,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.005,0.004,1.8424,0.61106907,,0.017,0.016,3.6848,1.30421625,,0.005,0.004,1.8424,0.61106907,
345,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.004,0.004,1.8424,0.61106907,,0.017,0.017,3.9151,1.364840872,,0.005,0.005,2.303,0.834212621,
346,0.001,0.013,0.012,2.7636,1.016534178,,0.004,0.003,1.3818,0.323386997,,0.013,0.012,2.7636,1.016534178,,0.004,0.003,1.3818,0.323386997,,0.017,0.016,3.6848,1.30421625,,0.004,0.003,1.3818,0.323386997,
347,0.001,0.013,0.012,2.7636,1.016534178,,0.005,0.004,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.004,0.003,1.3818,0.323386997,,0.016,0.015,3.4545,1.239677729,,0.005,0.004,1.8424,0.61106907,
348,0.001,0.013,0.012,2.7636,1.016534178,,0.004,0.003,1.3818,0.323386997,,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.016,0.015,3.4545,1.239677729,,0.005,0.004,1.8424,0.61106907,
349,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.016,0.016,3.6848,1.30421625,,0.004,0.004,1.8424,0.61106907,
350,0.001,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.016,0.015,3.4545,1.239677729,,0.004,0.003,1.3818,0.323386997,
351,0.001,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.016,0.015,3.4545,1.239677729,,0.004,0.003,1.3818,0.323386997,
352,0.001,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.015,0.014,3.2242,1.170684857,,0.004,0.003,1.3818,0.323386997,
353,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.004,0.004,1.8424,0.61106907,
354,0.001,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.012,0.011,2.5333,0.929522801,,0.004,0.003,1.3818,0.323386997,,0.015,0.014,3.2242,1.170684857,,0.004,0.003,1.3818,0.323386997,
355,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.003,0.003,1.3818,0.323386997,
356,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.003,0.003,1.3818,0.323386997,
357,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.003,0.003,1.3818,0.323386997,
358,0,0.011,0.011,2.5333,0.929522801,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.003,0.003,1.3818,0.323386997,
359,0,0.011,0.011,2.5333,0.929522801,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.003,0.003,1.3818,0.323386997,
360,0,0.011,0.011,2.5333,0.929522801,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.003,0.003,1.3818,0.323386997,
361,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.003,0.003,1.3818,0.323386997,
362,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.003,0.003,1.3818,0.323386997,
363,0.001,0.011,0.01,2.303,0.834212621,,0.004,0.003,1.3818,0.323386997,,0.011,0.01,2.303,0.834212621,,0.003,0.002,0.9212,-0.082078111,,0.013,0.012,2.7636,1.016534178,,0.003,0.002,0.9212,-0.082078111,
364,0.001,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.01,0.009,2.0727,0.728852105,,0.003,0.002,0.9212,-0.082078111,,0.013,0.012,2.7636,1.016534178,,0.003,0.002,0.9212,-0.082078111,
365,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.003,0.003,1.3818,0.323386997,
366,0.001,0.01,0.009,2.0727,0.728852105,,0.003,0.002,0.9212,-0.082078111,,0.01,0.009,2.0727,0.728852105,,0.003,0.002,0.9212,-0.082078111,,0.013,0.012,2.7636,1.016534178,,0.003,0.002,0.9212,-0.082078111,
367,0.001,0.01,0.009,2.0727,0.728852105,,0.003,0.002,0.9212,-0.082078111,,0.01,0.009,2.0727,0.728852105,,0.003,0.002,0.9212,-0.082078111,,0.012,0.011,2.5333,0.929522801,,0.003,0.002,0.9212,-0.082078111,
368,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.003,0.003,1.3818,0.323386997,
369,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.002,0.002,0.9212,-0.082078111,
370,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.002,0.002,0.9212,-0.082078111,
371,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.002,0.002,0.9212,-0.082078111,
372,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.002,0.002,0.9212,-0.082078111,
373,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.002,0.002,0.9212,-0.082078111,
374,0.001,0.009,0.008,1.8424,0.61106907,,0.003,0.002,0.9212,-0.082078111,,0.01,0.009,2.0727,0.728852105,,0.003,0.002,0.9212,-0.082078111,,0.011,0.01,2.303,0.834212621,,0.002,0.001,0.4606,-0.775225292,
375,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.002,0.002,0.9212,-0.082078111,
376,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.002,0.002,0.9212,-0.082078111,
377,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.002,0.002,0.9212,-0.082078111,
378,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.002,0.002,0.9212,-0.082078111,
379,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.002,0.002,0.9212,-0.082078111,
380,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.002,0.002,0.9212,-0.082078111,
381,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.002,0.002,0.9212,-0.082078111,
382,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.001,0.001,0.4606,-0.775225292,
383,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.001,0.001,0.4606,-0.775225292,
384,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.001,0.001,0.4606,-0.775225292,
385,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.001,0.001,0.4606,-0.775225292,
386,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.001,0.001,0.4606,-0.775225292,
387,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.001,0.001,0.4606,-0.775225292,
388,0,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.001,0.001,0.4606,-0.775225292,
389,0,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.001,0.001,0.4606,-0.775225292,
390,0,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.001,0.001,0.4606,-0.775225292,
391,0,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.001,0.001,0.4606,-0.775225292,
392,0,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.001,0.001,0.4606,-0.775225292,
393,0,0.007,0.007,1.6121,0.477537677,,0.001,0.001,0.4606,-0.775225292,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.4606,-0.775225292,
394,0,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0,0,0,#NUM!,
395,0,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0,0,0,#NUM!,
396,0,0.007,0.007,1.6121,0.477537677,,0.001,0.001,0.4606,-0.775225292,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.4606,-0.775225292,
397,0,0.007,0.007,1.6121,0.477537677,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0,0,0,#NUM!,
398,0,0.007,0.007,1.6121,0.477537677,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0,0,0,#NUM!,
399,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0,0,0,#NUM!,
400,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
401,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
402,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
403,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
