,Blank,F20Sep19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_Surf_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R1_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F22Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_WET_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
353,0.001,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.101,0.1,23.03,3.136797714,,0.051,0.05,23.03,3.136797714,,0.021,0.02,92.12,4.523092075,,0.05,0.049,11.2847,2.423447826,,0.024,0.023,10.5938,2.360268924,
354,0.001,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.1,0.099,22.7997,3.126747378,,0.05,0.049,22.5694,3.116595007,,0.021,0.02,91.1988,4.513041739,,0.05,0.049,11.2847,2.423447826,,0.023,0.022,10.1332,2.315817162,
355,0,0.032,0.032,7.3696,1.997363431,,0.017,0.017,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,2.303,0.834212621,,0.1,0.1,23.03,3.136797714,,0.05,0.05,23.03,3.136797714,,0.02,0.02,92.12,4.523092075,,0.049,0.049,11.2847,2.423447826,,0.023,0.023,10.5938,2.360268924,
356,0.001,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.099,0.098,22.5694,3.116595007,,0.05,0.049,22.5694,3.116595007,,0.02,0.019,90.2776,4.502889368,,0.049,0.048,11.0544,2.402828539,,0.023,0.022,10.1332,2.315817162,
357,0,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.098,0.098,22.5694,3.116595007,,0.049,0.049,22.5694,3.116595007,,0.02,0.02,90.2776,4.502889368,,0.049,0.049,11.2847,2.423447826,,0.023,0.023,10.5938,2.360268924,
358,0,0.031,0.031,7.1393,1.965614732,,0.016,0.016,7.3696,1.997363431,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,2.303,0.834212621,,0.098,0.098,22.5694,3.116595007,,0.049,0.049,22.5694,3.116595007,,0.02,0.02,90.2776,4.502889368,,0.048,0.048,11.0544,2.402828539,,0.023,0.023,10.5938,2.360268924,
359,0.001,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.097,0.096,22.1088,3.095975719,,0.049,0.048,22.1088,3.095975719,,0.02,0.019,88.4352,4.48227008,,0.048,0.047,10.8241,2.38177513,,0.022,0.021,9.6726,2.269297146,
360,0.001,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.096,0.095,21.8785,3.085504419,,0.048,0.047,21.6482,3.07492231,,0.02,0.019,87.514,4.471798781,,0.047,0.046,10.5938,2.360268924,,0.023,0.022,10.1332,2.315817162,
361,0.001,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.096,0.095,21.8785,3.085504419,,0.048,0.047,21.6482,3.07492231,,0.02,0.019,87.514,4.471798781,,0.047,0.046,10.5938,2.360268924,,0.022,0.021,9.6726,2.269297146,
362,0.001,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.095,0.094,21.6482,3.07492231,,0.048,0.047,21.6482,3.07492231,,0.02,0.019,86.5928,4.461216671,,0.047,0.046,10.5938,2.360268924,,0.022,0.021,9.6726,2.269297146,
363,0.001,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.094,0.093,21.4179,3.064227021,,0.047,0.046,21.1876,3.053416105,,0.019,0.018,85.6716,4.450521382,,0.046,0.045,10.3635,2.338290018,,0.022,0.021,9.6726,2.269297146,
364,0.001,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.094,0.093,21.4179,3.064227021,,0.047,0.046,21.1876,3.053416105,,0.019,0.018,85.6716,4.450521382,,0.046,0.045,10.3635,2.338290018,,0.022,0.021,9.6726,2.269297146,
365,0.001,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.093,0.092,21.1876,3.053416105,,0.046,0.045,20.727,3.031437198,,0.019,0.018,84.7504,4.439710466,,0.045,0.044,10.1332,2.315817162,,0.022,0.021,9.6726,2.269297146,
366,0.001,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.092,0.091,20.9573,3.042487034,,0.046,0.045,20.727,3.031437198,,0.019,0.018,83.8292,4.428781395,,0.045,0.044,10.1332,2.315817162,,0.022,0.021,9.6726,2.269297146,
367,0.001,0.029,0.028,6.4484,1.863832038,,0.015,0.014,6.4484,1.863832038,,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.091,0.09,20.727,3.031437198,,0.046,0.045,20.727,3.031437198,,0.019,0.018,82.908,4.417731559,,0.045,0.044,10.1332,2.315817162,,0.022,0.021,9.6726,2.269297146,
368,0.001,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.091,0.09,20.727,3.031437198,,0.046,0.045,20.727,3.031437198,,0.019,0.018,82.908,4.417731559,,0.045,0.044,10.1332,2.315817162,,0.021,0.02,9.212,2.220506982,
369,0.001,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.09,0.089,20.4967,3.020263898,,0.045,0.044,20.2664,3.008964342,,0.019,0.018,81.9868,4.406558259,,0.044,0.043,9.9029,2.292827644,,0.021,0.02,9.212,2.220506982,
370,0.001,0.028,0.027,6.2181,1.827464394,,0.015,0.014,6.4484,1.863832038,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.089,0.088,20.2664,3.008964342,,0.045,0.044,20.2664,3.008964342,,0.019,0.018,81.0656,4.395258703,,0.044,0.043,9.9029,2.292827644,,0.021,0.02,9.212,2.220506982,
371,0.001,0.028,0.027,6.2181,1.827464394,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.089,0.088,20.2664,3.008964342,,0.044,0.043,19.8058,2.985974824,,0.018,0.017,81.0656,4.395258703,,0.044,0.043,9.9029,2.292827644,,0.021,0.02,9.212,2.220506982,
372,0.001,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.088,0.087,20.0361,2.997535646,,0.044,0.043,19.8058,2.985974824,,0.018,0.017,80.1444,4.383830008,,0.043,0.042,9.6726,2.269297146,,0.021,0.02,9.212,2.220506982,
373,0.001,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.087,0.086,19.8058,2.985974824,,0.044,0.043,19.8058,2.985974824,,0.018,0.017,79.2232,4.372269185,,0.043,0.042,9.6726,2.269297146,,0.021,0.02,9.212,2.220506982,
374,0.001,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.087,0.086,19.8058,2.985974824,,0.044,0.043,19.8058,2.985974824,,0.018,0.017,79.2232,4.372269185,,0.043,0.042,9.6726,2.269297146,,0.021,0.02,9.212,2.220506982,
375,0.001,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.086,0.085,19.5755,2.974278784,,0.043,0.042,19.3452,2.962444327,,0.018,0.017,78.302,4.360573145,,0.042,0.041,9.4423,2.245199595,,0.021,0.02,9.212,2.220506982,
376,0.001,0.027,0.026,5.9878,1.789724066,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.086,0.085,19.5755,2.974278784,,0.043,0.042,19.3452,2.962444327,,0.018,0.017,78.302,4.360573145,,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,
377,0.001,0.026,0.025,5.7575,1.750503353,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.085,0.084,19.3452,2.962444327,,0.043,0.042,19.3452,2.962444327,,0.017,0.016,77.3808,4.348738688,,0.042,0.041,9.4423,2.245199595,,0.02,0.019,8.7514,2.169213688,
378,0.001,0.026,0.025,5.7575,1.750503353,,0.014,0.013,5.9878,1.789724066,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.084,0.083,19.1149,2.950468136,,0.042,0.041,18.8846,2.938346775,,0.017,0.016,76.4596,4.336762497,,0.041,0.04,9.212,2.220506982,,0.02,0.019,8.7514,2.169213688,
379,0.001,0.026,0.025,5.7575,1.750503353,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.084,0.083,19.1149,2.950468136,,0.042,0.041,18.8846,2.938346775,,0.017,0.016,76.4596,4.336762497,,0.041,0.04,9.212,2.220506982,,0.02,0.019,8.7514,2.169213688,
380,0.001,0.026,0.025,5.7575,1.750503353,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.083,0.082,18.8846,2.938346775,,0.042,0.041,18.8846,2.938346775,,0.017,0.016,75.5384,4.324641136,,0.041,0.04,9.212,2.220506982,,0.02,0.019,8.7514,2.169213688,
381,0.001,0.026,0.025,5.7575,1.750503353,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.082,0.081,18.6543,2.926076683,,0.041,0.04,18.424,2.913654163,,0.017,0.016,74.6172,4.312371044,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,
382,0.001,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,1.3818,0.323386997,,0.082,0.081,18.6543,2.926076683,,0.041,0.04,18.424,2.913654163,,0.017,0.016,74.6172,4.312371044,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,
383,0.001,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.081,0.08,18.424,2.913654163,,0.041,0.04,18.424,2.913654163,,0.017,0.016,73.696,4.299948524,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,8.2908,2.115146466,
384,0.001,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.081,0.08,18.424,2.913654163,,0.041,0.04,18.424,2.913654163,,0.016,0.015,73.696,4.299948524,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,
385,0.001,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.08,0.079,18.1937,2.90107538,,0.04,0.039,17.9634,2.888336355,,0.016,0.015,72.7748,4.287369741,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,
386,0.001,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.08,0.079,18.1937,2.90107538,,0.04,0.039,17.9634,2.888336355,,0.016,0.015,72.7748,4.287369741,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,
387,0.001,0.024,0.023,5.2969,1.667121744,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.079,0.078,17.9634,2.888336355,,0.04,0.039,17.9634,2.888336355,,0.016,0.015,71.8536,4.274630716,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,
388,0.001,0.024,0.023,5.2969,1.667121744,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.078,0.077,17.7331,2.87543295,,0.039,0.038,17.5028,2.862360868,,0.016,0.015,70.9324,4.261727311,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,
389,0.001,0.024,0.023,5.2969,1.667121744,,0.013,0.012,5.5272,1.709681358,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,,0.078,0.077,17.7331,2.87543295,,0.039,0.038,17.5028,2.862360868,,0.016,0.015,70.9324,4.261727311,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,
390,0.001,0.024,0.023,5.2969,1.667121744,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.077,0.076,17.5028,2.862360868,,0.039,0.038,17.5028,2.862360868,,0.016,0.015,70.0112,4.248655229,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,
391,0.001,0.024,0.023,5.2969,1.667121744,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.077,0.076,17.5028,2.862360868,,0.039,0.038,17.5028,2.862360868,,0.016,0.015,70.0112,4.248655229,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,
392,0.001,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.076,0.075,17.2725,2.849115641,,0.038,0.037,17.0422,2.835692621,,0.015,0.014,69.09,4.235410003,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,
393,0.001,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.076,0.075,17.2725,2.849115641,,0.038,0.037,17.0422,2.835692621,,0.015,0.014,69.09,4.235410003,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,
394,0.001,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.075,0.074,17.0422,2.835692621,,0.038,0.037,17.0422,2.835692621,,0.015,0.014,68.1688,4.221986982,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,
395,0.001,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.075,0.074,17.0422,2.835692621,,0.038,0.037,17.0422,2.835692621,,0.015,0.014,68.1688,4.221986982,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,
396,0.001,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.074,0.073,16.8119,2.822086969,,0.037,0.036,16.5816,2.808293647,,0.015,0.014,67.2476,4.20838133,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,
397,0.001,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.074,0.073,16.8119,2.822086969,,0.037,0.036,16.5816,2.808293647,,0.015,0.014,67.2476,4.20838133,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,
398,0.001,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.073,0.072,16.5816,2.808293647,,0.037,0.036,16.5816,2.808293647,,0.015,0.014,66.3264,4.194588008,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,
399,0.001,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.073,0.072,16.5816,2.808293647,,0.037,0.036,16.5816,2.808293647,,0.015,0.014,66.3264,4.194588008,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,
400,0.001,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.072,0.071,16.3513,2.794307405,,0.036,0.035,16.121,2.78012277,,0.014,0.013,65.4052,4.180601766,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,
401,0.001,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.072,0.071,16.3513,2.794307405,,0.036,0.035,16.121,2.78012277,,0.014,0.013,65.4052,4.180601766,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,
402,0.001,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.071,0.07,16.121,2.78012277,,0.036,0.035,16.121,2.78012277,,0.014,0.013,64.484,4.166417131,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,7.3696,1.997363431,
403,0.001,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.071,0.07,16.121,2.78012277,,0.036,0.035,16.121,2.78012277,,0.014,0.013,64.484,4.166417131,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,
404,0.001,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.07,0.069,15.8907,2.765734032,,0.035,0.034,15.6604,2.751135233,,0.014,0.013,63.5628,4.152028394,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,
405,0.001,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.07,0.069,15.8907,2.765734032,,0.035,0.034,15.6604,2.751135233,,0.014,0.013,63.5628,4.152028394,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,
406,0.001,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.07,0.069,15.8907,2.765734032,,0.035,0.034,15.6604,2.751135233,,0.014,0.013,63.5628,4.152028394,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,
407,0.001,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.069,0.068,15.6604,2.751135233,,0.035,0.034,15.6604,2.751135233,,0.014,0.013,62.6416,4.137429594,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,
408,0.001,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.069,0.068,15.6604,2.751135233,,0.035,0.034,15.6604,2.751135233,,0.014,0.013,62.6416,4.137429594,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,
409,0.001,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.068,0.067,15.4301,2.736320147,,0.034,0.033,15.1998,2.72128227,,0.014,0.013,61.7204,4.122614508,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,
410,0.001,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.068,0.067,15.4301,2.736320147,,0.034,0.033,15.1998,2.72128227,,0.014,0.013,61.7204,4.122614508,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,
411,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.067,0.066,15.1998,2.72128227,,0.034,0.033,15.1998,2.72128227,,0.014,0.013,60.7992,4.107576631,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,
412,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.067,0.066,15.1998,2.72128227,,0.034,0.033,15.1998,2.72128227,,0.014,0.013,60.7992,4.107576631,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
413,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.066,0.065,14.9695,2.706014798,,0.033,0.032,14.7392,2.690510611,,0.013,0.012,59.878,4.092309159,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
414,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.066,0.065,14.9695,2.706014798,,0.033,0.032,14.7392,2.690510611,,0.014,0.013,59.878,4.092309159,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
415,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.066,0.065,14.9695,2.706014798,,0.033,0.032,14.7392,2.690510611,,0.013,0.012,59.878,4.092309159,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
416,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.009,0.008,1.8424,0.61106907,,0.004,0.003,1.3818,0.323386997,,0.065,0.064,14.7392,2.690510611,,0.033,0.032,14.7392,2.690510611,,0.013,0.012,58.9568,4.076804972,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
417,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.065,0.064,14.7392,2.690510611,,0.033,0.032,14.7392,2.690510611,,0.013,0.012,58.9568,4.076804972,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
418,0.001,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.064,0.063,14.5089,2.674762254,,0.032,0.031,14.2786,2.658761913,,0.013,0.012,58.0356,4.061056615,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,
419,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.064,0.063,14.5089,2.674762254,,0.032,0.031,14.2786,2.658761913,,0.013,0.012,58.0356,4.061056615,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
420,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.064,0.063,14.5089,2.674762254,,0.032,0.031,14.2786,2.658761913,,0.013,0.012,58.0356,4.061056615,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
421,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.063,0.062,14.2786,2.658761913,,0.032,0.031,14.2786,2.658761913,,0.013,0.012,57.1144,4.045056274,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
422,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.063,0.062,14.2786,2.658761913,,0.031,0.03,13.818,2.62597209,,0.013,0.012,57.1144,4.045056274,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
423,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.062,0.061,14.0483,2.642501392,,0.031,0.03,13.818,2.62597209,,0.013,0.012,56.1932,4.028795753,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
424,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.062,0.061,14.0483,2.642501392,,0.031,0.03,13.818,2.62597209,,0.013,0.012,56.1932,4.028795753,,0.031,0.03,6.909,1.93282491,,0.016,0.015,6.909,1.93282491,
425,0.001,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.062,0.061,14.0483,2.642501392,,0.031,0.03,13.818,2.62597209,,0.013,0.012,56.1932,4.028795753,,0.03,0.029,6.6787,1.898923358,,0.016,0.015,6.909,1.93282491,
