,MilliQ,F04Oct19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_102_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr
343,0.001,0.04,0.039,8.9817,2.195189174,,0.037,0.036,8.2908,2.115146466,,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.082,0.081,18.6543,2.926076683,,0.041,0.04,9.212,2.220506982,,0.02,0.019,4.3757,1.476066507,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,3.9151,1.364840872,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,
344,0.001,0.04,0.039,8.9817,2.195189174,,0.037,0.036,8.2908,2.115146466,,0.02,0.019,4.3757,1.476066507,,0.027,0.026,5.9878,1.789724066,,0.081,0.08,18.424,2.913654163,,0.041,0.04,9.212,2.220506982,,0.02,0.019,4.3757,1.476066507,,0.034,0.033,7.5999,2.028135089,,0.018,0.017,3.9151,1.364840872,,0.027,0.026,5.9878,1.789724066,,0.028,0.027,6.2181,1.827464394,
345,0.001,0.04,0.039,8.9817,2.195189174,,0.036,0.035,8.0605,2.086975589,,0.019,0.018,4.1454,1.421999286,,0.026,0.025,5.7575,1.750503353,,0.081,0.08,18.424,2.913654163,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,4.1454,1.421999286,,0.034,0.033,7.5999,2.028135089,,0.018,0.017,3.9151,1.364840872,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,
346,0.001,0.04,0.039,8.9817,2.195189174,,0.036,0.035,8.0605,2.086975589,,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.081,0.08,18.424,2.913654163,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,4.1454,1.421999286,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,
347,0.001,0.039,0.038,8.7514,2.169213688,,0.036,0.035,8.0605,2.086975589,,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.08,0.079,18.1937,2.90107538,,0.04,0.039,8.9817,2.195189174,,0.019,0.018,4.1454,1.421999286,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.026,0.025,5.7575,1.750503353,,0.027,0.026,5.9878,1.789724066,
348,0.001,0.039,0.038,8.7514,2.169213688,,0.036,0.035,8.0605,2.086975589,,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.079,0.078,17.9634,2.888336355,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.027,0.026,5.9878,1.789724066,
349,0.001,0.039,0.038,8.7514,2.169213688,,0.035,0.034,7.8302,2.057988052,,0.019,0.018,4.1454,1.421999286,,0.025,0.024,5.5272,1.709681358,,0.079,0.078,17.9634,2.888336355,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,4.1454,1.421999286,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.026,0.025,5.7575,1.750503353,
350,0.001,0.038,0.037,8.5211,2.14254544,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,3.9151,1.364840872,,0.025,0.024,5.5272,1.709681358,,0.078,0.077,17.7331,2.87543295,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,4.1454,1.421999286,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,3.6848,1.30421625,,0.025,0.024,5.5272,1.709681358,,0.026,0.025,5.7575,1.750503353,
351,0.001,0.038,0.037,8.5211,2.14254544,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,3.9151,1.364840872,,0.024,0.023,5.2969,1.667121744,,0.078,0.077,17.7331,2.87543295,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,3.9151,1.364840872,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.025,0.024,5.5272,1.709681358,
352,0.001,0.038,0.037,8.5211,2.14254544,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,3.9151,1.364840872,,0.024,0.023,5.2969,1.667121744,,0.077,0.076,17.5028,2.862360868,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,3.9151,1.364840872,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.025,0.024,5.5272,1.709681358,
353,0.001,0.038,0.037,8.5211,2.14254544,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,3.9151,1.364840872,,0.024,0.023,5.2969,1.667121744,,0.077,0.076,17.5028,2.862360868,,0.038,0.037,8.5211,2.14254544,,0.018,0.017,3.9151,1.364840872,,0.031,0.03,6.909,1.93282491,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.025,0.024,5.5272,1.709681358,
354,0.001,0.037,0.036,8.2908,2.115146466,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.023,0.022,5.0666,1.622669981,,0.077,0.076,17.5028,2.862360868,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,3.9151,1.364840872,,0.031,0.03,6.909,1.93282491,,0.017,0.016,3.6848,1.30421625,,0.024,0.023,5.2969,1.667121744,,0.025,0.024,5.5272,1.709681358,
355,0.001,0.037,0.036,8.2908,2.115146466,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.023,0.022,5.0666,1.622669981,,0.076,0.075,17.2725,2.849115641,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,3.9151,1.364840872,,0.03,0.029,6.6787,1.898923358,,0.017,0.016,3.6848,1.30421625,,0.023,0.022,5.0666,1.622669981,,0.024,0.023,5.2969,1.667121744,
356,0.001,0.037,0.036,8.2908,2.115146466,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.023,0.022,5.0666,1.622669981,,0.076,0.075,17.2725,2.849115641,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,3.9151,1.364840872,,0.03,0.029,6.6787,1.898923358,,0.017,0.016,3.6848,1.30421625,,0.023,0.022,5.0666,1.622669981,,0.024,0.023,5.2969,1.667121744,
357,0.001,0.037,0.036,8.2908,2.115146466,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,3.6848,1.30421625,,0.022,0.021,4.8363,1.576149966,,0.075,0.074,17.0422,2.835692621,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,3.9151,1.364840872,,0.03,0.029,6.6787,1.898923358,,0.017,0.016,3.6848,1.30421625,,0.023,0.022,5.0666,1.622669981,,0.024,0.023,5.2969,1.667121744,
358,0.001,0.037,0.036,8.2908,2.115146466,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,3.6848,1.30421625,,0.022,0.021,4.8363,1.576149966,,0.074,0.073,16.8119,2.822086969,,0.036,0.035,8.0605,2.086975589,,0.017,0.016,3.6848,1.30421625,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.022,0.021,4.8363,1.576149966,,0.024,0.023,5.2969,1.667121744,
359,0.001,0.036,0.035,8.0605,2.086975589,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.022,0.021,4.8363,1.576149966,,0.074,0.073,16.8119,2.822086969,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.029,0.028,6.4484,1.863832038,,0.016,0.015,3.4545,1.239677729,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,
360,0.001,0.036,0.035,8.0605,2.086975589,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.022,0.021,4.8363,1.576149966,,0.074,0.073,16.8119,2.822086969,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.029,0.028,6.4484,1.863832038,,0.017,0.016,3.6848,1.30421625,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,
361,0.001,0.036,0.035,8.0605,2.086975589,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.073,0.072,16.5816,2.808293647,,0.035,0.034,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.028,0.027,6.2181,1.827464394,,0.017,0.016,3.6848,1.30421625,,0.022,0.021,4.8363,1.576149966,,0.023,0.022,5.0666,1.622669981,
362,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.073,0.072,16.5816,2.808293647,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.028,0.027,6.2181,1.827464394,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.022,0.021,4.8363,1.576149966,
363,0.001,0.036,0.035,8.0605,2.086975589,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.072,0.071,16.3513,2.794307405,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.028,0.027,6.2181,1.827464394,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.022,0.021,4.8363,1.576149966,
364,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.072,0.071,16.3513,2.794307405,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.027,0.026,5.9878,1.789724066,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.022,0.021,4.8363,1.576149966,
365,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.072,0.071,16.3513,2.794307405,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,3.6848,1.30421625,,0.027,0.026,5.9878,1.789724066,,0.016,0.015,3.4545,1.239677729,,0.021,0.02,4.606,1.527359801,,0.022,0.021,4.8363,1.576149966,
366,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.015,0.014,3.2242,1.170684857,,0.02,0.019,4.3757,1.476066507,,0.071,0.07,16.121,2.78012277,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,3.6848,1.30421625,,0.027,0.026,5.9878,1.789724066,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,
367,0.001,0.035,0.034,7.8302,2.057988052,,0.032,0.031,7.1393,1.965614732,,0.015,0.014,3.2242,1.170684857,,0.02,0.019,4.3757,1.476066507,,0.07,0.069,15.8907,2.765734032,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.027,0.026,5.9878,1.789724066,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,
368,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.02,0.019,4.3757,1.476066507,,0.07,0.069,15.8907,2.765734032,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,
369,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.019,0.018,4.1454,1.421999286,,0.07,0.069,15.8907,2.765734032,,0.033,0.032,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.02,0.019,4.3757,1.476066507,,0.021,0.02,4.606,1.527359801,
370,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.019,0.018,4.1454,1.421999286,,0.069,0.068,15.6604,2.751135233,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,3.4545,1.239677729,,0.026,0.025,5.7575,1.750503353,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,
371,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.014,0.013,2.9939,1.096576885,,0.019,0.018,4.1454,1.421999286,,0.069,0.068,15.6604,2.751135233,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,3.4545,1.239677729,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,
372,0.001,0.034,0.033,7.5999,2.028135089,,0.031,0.03,6.909,1.93282491,,0.014,0.013,2.9939,1.096576885,,0.019,0.018,4.1454,1.421999286,,0.068,0.067,15.4301,2.736320147,,0.031,0.03,6.909,1.93282491,,0.016,0.015,3.4545,1.239677729,,0.025,0.024,5.5272,1.709681358,,0.016,0.015,3.4545,1.239677729,,0.019,0.018,4.1454,1.421999286,,0.02,0.019,4.3757,1.476066507,
373,0.001,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.014,0.013,2.9939,1.096576885,,0.018,0.017,3.9151,1.364840872,,0.068,0.067,15.4301,2.736320147,,0.031,0.03,6.909,1.93282491,,0.016,0.015,3.4545,1.239677729,,0.025,0.024,5.5272,1.709681358,,0.015,0.014,3.2242,1.170684857,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,
374,0.001,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.014,0.013,2.9939,1.096576885,,0.018,0.017,3.9151,1.364840872,,0.067,0.066,15.1998,2.72128227,,0.031,0.03,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,
375,0.001,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.014,0.013,2.9939,1.096576885,,0.018,0.017,3.9151,1.364840872,,0.067,0.066,15.1998,2.72128227,,0.031,0.03,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,
376,0.001,0.033,0.032,7.3696,1.997363431,,0.03,0.029,6.6787,1.898923358,,0.014,0.013,2.9939,1.096576885,,0.018,0.017,3.9151,1.364840872,,0.067,0.066,15.1998,2.72128227,,0.03,0.029,6.6787,1.898923358,,0.015,0.014,3.2242,1.170684857,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.018,0.017,3.9151,1.364840872,,0.019,0.018,4.1454,1.421999286,
377,0.001,0.033,0.032,7.3696,1.997363431,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,2.7636,1.016534178,,0.018,0.017,3.9151,1.364840872,,0.066,0.065,14.9695,2.706014798,,0.03,0.029,6.6787,1.898923358,,0.015,0.014,3.2242,1.170684857,,0.024,0.023,5.2969,1.667121744,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,
378,0.001,0.033,0.032,7.3696,1.997363431,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,2.7636,1.016534178,,0.017,0.016,3.6848,1.30421625,,0.066,0.065,14.9695,2.706014798,,0.03,0.029,6.6787,1.898923358,,0.015,0.014,3.2242,1.170684857,,0.023,0.022,5.0666,1.622669981,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,
379,0,0.032,0.032,7.3696,1.997363431,,0.029,0.029,6.6787,1.898923358,,0.013,0.013,2.9939,1.096576885,,0.017,0.017,3.9151,1.364840872,,0.065,0.065,14.9695,2.706014798,,0.03,0.03,6.909,1.93282491,,0.015,0.015,3.4545,1.239677729,,0.023,0.023,5.2969,1.667121744,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,,0.018,0.018,4.1454,1.421999286,
380,0.001,0.032,0.031,7.1393,1.965614732,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,2.7636,1.016534178,,0.017,0.016,3.6848,1.30421625,,0.065,0.064,14.7392,2.690510611,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,3.2242,1.170684857,,0.023,0.022,5.0666,1.622669981,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.018,0.017,3.9151,1.364840872,
381,0.001,0.032,0.031,7.1393,1.965614732,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,2.7636,1.016534178,,0.017,0.016,3.6848,1.30421625,,0.065,0.064,14.7392,2.690510611,,0.029,0.028,6.4484,1.863832038,,0.015,0.014,3.2242,1.170684857,,0.023,0.022,5.0666,1.622669981,,0.015,0.014,3.2242,1.170684857,,0.017,0.016,3.6848,1.30421625,,0.017,0.016,3.6848,1.30421625,
382,0.001,0.032,0.031,7.1393,1.965614732,,0.028,0.027,6.2181,1.827464394,,0.013,0.012,2.7636,1.016534178,,0.016,0.015,3.4545,1.239677729,,0.064,0.063,14.5089,2.674762254,,0.029,0.028,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.022,0.021,4.8363,1.576149966,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,,0.017,0.016,3.6848,1.30421625,
383,0,0.032,0.032,7.3696,1.997363431,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.016,0.016,3.6848,1.30421625,,0.064,0.064,14.7392,2.690510611,,0.028,0.028,6.4484,1.863832038,,0.014,0.014,3.2242,1.170684857,,0.022,0.022,5.0666,1.622669981,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,
384,0,0.031,0.031,7.1393,1.965614732,,0.028,0.028,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.016,0.016,3.6848,1.30421625,,0.063,0.063,14.5089,2.674762254,,0.028,0.028,6.4484,1.863832038,,0.014,0.014,3.2242,1.170684857,,0.022,0.022,5.0666,1.622669981,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,
385,0,0.031,0.031,7.1393,1.965614732,,0.028,0.028,6.4484,1.863832038,,0.012,0.012,2.7636,1.016534178,,0.016,0.016,3.6848,1.30421625,,0.063,0.063,14.5089,2.674762254,,0.028,0.028,6.4484,1.863832038,,0.014,0.014,3.2242,1.170684857,,0.021,0.021,4.8363,1.576149966,,0.015,0.015,3.4545,1.239677729,,0.015,0.015,3.4545,1.239677729,,0.017,0.017,3.9151,1.364840872,
386,0.001,0.031,0.03,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,2.5333,0.929522801,,0.016,0.015,3.4545,1.239677729,,0.062,0.061,14.0483,2.642501392,,0.028,0.027,6.2181,1.827464394,,0.014,0.013,2.9939,1.096576885,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,
387,0.001,0.031,0.03,6.909,1.93282491,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,2.5333,0.929522801,,0.015,0.014,3.2242,1.170684857,,0.062,0.061,14.0483,2.642501392,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.021,0.02,4.606,1.527359801,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,
388,0,0.031,0.031,7.1393,1.965614732,,0.027,0.027,6.2181,1.827464394,,0.012,0.012,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.062,0.062,14.2786,2.658761913,,0.027,0.027,6.2181,1.827464394,,0.014,0.014,3.2242,1.170684857,,0.02,0.02,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.015,0.015,3.4545,1.239677729,,0.016,0.016,3.6848,1.30421625,
389,0.001,0.031,0.03,6.909,1.93282491,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,2.5333,0.929522801,,0.015,0.014,3.2242,1.170684857,,0.061,0.06,13.818,2.62597209,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.02,0.019,4.3757,1.476066507,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,,0.016,0.015,3.4545,1.239677729,
390,0.001,0.031,0.03,6.909,1.93282491,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,2.5333,0.929522801,,0.015,0.014,3.2242,1.170684857,,0.061,0.06,13.818,2.62597209,,0.027,0.026,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.015,0.014,3.2242,1.170684857,,0.015,0.014,3.2242,1.170684857,
391,0.001,0.03,0.029,6.6787,1.898923358,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,2.5333,0.929522801,,0.014,0.013,2.9939,1.096576885,,0.061,0.06,13.818,2.62597209,,0.026,0.025,5.7575,1.750503353,,0.013,0.012,2.7636,1.016534178,,0.02,0.019,4.3757,1.476066507,,0.014,0.013,2.9939,1.096576885,,0.014,0.013,2.9939,1.096576885,,0.015,0.014,3.2242,1.170684857,
392,0,0.03,0.03,6.909,1.93282491,,0.027,0.027,6.2181,1.827464394,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.06,0.06,13.818,2.62597209,,0.026,0.026,5.9878,1.789724066,,0.013,0.013,2.9939,1.096576885,,0.02,0.02,4.606,1.527359801,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,
393,0,0.03,0.03,6.909,1.93282491,,0.027,0.027,6.2181,1.827464394,,0.011,0.011,2.5333,0.929522801,,0.014,0.014,3.2242,1.170684857,,0.06,0.06,13.818,2.62597209,,0.026,0.026,5.9878,1.789724066,,0.013,0.013,2.9939,1.096576885,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,
394,0,0.03,0.03,6.909,1.93282491,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.014,0.014,3.2242,1.170684857,,0.059,0.059,13.5877,2.609164972,,0.026,0.026,5.9878,1.789724066,,0.013,0.013,2.9939,1.096576885,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,
395,0,0.03,0.03,6.909,1.93282491,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.014,0.014,3.2242,1.170684857,,0.059,0.059,13.5877,2.609164972,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,2.9939,1.096576885,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,
396,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.059,0.059,13.5877,2.609164972,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,2.9939,1.096576885,,0.019,0.019,4.3757,1.476066507,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,
397,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.058,0.058,13.3574,2.592070538,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,2.9939,1.096576885,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,
398,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.058,0.058,13.3574,2.592070538,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,2.9939,1.096576885,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,
399,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.013,0.013,2.9939,1.096576885,,0.058,0.058,13.3574,2.592070538,,0.025,0.025,5.7575,1.750503353,,0.013,0.013,2.9939,1.096576885,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,
400,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.01,0.01,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.057,0.057,13.1271,2.574678796,,0.024,0.024,5.5272,1.709681358,,0.013,0.013,2.9939,1.096576885,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,
401,0,0.029,0.029,6.6787,1.898923358,,0.026,0.026,5.9878,1.789724066,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.057,0.057,13.1271,2.574678796,,0.024,0.024,5.5272,1.709681358,,0.013,0.013,2.9939,1.096576885,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,
402,0,0.029,0.029,6.6787,1.898923358,,0.025,0.025,5.7575,1.750503353,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.057,0.057,13.1271,2.574678796,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,2.7636,1.016534178,,0.018,0.018,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,
