,MilliQ,F04Oct19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_102_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr
200,0.007,0.26,0.253,58.2659,4.065017017,,0.162,0.155,35.6965,3.575052645,,0.182,0.175,40.3025,3.696413502,,0.207,0.2,46.06,3.829944894,,0.25,0.243,55.9629,4.024688971,,0.321,0.314,72.3142,4.281020514,,0.179,0.172,39.6116,3.679122005,,0.372,0.365,84.0595,4.431524881,,0.206,0.199,45.8297,3.824932353,,0.21,0.203,46.7509,3.844833507,,0.204,0.197,45.3691,3.814831257,
201,0.006,0.253,0.247,56.8841,4.041015864,,0.157,0.151,34.7753,3.548907365,,0.175,0.169,38.9207,3.661526243,,0.198,0.192,44.2176,3.7891229,,0.241,0.235,54.1205,3.991213042,,0.305,0.299,68.8597,4.232071101,,0.173,0.167,38.4601,3.64962134,,0.351,0.345,79.4535,4.375171945,,0.198,0.192,44.2176,3.7891229,,0.201,0.195,44.9085,3.804627086,,0.195,0.189,43.5267,3.773374543,
202,0.006,0.246,0.24,55.272,4.012266451,,0.152,0.146,33.6238,3.51523415,,0.169,0.163,37.5389,3.625377729,,0.19,0.184,42.3752,3.746563285,,0.234,0.228,52.5084,3.960973157,,0.29,0.284,65.4052,4.180601766,,0.167,0.161,37.0783,3.613031893,,0.331,0.325,74.8475,4.31545271,,0.192,0.186,42.8358,3.757374202,,0.193,0.187,43.0661,3.762736145,,0.188,0.182,41.9146,3.735634215,
203,0.006,0.241,0.235,54.1205,3.991213042,,0.148,0.142,32.7026,3.487454585,,0.164,0.158,36.3874,3.594222561,,0.183,0.177,40.7631,3.70777726,,0.228,0.222,51.1266,3.93430491,,0.276,0.27,62.181,4.130049487,,0.162,0.156,35.9268,3.581483535,,0.313,0.307,70.7021,4.258475275,,0.186,0.18,41.454,3.724584379,,0.186,0.18,41.454,3.724584379,,0.181,0.175,40.3025,3.696413502,
204,0.006,0.235,0.229,52.7387,3.965349531,,0.145,0.139,32.0117,3.466101461,,0.159,0.153,35.2359,3.562065449,,0.176,0.17,39.151,3.667425965,,0.222,0.216,49.7448,3.906905936,,0.263,0.257,59.1871,4.080703613,,0.157,0.151,34.7753,3.548907365,,0.296,0.29,66.787,4.201508451,,0.18,0.174,40.0722,3.690682827,,0.179,0.173,39.8419,3.684919122,,0.174,0.168,38.6904,3.655591507,
205,0.005,0.229,0.224,51.5872,3.94327358,,0.141,0.136,31.3208,3.444282414,,0.154,0.149,34.3147,3.535573834,,0.169,0.164,37.7692,3.631493956,,0.217,0.212,48.8236,3.888213803,,0.251,0.246,56.6538,4.036959064,,0.152,0.147,33.8541,3.522060115,,0.28,0.275,63.3325,4.148398626,,0.174,0.169,38.9207,3.661526243,,0.172,0.167,38.4601,3.64962134,,0.168,0.163,37.5389,3.625377729,
206,0.005,0.224,0.219,50.4357,3.920699258,,0.139,0.134,30.8602,3.429467328,,0.15,0.145,33.3935,3.50836127,,0.164,0.159,36.6177,3.60053173,,0.213,0.208,47.9024,3.869165608,,0.241,0.236,54.3508,3.995459333,,0.148,0.143,32.9329,3.494472158,,0.267,0.262,60.3386,4.099972032,,0.169,0.164,37.7692,3.631493956,,0.167,0.162,37.3086,3.619223863,,0.162,0.157,36.1571,3.587873333,
207,0.005,0.218,0.213,49.0539,3.892919694,,0.137,0.132,30.3996,3.41442945,,0.147,0.142,32.7026,3.487454585,,0.159,0.154,35.4662,3.56858013,,0.21,0.205,47.2115,3.854637507,,0.232,0.227,52.2781,3.956577545,,0.145,0.14,32.242,3.47326995,,0.255,0.25,57.575,4.053088446,,0.165,0.16,36.848,3.606801343,,0.162,0.157,36.1571,3.587873333,,0.158,0.153,35.2359,3.562065449,
208,0.005,0.213,0.208,47.9024,3.869165608,,0.134,0.129,29.7087,3.391439932,,0.143,0.138,31.7814,3.458881213,,0.154,0.149,34.3147,3.535573834,,0.207,0.202,46.5206,3.839895225,,0.224,0.219,50.4357,3.920699258,,0.141,0.136,31.3208,3.444282414,,0.245,0.24,55.272,4.012266451,,0.159,0.154,35.4662,3.56858013,,0.157,0.152,35.0056,3.555508049,,0.154,0.149,34.3147,3.535573834,
209,0.004,0.207,0.203,46.7509,3.844833507,,0.132,0.128,29.4784,3.383657792,,0.139,0.135,31.0905,3.436902306,,0.149,0.145,33.3935,3.50836127,,0.204,0.2,46.06,3.829944894,,0.216,0.212,48.8236,3.888213803,,0.136,0.132,30.3996,3.41442945,,0.234,0.23,52.969,3.969706837,,0.154,0.15,34.545,3.542262822,,0.152,0.148,34.0844,3.528839802,,0.149,0.145,33.3935,3.50836127,
