,MilliQ,F22Aug19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr
200,-0.001,0.3,0.301,69.3203,4.238737793,,0.197,0.198,45.5994,3.819894559,,0.243,0.244,56.1932,4.028795753,,0.264,0.265,61.0295,4.111357354,,0.212,0.213,49.0539,3.892919694,,0.199,0.2,46.06,3.829944894,,0.125,0.126,29.0178,3.367909435,,0.153,0.154,35.4662,3.56858013,
201,-0.002,0.285,0.287,66.0961,4.191109744,,0.192,0.194,44.6782,3.799485687,,0.232,0.234,53.8902,3.986948643,,0.252,0.254,58.4962,4.068961795,,0.209,0.211,48.5933,3.883485661,,0.194,0.196,45.1388,3.809742187,,0.12,0.122,28.0966,3.335648573,,0.145,0.147,33.8541,3.522060115,
202,-0.002,0.272,0.274,63.1022,4.144755634,,0.188,0.19,43.757,3.7786516,,0.222,0.224,51.5872,3.94327358,,0.241,0.243,55.9629,4.024688971,,0.207,0.209,48.1327,3.87396178,,0.19,0.192,44.2176,3.7891229,,0.115,0.117,26.9451,3.293801463,,0.139,0.141,32.4723,3.480387418,
203,-0.003,0.261,0.264,60.7992,4.107576631,,0.185,0.188,43.2964,3.768069491,,0.214,0.217,49.9751,3.911524881,,0.232,0.235,54.1205,3.991213042,,0.205,0.208,47.9024,3.869165608,,0.187,0.19,43.757,3.7786516,,0.112,0.115,26.4845,3.276559656,,0.133,0.136,31.3208,3.444282414,
204,-0.002,0.25,0.252,58.0356,4.061056615,,0.182,0.184,42.3752,3.746563285,,0.206,0.208,47.9024,3.869165608,,0.222,0.224,51.5872,3.94327358,,0.202,0.204,46.9812,3.849747522,,0.183,0.185,42.6055,3.751983353,,0.109,0.111,25.5633,3.241157729,,0.129,0.131,30.1693,3.406824851,
205,-0.003,0.24,0.243,55.9629,4.024688971,,0.179,0.182,41.9146,3.735634215,,0.198,0.201,46.2903,3.834932436,,0.214,0.217,49.9751,3.911524881,,0.199,0.202,46.5206,3.839895225,,0.18,0.183,42.1449,3.741113681,,0.106,0.109,25.1027,3.22297541,,0.124,0.127,29.2481,3.375814614,
206,-0.002,0.231,0.233,53.6599,3.982665981,,0.176,0.178,40.9934,3.713411078,,0.191,0.193,44.4479,3.794317717,,0.207,0.209,48.1327,3.87396178,,0.195,0.197,45.3691,3.814831257,,0.178,0.18,41.454,3.724584379,,0.103,0.105,24.1815,3.185587878,,0.12,0.122,28.0966,3.335648573,
207,-0.002,0.224,0.226,52.0478,3.952162527,,0.174,0.176,40.5328,3.702111523,,0.185,0.187,43.0661,3.762736145,,0.201,0.203,46.7509,3.844833507,,0.191,0.193,44.4479,3.794317717,,0.177,0.179,41.2237,3.719013334,,0.1,0.102,23.4906,3.156600341,,0.117,0.119,27.4057,3.310751021,
208,-0.002,0.217,0.219,50.4357,3.920699258,,0.172,0.174,40.0722,3.690682827,,0.18,0.182,41.9146,3.735634215,,0.195,0.197,45.3691,3.814831257,,0.187,0.189,43.5267,3.773374543,,0.175,0.177,40.7631,3.70777726,,0.098,0.1,23.03,3.136797714,,0.114,0.116,26.7148,3.285217719,
209,-0.002,0.211,0.213,49.0539,3.892919694,,0.169,0.171,39.3813,3.673291084,,0.175,0.177,40.7631,3.70777726,,0.189,0.191,43.9873,3.783900956,,0.182,0.184,42.3752,3.746563285,,0.174,0.176,40.5328,3.702111523,,0.095,0.097,22.3391,3.106338506,,0.111,0.113,26.0239,3.259015347,
210,-0.002,0.205,0.207,47.6721,3.864346321,,0.167,0.169,38.9207,3.661526243,,0.171,0.173,39.8419,3.684919122,,0.184,0.186,42.8358,3.757374202,,0.177,0.179,41.2237,3.719013334,,0.173,0.175,40.3025,3.696413502,,0.092,0.094,21.6482,3.07492231,,0.108,0.11,25.333,3.232107894,
211,-0.002,0.2,0.202,46.5206,3.839895225,,0.164,0.166,38.2298,3.643615316,,0.167,0.169,38.9207,3.661526243,,0.18,0.182,41.9146,3.735634215,,0.171,0.173,39.8419,3.684919122,,0.172,0.174,40.0722,3.690682827,,0.09,0.092,21.1876,3.053416105,,0.105,0.107,24.6421,3.204456362,
212,-0.001,0.195,0.196,45.1388,3.809742187,,0.161,0.162,37.3086,3.619223863,,0.163,0.164,37.7692,3.631493956,,0.175,0.176,40.5328,3.702111523,,0.165,0.166,38.2298,3.643615316,,0.17,0.171,39.3813,3.673291084,,0.087,0.088,20.2664,3.008964342,,0.103,0.104,23.9512,3.176018427,
213,-0.001,0.191,0.192,44.2176,3.7891229,,0.159,0.16,36.848,3.606801343,,0.16,0.161,37.0783,3.613031893,,0.171,0.172,39.6116,3.679122005,,0.158,0.159,36.6177,3.60053173,,0.17,0.171,39.3813,3.673291084,,0.085,0.086,19.8058,2.985974824,,0.1,0.101,23.2603,3.146748045,
214,-0.001,0.187,0.188,43.2964,3.768069491,,0.156,0.157,36.1571,3.587873333,,0.156,0.157,36.1571,3.587873333,,0.167,0.168,38.6904,3.655591507,,0.151,0.152,35.0056,3.555508049,,0.169,0.17,39.151,3.667425965,,0.082,0.083,19.1149,2.950468136,,0.098,0.099,22.7997,3.126747378,
215,-0.001,0.183,0.184,42.3752,3.746563285,,0.153,0.154,35.4662,3.56858013,,0.153,0.154,35.4662,3.56858013,,0.164,0.165,37.9995,3.637573002,,0.144,0.145,33.3935,3.50836127,,0.168,0.169,38.9207,3.661526243,,0.08,0.081,18.6543,2.926076683,,0.096,0.097,22.3391,3.106338506,
216,-0.001,0.18,0.181,41.6843,3.730124559,,0.151,0.152,35.0056,3.555508049,,0.151,0.152,35.0056,3.555508049,,0.16,0.161,37.0783,3.613031893,,0.137,0.138,31.7814,3.458881213,,0.167,0.168,38.6904,3.655591507,,0.077,0.078,17.9634,2.888336355,,0.094,0.095,21.8785,3.085504419,
