,MilliQ,F22Aug19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr
264,-0.001,0.107,0.108,24.8724,3.213758755,,0.09,0.091,20.9573,3.042487034,,0.094,0.095,21.8785,3.085504419,,0.093,0.094,21.6482,3.07492231,,0.042,0.043,9.9029,2.292827644,,0.141,0.142,32.7026,3.487454585,,0.038,0.039,8.9817,2.195189174,,0.05,0.051,11.7453,2.463453161,
265,-0.001,0.106,0.107,24.6421,3.204456362,,0.09,0.091,20.9573,3.042487034,,0.093,0.094,21.6482,3.07492231,,0.093,0.094,21.6482,3.07492231,,0.042,0.043,9.9029,2.292827644,,0.141,0.142,32.7026,3.487454585,,0.038,0.039,8.9817,2.195189174,,0.05,0.051,11.7453,2.463453161,
266,-0.001,0.105,0.106,24.4118,3.195066622,,0.089,0.09,20.727,3.031437198,,0.092,0.093,21.4179,3.064227021,,0.092,0.093,21.4179,3.064227021,,0.041,0.042,9.6726,2.269297146,,0.14,0.141,32.4723,3.480387418,,0.037,0.038,8.7514,2.169213688,,0.049,0.05,11.515,2.443650533,
267,-0.001,0.104,0.105,24.1815,3.185587878,,0.089,0.09,20.727,3.031437198,,0.091,0.092,21.1876,3.053416105,,0.091,0.092,21.1876,3.053416105,,0.041,0.042,9.6726,2.269297146,,0.14,0.141,32.4723,3.480387418,,0.037,0.038,8.7514,2.169213688,,0.049,0.05,11.515,2.443650533,
268,-0.001,0.103,0.104,23.9512,3.176018427,,0.088,0.089,20.4967,3.020263898,,0.091,0.092,21.1876,3.053416105,,0.09,0.091,20.9573,3.042487034,,0.041,0.042,9.6726,2.269297146,,0.139,0.14,32.242,3.47326995,,0.037,0.038,8.7514,2.169213688,,0.049,0.05,11.515,2.443650533,
269,-0.001,0.102,0.103,23.7209,3.166356516,,0.087,0.088,20.2664,3.008964342,,0.09,0.091,20.9573,3.042487034,,0.09,0.091,20.9573,3.042487034,,0.041,0.042,9.6726,2.269297146,,0.139,0.14,32.242,3.47326995,,0.037,0.038,8.7514,2.169213688,,0.048,0.049,11.2847,2.423447826,
270,-0.001,0.101,0.102,23.4906,3.156600341,,0.087,0.088,20.2664,3.008964342,,0.089,0.09,20.727,3.031437198,,0.089,0.09,20.727,3.031437198,,0.04,0.041,9.4423,2.245199595,,0.138,0.139,32.0117,3.466101461,,0.036,0.037,8.5211,2.14254544,,0.048,0.049,11.2847,2.423447826,
271,-0.001,0.1,0.101,23.2603,3.146748045,,0.086,0.087,20.0361,2.997535646,,0.088,0.089,20.4967,3.020263898,,0.088,0.089,20.4967,3.020263898,,0.04,0.041,9.4423,2.245199595,,0.137,0.138,31.7814,3.458881213,,0.036,0.037,8.5211,2.14254544,,0.047,0.048,11.0544,2.402828539,
272,-0.001,0.1,0.101,23.2603,3.146748045,,0.085,0.086,19.8058,2.985974824,,0.088,0.089,20.4967,3.020263898,,0.087,0.088,20.2664,3.008964342,,0.04,0.041,9.4423,2.245199595,,0.137,0.138,31.7814,3.458881213,,0.036,0.037,8.5211,2.14254544,,0.047,0.048,11.0544,2.402828539,
273,-0.002,0.099,0.101,23.2603,3.146748045,,0.085,0.087,20.0361,2.997535646,,0.087,0.089,20.4967,3.020263898,,0.086,0.088,20.2664,3.008964342,,0.039,0.041,9.4423,2.245199595,,0.136,0.138,31.7814,3.458881213,,0.036,0.038,8.7514,2.169213688,,0.047,0.049,11.2847,2.423447826,
274,-0.001,0.098,0.099,22.7997,3.126747378,,0.084,0.085,19.5755,2.974278784,,0.086,0.087,20.0361,2.997535646,,0.085,0.086,19.8058,2.985974824,,0.039,0.04,9.212,2.220506982,,0.136,0.137,31.5511,3.451608454,,0.035,0.036,8.2908,2.115146466,,0.046,0.047,10.8241,2.38177513,
275,-0.001,0.097,0.098,22.5694,3.116595007,,0.084,0.085,19.5755,2.974278784,,0.085,0.086,19.8058,2.985974824,,0.084,0.085,19.5755,2.974278784,,0.039,0.04,9.212,2.220506982,,0.135,0.136,31.3208,3.444282414,,0.035,0.036,8.2908,2.115146466,,0.046,0.047,10.8241,2.38177513,
276,-0.001,0.096,0.097,22.3391,3.106338506,,0.083,0.084,19.3452,2.962444327,,0.084,0.085,19.5755,2.974278784,,0.084,0.085,19.5755,2.974278784,,0.038,0.039,8.9817,2.195189174,,0.134,0.135,31.0905,3.436902306,,0.035,0.036,8.2908,2.115146466,,0.045,0.046,10.5938,2.360268924,
277,-0.001,0.094,0.095,21.8785,3.085504419,,0.082,0.083,19.1149,2.950468136,,0.083,0.084,19.3452,2.962444327,,0.082,0.083,19.1149,2.950468136,,0.038,0.039,8.9817,2.195189174,,0.133,0.134,30.8602,3.429467328,,0.034,0.035,8.0605,2.086975589,,0.045,0.046,10.5938,2.360268924,
278,-0.001,0.094,0.095,21.8785,3.085504419,,0.082,0.083,19.1149,2.950468136,,0.082,0.083,19.1149,2.950468136,,0.082,0.083,19.1149,2.950468136,,0.038,0.039,8.9817,2.195189174,,0.132,0.133,30.6299,3.421976656,,0.034,0.035,8.0605,2.086975589,,0.044,0.045,10.3635,2.338290018,
279,-0.001,0.093,0.094,21.6482,3.07492231,,0.081,0.082,18.8846,2.938346775,,0.081,0.082,18.8846,2.938346775,,0.081,0.082,18.8846,2.938346775,,0.038,0.039,8.9817,2.195189174,,0.132,0.133,30.6299,3.421976656,,0.034,0.035,8.0605,2.086975589,,0.044,0.045,10.3635,2.338290018,
280,-0.001,0.092,0.093,21.4179,3.064227021,,0.081,0.082,18.8846,2.938346775,,0.08,0.081,18.6543,2.926076683,,0.08,0.081,18.6543,2.926076683,,0.037,0.038,8.7514,2.169213688,,0.131,0.132,30.3996,3.41442945,,0.033,0.034,7.8302,2.057988052,,0.043,0.044,10.1332,2.315817162,
281,-0.001,0.091,0.092,21.1876,3.053416105,,0.08,0.081,18.6543,2.926076683,,0.079,0.08,18.424,2.913654163,,0.079,0.08,18.424,2.913654163,,0.037,0.038,8.7514,2.169213688,,0.13,0.131,30.1693,3.406824851,,0.033,0.034,7.8302,2.057988052,,0.043,0.044,10.1332,2.315817162,
282,-0.001,0.09,0.091,20.9573,3.042487034,,0.079,0.08,18.424,2.913654163,,0.078,0.079,18.1937,2.90107538,,0.078,0.079,18.1937,2.90107538,,0.037,0.038,8.7514,2.169213688,,0.129,0.13,29.939,3.399161978,,0.033,0.034,7.8302,2.057988052,,0.042,0.043,9.9029,2.292827644,
283,-0.001,0.089,0.09,20.727,3.031437198,,0.079,0.08,18.424,2.913654163,,0.077,0.078,17.9634,2.888336355,,0.077,0.078,17.9634,2.888336355,,0.036,0.037,8.5211,2.14254544,,0.128,0.129,29.7087,3.391439932,,0.033,0.034,7.8302,2.057988052,,0.042,0.043,9.9029,2.292827644,
284,-0.001,0.087,0.088,20.2664,3.008964342,,0.078,0.079,18.1937,2.90107538,,0.076,0.077,17.7331,2.87543295,,0.076,0.077,17.7331,2.87543295,,0.036,0.037,8.5211,2.14254544,,0.127,0.128,29.4784,3.383657792,,0.032,0.033,7.5999,2.028135089,,0.041,0.042,9.6726,2.269297146,
285,-0.001,0.086,0.087,20.0361,2.997535646,,0.077,0.078,17.9634,2.888336355,,0.075,0.076,17.5028,2.862360868,,0.075,0.076,17.5028,2.862360868,,0.036,0.037,8.5211,2.14254544,,0.126,0.127,29.2481,3.375814614,,0.032,0.033,7.5999,2.028135089,,0.041,0.042,9.6726,2.269297146,
286,-0.001,0.085,0.086,19.8058,2.985974824,,0.077,0.078,17.9634,2.888336355,,0.074,0.075,17.2725,2.849115641,,0.074,0.075,17.2725,2.849115641,,0.035,0.036,8.2908,2.115146466,,0.125,0.126,29.0178,3.367909435,,0.031,0.032,7.3696,1.997363431,,0.04,0.041,9.4423,2.245199595,
287,-0.001,0.084,0.085,19.5755,2.974278784,,0.076,0.077,17.7331,2.87543295,,0.073,0.074,17.0422,2.835692621,,0.073,0.074,17.0422,2.835692621,,0.035,0.036,8.2908,2.115146466,,0.124,0.125,28.7875,3.359941265,,0.031,0.032,7.3696,1.997363431,,0.039,0.04,9.212,2.220506982,
288,-0.001,0.083,0.084,19.3452,2.962444327,,0.075,0.076,17.5028,2.862360868,,0.072,0.073,16.8119,2.822086969,,0.072,0.073,16.8119,2.822086969,,0.034,0.035,8.0605,2.086975589,,0.123,0.124,28.5572,3.351909093,,0.03,0.031,7.1393,1.965614732,,0.039,0.04,9.212,2.220506982,
289,-0.001,0.082,0.083,19.1149,2.950468136,,0.075,0.076,17.5028,2.862360868,,0.071,0.072,16.5816,2.808293647,,0.071,0.072,16.5816,2.808293647,,0.034,0.035,8.0605,2.086975589,,0.122,0.123,28.3269,3.343811883,,0.03,0.031,7.1393,1.965614732,,0.038,0.039,8.9817,2.195189174,
290,-0.001,0.081,0.082,18.8846,2.938346775,,0.074,0.075,17.2725,2.849115641,,0.07,0.071,16.3513,2.794307405,,0.071,0.072,16.5816,2.808293647,,0.034,0.035,8.0605,2.086975589,,0.121,0.122,28.0966,3.335648573,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,
291,-0.001,0.08,0.081,18.6543,2.926076683,,0.074,0.075,17.2725,2.849115641,,0.069,0.07,16.121,2.78012277,,0.07,0.071,16.3513,2.794307405,,0.033,0.034,7.8302,2.057988052,,0.12,0.121,27.8663,3.327418073,,0.03,0.031,7.1393,1.965614732,,0.037,0.038,8.7514,2.169213688,
292,-0.001,0.079,0.08,18.424,2.913654163,,0.073,0.074,17.0422,2.835692621,,0.068,0.069,15.8907,2.765734032,,0.069,0.07,16.121,2.78012277,,0.033,0.034,7.8302,2.057988052,,0.119,0.12,27.636,3.319119271,,0.029,0.03,6.909,1.93282491,,0.036,0.037,8.5211,2.14254544,
293,-0.001,0.078,0.079,18.1937,2.90107538,,0.073,0.074,17.0422,2.835692621,,0.067,0.068,15.6604,2.751135233,,0.068,0.069,15.8907,2.765734032,,0.033,0.034,7.8302,2.057988052,,0.118,0.119,27.4057,3.310751021,,0.029,0.03,6.909,1.93282491,,0.036,0.037,8.5211,2.14254544,
294,-0.001,0.077,0.078,17.9634,2.888336355,,0.072,0.073,16.8119,2.822086969,,0.066,0.067,15.4301,2.736320147,,0.067,0.068,15.6604,2.751135233,,0.032,0.033,7.5999,2.028135089,,0.117,0.118,27.1754,3.302312152,,0.028,0.029,6.6787,1.898923358,,0.035,0.036,8.2908,2.115146466,
295,-0.002,0.076,0.078,17.9634,2.888336355,,0.071,0.073,16.8119,2.822086969,,0.065,0.067,15.4301,2.736320147,,0.066,0.068,15.6604,2.751135233,,0.032,0.034,7.8302,2.057988052,,0.116,0.118,27.1754,3.302312152,,0.028,0.03,6.909,1.93282491,,0.034,0.036,8.2908,2.115146466,
296,-0.001,0.075,0.076,17.5028,2.862360868,,0.071,0.072,16.5816,2.808293647,,0.065,0.066,15.1998,2.72128227,,0.066,0.067,15.4301,2.736320147,,0.032,0.033,7.5999,2.028135089,,0.116,0.117,26.9451,3.293801463,,0.028,0.029,6.6787,1.898923358,,0.034,0.035,8.0605,2.086975589,
297,-0.001,0.074,0.075,17.2725,2.849115641,,0.07,0.071,16.3513,2.794307405,,0.064,0.065,14.9695,2.706014798,,0.065,0.066,15.1998,2.72128227,,0.031,0.032,7.3696,1.997363431,,0.115,0.116,26.7148,3.285217719,,0.027,0.028,6.4484,1.863832038,,0.033,0.034,7.8302,2.057988052,
298,-0.001,0.073,0.074,17.0422,2.835692621,,0.07,0.071,16.3513,2.794307405,,0.063,0.064,14.7392,2.690510611,,0.064,0.065,14.9695,2.706014798,,0.031,0.032,7.3696,1.997363431,,0.114,0.115,26.4845,3.276559656,,0.027,0.028,6.4484,1.863832038,,0.033,0.034,7.8302,2.057988052,
299,-0.001,0.072,0.073,16.8119,2.822086969,,0.069,0.07,16.121,2.78012277,,0.062,0.063,14.5089,2.674762254,,0.063,0.064,14.7392,2.690510611,,0.031,0.032,7.3696,1.997363431,,0.113,0.114,26.2542,3.267825976,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,
300,-0.001,0.072,0.073,16.8119,2.822086969,,0.069,0.07,16.121,2.78012277,,0.061,0.062,14.2786,2.658761913,,0.063,0.064,14.7392,2.690510611,,0.031,0.032,7.3696,1.997363431,,0.112,0.113,26.0239,3.259015347,,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,
301,-0.001,0.071,0.072,16.5816,2.808293647,,0.068,0.069,15.8907,2.765734032,,0.061,0.062,14.2786,2.658761913,,0.062,0.063,14.5089,2.674762254,,0.03,0.031,7.1393,1.965614732,,0.111,0.112,25.7936,3.250126399,,0.026,0.027,6.2181,1.827464394,,0.031,0.032,7.3696,1.997363431,
302,-0.001,0.07,0.071,16.3513,2.794307405,,0.068,0.069,15.8907,2.765734032,,0.06,0.061,14.0483,2.642501392,,0.061,0.062,14.2786,2.658761913,,0.03,0.031,7.1393,1.965614732,,0.11,0.111,25.5633,3.241157729,,0.026,0.027,6.2181,1.827464394,,0.031,0.032,7.3696,1.997363431,
303,-0.001,0.069,0.07,16.121,2.78012277,,0.067,0.068,15.6604,2.751135233,,0.059,0.06,13.818,2.62597209,,0.061,0.062,14.2786,2.658761913,,0.03,0.031,7.1393,1.965614732,,0.11,0.111,25.5633,3.241157729,,0.025,0.026,5.9878,1.789724066,,0.03,0.031,7.1393,1.965614732,
304,-0.001,0.068,0.069,15.8907,2.765734032,,0.067,0.068,15.6604,2.751135233,,0.059,0.06,13.818,2.62597209,,0.06,0.061,14.0483,2.642501392,,0.029,0.03,6.909,1.93282491,,0.109,0.11,25.333,3.232107894,,0.025,0.026,5.9878,1.789724066,,0.03,0.031,7.1393,1.965614732,
305,-0.001,0.067,0.068,15.6604,2.751135233,,0.066,0.067,15.4301,2.736320147,,0.058,0.059,13.5877,2.609164972,,0.06,0.061,14.0483,2.642501392,,0.029,0.03,6.909,1.93282491,,0.108,0.109,25.1027,3.22297541,,0.025,0.026,5.9878,1.789724066,,0.029,0.03,6.909,1.93282491,
306,-0.001,0.065,0.066,15.1998,2.72128227,,0.065,0.066,15.1998,2.72128227,,0.058,0.059,13.5877,2.609164972,,0.059,0.06,13.818,2.62597209,,0.029,0.03,6.909,1.93282491,,0.107,0.108,24.8724,3.213758755,,0.024,0.025,5.7575,1.750503353,,0.029,0.03,6.909,1.93282491,
307,-0.001,0.064,0.065,14.9695,2.706014798,,0.065,0.066,15.1998,2.72128227,,0.057,0.058,13.3574,2.592070538,,0.058,0.059,13.5877,2.609164972,,0.029,0.03,6.909,1.93282491,,0.106,0.107,24.6421,3.204456362,,0.024,0.025,5.7575,1.750503353,,0.028,0.029,6.6787,1.898923358,
308,-0.001,0.064,0.065,14.9695,2.706014798,,0.064,0.065,14.9695,2.706014798,,0.057,0.058,13.3574,2.592070538,,0.058,0.059,13.5877,2.609164972,,0.029,0.03,6.909,1.93282491,,0.106,0.107,24.6421,3.204456362,,0.024,0.025,5.7575,1.750503353,,0.028,0.029,6.6787,1.898923358,
309,-0.001,0.063,0.064,14.7392,2.690510611,,0.063,0.064,14.7392,2.690510611,,0.056,0.057,13.1271,2.574678796,,0.057,0.058,13.3574,2.592070538,,0.029,0.03,6.909,1.93282491,,0.105,0.106,24.4118,3.195066622,,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,
310,-0.001,0.062,0.063,14.5089,2.674762254,,0.062,0.063,14.5089,2.674762254,,0.055,0.056,12.8968,2.556979219,,0.056,0.057,13.1271,2.574678796,,0.028,0.029,6.6787,1.898923358,,0.104,0.105,24.1815,3.185587878,,0.023,0.024,5.5272,1.709681358,,0.027,0.028,6.4484,1.863832038,
311,-0.001,0.062,0.063,14.5089,2.674762254,,0.062,0.063,14.5089,2.674762254,,0.055,0.056,12.8968,2.556979219,,0.056,0.057,13.1271,2.574678796,,0.028,0.029,6.6787,1.898923358,,0.104,0.105,24.1815,3.185587878,,0.023,0.024,5.5272,1.709681358,,0.027,0.028,6.4484,1.863832038,
312,-0.001,0.061,0.062,14.2786,2.658761913,,0.062,0.063,14.5089,2.674762254,,0.055,0.056,12.8968,2.556979219,,0.056,0.057,13.1271,2.574678796,,0.028,0.029,6.6787,1.898923358,,0.103,0.104,23.9512,3.176018427,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,
313,-0.001,0.061,0.062,14.2786,2.658761913,,0.061,0.062,14.2786,2.658761913,,0.054,0.055,12.6665,2.538960713,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.103,0.104,23.9512,3.176018427,,0.022,0.023,5.2969,1.667121744,,0.026,0.027,6.2181,1.827464394,
314,-0.001,0.06,0.061,14.0483,2.642501392,,0.061,0.062,14.2786,2.658761913,,0.053,0.054,12.4362,2.520611574,,0.055,0.056,12.8968,2.556979219,,0.027,0.028,6.4484,1.863832038,,0.102,0.103,23.7209,3.166356516,,0.022,0.023,5.2969,1.667121744,,0.026,0.027,6.2181,1.827464394,
315,-0.001,0.06,0.061,14.0483,2.642501392,,0.06,0.061,14.0483,2.642501392,,0.053,0.054,12.4362,2.520611574,,0.054,0.055,12.6665,2.538960713,,0.027,0.028,6.4484,1.863832038,,0.101,0.102,23.4906,3.156600341,,0.022,0.023,5.2969,1.667121744,,0.026,0.027,6.2181,1.827464394,
316,-0.001,0.059,0.06,13.818,2.62597209,,0.06,0.061,14.0483,2.642501392,,0.052,0.053,12.2059,2.501919441,,0.054,0.055,12.6665,2.538960713,,0.027,0.028,6.4484,1.863832038,,0.101,0.102,23.4906,3.156600341,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,
317,-0.001,0.059,0.06,13.818,2.62597209,,0.059,0.06,13.818,2.62597209,,0.052,0.053,12.2059,2.501919441,,0.053,0.054,12.4362,2.520611574,,0.027,0.028,6.4484,1.863832038,,0.1,0.101,23.2603,3.146748045,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,
318,-0.001,0.058,0.059,13.5877,2.609164972,,0.059,0.06,13.818,2.62597209,,0.051,0.052,11.9756,2.482871246,,0.053,0.054,12.4362,2.520611574,,0.026,0.027,6.2181,1.827464394,,0.099,0.1,23.03,3.136797714,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,
319,-0.001,0.057,0.058,13.3574,2.592070538,,0.058,0.059,13.5877,2.609164972,,0.05,0.051,11.7453,2.463453161,,0.052,0.053,12.2059,2.501919441,,0.026,0.027,6.2181,1.827464394,,0.099,0.1,23.03,3.136797714,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,
320,-0.001,0.057,0.058,13.3574,2.592070538,,0.058,0.059,13.5877,2.609164972,,0.05,0.051,11.7453,2.463453161,,0.051,0.052,11.9756,2.482871246,,0.026,0.027,6.2181,1.827464394,,0.098,0.099,22.7997,3.126747378,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,
321,-0.001,0.056,0.057,13.1271,2.574678796,,0.058,0.059,13.5877,2.609164972,,0.05,0.051,11.7453,2.463453161,,0.051,0.052,11.9756,2.482871246,,0.025,0.026,5.9878,1.789724066,,0.098,0.099,22.7997,3.126747378,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,
322,-0.001,0.056,0.057,13.1271,2.574678796,,0.057,0.058,13.3574,2.592070538,,0.049,0.05,11.515,2.443650533,,0.051,0.052,11.9756,2.482871246,,0.025,0.026,5.9878,1.789724066,,0.097,0.098,22.5694,3.116595007,,0.021,0.022,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,
323,-0.001,0.055,0.056,12.8968,2.556979219,,0.057,0.058,13.3574,2.592070538,,0.049,0.05,11.515,2.443650533,,0.051,0.052,11.9756,2.482871246,,0.025,0.026,5.9878,1.789724066,,0.097,0.098,22.5694,3.116595007,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,
324,-0.001,0.055,0.056,12.8968,2.556979219,,0.056,0.057,13.1271,2.574678796,,0.048,0.049,11.2847,2.423447826,,0.05,0.051,11.7453,2.463453161,,0.025,0.026,5.9878,1.789724066,,0.096,0.097,22.3391,3.106338506,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,
325,-0.001,0.055,0.056,12.8968,2.556979219,,0.056,0.057,13.1271,2.574678796,,0.048,0.049,11.2847,2.423447826,,0.05,0.051,11.7453,2.463453161,,0.025,0.026,5.9878,1.789724066,,0.096,0.097,22.3391,3.106338506,,0.02,0.021,4.8363,1.576149966,,0.023,0.024,5.5272,1.709681358,
326,-0.001,0.054,0.055,12.6665,2.538960713,,0.056,0.057,13.1271,2.574678796,,0.047,0.048,11.0544,2.402828539,,0.049,0.05,11.515,2.443650533,,0.025,0.026,5.9878,1.789724066,,0.095,0.096,22.1088,3.095975719,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,
327,-0.001,0.054,0.055,12.6665,2.538960713,,0.055,0.056,12.8968,2.556979219,,0.047,0.048,11.0544,2.402828539,,0.049,0.05,11.515,2.443650533,,0.024,0.025,5.7575,1.750503353,,0.095,0.096,22.1088,3.095975719,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,
328,-0.001,0.053,0.054,12.4362,2.520611574,,0.055,0.056,12.8968,2.556979219,,0.046,0.047,10.8241,2.38177513,,0.048,0.049,11.2847,2.423447826,,0.024,0.025,5.7575,1.750503353,,0.094,0.095,21.8785,3.085504419,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,
329,-0.001,0.053,0.054,12.4362,2.520611574,,0.055,0.056,12.8968,2.556979219,,0.046,0.047,10.8241,2.38177513,,0.048,0.049,11.2847,2.423447826,,0.024,0.025,5.7575,1.750503353,,0.094,0.095,21.8785,3.085504419,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,
330,-0.001,0.052,0.053,12.2059,2.501919441,,0.054,0.055,12.6665,2.538960713,,0.045,0.046,10.5938,2.360268924,,0.048,0.049,11.2847,2.423447826,,0.024,0.025,5.7575,1.750503353,,0.093,0.094,21.6482,3.07492231,,0.02,0.021,4.8363,1.576149966,,0.021,0.022,5.0666,1.622669981,
331,-0.001,0.052,0.053,12.2059,2.501919441,,0.054,0.055,12.6665,2.538960713,,0.044,0.045,10.3635,2.338290018,,0.047,0.048,11.0544,2.402828539,,0.023,0.024,5.5272,1.709681358,,0.093,0.094,21.6482,3.07492231,,0.019,0.02,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,
332,-0.001,0.051,0.052,11.9756,2.482871246,,0.053,0.054,12.4362,2.520611574,,0.044,0.045,10.3635,2.338290018,,0.047,0.048,11.0544,2.402828539,,0.023,0.024,5.5272,1.709681358,,0.093,0.094,21.6482,3.07492231,,0.019,0.02,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,
333,-0.001,0.051,0.052,11.9756,2.482871246,,0.053,0.054,12.4362,2.520611574,,0.043,0.044,10.1332,2.315817162,,0.046,0.047,10.8241,2.38177513,,0.023,0.024,5.5272,1.709681358,,0.093,0.094,21.6482,3.07492231,,0.019,0.02,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,
334,-0.001,0.05,0.051,11.7453,2.463453161,,0.053,0.054,12.4362,2.520611574,,0.043,0.044,10.1332,2.315817162,,0.045,0.046,10.5938,2.360268924,,0.023,0.024,5.5272,1.709681358,,0.092,0.093,21.4179,3.064227021,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,
335,-0.001,0.05,0.051,11.7453,2.463453161,,0.052,0.053,12.2059,2.501919441,,0.042,0.043,9.9029,2.292827644,,0.045,0.046,10.5938,2.360268924,,0.023,0.024,5.5272,1.709681358,,0.092,0.093,21.4179,3.064227021,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,
336,-0.001,0.05,0.051,11.7453,2.463453161,,0.052,0.053,12.2059,2.501919441,,0.042,0.043,9.9029,2.292827644,,0.045,0.046,10.5938,2.360268924,,0.023,0.024,5.5272,1.709681358,,0.091,0.092,21.1876,3.053416105,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,
337,-0.001,0.049,0.05,11.515,2.443650533,,0.052,0.053,12.2059,2.501919441,,0.041,0.042,9.6726,2.269297146,,0.044,0.045,10.3635,2.338290018,,0.022,0.023,5.2969,1.667121744,,0.091,0.092,21.1876,3.053416105,,0.019,0.02,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,
338,-0.001,0.049,0.05,11.515,2.443650533,,0.051,0.052,11.9756,2.482871246,,0.041,0.042,9.6726,2.269297146,,0.044,0.045,10.3635,2.338290018,,0.022,0.023,5.2969,1.667121744,,0.09,0.091,20.9573,3.042487034,,0.018,0.019,4.3757,1.476066507,,0.019,0.02,4.606,1.527359801,
339,-0.001,0.049,0.05,11.515,2.443650533,,0.051,0.052,11.9756,2.482871246,,0.041,0.042,9.6726,2.269297146,,0.044,0.045,10.3635,2.338290018,,0.022,0.023,5.2969,1.667121744,,0.09,0.091,20.9573,3.042487034,,0.019,0.02,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,
340,0,0.051,0.051,11.7453,2.463453161,,0.052,0.052,11.9756,2.482871246,,0.041,0.041,9.4423,2.245199595,,0.044,0.044,10.1332,2.315817162,,0.023,0.023,5.2969,1.667121744,,0.091,0.091,20.9573,3.042487034,,0.02,0.02,4.606,1.527359801,,0.02,0.02,4.606,1.527359801,
341,-0.001,0.051,0.052,11.9756,2.482871246,,0.052,0.053,12.2059,2.501919441,,0.039,0.04,9.212,2.220506982,,0.042,0.043,9.9029,2.292827644,,0.022,0.023,5.2969,1.667121744,,0.089,0.09,20.727,3.031437198,,0.018,0.019,4.3757,1.476066507,,0.019,0.02,4.606,1.527359801,
342,-0.001,0.05,0.051,11.7453,2.463453161,,0.051,0.052,11.9756,2.482871246,,0.038,0.039,8.9817,2.195189174,,0.042,0.043,9.9029,2.292827644,,0.021,0.022,5.0666,1.622669981,,0.089,0.09,20.727,3.031437198,,0.018,0.019,4.3757,1.476066507,,0.019,0.02,4.606,1.527359801,
343,-0.001,0.05,0.051,11.7453,2.463453161,,0.051,0.052,11.9756,2.482871246,,0.038,0.039,8.9817,2.195189174,,0.042,0.043,9.9029,2.292827644,,0.021,0.022,5.0666,1.622669981,,0.088,0.089,20.4967,3.020263898,,0.018,0.019,4.3757,1.476066507,,0.018,0.019,4.3757,1.476066507,
344,-0.001,0.05,0.051,11.7453,2.463453161,,0.051,0.052,11.9756,2.482871246,,0.038,0.039,8.9817,2.195189174,,0.042,0.043,9.9029,2.292827644,,0.021,0.022,5.0666,1.622669981,,0.088,0.089,20.4967,3.020263898,,0.018,0.019,4.3757,1.476066507,,0.018,0.019,4.3757,1.476066507,
345,-0.001,0.049,0.05,11.515,2.443650533,,0.051,0.052,11.9756,2.482871246,,0.037,0.038,8.7514,2.169213688,,0.041,0.042,9.6726,2.269297146,,0.021,0.022,5.0666,1.622669981,,0.087,0.088,20.2664,3.008964342,,0.017,0.018,4.1454,1.421999286,,0.018,0.019,4.3757,1.476066507,
