,Blank,F17Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_9R2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
348,-0.001,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.019,0.02,4.606,1.527359801,,0.008,0.009,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,3.2242,1.170684857,
349,-0.001,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.016,0.017,3.9151,1.364840872,,0.008,0.009,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.009,0.01,4.606,1.527359801,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.015,0.016,3.6848,1.30421625,,0.006,0.007,3.2242,1.170684857,
350,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.008,0.008,3.6848,1.30421625,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,
351,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.008,0.008,3.6848,1.30421625,,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,
352,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,
353,0,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.015,0.015,3.4545,1.239677729,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,
354,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,
355,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,
356,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
357,-0.001,0.016,0.017,3.9151,1.364840872,,0.006,0.007,3.2242,1.170684857,,0.015,0.016,3.6848,1.30421625,,0.007,0.008,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.014,0.015,3.4545,1.239677729,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.005,0.006,2.7636,1.016534178,
358,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
359,0,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
360,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
361,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
362,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.014,0.014,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
363,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
364,0,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.013,0.013,2.9939,1.096576885,,0.012,0.012,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,
365,0,0.015,0.015,3.4545,1.239677729,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,
366,0,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
367,0,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
368,0,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
369,0,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
370,0,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
371,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
372,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,
373,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
374,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
375,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
376,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,2.303,0.834212621,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
377,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,2.303,0.834212621,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
378,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,2.303,0.834212621,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.012,0.012,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
379,0,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,2.303,0.834212621,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
380,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,
381,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
382,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.016,0.016,3.6848,1.30421625,,0.006,0.006,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
383,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
384,0,0.012,0.012,2.7636,1.016534178,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
385,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
386,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
387,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
388,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
389,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.004,0.004,1.8424,0.61106907,,0.015,0.015,3.4545,1.239677729,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,
390,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
391,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
392,0,0.011,0.011,2.5333,0.929522801,,0.004,0.004,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
393,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
394,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
395,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
396,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
397,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,
398,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.014,0.014,3.2242,1.170684857,,0.005,0.005,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
399,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
400,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
401,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
402,0,0.01,0.01,2.303,0.834212621,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
403,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
404,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
405,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
406,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
407,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.9212,-0.082078111,
408,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,1.3818,0.323386997,,0.013,0.013,2.9939,1.096576885,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,
409,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,
410,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,
411,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,
412,0,0.009,0.009,2.0727,0.728852105,,0.003,0.003,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,
413,0,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.012,0.012,2.7636,1.016534178,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,
