,Blank,F17Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_9R2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
208,-0.002,0.106,0.108,24.8724,3.213758755,,0.051,0.053,24.4118,3.195066622,,0.114,0.116,26.7148,3.285217719,,0.058,0.06,27.636,3.319119271,,0.094,0.096,22.1088,3.095975719,,0.037,0.039,17.9634,2.888336355,,0.072,0.074,17.0422,2.835692621,,0.067,0.069,15.8907,2.765734032,,0.14,0.142,32.7026,3.487454585,,0.072,0.074,34.0844,3.528839802,
209,-0.003,0.103,0.106,24.4118,3.195066622,,0.049,0.052,23.9512,3.176018427,,0.11,0.113,26.0239,3.259015347,,0.057,0.06,27.636,3.319119271,,0.091,0.094,21.6482,3.07492231,,0.036,0.039,17.9634,2.888336355,,0.07,0.073,16.8119,2.822086969,,0.064,0.067,15.4301,2.736320147,,0.136,0.139,32.0117,3.466101461,,0.069,0.072,33.1632,3.501440827,
210,-0.003,0.101,0.104,23.9512,3.176018427,,0.048,0.051,23.4906,3.156600341,,0.107,0.11,25.333,3.232107894,,0.055,0.058,26.7148,3.285217719,,0.089,0.092,21.1876,3.053416105,,0.036,0.039,17.9634,2.888336355,,0.068,0.071,16.3513,2.794307405,,0.063,0.066,15.1998,2.72128227,,0.131,0.134,30.8602,3.429467328,,0.067,0.07,32.242,3.47326995,
211,-0.003,0.099,0.102,23.4906,3.156600341,,0.047,0.05,23.03,3.136797714,,0.104,0.107,24.6421,3.204456362,,0.054,0.057,26.2542,3.267825976,,0.087,0.09,20.727,3.031437198,,0.034,0.037,17.0422,2.835692621,,0.067,0.07,16.121,2.78012277,,0.062,0.065,14.9695,2.706014798,,0.127,0.13,29.939,3.399161978,,0.065,0.068,31.3208,3.444282414,
212,-0.003,0.096,0.099,22.7997,3.126747378,,0.046,0.049,22.5694,3.116595007,,0.102,0.105,24.1815,3.185587878,,0.052,0.055,25.333,3.232107894,,0.085,0.088,20.2664,3.008964342,,0.034,0.037,17.0422,2.835692621,,0.065,0.068,15.6604,2.751135233,,0.06,0.063,14.5089,2.674762254,,0.123,0.126,29.0178,3.367909435,,0.063,0.066,30.3996,3.41442945,
213,-0.003,0.094,0.097,22.3391,3.106338506,,0.045,0.048,22.1088,3.095975719,,0.099,0.102,23.4906,3.156600341,,0.051,0.054,24.8724,3.213758755,,0.082,0.085,19.5755,2.974278784,,0.033,0.036,16.5816,2.808293647,,0.064,0.067,15.4301,2.736320147,,0.059,0.062,14.2786,2.658761913,,0.119,0.122,28.0966,3.335648573,,0.061,0.064,29.4784,3.383657792,
214,-0.003,0.092,0.095,21.8785,3.085504419,,0.043,0.046,21.1876,3.053416105,,0.097,0.1,23.03,3.136797714,,0.049,0.052,23.9512,3.176018427,,0.08,0.083,19.1149,2.950468136,,0.032,0.035,16.121,2.78012277,,0.062,0.065,14.9695,2.706014798,,0.058,0.061,14.0483,2.642501392,,0.115,0.118,27.1754,3.302312152,,0.059,0.062,28.5572,3.351909093,
215,-0.003,0.09,0.093,21.4179,3.064227021,,0.043,0.046,21.1876,3.053416105,,0.094,0.097,22.3391,3.106338506,,0.048,0.051,23.4906,3.156600341,,0.078,0.081,18.6543,2.926076683,,0.032,0.035,16.121,2.78012277,,0.061,0.064,14.7392,2.690510611,,0.056,0.059,13.5877,2.609164972,,0.112,0.115,26.4845,3.276559656,,0.057,0.06,27.636,3.319119271,
216,-0.003,0.088,0.091,20.9573,3.042487034,,0.041,0.044,20.2664,3.008964342,,0.092,0.095,21.8785,3.085504419,,0.047,0.05,23.03,3.136797714,,0.076,0.079,18.1937,2.90107538,,0.031,0.034,15.6604,2.751135233,,0.06,0.063,14.5089,2.674762254,,0.055,0.058,13.3574,2.592070538,,0.108,0.111,25.5633,3.241157729,,0.055,0.058,26.7148,3.285217719,
217,-0.003,0.087,0.09,20.727,3.031437198,,0.04,0.043,19.8058,2.985974824,,0.09,0.093,21.4179,3.064227021,,0.046,0.049,22.5694,3.116595007,,0.074,0.077,17.7331,2.87543295,,0.03,0.033,15.1998,2.72128227,,0.059,0.062,14.2786,2.658761913,,0.054,0.057,13.1271,2.574678796,,0.104,0.107,24.6421,3.204456362,,0.053,0.056,25.7936,3.250126399,
