,Blank,F22Jul19_IN_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_INF_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_Surf_R2_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F27Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_R_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Jun19_9_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
292,-0.001,0.032,0.033,7.5999,2.028135089,,0.016,0.017,7.8302,2.057988052,,0.032,0.033,7.5999,2.028135089,,0.03,0.031,7.1393,1.965614732,,0.014,0.015,6.909,1.93282491,,0.042,0.043,9.9029,2.292827644,,0.017,0.018,8.2908,2.115146466,,0.008,0.009,8.2908,2.115146466,,0.033,0.034,7.8302,2.057988052,,0.019,0.02,9.212,2.220506982,,0.039,0.04,9.212,2.220506982,,0.019,0.02,9.212,2.220506982,,0.035,0.036,8.2908,2.115146466,,0.018,0.019,8.7514,2.169213688,
293,-0.001,0.032,0.033,7.5999,2.028135089,,0.015,0.016,7.3696,1.997363431,,0.032,0.033,7.5999,2.028135089,,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.041,0.042,9.6726,2.269297146,,0.016,0.017,7.8302,2.057988052,,0.008,0.009,8.2908,2.115146466,,0.033,0.034,7.8302,2.057988052,,0.019,0.02,9.212,2.220506982,,0.038,0.039,8.9817,2.195189174,,0.019,0.02,9.212,2.220506982,,0.034,0.035,8.0605,2.086975589,,0.018,0.019,8.7514,2.169213688,
294,-0.001,0.031,0.032,7.3696,1.997363431,,0.015,0.016,7.3696,1.997363431,,0.031,0.032,7.3696,1.997363431,,0.029,0.03,6.909,1.93282491,,0.013,0.014,6.4484,1.863832038,,0.04,0.041,9.4423,2.245199595,,0.016,0.017,7.8302,2.057988052,,0.007,0.008,7.3696,1.997363431,,0.032,0.033,7.5999,2.028135089,,0.018,0.019,8.7514,2.169213688,,0.038,0.039,8.9817,2.195189174,,0.018,0.019,8.7514,2.169213688,,0.033,0.034,7.8302,2.057988052,,0.018,0.019,8.7514,2.169213688,
295,-0.001,0.031,0.032,7.3696,1.997363431,,0.015,0.016,7.3696,1.997363431,,0.031,0.032,7.3696,1.997363431,,0.028,0.029,6.6787,1.898923358,,0.013,0.014,6.4484,1.863832038,,0.04,0.041,9.4423,2.245199595,,0.016,0.017,7.8302,2.057988052,,0.007,0.008,7.3696,1.997363431,,0.032,0.033,7.5999,2.028135089,,0.018,0.019,8.7514,2.169213688,,0.037,0.038,8.7514,2.169213688,,0.018,0.019,8.7514,2.169213688,,0.033,0.034,7.8302,2.057988052,,0.017,0.018,8.2908,2.115146466,
296,-0.001,0.03,0.031,7.1393,1.965614732,,0.015,0.016,7.3696,1.997363431,,0.031,0.032,7.3696,1.997363431,,0.028,0.029,6.6787,1.898923358,,0.013,0.014,6.4484,1.863832038,,0.039,0.04,9.212,2.220506982,,0.015,0.016,7.3696,1.997363431,,0.007,0.008,7.3696,1.997363431,,0.031,0.032,7.3696,1.997363431,,0.018,0.019,8.7514,2.169213688,,0.036,0.037,8.5211,2.14254544,,0.018,0.019,8.7514,2.169213688,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,8.2908,2.115146466,
297,-0.001,0.03,0.031,7.1393,1.965614732,,0.015,0.016,7.3696,1.997363431,,0.03,0.031,7.1393,1.965614732,,0.028,0.029,6.6787,1.898923358,,0.013,0.014,6.4484,1.863832038,,0.039,0.04,9.212,2.220506982,,0.015,0.016,7.3696,1.997363431,,0.007,0.008,7.3696,1.997363431,,0.031,0.032,7.3696,1.997363431,,0.018,0.019,8.7514,2.169213688,,0.036,0.037,8.5211,2.14254544,,0.017,0.018,8.2908,2.115146466,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,8.2908,2.115146466,
298,-0.001,0.03,0.031,7.1393,1.965614732,,0.015,0.016,7.3696,1.997363431,,0.03,0.031,7.1393,1.965614732,,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.038,0.039,8.9817,2.195189174,,0.015,0.016,7.3696,1.997363431,,0.007,0.008,7.3696,1.997363431,,0.03,0.031,7.1393,1.965614732,,0.017,0.018,8.2908,2.115146466,,0.035,0.036,8.2908,2.115146466,,0.017,0.018,8.2908,2.115146466,,0.031,0.032,7.3696,1.997363431,,0.017,0.018,8.2908,2.115146466,
299,-0.001,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.03,0.031,7.1393,1.965614732,,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.037,0.038,8.7514,2.169213688,,0.014,0.015,6.909,1.93282491,,0.006,0.007,6.4484,1.863832038,,0.03,0.031,7.1393,1.965614732,,0.017,0.018,8.2908,2.115146466,,0.034,0.035,8.0605,2.086975589,,0.017,0.018,8.2908,2.115146466,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,7.8302,2.057988052,
300,-0.001,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.029,0.03,6.909,1.93282491,,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,,0.036,0.037,8.5211,2.14254544,,0.014,0.015,6.909,1.93282491,,0.006,0.007,6.4484,1.863832038,,0.029,0.03,6.909,1.93282491,,0.017,0.018,8.2908,2.115146466,,0.034,0.035,8.0605,2.086975589,,0.016,0.017,7.8302,2.057988052,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,7.8302,2.057988052,
301,-0.001,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.029,0.03,6.909,1.93282491,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.036,0.037,8.5211,2.14254544,,0.014,0.015,6.909,1.93282491,,0.006,0.007,6.4484,1.863832038,,0.029,0.03,6.909,1.93282491,,0.016,0.017,7.8302,2.057988052,,0.033,0.034,7.8302,2.057988052,,0.016,0.017,7.8302,2.057988052,,0.029,0.03,6.909,1.93282491,,0.016,0.017,7.8302,2.057988052,
302,-0.001,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.029,0.03,6.909,1.93282491,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.035,0.036,8.2908,2.115146466,,0.014,0.015,6.909,1.93282491,,0.006,0.007,6.4484,1.863832038,,0.029,0.03,6.909,1.93282491,,0.016,0.017,7.8302,2.057988052,,0.032,0.033,7.5999,2.028135089,,0.016,0.017,7.8302,2.057988052,,0.029,0.03,6.909,1.93282491,,0.015,0.016,7.3696,1.997363431,
303,-0.001,0.028,0.029,6.6787,1.898923358,,0.014,0.015,6.909,1.93282491,,0.029,0.03,6.909,1.93282491,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.035,0.036,8.2908,2.115146466,,0.013,0.014,6.4484,1.863832038,,0.006,0.007,6.4484,1.863832038,,0.028,0.029,6.6787,1.898923358,,0.016,0.017,7.8302,2.057988052,,0.032,0.033,7.5999,2.028135089,,0.015,0.016,7.3696,1.997363431,,0.028,0.029,6.6787,1.898923358,,0.015,0.016,7.3696,1.997363431,
304,-0.001,0.028,0.029,6.6787,1.898923358,,0.014,0.015,6.909,1.93282491,,0.029,0.03,6.909,1.93282491,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.034,0.035,8.0605,2.086975589,,0.013,0.014,6.4484,1.863832038,,0.006,0.007,6.4484,1.863832038,,0.028,0.029,6.6787,1.898923358,,0.016,0.017,7.8302,2.057988052,,0.031,0.032,7.3696,1.997363431,,0.015,0.016,7.3696,1.997363431,,0.028,0.029,6.6787,1.898923358,,0.015,0.016,7.3696,1.997363431,
305,0,0.028,0.028,6.4484,1.863832038,,0.014,0.014,6.4484,1.863832038,,0.028,0.028,6.4484,1.863832038,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.033,0.033,7.5999,2.028135089,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,5.5272,1.709681358,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,6.909,1.93282491,,0.031,0.031,7.1393,1.965614732,,0.015,0.015,6.909,1.93282491,,0.027,0.027,6.2181,1.827464394,,0.015,0.015,6.909,1.93282491,
306,-0.001,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.028,0.029,6.6787,1.898923358,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.033,0.034,7.8302,2.057988052,,0.013,0.014,6.4484,1.863832038,,0.006,0.007,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,7.3696,1.997363431,,0.03,0.031,7.1393,1.965614732,,0.014,0.015,6.909,1.93282491,,0.027,0.028,6.4484,1.863832038,,0.014,0.015,6.909,1.93282491,
307,-0.001,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.028,0.029,6.6787,1.898923358,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.032,0.033,7.5999,2.028135089,,0.013,0.014,6.4484,1.863832038,,0.006,0.007,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,7.3696,1.997363431,,0.03,0.031,7.1393,1.965614732,,0.014,0.015,6.909,1.93282491,,0.026,0.027,6.2181,1.827464394,,0.014,0.015,6.909,1.93282491,
308,-0.001,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.032,0.033,7.5999,2.028135089,,0.012,0.013,5.9878,1.789724066,,0.005,0.006,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.015,0.016,7.3696,1.997363431,,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.026,0.027,6.2181,1.827464394,,0.014,0.015,6.909,1.93282491,
309,-0.001,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.031,0.032,7.3696,1.997363431,,0.012,0.013,5.9878,1.789724066,,0.005,0.006,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.015,0.016,7.3696,1.997363431,,0.029,0.03,6.909,1.93282491,,0.014,0.015,6.909,1.93282491,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,6.909,1.93282491,
310,-0.001,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.031,0.032,7.3696,1.997363431,,0.012,0.013,5.9878,1.789724066,,0.005,0.006,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,6.909,1.93282491,,0.028,0.029,6.6787,1.898923358,,0.014,0.015,6.909,1.93282491,,0.025,0.026,5.9878,1.789724066,,0.013,0.014,6.4484,1.863832038,
311,-0.001,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.03,0.031,7.1393,1.965614732,,0.011,0.012,5.5272,1.709681358,,0.005,0.006,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,6.909,1.93282491,,0.028,0.029,6.6787,1.898923358,,0.013,0.014,6.4484,1.863832038,,0.025,0.026,5.9878,1.789724066,,0.013,0.014,6.4484,1.863832038,
312,-0.001,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.03,0.031,7.1393,1.965614732,,0.011,0.012,5.5272,1.709681358,,0.005,0.006,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,6.909,1.93282491,,0.028,0.029,6.6787,1.898923358,,0.013,0.014,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,
313,-0.001,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.026,0.027,6.2181,1.827464394,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.03,0.031,7.1393,1.965614732,,0.011,0.012,5.5272,1.709681358,,0.005,0.006,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.014,0.015,6.909,1.93282491,,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,
314,-0.001,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.026,0.027,6.2181,1.827464394,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.029,0.03,6.909,1.93282491,,0.011,0.012,5.5272,1.709681358,,0.005,0.006,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,,0.027,0.028,6.4484,1.863832038,,0.013,0.014,6.4484,1.863832038,,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,
315,-0.001,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.026,0.027,6.2181,1.827464394,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.029,0.03,6.909,1.93282491,,0.011,0.012,5.5272,1.709681358,,0.005,0.006,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.013,0.014,6.4484,1.863832038,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,
316,-0.001,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.011,0.012,5.5272,1.709681358,,0.005,0.006,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.023,0.024,5.5272,1.709681358,,0.012,0.013,5.9878,1.789724066,
317,-0.001,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.01,0.011,5.0666,1.622669981,,0.005,0.006,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.013,0.014,6.4484,1.863832038,,0.026,0.027,6.2181,1.827464394,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,
318,-0.001,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.028,0.029,6.6787,1.898923358,,0.01,0.011,5.0666,1.622669981,,0.005,0.006,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.013,0.014,6.4484,1.863832038,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,
319,-0.001,0.024,0.025,5.7575,1.750503353,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.021,0.022,5.0666,1.622669981,,0.009,0.01,4.606,1.527359801,,0.027,0.028,6.4484,1.863832038,,0.01,0.011,5.0666,1.622669981,,0.004,0.005,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,
320,-0.001,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.027,0.028,6.4484,1.863832038,,0.01,0.011,5.0666,1.622669981,,0.005,0.006,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,,0.025,0.026,5.9878,1.789724066,,0.012,0.013,5.9878,1.789724066,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,
321,0,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.025,0.025,5.7575,1.750503353,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.027,0.027,6.2181,1.827464394,,0.01,0.01,4.606,1.527359801,,0.004,0.004,3.6848,1.30421625,,0.022,0.022,5.0666,1.622669981,,0.012,0.012,5.5272,1.709681358,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,,0.022,0.022,5.0666,1.622669981,,0.011,0.011,5.0666,1.622669981,
322,-0.001,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.021,0.022,5.0666,1.622669981,,0.009,0.01,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.01,0.011,5.0666,1.622669981,,0.004,0.005,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,
323,-0.001,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.02,0.021,4.8363,1.576149966,,0.009,0.01,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.01,0.011,5.0666,1.622669981,,0.004,0.005,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,,0.012,0.013,5.9878,1.789724066,,0.024,0.025,5.7575,1.750503353,,0.011,0.012,5.5272,1.709681358,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,
324,0,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.026,0.026,5.9878,1.789724066,,0.01,0.01,4.606,1.527359801,,0.005,0.005,4.606,1.527359801,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.021,0.021,4.8363,1.576149966,,0.011,0.011,5.0666,1.622669981,
325,0,0.022,0.022,5.0666,1.622669981,,0.011,0.011,5.0666,1.622669981,,0.024,0.024,5.5272,1.709681358,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.025,0.025,5.7575,1.750503353,,0.01,0.01,4.606,1.527359801,,0.004,0.004,3.6848,1.30421625,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.021,0.021,4.8363,1.576149966,,0.011,0.011,5.0666,1.622669981,
326,-0.001,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.024,0.025,5.7575,1.750503353,,0.02,0.021,4.8363,1.576149966,,0.009,0.01,4.606,1.527359801,,0.025,0.026,5.9878,1.789724066,,0.009,0.01,4.606,1.527359801,,0.004,0.005,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,
327,-0.001,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.025,0.026,5.9878,1.789724066,,0.009,0.01,4.606,1.527359801,,0.004,0.005,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,
328,-0.001,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.024,0.025,5.7575,1.750503353,,0.009,0.01,4.606,1.527359801,,0.004,0.005,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,
329,-0.001,0.022,0.023,5.2969,1.667121744,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.024,0.025,5.7575,1.750503353,,0.009,0.01,4.606,1.527359801,,0.004,0.005,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.023,0.024,5.5272,1.709681358,,0.01,0.011,5.0666,1.622669981,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,
330,-0.001,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,,0.019,0.02,4.606,1.527359801,,0.008,0.009,4.1454,1.421999286,,0.024,0.025,5.7575,1.750503353,,0.009,0.01,4.606,1.527359801,,0.004,0.005,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
331,-0.001,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,,0.019,0.02,4.606,1.527359801,,0.008,0.009,4.1454,1.421999286,,0.023,0.024,5.5272,1.709681358,,0.009,0.01,4.606,1.527359801,,0.004,0.005,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.011,0.012,5.5272,1.709681358,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
332,-0.001,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.023,0.024,5.5272,1.709681358,,0.008,0.009,4.1454,1.421999286,,0.003,0.004,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
333,-0.001,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.023,0.024,5.5272,1.709681358,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
334,-0.001,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,4.606,1.527359801,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
335,-0.001,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
336,-0.001,0.02,0.021,4.8363,1.576149966,,0.01,0.011,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.008,0.009,4.1454,1.421999286,,0.004,0.005,4.606,1.527359801,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,
337,-0.001,0.019,0.02,4.606,1.527359801,,0.009,0.01,4.606,1.527359801,,0.022,0.023,5.2969,1.667121744,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.022,0.023,5.2969,1.667121744,,0.008,0.009,4.1454,1.421999286,,0.003,0.004,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,,0.021,0.022,5.0666,1.622669981,,0.01,0.011,5.0666,1.622669981,,0.018,0.019,4.3757,1.476066507,,0.01,0.011,5.0666,1.622669981,
