,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
202,-0.006,0.133,0.139,32.0117,3.466101461,,0.24,0.246,56.6538,4.036959064,,0.125,0.131,60.3386,4.099972032,,0.176,0.182,41.9146,3.735634215,,0.073,0.079,36.3874,3.594222561,,0.238,0.244,56.1932,4.028795753,,0.117,0.123,56.6538,4.036959064,,0.151,0.157,36.1571,3.587873333,,0.07,0.076,35.0056,3.555508049,,0.086,0.092,21.1876,3.053416105,
203,-0.005,0.13,0.135,31.0905,3.436902306,,0.23,0.235,54.1205,3.991213042,,0.119,0.124,57.1144,4.045056274,,0.172,0.177,40.7631,3.70777726,,0.071,0.076,35.0056,3.555508049,,0.229,0.234,53.8902,3.986948643,,0.112,0.117,53.8902,3.986948643,,0.147,0.152,35.0056,3.555508049,,0.068,0.073,33.6238,3.51523415,,0.081,0.086,19.8058,2.985974824,
204,-0.005,0.126,0.131,30.1693,3.406824851,,0.22,0.225,51.8175,3.94772793,,0.114,0.119,54.8114,4.003898202,,0.167,0.172,39.6116,3.679122005,,0.069,0.074,34.0844,3.528839802,,0.221,0.226,52.0478,3.952162527,,0.108,0.113,52.0478,3.952162527,,0.143,0.148,34.0844,3.528839802,,0.066,0.071,32.7026,3.487454585,,0.076,0.081,18.6543,2.926076683,
205,-0.005,0.122,0.127,29.2481,3.375814614,,0.211,0.216,49.7448,3.906905936,,0.109,0.114,52.5084,3.960973157,,0.163,0.168,38.6904,3.655591507,,0.067,0.072,33.1632,3.501440827,,0.213,0.218,50.2054,3.916122591,,0.104,0.109,50.2054,3.916122591,,0.14,0.145,33.3935,3.50836127,,0.064,0.069,31.7814,3.458881213,,0.072,0.077,17.7331,2.87543295,
206,-0.006,0.119,0.125,28.7875,3.359941265,,0.203,0.209,48.1327,3.87396178,,0.104,0.11,50.666,3.925255074,,0.16,0.166,38.2298,3.643615316,,0.065,0.071,32.7026,3.487454585,,0.207,0.213,49.0539,3.892919694,,0.1,0.106,48.8236,3.888213803,,0.137,0.143,32.9329,3.494472158,,0.063,0.069,31.7814,3.458881213,,0.069,0.075,17.2725,2.849115641,
207,-0.006,0.116,0.122,28.0966,3.335648573,,0.197,0.203,46.7509,3.844833507,,0.101,0.107,49.2842,3.897603543,,0.157,0.163,37.5389,3.625377729,,0.064,0.07,32.242,3.47326995,,0.201,0.207,47.6721,3.864346321,,0.097,0.103,47.4418,3.859503697,,0.135,0.141,32.4723,3.480387418,,0.062,0.068,31.3208,3.444282414,,0.067,0.073,16.8119,2.822086969,
208,-0.006,0.113,0.119,27.4057,3.310751021,,0.191,0.197,45.3691,3.814831257,,0.098,0.104,47.9024,3.869165608,,0.155,0.161,37.0783,3.613031893,,0.063,0.069,31.7814,3.458881213,,0.196,0.202,46.5206,3.839895225,,0.095,0.101,46.5206,3.839895225,,0.133,0.139,32.0117,3.466101461,,0.062,0.068,31.3208,3.444282414,,0.065,0.071,16.3513,2.794307405,
209,-0.006,0.11,0.116,26.7148,3.285217719,,0.185,0.191,43.9873,3.783900956,,0.095,0.101,46.5206,3.839895225,,0.153,0.159,36.6177,3.60053173,,0.062,0.068,31.3208,3.444282414,,0.19,0.196,45.1388,3.809742187,,0.092,0.098,45.1388,3.809742187,,0.131,0.137,31.5511,3.451608454,,0.061,0.067,30.8602,3.429467328,,0.063,0.069,15.8907,2.765734032,
210,-0.006,0.108,0.114,26.2542,3.267825976,,0.18,0.186,42.8358,3.757374202,,0.092,0.098,45.1388,3.809742187,,0.151,0.157,36.1571,3.587873333,,0.061,0.067,30.8602,3.429467328,,0.185,0.191,43.9873,3.783900956,,0.089,0.095,43.757,3.7786516,,0.13,0.136,31.3208,3.444282414,,0.06,0.066,30.3996,3.41442945,,0.061,0.067,15.4301,2.736320147,
211,-0.005,0.106,0.111,25.5633,3.241157729,,0.175,0.18,41.454,3.724584379,,0.09,0.095,43.757,3.7786516,,0.149,0.154,35.4662,3.56858013,,0.061,0.066,30.3996,3.41442945,,0.181,0.186,42.8358,3.757374202,,0.087,0.092,42.3752,3.746563285,,0.128,0.133,30.6299,3.421976656,,0.06,0.065,29.939,3.399161978,,0.059,0.064,14.7392,2.690510611,
