,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
354,-0.003,0.02,0.023,5.2969,1.667121744,,0.028,0.031,7.1393,1.965614732,,0.019,0.022,10.1332,2.315817162,,0.061,0.064,14.7392,2.690510611,,0.021,0.024,11.0544,2.402828539,,0.035,0.038,8.7514,2.169213688,,0.016,0.019,8.7514,2.169213688,,0.04,0.043,9.9029,2.292827644,,0.016,0.019,8.7514,2.169213688,,0.012,0.015,3.4545,1.239677729,
355,-0.003,0.02,0.023,5.2969,1.667121744,,0.028,0.031,7.1393,1.965614732,,0.019,0.022,10.1332,2.315817162,,0.061,0.064,14.7392,2.690510611,,0.021,0.024,11.0544,2.402828539,,0.034,0.037,8.5211,2.14254544,,0.016,0.019,8.7514,2.169213688,,0.039,0.042,9.6726,2.269297146,,0.016,0.019,8.7514,2.169213688,,0.012,0.015,3.4545,1.239677729,
356,-0.003,0.02,0.023,5.2969,1.667121744,,0.028,0.031,7.1393,1.965614732,,0.018,0.021,9.6726,2.269297146,,0.061,0.064,14.7392,2.690510611,,0.021,0.024,11.0544,2.402828539,,0.034,0.037,8.5211,2.14254544,,0.016,0.019,8.7514,2.169213688,,0.039,0.042,9.6726,2.269297146,,0.016,0.019,8.7514,2.169213688,,0.012,0.015,3.4545,1.239677729,
357,-0.003,0.02,0.023,5.2969,1.667121744,,0.027,0.03,6.909,1.93282491,,0.018,0.021,9.6726,2.269297146,,0.06,0.063,14.5089,2.674762254,,0.021,0.024,11.0544,2.402828539,,0.034,0.037,8.5211,2.14254544,,0.016,0.019,8.7514,2.169213688,,0.039,0.042,9.6726,2.269297146,,0.016,0.019,8.7514,2.169213688,,0.012,0.015,3.4545,1.239677729,
358,-0.003,0.019,0.022,5.0666,1.622669981,,0.027,0.03,6.909,1.93282491,,0.018,0.021,9.6726,2.269297146,,0.06,0.063,14.5089,2.674762254,,0.021,0.024,11.0544,2.402828539,,0.033,0.036,8.2908,2.115146466,,0.016,0.019,8.7514,2.169213688,,0.038,0.041,9.4423,2.245199595,,0.016,0.019,8.7514,2.169213688,,0.011,0.014,3.2242,1.170684857,
359,-0.003,0.019,0.022,5.0666,1.622669981,,0.027,0.03,6.909,1.93282491,,0.018,0.021,9.6726,2.269297146,,0.059,0.062,14.2786,2.658761913,,0.021,0.024,11.0544,2.402828539,,0.033,0.036,8.2908,2.115146466,,0.015,0.018,8.2908,2.115146466,,0.038,0.041,9.4423,2.245199595,,0.016,0.019,8.7514,2.169213688,,0.011,0.014,3.2242,1.170684857,
360,-0.003,0.019,0.022,5.0666,1.622669981,,0.026,0.029,6.6787,1.898923358,,0.018,0.021,9.6726,2.269297146,,0.059,0.062,14.2786,2.658761913,,0.021,0.024,11.0544,2.402828539,,0.032,0.035,8.0605,2.086975589,,0.015,0.018,8.2908,2.115146466,,0.038,0.041,9.4423,2.245199595,,0.016,0.019,8.7514,2.169213688,,0.011,0.014,3.2242,1.170684857,
361,-0.003,0.019,0.022,5.0666,1.622669981,,0.026,0.029,6.6787,1.898923358,,0.017,0.02,9.212,2.220506982,,0.059,0.062,14.2786,2.658761913,,0.02,0.023,10.5938,2.360268924,,0.032,0.035,8.0605,2.086975589,,0.015,0.018,8.2908,2.115146466,,0.038,0.041,9.4423,2.245199595,,0.016,0.019,8.7514,2.169213688,,0.011,0.014,3.2242,1.170684857,
362,-0.003,0.018,0.021,4.8363,1.576149966,,0.025,0.028,6.4484,1.863832038,,0.017,0.02,9.212,2.220506982,,0.059,0.062,14.2786,2.658761913,,0.02,0.023,10.5938,2.360268924,,0.032,0.035,8.0605,2.086975589,,0.015,0.018,8.2908,2.115146466,,0.038,0.041,9.4423,2.245199595,,0.016,0.019,8.7514,2.169213688,,0.011,0.014,3.2242,1.170684857,
363,-0.003,0.018,0.021,4.8363,1.576149966,,0.025,0.028,6.4484,1.863832038,,0.017,0.02,9.212,2.220506982,,0.058,0.061,14.0483,2.642501392,,0.02,0.023,10.5938,2.360268924,,0.032,0.035,8.0605,2.086975589,,0.015,0.018,8.2908,2.115146466,,0.037,0.04,9.212,2.220506982,,0.016,0.019,8.7514,2.169213688,,0.011,0.014,3.2242,1.170684857,
364,-0.003,0.018,0.021,4.8363,1.576149966,,0.025,0.028,6.4484,1.863832038,,0.017,0.02,9.212,2.220506982,,0.058,0.061,14.0483,2.642501392,,0.02,0.023,10.5938,2.360268924,,0.031,0.034,7.8302,2.057988052,,0.015,0.018,8.2908,2.115146466,,0.037,0.04,9.212,2.220506982,,0.015,0.018,8.2908,2.115146466,,0.011,0.014,3.2242,1.170684857,
365,-0.003,0.018,0.021,4.8363,1.576149966,,0.024,0.027,6.2181,1.827464394,,0.017,0.02,9.212,2.220506982,,0.058,0.061,14.0483,2.642501392,,0.02,0.023,10.5938,2.360268924,,0.031,0.034,7.8302,2.057988052,,0.014,0.017,7.8302,2.057988052,,0.037,0.04,9.212,2.220506982,,0.015,0.018,8.2908,2.115146466,,0.011,0.014,3.2242,1.170684857,
366,-0.003,0.018,0.021,4.8363,1.576149966,,0.024,0.027,6.2181,1.827464394,,0.017,0.02,9.212,2.220506982,,0.058,0.061,14.0483,2.642501392,,0.02,0.023,10.5938,2.360268924,,0.03,0.033,7.5999,2.028135089,,0.014,0.017,7.8302,2.057988052,,0.037,0.04,9.212,2.220506982,,0.015,0.018,8.2908,2.115146466,,0.01,0.013,2.9939,1.096576885,
367,-0.003,0.017,0.02,4.606,1.527359801,,0.024,0.027,6.2181,1.827464394,,0.016,0.019,8.7514,2.169213688,,0.058,0.061,14.0483,2.642501392,,0.02,0.023,10.5938,2.360268924,,0.03,0.033,7.5999,2.028135089,,0.014,0.017,7.8302,2.057988052,,0.036,0.039,8.9817,2.195189174,,0.015,0.018,8.2908,2.115146466,,0.01,0.013,2.9939,1.096576885,
368,-0.003,0.017,0.02,4.606,1.527359801,,0.023,0.026,5.9878,1.789724066,,0.016,0.019,8.7514,2.169213688,,0.058,0.061,14.0483,2.642501392,,0.019,0.022,10.1332,2.315817162,,0.029,0.032,7.3696,1.997363431,,0.014,0.017,7.8302,2.057988052,,0.036,0.039,8.9817,2.195189174,,0.015,0.018,8.2908,2.115146466,,0.01,0.013,2.9939,1.096576885,
369,-0.003,0.017,0.02,4.606,1.527359801,,0.023,0.026,5.9878,1.789724066,,0.016,0.019,8.7514,2.169213688,,0.058,0.061,14.0483,2.642501392,,0.019,0.022,10.1332,2.315817162,,0.029,0.032,7.3696,1.997363431,,0.014,0.017,7.8302,2.057988052,,0.036,0.039,8.9817,2.195189174,,0.015,0.018,8.2908,2.115146466,,0.01,0.013,2.9939,1.096576885,
370,-0.003,0.017,0.02,4.606,1.527359801,,0.023,0.026,5.9878,1.789724066,,0.016,0.019,8.7514,2.169213688,,0.057,0.06,13.818,2.62597209,,0.019,0.022,10.1332,2.315817162,,0.029,0.032,7.3696,1.997363431,,0.014,0.017,7.8302,2.057988052,,0.036,0.039,8.9817,2.195189174,,0.015,0.018,8.2908,2.115146466,,0.011,0.014,3.2242,1.170684857,
371,-0.003,0.017,0.02,4.606,1.527359801,,0.023,0.026,5.9878,1.789724066,,0.016,0.019,8.7514,2.169213688,,0.057,0.06,13.818,2.62597209,,0.019,0.022,10.1332,2.315817162,,0.029,0.032,7.3696,1.997363431,,0.014,0.017,7.8302,2.057988052,,0.036,0.039,8.9817,2.195189174,,0.015,0.018,8.2908,2.115146466,,0.01,0.013,2.9939,1.096576885,
372,-0.003,0.017,0.02,4.606,1.527359801,,0.022,0.025,5.7575,1.750503353,,0.016,0.019,8.7514,2.169213688,,0.057,0.06,13.818,2.62597209,,0.019,0.022,10.1332,2.315817162,,0.028,0.031,7.1393,1.965614732,,0.013,0.016,7.3696,1.997363431,,0.035,0.038,8.7514,2.169213688,,0.015,0.018,8.2908,2.115146466,,0.01,0.013,2.9939,1.096576885,
373,-0.002,0.017,0.019,4.3757,1.476066507,,0.022,0.024,5.5272,1.709681358,,0.015,0.017,7.8302,2.057988052,,0.057,0.059,13.5877,2.609164972,,0.019,0.021,9.6726,2.269297146,,0.028,0.03,6.909,1.93282491,,0.013,0.015,6.909,1.93282491,,0.035,0.037,8.5211,2.14254544,,0.015,0.017,7.8302,2.057988052,,0.01,0.012,2.7636,1.016534178,
374,-0.003,0.016,0.019,4.3757,1.476066507,,0.022,0.025,5.7575,1.750503353,,0.015,0.018,8.2908,2.115146466,,0.056,0.059,13.5877,2.609164972,,0.019,0.022,10.1332,2.315817162,,0.027,0.03,6.909,1.93282491,,0.013,0.016,7.3696,1.997363431,,0.035,0.038,8.7514,2.169213688,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
375,-0.003,0.016,0.019,4.3757,1.476066507,,0.021,0.024,5.5272,1.709681358,,0.015,0.018,8.2908,2.115146466,,0.056,0.059,13.5877,2.609164972,,0.019,0.022,10.1332,2.315817162,,0.027,0.03,6.909,1.93282491,,0.013,0.016,7.3696,1.997363431,,0.035,0.038,8.7514,2.169213688,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
376,-0.003,0.016,0.019,4.3757,1.476066507,,0.021,0.024,5.5272,1.709681358,,0.015,0.018,8.2908,2.115146466,,0.055,0.058,13.3574,2.592070538,,0.018,0.021,9.6726,2.269297146,,0.027,0.03,6.909,1.93282491,,0.013,0.016,7.3696,1.997363431,,0.034,0.037,8.5211,2.14254544,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
377,-0.003,0.016,0.019,4.3757,1.476066507,,0.021,0.024,5.5272,1.709681358,,0.015,0.018,8.2908,2.115146466,,0.055,0.058,13.3574,2.592070538,,0.018,0.021,9.6726,2.269297146,,0.027,0.03,6.909,1.93282491,,0.013,0.016,7.3696,1.997363431,,0.034,0.037,8.5211,2.14254544,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
378,-0.003,0.016,0.019,4.3757,1.476066507,,0.02,0.023,5.2969,1.667121744,,0.015,0.018,8.2908,2.115146466,,0.055,0.058,13.3574,2.592070538,,0.018,0.021,9.6726,2.269297146,,0.026,0.029,6.6787,1.898923358,,0.013,0.016,7.3696,1.997363431,,0.034,0.037,8.5211,2.14254544,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
379,-0.003,0.016,0.019,4.3757,1.476066507,,0.02,0.023,5.2969,1.667121744,,0.014,0.017,7.8302,2.057988052,,0.055,0.058,13.3574,2.592070538,,0.018,0.021,9.6726,2.269297146,,0.026,0.029,6.6787,1.898923358,,0.013,0.016,7.3696,1.997363431,,0.034,0.037,8.5211,2.14254544,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
380,-0.002,0.016,0.018,4.1454,1.421999286,,0.02,0.022,5.0666,1.622669981,,0.014,0.016,7.3696,1.997363431,,0.054,0.056,12.8968,2.556979219,,0.018,0.02,9.212,2.220506982,,0.026,0.028,6.4484,1.863832038,,0.012,0.014,6.4484,1.863832038,,0.034,0.036,8.2908,2.115146466,,0.014,0.016,7.3696,1.997363431,,0.01,0.012,2.7636,1.016534178,
381,-0.003,0.015,0.018,4.1454,1.421999286,,0.019,0.022,5.0666,1.622669981,,0.014,0.017,7.8302,2.057988052,,0.054,0.057,13.1271,2.574678796,,0.018,0.021,9.6726,2.269297146,,0.025,0.028,6.4484,1.863832038,,0.012,0.015,6.909,1.93282491,,0.033,0.036,8.2908,2.115146466,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
382,-0.003,0.015,0.018,4.1454,1.421999286,,0.019,0.022,5.0666,1.622669981,,0.014,0.017,7.8302,2.057988052,,0.054,0.057,13.1271,2.574678796,,0.018,0.021,9.6726,2.269297146,,0.025,0.028,6.4484,1.863832038,,0.012,0.015,6.909,1.93282491,,0.033,0.036,8.2908,2.115146466,,0.014,0.017,7.8302,2.057988052,,0.01,0.013,2.9939,1.096576885,
383,-0.002,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.014,0.016,7.3696,1.997363431,,0.054,0.056,12.8968,2.556979219,,0.018,0.02,9.212,2.220506982,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.033,0.035,8.0605,2.086975589,,0.014,0.016,7.3696,1.997363431,,0.01,0.012,2.7636,1.016534178,
384,-0.002,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.014,0.016,7.3696,1.997363431,,0.054,0.056,12.8968,2.556979219,,0.018,0.02,9.212,2.220506982,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.033,0.035,8.0605,2.086975589,,0.013,0.015,6.909,1.93282491,,0.01,0.012,2.7636,1.016534178,
385,-0.003,0.015,0.018,4.1454,1.421999286,,0.018,0.021,4.8363,1.576149966,,0.014,0.017,7.8302,2.057988052,,0.053,0.056,12.8968,2.556979219,,0.017,0.02,9.212,2.220506982,,0.024,0.027,6.2181,1.827464394,,0.012,0.015,6.909,1.93282491,,0.033,0.036,8.2908,2.115146466,,0.013,0.016,7.3696,1.997363431,,0.009,0.012,2.7636,1.016534178,
386,-0.003,0.015,0.018,4.1454,1.421999286,,0.018,0.021,4.8363,1.576149966,,0.013,0.016,7.3696,1.997363431,,0.053,0.056,12.8968,2.556979219,,0.017,0.02,9.212,2.220506982,,0.024,0.027,6.2181,1.827464394,,0.011,0.014,6.4484,1.863832038,,0.032,0.035,8.0605,2.086975589,,0.013,0.016,7.3696,1.997363431,,0.009,0.012,2.7636,1.016534178,
387,-0.002,0.015,0.017,3.9151,1.364840872,,0.018,0.02,4.606,1.527359801,,0.013,0.015,6.909,1.93282491,,0.053,0.055,12.6665,2.538960713,,0.017,0.019,8.7514,2.169213688,,0.024,0.026,5.9878,1.789724066,,0.011,0.013,5.9878,1.789724066,,0.032,0.034,7.8302,2.057988052,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
388,-0.002,0.015,0.017,3.9151,1.364840872,,0.018,0.02,4.606,1.527359801,,0.013,0.015,6.909,1.93282491,,0.052,0.054,12.4362,2.520611574,,0.017,0.019,8.7514,2.169213688,,0.023,0.025,5.7575,1.750503353,,0.011,0.013,5.9878,1.789724066,,0.032,0.034,7.8302,2.057988052,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
389,-0.002,0.014,0.016,3.6848,1.30421625,,0.017,0.019,4.3757,1.476066507,,0.013,0.015,6.909,1.93282491,,0.052,0.054,12.4362,2.520611574,,0.017,0.019,8.7514,2.169213688,,0.023,0.025,5.7575,1.750503353,,0.011,0.013,5.9878,1.789724066,,0.032,0.034,7.8302,2.057988052,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
390,-0.002,0.014,0.016,3.6848,1.30421625,,0.017,0.019,4.3757,1.476066507,,0.013,0.015,6.909,1.93282491,,0.052,0.054,12.4362,2.520611574,,0.017,0.019,8.7514,2.169213688,,0.023,0.025,5.7575,1.750503353,,0.011,0.013,5.9878,1.789724066,,0.031,0.033,7.5999,2.028135089,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
391,-0.003,0.014,0.017,3.9151,1.364840872,,0.017,0.02,4.606,1.527359801,,0.013,0.016,7.3696,1.997363431,,0.052,0.055,12.6665,2.538960713,,0.016,0.019,8.7514,2.169213688,,0.022,0.025,5.7575,1.750503353,,0.01,0.013,5.9878,1.789724066,,0.031,0.034,7.8302,2.057988052,,0.013,0.016,7.3696,1.997363431,,0.009,0.012,2.7636,1.016534178,
392,-0.003,0.014,0.017,3.9151,1.364840872,,0.017,0.02,4.606,1.527359801,,0.012,0.015,6.909,1.93282491,,0.051,0.054,12.4362,2.520611574,,0.016,0.019,8.7514,2.169213688,,0.022,0.025,5.7575,1.750503353,,0.01,0.013,5.9878,1.789724066,,0.031,0.034,7.8302,2.057988052,,0.013,0.016,7.3696,1.997363431,,0.009,0.012,2.7636,1.016534178,
393,-0.002,0.014,0.016,3.6848,1.30421625,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,6.4484,1.863832038,,0.051,0.053,12.2059,2.501919441,,0.016,0.018,8.2908,2.115146466,,0.022,0.024,5.5272,1.709681358,,0.01,0.012,5.5272,1.709681358,,0.031,0.033,7.5999,2.028135089,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
394,-0.002,0.014,0.016,3.6848,1.30421625,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,6.4484,1.863832038,,0.051,0.053,12.2059,2.501919441,,0.016,0.018,8.2908,2.115146466,,0.022,0.024,5.5272,1.709681358,,0.01,0.012,5.5272,1.709681358,,0.031,0.033,7.5999,2.028135089,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
395,-0.002,0.014,0.016,3.6848,1.30421625,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,6.4484,1.863832038,,0.051,0.053,12.2059,2.501919441,,0.016,0.018,8.2908,2.115146466,,0.021,0.023,5.2969,1.667121744,,0.01,0.012,5.5272,1.709681358,,0.031,0.033,7.5999,2.028135089,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
396,-0.002,0.014,0.016,3.6848,1.30421625,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,6.4484,1.863832038,,0.051,0.053,12.2059,2.501919441,,0.016,0.018,8.2908,2.115146466,,0.021,0.023,5.2969,1.667121744,,0.01,0.012,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.013,0.015,6.909,1.93282491,,0.009,0.011,2.5333,0.929522801,
397,-0.002,0.013,0.015,3.4545,1.239677729,,0.016,0.018,4.1454,1.421999286,,0.012,0.014,6.4484,1.863832038,,0.051,0.053,12.2059,2.501919441,,0.016,0.018,8.2908,2.115146466,,0.021,0.023,5.2969,1.667121744,,0.01,0.012,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,
398,-0.002,0.013,0.015,3.4545,1.239677729,,0.015,0.017,3.9151,1.364840872,,0.012,0.014,6.4484,1.863832038,,0.05,0.052,11.9756,2.482871246,,0.016,0.018,8.2908,2.115146466,,0.021,0.023,5.2969,1.667121744,,0.01,0.012,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,
399,-0.002,0.013,0.015,3.4545,1.239677729,,0.015,0.017,3.9151,1.364840872,,0.012,0.014,6.4484,1.863832038,,0.05,0.052,11.9756,2.482871246,,0.016,0.018,8.2908,2.115146466,,0.02,0.022,5.0666,1.622669981,,0.01,0.012,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,
400,-0.002,0.013,0.015,3.4545,1.239677729,,0.015,0.017,3.9151,1.364840872,,0.012,0.014,6.4484,1.863832038,,0.05,0.052,11.9756,2.482871246,,0.016,0.018,8.2908,2.115146466,,0.02,0.022,5.0666,1.622669981,,0.01,0.012,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.012,0.014,6.4484,1.863832038,,0.009,0.011,2.5333,0.929522801,
401,-0.002,0.013,0.015,3.4545,1.239677729,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,5.9878,1.789724066,,0.05,0.052,11.9756,2.482871246,,0.015,0.017,7.8302,2.057988052,,0.02,0.022,5.0666,1.622669981,,0.009,0.011,5.0666,1.622669981,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
402,-0.002,0.013,0.015,3.4545,1.239677729,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,5.9878,1.789724066,,0.05,0.052,11.9756,2.482871246,,0.015,0.017,7.8302,2.057988052,,0.02,0.022,5.0666,1.622669981,,0.009,0.011,5.0666,1.622669981,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
403,-0.002,0.013,0.015,3.4545,1.239677729,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,5.9878,1.789724066,,0.05,0.052,11.9756,2.482871246,,0.015,0.017,7.8302,2.057988052,,0.02,0.022,5.0666,1.622669981,,0.009,0.011,5.0666,1.622669981,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
404,-0.002,0.013,0.015,3.4545,1.239677729,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,5.9878,1.789724066,,0.05,0.052,11.9756,2.482871246,,0.015,0.017,7.8302,2.057988052,,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
405,-0.002,0.013,0.015,3.4545,1.239677729,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.029,0.031,7.1393,1.965614732,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
406,-0.002,0.012,0.014,3.2242,1.170684857,,0.014,0.016,3.6848,1.30421625,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
407,-0.002,0.012,0.014,3.2242,1.170684857,,0.013,0.015,3.4545,1.239677729,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
408,-0.002,0.012,0.014,3.2242,1.170684857,,0.013,0.015,3.4545,1.239677729,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.009,0.011,5.0666,1.622669981,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
409,-0.002,0.012,0.014,3.2242,1.170684857,,0.013,0.015,3.4545,1.239677729,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.009,0.011,5.0666,1.622669981,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
410,-0.002,0.012,0.014,3.2242,1.170684857,,0.013,0.015,3.4545,1.239677729,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.009,0.011,5.0666,1.622669981,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
411,-0.002,0.012,0.014,3.2242,1.170684857,,0.013,0.015,3.4545,1.239677729,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
412,-0.002,0.012,0.014,3.2242,1.170684857,,0.013,0.015,3.4545,1.239677729,,0.011,0.013,5.9878,1.789724066,,0.049,0.051,11.7453,2.463453161,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.009,0.011,5.0666,1.622669981,,0.028,0.03,6.909,1.93282491,,0.012,0.014,6.4484,1.863832038,,0.008,0.01,2.303,0.834212621,
413,-0.002,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.01,0.012,5.5272,1.709681358,,0.048,0.05,11.515,2.443650533,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.028,0.03,6.909,1.93282491,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,
414,-0.002,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.01,0.012,5.5272,1.709681358,,0.048,0.05,11.515,2.443650533,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.027,0.029,6.6787,1.898923358,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,
415,-0.002,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.01,0.012,5.5272,1.709681358,,0.048,0.05,11.515,2.443650533,,0.014,0.016,7.3696,1.997363431,,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.027,0.029,6.6787,1.898923358,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,
416,-0.002,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.01,0.012,5.5272,1.709681358,,0.048,0.05,11.515,2.443650533,,0.014,0.016,7.3696,1.997363431,,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.027,0.029,6.6787,1.898923358,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,
417,-0.002,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.01,0.012,5.5272,1.709681358,,0.048,0.05,11.515,2.443650533,,0.014,0.016,7.3696,1.997363431,,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.027,0.029,6.6787,1.898923358,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,
418,-0.002,0.011,0.013,2.9939,1.096576885,,0.011,0.013,2.9939,1.096576885,,0.01,0.012,5.5272,1.709681358,,0.048,0.05,11.515,2.443650533,,0.014,0.016,7.3696,1.997363431,,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.027,0.029,6.6787,1.898923358,,0.011,0.013,5.9878,1.789724066,,0.008,0.01,2.303,0.834212621,
