,MilliQ,F13Jun19_0.1R5,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_0.1R5_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_0.1R5_Dil1:2_ReRun,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_3.8R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_3.8R1_Dil1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F28Aug19_3.8R1_Dil1:8,A(CDOM),Dilution 1:8 a(CDOM),Dilution 1:8 ln(a),Sr,F28Aug19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_9mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep190.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
327,-0.002,0.02,0.022,5.0666,1.622669981,,0.01,0.012,5.5272,1.709681358,,0.009,0.011,5.0666,1.622669981,,0.027,0.029,6.6787,1.898923358,,0.004,0.006,5.5272,1.709681358,,0.001,0.003,5.5272,1.709681358,,0.039,0.041,9.4423,2.245199595,,0.019,0.021,9.6726,2.269297146,,0.026,0.028,6.4484,1.863832038,,0.011,0.013,5.9878,1.789724066,
328,-0.002,0.02,0.022,5.0666,1.622669981,,0.01,0.012,5.5272,1.709681358,,0.009,0.011,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.004,0.006,5.5272,1.709681358,,0.001,0.003,5.5272,1.709681358,,0.038,0.04,9.212,2.220506982,,0.018,0.02,9.212,2.220506982,,0.025,0.027,6.2181,1.827464394,,0.011,0.013,5.9878,1.789724066,
329,-0.002,0.02,0.022,5.0666,1.622669981,,0.01,0.012,5.5272,1.709681358,,0.009,0.011,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.004,0.006,5.5272,1.709681358,,0.001,0.003,5.5272,1.709681358,,0.038,0.04,9.212,2.220506982,,0.018,0.02,9.212,2.220506982,,0.025,0.027,6.2181,1.827464394,,0.011,0.013,5.9878,1.789724066,
330,-0.002,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.009,0.011,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.004,0.006,5.5272,1.709681358,,0.001,0.003,5.5272,1.709681358,,0.038,0.04,9.212,2.220506982,,0.018,0.02,9.212,2.220506982,,0.025,0.027,6.2181,1.827464394,,0.01,0.012,5.5272,1.709681358,
331,-0.002,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.009,0.011,5.0666,1.622669981,,0.026,0.028,6.4484,1.863832038,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.038,0.04,9.212,2.220506982,,0.018,0.02,9.212,2.220506982,,0.024,0.026,5.9878,1.789724066,,0.01,0.012,5.5272,1.709681358,
332,-0.002,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.008,0.01,4.606,1.527359801,,0.025,0.027,6.2181,1.827464394,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.037,0.039,8.9817,2.195189174,,0.018,0.02,9.212,2.220506982,,0.024,0.026,5.9878,1.789724066,,0.01,0.012,5.5272,1.709681358,
333,-0.002,0.019,0.021,4.8363,1.576149966,,0.009,0.011,5.0666,1.622669981,,0.008,0.01,4.606,1.527359801,,0.025,0.027,6.2181,1.827464394,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.037,0.039,8.9817,2.195189174,,0.018,0.02,9.212,2.220506982,,0.024,0.026,5.9878,1.789724066,,0.01,0.012,5.5272,1.709681358,
334,-0.002,0.018,0.02,4.606,1.527359801,,0.009,0.011,5.0666,1.622669981,,0.008,0.01,4.606,1.527359801,,0.025,0.027,6.2181,1.827464394,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.037,0.039,8.9817,2.195189174,,0.018,0.02,9.212,2.220506982,,0.024,0.026,5.9878,1.789724066,,0.01,0.012,5.5272,1.709681358,
335,-0.002,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.036,0.038,8.7514,2.169213688,,0.017,0.019,8.7514,2.169213688,,0.023,0.025,5.7575,1.750503353,,0.01,0.012,5.5272,1.709681358,
336,-0.002,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.036,0.038,8.7514,2.169213688,,0.017,0.019,8.7514,2.169213688,,0.023,0.025,5.7575,1.750503353,,0.009,0.011,5.0666,1.622669981,
337,-0.002,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.036,0.038,8.7514,2.169213688,,0.017,0.019,8.7514,2.169213688,,0.023,0.025,5.7575,1.750503353,,0.009,0.011,5.0666,1.622669981,
338,-0.002,0.018,0.02,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.036,0.038,8.7514,2.169213688,,0.017,0.019,8.7514,2.169213688,,0.022,0.024,5.5272,1.709681358,,0.009,0.011,5.0666,1.622669981,
339,-0.002,0.018,0.02,4.606,1.527359801,,0.009,0.011,5.0666,1.622669981,,0.008,0.01,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.036,0.038,8.7514,2.169213688,,0.017,0.019,8.7514,2.169213688,,0.022,0.024,5.5272,1.709681358,,0.009,0.011,5.0666,1.622669981,
340,-0.001,0.019,0.02,4.606,1.527359801,,0.01,0.011,5.0666,1.622669981,,0.009,0.01,4.606,1.527359801,,0.026,0.027,6.2181,1.827464394,,0.004,0.005,4.606,1.527359801,,0.003,0.004,7.3696,1.997363431,,0.037,0.038,8.7514,2.169213688,,0.019,0.02,9.212,2.220506982,,0.023,0.024,5.5272,1.709681358,,0.011,0.012,5.5272,1.709681358,
341,-0.002,0.017,0.019,4.3757,1.476066507,,0.009,0.011,5.0666,1.622669981,,0.008,0.01,4.606,1.527359801,,0.025,0.027,6.2181,1.827464394,,0.003,0.005,4.606,1.527359801,,0.002,0.004,7.3696,1.997363431,,0.035,0.037,8.5211,2.14254544,,0.017,0.019,8.7514,2.169213688,,0.022,0.024,5.5272,1.709681358,,0.009,0.011,5.0666,1.622669981,
342,-0.002,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.035,0.037,8.5211,2.14254544,,0.017,0.019,8.7514,2.169213688,,0.021,0.023,5.2969,1.667121744,,0.008,0.01,4.606,1.527359801,
343,-0.002,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,,0.025,0.027,6.2181,1.827464394,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.035,0.037,8.5211,2.14254544,,0.017,0.019,8.7514,2.169213688,,0.021,0.023,5.2969,1.667121744,,0.008,0.01,4.606,1.527359801,
344,-0.002,0.017,0.019,4.3757,1.476066507,,0.008,0.01,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.035,0.037,8.5211,2.14254544,,0.017,0.019,8.7514,2.169213688,,0.021,0.023,5.2969,1.667121744,,0.009,0.011,5.0666,1.622669981,
345,-0.002,0.016,0.018,4.1454,1.421999286,,0.008,0.01,4.606,1.527359801,,0.008,0.01,4.606,1.527359801,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.034,0.036,8.2908,2.115146466,,0.017,0.019,8.7514,2.169213688,,0.021,0.023,5.2969,1.667121744,,0.009,0.011,5.0666,1.622669981,
346,-0.002,0.016,0.018,4.1454,1.421999286,,0.008,0.01,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,,0.024,0.026,5.9878,1.789724066,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.034,0.036,8.2908,2.115146466,,0.016,0.018,8.2908,2.115146466,,0.02,0.022,5.0666,1.622669981,,0.008,0.01,4.606,1.527359801,
347,-0.002,0.016,0.018,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.023,0.025,5.7575,1.750503353,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,,0.016,0.018,8.2908,2.115146466,,0.019,0.021,4.8363,1.576149966,,0.008,0.01,4.606,1.527359801,
348,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.023,0.025,5.7575,1.750503353,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,,0.016,0.018,8.2908,2.115146466,,0.019,0.021,4.8363,1.576149966,,0.008,0.01,4.606,1.527359801,
349,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.023,0.025,5.7575,1.750503353,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,,0.016,0.018,8.2908,2.115146466,,0.019,0.021,4.8363,1.576149966,,0.008,0.01,4.606,1.527359801,
350,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.023,0.025,5.7575,1.750503353,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,,0.016,0.018,8.2908,2.115146466,,0.019,0.021,4.8363,1.576149966,,0.007,0.009,4.1454,1.421999286,
351,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.023,0.025,5.7575,1.750503353,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.033,0.035,8.0605,2.086975589,,0.016,0.018,8.2908,2.115146466,,0.019,0.021,4.8363,1.576149966,,0.007,0.009,4.1454,1.421999286,
352,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,,0.023,0.025,5.7575,1.750503353,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.032,0.034,7.8302,2.057988052,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,
353,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,,0.022,0.024,5.5272,1.709681358,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.032,0.034,7.8302,2.057988052,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,
354,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,,0.022,0.024,5.5272,1.709681358,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.032,0.034,7.8302,2.057988052,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,
355,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.022,0.024,5.5272,1.709681358,,0.003,0.005,4.606,1.527359801,,0.001,0.003,5.5272,1.709681358,,0.032,0.034,7.8302,2.057988052,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,
356,-0.002,0.015,0.017,3.9151,1.364840872,,0.007,0.009,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,,0.022,0.024,5.5272,1.709681358,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.032,0.034,7.8302,2.057988052,,0.015,0.017,7.8302,2.057988052,,0.018,0.02,4.606,1.527359801,,0.007,0.009,4.1454,1.421999286,
357,-0.002,0.014,0.016,3.6848,1.30421625,,0.007,0.009,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,,0.022,0.024,5.5272,1.709681358,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.031,0.033,7.5999,2.028135089,,0.015,0.017,7.8302,2.057988052,,0.017,0.019,4.3757,1.476066507,,0.007,0.009,4.1454,1.421999286,
358,-0.002,0.014,0.016,3.6848,1.30421625,,0.007,0.009,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,,0.022,0.024,5.5272,1.709681358,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.031,0.033,7.5999,2.028135089,,0.015,0.017,7.8302,2.057988052,,0.017,0.019,4.3757,1.476066507,,0.007,0.009,4.1454,1.421999286,
359,-0.002,0.014,0.016,3.6848,1.30421625,,0.007,0.009,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.031,0.033,7.5999,2.028135089,,0.015,0.017,7.8302,2.057988052,,0.017,0.019,4.3757,1.476066507,,0.007,0.009,4.1454,1.421999286,
360,-0.002,0.014,0.016,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.007,0.009,4.1454,1.421999286,
361,-0.002,0.013,0.015,3.4545,1.239677729,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,
362,-0.002,0.013,0.015,3.4545,1.239677729,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,
363,-0.002,0.014,0.016,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.03,0.032,7.3696,1.997363431,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,
364,-0.002,0.013,0.015,3.4545,1.239677729,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,
365,-0.002,0.013,0.015,3.4545,1.239677729,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,
366,-0.002,0.013,0.015,3.4545,1.239677729,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.014,0.016,7.3696,1.997363431,,0.016,0.018,4.1454,1.421999286,,0.006,0.008,3.6848,1.30421625,
367,-0.002,0.012,0.014,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.021,0.023,5.2969,1.667121744,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.014,0.016,7.3696,1.997363431,,0.015,0.017,3.9151,1.364840872,,0.006,0.008,3.6848,1.30421625,
368,-0.002,0.012,0.014,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.029,0.031,7.1393,1.965614732,,0.014,0.016,7.3696,1.997363431,,0.015,0.017,3.9151,1.364840872,,0.006,0.008,3.6848,1.30421625,
369,-0.002,0.012,0.014,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.028,0.03,6.909,1.93282491,,0.013,0.015,6.909,1.93282491,,0.015,0.017,3.9151,1.364840872,,0.006,0.008,3.6848,1.30421625,
370,-0.002,0.012,0.014,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.006,0.008,3.6848,1.30421625,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.028,0.03,6.909,1.93282491,,0.013,0.015,6.909,1.93282491,,0.015,0.017,3.9151,1.364840872,,0.006,0.008,3.6848,1.30421625,
371,-0.002,0.012,0.014,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.028,0.03,6.909,1.93282491,,0.014,0.016,7.3696,1.997363431,,0.014,0.016,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,
372,-0.002,0.012,0.014,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.028,0.03,6.909,1.93282491,,0.013,0.015,6.909,1.93282491,,0.014,0.016,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,
373,-0.002,0.012,0.014,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.006,0.008,3.6848,1.30421625,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.028,0.03,6.909,1.93282491,,0.013,0.015,6.909,1.93282491,,0.014,0.016,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,
374,-0.002,0.012,0.014,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.02,0.022,5.0666,1.622669981,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.027,0.029,6.6787,1.898923358,,0.013,0.015,6.909,1.93282491,,0.014,0.016,3.6848,1.30421625,,0.005,0.007,3.2242,1.170684857,
375,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.027,0.029,6.6787,1.898923358,,0.013,0.015,6.909,1.93282491,,0.013,0.015,3.4545,1.239677729,,0.005,0.007,3.2242,1.170684857,
376,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.027,0.029,6.6787,1.898923358,,0.013,0.015,6.909,1.93282491,,0.013,0.015,3.4545,1.239677729,,0.005,0.007,3.2242,1.170684857,
377,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0.001,0.003,5.5272,1.709681358,,0.027,0.029,6.6787,1.898923358,,0.013,0.015,6.909,1.93282491,,0.013,0.015,3.4545,1.239677729,,0.005,0.007,3.2242,1.170684857,
378,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.026,0.028,6.4484,1.863832038,,0.013,0.015,6.909,1.93282491,,0.013,0.015,3.4545,1.239677729,,0.005,0.007,3.2242,1.170684857,
379,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.026,0.028,6.4484,1.863832038,,0.012,0.014,6.4484,1.863832038,,0.013,0.015,3.4545,1.239677729,,0.005,0.007,3.2242,1.170684857,
380,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.026,0.028,6.4484,1.863832038,,0.012,0.014,6.4484,1.863832038,,0.013,0.015,3.4545,1.239677729,,0.005,0.007,3.2242,1.170684857,
381,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.002,0.004,3.6848,1.30421625,,0,0.002,3.6848,1.30421625,,0.026,0.028,6.4484,1.863832038,,0.012,0.014,6.4484,1.863832038,,0.012,0.014,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,
382,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.012,0.014,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,
383,-0.002,0.011,0.013,2.9939,1.096576885,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.012,0.014,3.2242,1.170684857,,0.004,0.006,2.7636,1.016534178,
384,-0.002,0.01,0.012,2.7636,1.016534178,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.019,0.021,4.8363,1.576149966,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.012,0.014,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,
385,-0.002,0.01,0.012,2.7636,1.016534178,,0.005,0.007,3.2242,1.170684857,,0.005,0.007,3.2242,1.170684857,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.012,0.014,3.2242,1.170684857,,0.004,0.006,2.7636,1.016534178,
386,-0.002,0.01,0.012,2.7636,1.016534178,,0.005,0.007,3.2242,1.170684857,,0.004,0.006,2.7636,1.016534178,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.012,0.014,3.2242,1.170684857,,0.004,0.006,2.7636,1.016534178,
387,-0.002,0.01,0.012,2.7636,1.016534178,,0.005,0.007,3.2242,1.170684857,,0.004,0.006,2.7636,1.016534178,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.025,0.027,6.2181,1.827464394,,0.012,0.014,6.4484,1.863832038,,0.011,0.013,2.9939,1.096576885,,0.004,0.006,2.7636,1.016534178,
388,-0.002,0.01,0.012,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.024,0.026,5.9878,1.789724066,,0.012,0.014,6.4484,1.863832038,,0.011,0.013,2.9939,1.096576885,,0.004,0.006,2.7636,1.016534178,
389,-0.002,0.01,0.012,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.024,0.026,5.9878,1.789724066,,0.011,0.013,5.9878,1.789724066,,0.011,0.013,2.9939,1.096576885,,0.004,0.006,2.7636,1.016534178,
390,-0.002,0.01,0.012,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.024,0.026,5.9878,1.789724066,,0.011,0.013,5.9878,1.789724066,,0.011,0.013,2.9939,1.096576885,,0.004,0.006,2.7636,1.016534178,
391,-0.002,0.01,0.012,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.004,0.006,2.7636,1.016534178,,0.018,0.02,4.606,1.527359801,,0.001,0.003,2.7636,1.016534178,,0,0.002,3.6848,1.30421625,,0.024,0.026,5.9878,1.789724066,,0.011,0.013,5.9878,1.789724066,,0.011,0.013,2.9939,1.096576885,,0.004,0.006,2.7636,1.016534178,
