Wavelength,MilliQ,MilliQ_2,MilliQ_3,C19nov21_CCT_r1,MilliQ_4_newcuvette,C19nov21_1.5m,C19nov21_21m,C19nov21_SMB,C19nov21_9m,C19nov21_TCT,C19nov21_0.1m,C19nov21_HPB,C19nov21_6m
213,0.006,0.006,0.006,0.118,-0.002,0.116,0.116,0.079,0.112,0.196,0.118,0.095,0.119
214,0.006,0.006,0.006,0.113,-0.003,0.111,0.111,0.077,0.108,0.184,0.113,0.093,0.114
215,0.006,0.006,0.006,0.109,-0.003,0.107,0.107,0.075,0.104,0.172,0.109,0.091,0.11
216,0.005,0.005,0.006,0.105,-0.003,0.102,0.103,0.074,0.1,0.16,0.105,0.089,0.106
217,0.005,0.005,0.005,0.102,-0.003,0.099,0.099,0.072,0.096,0.148,0.101,0.088,0.102
218,0.005,0.005,0.005,0.098,-0.003,0.095,0.095,0.071,0.092,0.136,0.098,0.086,0.099
219,0.005,0.005,0.005,0.096,-0.003,0.092,0.092,0.07,0.089,0.126,0.094,0.085,0.095
220,0.005,0.005,0.005,0.092,-0.003,0.089,0.088,0.069,0.086,0.115,0.091,0.083,0.092
221,0.005,0.005,0.005,0.089,-0.003,0.085,0.085,0.068,0.083,0.105,0.088,0.082,0.089
222,0.005,0.005,0.005,0.086,-0.003,0.083,0.082,0.067,0.08,0.096,0.085,0.081,0.086
223,0.005,0.005,0.005,0.084,-0.003,0.08,0.079,0.066,0.077,0.088,0.082,0.079,0.083
224,0.004,0.005,0.004,0.081,-0.003,0.077,0.077,0.064,0.075,0.08,0.079,0.078,0.08
225,0.004,0.005,0.004,0.078,-0.003,0.075,0.074,0.064,0.072,0.073,0.077,0.077,0.078
226,0.004,0.004,0.004,0.076,-0.003,0.073,0.072,0.062,0.07,0.066,0.075,0.076,0.076
227,0.004,0.004,0.004,0.073,-0.003,0.071,0.07,0.062,0.068,0.061,0.072,0.075,0.073
228,0.004,0.004,0.004,0.071,-0.003,0.069,0.068,0.061,0.066,0.055,0.071,0.074,0.071
229,0.004,0.004,0.004,0.068,-0.003,0.067,0.066,0.06,0.064,0.051,0.069,0.072,0.069
230,0.004,0.004,0.004,0.066,-0.003,0.065,0.064,0.059,0.063,0.047,0.067,0.071,0.068
231,0.004,0.004,0.004,0.064,-0.003,0.064,0.063,0.058,0.061,0.043,0.066,0.07,0.066
232,0.004,0.004,0.004,0.062,-0.003,0.062,0.061,0.057,0.06,0.04,0.064,0.069,0.064
233,0.004,0.004,0.004,0.061,-0.002,0.061,0.06,0.056,0.058,0.037,0.063,0.068,0.063
234,0.004,0.004,0.004,0.059,-0.002,0.06,0.058,0.056,0.057,0.035,0.061,0.067,0.062
235,0.004,0.004,0.004,0.058,-0.002,0.059,0.057,0.054,0.056,0.033,0.06,0.066,0.06
236,0.004,0.004,0.004,0.057,-0.002,0.058,0.056,0.054,0.055,0.032,0.059,0.065,0.059
237,0.004,0.004,0.004,0.056,-0.002,0.057,0.055,0.053,0.054,0.03,0.058,0.064,0.058
238,0.004,0.004,0.004,0.055,-0.002,0.056,0.054,0.052,0.053,0.029,0.057,0.064,0.057
239,0.004,0.004,0.004,0.054,-0.002,0.055,0.053,0.052,0.052,0.029,0.057,0.063,0.057
240,0.004,0.004,0.004,0.054,-0.002,0.055,0.053,0.051,0.052,0.028,0.056,0.062,0.056
241,0.004,0.004,0.004,0.053,-0.002,0.054,0.052,0.05,0.051,0.027,0.055,0.061,0.055
242,0.004,0.004,0.004,0.053,-0.002,0.053,0.051,0.05,0.05,0.026,0.054,0.06,0.054
243,0.004,0.004,0.004,0.052,-0.002,0.053,0.051,0.049,0.05,0.026,0.054,0.06,0.054
