Wavelength,MilliQ,MilliQ_2,MilliQ_3,C19nov21_CCT_r1,MilliQ_4_newcuvette,C19nov21_1.5m,C19nov21_21m,C19nov21_SMB,C19nov21_9m,C19nov21_TCT,C19nov21_0.1m,C19nov21_HPB,C19nov21_6m
743,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
744,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
745,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
746,0,0,0,0.014,0,0.005,0,0.002,0,0.004,0.001,0.006,0.002
747,0,0,0,0.014,0,0.005,0,0.002,0,0.004,0.001,0.006,0.002
748,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
749,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
750,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
751,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
752,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
753,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
754,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
755,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
756,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
757,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
758,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
759,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
760,0.001,0.001,0.001,0.015,0.001,0.007,0.001,0.003,0.002,0.005,0.002,0.007,0.003
761,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
762,0,0,0,0.014,0,0.005,0,0.002,0,0.004,0.001,0.006,0.002
763,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
764,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
765,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
766,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
767,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
768,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
769,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
770,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
771,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
772,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
773,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
774,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
775,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
776,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
777,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
778,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
779,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
780,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
781,0,0,0,0.014,0,0.005,0,0.002,0,0.004,0.001,0.006,0.002
782,0,0,0,0.014,0,0.005,0,0.002,0,0.003,0.001,0.006,0.002
783,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
784,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
785,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
786,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
787,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
788,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
789,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
790,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
791,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
792,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
793,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
794,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
795,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
796,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
797,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
798,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
799,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
800,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
801,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
802,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
803,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
804,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
805,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
806,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
807,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
808,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
809,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
810,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
811,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
812,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
813,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
814,0,0,0,0.014,0,0.005,0,0.002,0.001,0.004,0.001,0.006,0.002
815,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
816,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
817,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
818,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
819,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
820,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
821,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
822,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
823,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
824,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
825,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
826,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
827,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
828,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
829,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
830,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
831,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
832,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
833,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
834,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
835,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
836,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
837,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
838,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
839,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
840,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
841,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
842,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
843,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
844,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
845,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
846,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
847,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
848,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
849,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
850,0,0,0,0.014,0,0.006,0,0.002,0.001,0.004,0.001,0.006,0.002
