Wavelength,MilliQ,C23sep21_CCT_r1,C23sep21_20m_r2,C23sep21_SMB_r1,C23sep21_0.1m_r2,C23sep21_HPB_r2,C23sep21_9m_r1,C23sep21_TCT_r2
277,0.007,0.097,0.054,0.035,0.035,0.098,0.035,0.098
278,0.007,0.096,0.053,0.035,0.034,0.097,0.034,0.097
279,0.007,0.095,0.052,0.034,0.034,0.096,0.034,0.096
280,0.007,0.094,0.052,0.034,0.033,0.095,0.033,0.095
281,0.007,0.093,0.051,0.034,0.032,0.094,0.032,0.094
282,0.007,0.092,0.05,0.033,0.031,0.093,0.032,0.093
283,0.007,0.092,0.05,0.032,0.031,0.092,0.031,0.092
284,0.007,0.091,0.049,0.032,0.03,0.091,0.031,0.091
285,0.007,0.09,0.048,0.032,0.03,0.09,0.03,0.09
286,0.006,0.089,0.047,0.031,0.029,0.088,0.029,0.089
287,0.006,0.088,0.047,0.031,0.028,0.087,0.029,0.089
288,0.006,0.087,0.046,0.03,0.028,0.086,0.028,0.087
289,0.006,0.086,0.045,0.03,0.027,0.085,0.028,0.087
290,0.006,0.086,0.045,0.029,0.027,0.084,0.027,0.086
291,0.006,0.085,0.044,0.029,0.026,0.083,0.027,0.085
292,0.006,0.084,0.044,0.029,0.026,0.082,0.026,0.084
293,0.006,0.083,0.043,0.028,0.025,0.081,0.026,0.083
294,0.006,0.082,0.042,0.028,0.025,0.08,0.025,0.082
295,0.006,0.081,0.042,0.028,0.024,0.079,0.025,0.081
296,0.006,0.081,0.041,0.027,0.024,0.078,0.024,0.08
297,0.006,0.08,0.041,0.027,0.023,0.077,0.024,0.079
298,0.006,0.079,0.04,0.026,0.023,0.076,0.023,0.078
299,0.006,0.078,0.04,0.026,0.022,0.075,0.023,0.078
300,0.006,0.078,0.039,0.026,0.022,0.074,0.022,0.077
301,0.006,0.077,0.039,0.025,0.021,0.074,0.022,0.076
302,0.006,0.077,0.039,0.025,0.021,0.073,0.022,0.075
303,0.006,0.076,0.038,0.025,0.021,0.072,0.021,0.074
304,0.006,0.075,0.038,0.024,0.02,0.071,0.021,0.074
305,0.006,0.075,0.037,0.024,0.02,0.07,0.021,0.073
306,0.006,0.074,0.037,0.024,0.019,0.069,0.02,0.072
307,0.006,0.073,0.036,0.023,0.019,0.068,0.019,0.071
308,0.006,0.072,0.036,0.023,0.019,0.068,0.019,0.071
309,0.006,0.072,0.036,0.023,0.019,0.067,0.019,0.07
310,0.005,0.071,0.035,0.022,0.018,0.066,0.018,0.069
311,0.006,0.07,0.035,0.022,0.018,0.065,0.018,0.069
312,0.006,0.07,0.034,0.022,0.017,0.064,0.018,0.068
313,0.006,0.069,0.034,0.021,0.017,0.064,0.018,0.067
314,0.006,0.069,0.034,0.021,0.017,0.063,0.018,0.067
315,0.005,0.068,0.033,0.021,0.017,0.062,0.017,0.066
316,0.005,0.068,0.033,0.021,0.017,0.061,0.017,0.065
317,0.005,0.067,0.033,0.021,0.016,0.061,0.017,0.065
318,0.005,0.066,0.032,0.02,0.016,0.06,0.016,0.064
319,0.005,0.066,0.032,0.02,0.016,0.059,0.016,0.063
320,0.005,0.065,0.031,0.019,0.015,0.058,0.016,0.063
321,0.005,0.065,0.031,0.019,0.015,0.058,0.016,0.062
322,0.005,0.064,0.031,0.019,0.015,0.057,0.015,0.061
323,0.005,0.063,0.031,0.019,0.015,0.056,0.015,0.061
324,0.005,0.063,0.03,0.019,0.015,0.055,0.015,0.06
325,0.005,0.063,0.03,0.018,0.014,0.055,0.015,0.06
326,0.005,0.062,0.03,0.018,0.014,0.054,0.014,0.059
327,0.005,0.062,0.03,0.018,0.014,0.054,0.015,0.059
328,0.005,0.061,0.029,0.017,0.014,0.053,0.014,0.058
329,0.005,0.061,0.029,0.017,0.013,0.052,0.014,0.058
330,0.005,0.06,0.029,0.017,0.013,0.052,0.014,0.057
331,0.005,0.06,0.028,0.017,0.013,0.051,0.014,0.056
332,0.005,0.059,0.028,0.017,0.013,0.05,0.014,0.056
333,0.005,0.059,0.028,0.017,0.013,0.05,0.013,0.056
334,0.005,0.058,0.027,0.016,0.012,0.049,0.013,0.055
335,0.005,0.058,0.027,0.016,0.012,0.048,0.013,0.054
336,0.004,0.057,0.026,0.015,0.012,0.048,0.012,0.053
337,0.004,0.057,0.027,0.016,0.012,0.047,0.012,0.053
338,0.005,0.056,0.026,0.016,0.012,0.047,0.012,0.053
339,0.005,0.056,0.026,0.015,0.012,0.046,0.012,0.052
340,0.006,0.057,0.027,0.016,0.012,0.047,0.013,0.053
341,0.005,0.056,0.025,0.015,0.011,0.045,0.012,0.051
342,0.004,0.055,0.025,0.014,0.011,0.044,0.011,0.051
343,0.004,0.055,0.025,0.014,0.011,0.044,0.011,0.05
344,0.004,0.055,0.025,0.014,0.011,0.043,0.011,0.049
345,0.004,0.054,0.024,0.014,0.01,0.043,0.011,0.049
346,0.004,0.054,0.024,0.013,0.01,0.042,0.01,0.049
347,0.004,0.054,0.024,0.013,0.01,0.042,0.011,0.049
348,0.004,0.053,0.023,0.013,0.01,0.041,0.01,0.048
349,0.004,0.053,0.023,0.013,0.01,0.041,0.01,0.048
350,0.004,0.053,0.023,0.013,0.01,0.04,0.01,0.047
351,0.004,0.052,0.023,0.013,0.01,0.04,0.01,0.047
352,0.004,0.052,0.023,0.013,0.01,0.04,0.01,0.047
353,0.004,0.052,0.022,0.012,0.009,0.039,0.009,0.046
354,0.004,0.051,0.022,0.012,0.009,0.038,0.009,0.046
355,0.004,0.051,0.022,0.012,0.009,0.038,0.009,0.045
356,0.004,0.051,0.022,0.012,0.009,0.037,0.009,0.045
357,0.004,0.05,0.021,0.012,0.009,0.037,0.009,0.044
358,0.004,0.05,0.021,0.012,0.009,0.037,0.009,0.044
359,0.004,0.05,0.021,0.012,0.009,0.036,0.009,0.044
360,0.004,0.049,0.021,0.011,0.008,0.036,0.008,0.044
361,0.004,0.049,0.021,0.011,0.008,0.035,0.008,0.043
362,0.003,0.049,0.021,0.011,0.008,0.035,0.008,0.043
363,0.004,0.049,0.021,0.011,0.008,0.034,0.008,0.043
364,0.004,0.048,0.02,0.011,0.008,0.034,0.008,0.042
365,0.003,0.047,0.02,0.01,0.008,0.034,0.007,0.041
