Wavelength,MilliQ,C23sep21_CCT_r1,C23sep21_20m_r2,C23sep21_SMB_r1,C23sep21_0.1m_r2,C23sep21_HPB_r2,C23sep21_9m_r1,C23sep21_TCT_r2
598,0,0.031,0.002,0.003,0,0.007,0,0.02
599,0,0.031,0.002,0.003,0,0.007,0,0.02
600,0,0.031,0.002,0.003,0,0.007,0,0.02
601,0,0.031,0.002,0.003,0,0.007,0,0.02
602,0,0.032,0.003,0.003,0,0.007,0,0.02
603,0,0.032,0.003,0.003,0,0.007,0,0.02
604,0,0.032,0.003,0.003,0,0.007,0,0.02
605,0,0.031,0.002,0.003,0,0.007,0,0.02
606,0,0.032,0.002,0.003,0,0.007,0,0.02
607,0,0.032,0.002,0.003,0,0.007,0,0.02
608,0,0.032,0.002,0.002,0,0.007,0,0.02
609,0,0.032,0.002,0.003,0,0.007,0,0.02
610,0,0.031,0.002,0.003,0,0.007,0,0.02
611,0,0.032,0.002,0.003,0,0.007,0,0.02
612,0,0.032,0.002,0.003,0,0.007,0,0.02
613,0,0.032,0.002,0.003,0,0.007,0,0.02
614,0,0.031,0.002,0.003,0,0.007,0,0.02
615,0,0.032,0.002,0.003,0,0.007,0,0.02
616,0,0.032,0.002,0.003,0,0.007,0,0.02
617,0,0.032,0.002,0.003,0,0.007,0,0.02
618,0,0.032,0.002,0.003,0,0.007,0,0.02
619,0,0.032,0.002,0.002,0,0.007,0,0.02
620,0,0.032,0.002,0.002,0,0.007,0,0.02
621,0,0.032,0.002,0.002,0,0.007,0,0.02
622,0,0.032,0.002,0.002,0,0.007,0,0.02
623,0,0.032,0.002,0.002,0,0.007,0,0.02
624,0,0.032,0.002,0.002,0,0.007,0,0.02
625,0,0.032,0.002,0.002,0,0.007,0,0.02
626,0,0.032,0.002,0.002,0,0.007,0,0.02
627,0,0.032,0.002,0.002,0,0.007,0,0.02
628,0,0.032,0.002,0.002,0,0.007,0,0.02
629,0,0.032,0.002,0.002,0,0.007,0,0.02
630,0,0.032,0.002,0.002,0,0.007,0,0.02
631,0,0.032,0.002,0.002,0,0.007,0,0.02
632,0,0.032,0.002,0.002,0,0.007,0,0.02
633,0,0.032,0.002,0.002,0,0.007,0,0.02
634,0,0.032,0.002,0.002,0,0.007,0,0.02
635,0,0.032,0.002,0.002,0,0.007,0,0.02
636,0,0.032,0.002,0.002,0,0.007,0,0.02
637,0,0.032,0.002,0.002,0,0.007,0,0.02
638,0,0.032,0.002,0.002,0,0.007,0,0.02
639,0,0.032,0.002,0.002,0,0.006,0,0.02
640,0,0.032,0.002,0.002,0,0.006,0,0.02
641,0,0.032,0.002,0.002,0,0.006,0,0.02
642,0,0.032,0.002,0.002,0,0.006,0,0.02
643,0,0.032,0.002,0.002,0,0.006,0,0.02
644,0,0.032,0.002,0.002,0,0.006,0,0.02
645,0,0.032,0.002,0.002,0,0.006,0,0.02
646,0,0.032,0.002,0.002,0,0.006,0,0.02
647,0,0.032,0.002,0.002,0,0.006,0,0.02
648,0,0.032,0.002,0.002,0,0.006,0,0.02
649,0,0.032,0.002,0.002,0,0.006,0,0.02
650,0,0.032,0.002,0.002,0,0.006,0,0.02
651,0,0.032,0.002,0.002,0,0.006,0,0.02
652,0,0.032,0.002,0.002,0,0.006,0,0.02
653,0,0.032,0.002,0.002,0,0.006,0,0.02
654,0,0.032,0.002,0.002,0,0.006,0,0.02
655,0,0.032,0.002,0.002,0,0.006,0,0.02
656,0,0.032,0.002,0.002,0,0.006,0,0.02
657,0,0.032,0.002,0.002,0,0.006,0,0.02
658,0,0.032,0.002,0.002,0,0.006,0,0.02
659,0,0.032,0.002,0.002,0,0.006,0,0.02
660,0,0.032,0.002,0.002,0,0.006,0,0.02
661,0,0.032,0.002,0.002,0,0.006,0,0.02
662,0,0.032,0.002,0.002,0,0.006,0,0.02
663,0,0.032,0.002,0.002,0,0.006,0,0.02
664,0,0.032,0.002,0.002,0,0.006,0,0.02
665,0,0.032,0.002,0.002,0,0.006,0,0.02
666,0,0.032,0.002,0.002,0,0.006,0,0.02
667,0,0.032,0.002,0.002,0,0.006,0,0.02
668,0,0.032,0.002,0.002,0,0.006,0,0.02
669,0,0.032,0.002,0.002,0,0.006,0,0.02
670,0,0.032,0.002,0.002,0,0.006,0,0.02
671,0,0.032,0.002,0.002,0,0.006,0,0.02
672,0,0.032,0.002,0.002,0,0.006,0,0.02
673,0,0.032,0.002,0.002,0,0.006,0,0.02
674,0,0.032,0.002,0.002,0,0.006,0,0.02
675,0,0.032,0.002,0.002,0,0.006,0,0.02
676,0,0.032,0.002,0.002,0,0.006,0,0.02
677,0,0.032,0.002,0.002,0,0.006,0,0.02
678,0,0.032,0.002,0.002,0,0.006,0,0.02
679,0,0.032,0.002,0.002,0,0.006,0,0.019
680,0,0.032,0.002,0.002,0,0.006,0,0.019
681,0,0.032,0.002,0.002,0,0.006,0,0.019
682,0,0.032,0.002,0.002,0,0.006,0,0.019
683,0,0.032,0.002,0.002,0,0.006,0,0.02
684,0,0.032,0.002,0.002,0,0.006,0,0.02
685,0,0.032,0.002,0.002,0,0.006,0,0.02
686,0,0.032,0.002,0.002,0,0.006,0,0.02
687,0,0.032,0.002,0.002,0,0.006,0,0.019
688,0,0.032,0.002,0.002,0,0.006,0,0.019
689,0,0.032,0.002,0.002,0,0.006,0,0.019
690,0,0.032,0.002,0.002,0,0.006,0,0.019
691,0,0.032,0.002,0.002,0,0.006,0,0.019
692,0,0.032,0.002,0.002,0,0.006,0,0.019
693,0,0.032,0.002,0.002,0,0.006,0,0.019
694,0,0.032,0.002,0.002,0,0.006,0,0.019
695,0,0.032,0.002,0.002,0,0.006,0,0.019
696,0,0.032,0.002,0.002,0,0.006,0,0.019
697,0,0.032,0.002,0.002,0,0.006,0,0.019
698,0,0.032,0.002,0.002,0,0.006,0,0.019
699,0,0.032,0.002,0.002,0,0.006,0,0.019
700,0,0.032,0.002,0.002,0,0.006,0,0.019
701,0,0.032,0.002,0.002,0,0.006,0,0.019
702,0,0.032,0.002,0.002,0,0.006,0,0.019
703,0,0.032,0.002,0.002,0,0.006,0,0.019
704,0,0.032,0.002,0.002,0,0.006,0,0.019
705,0,0.032,0.002,0.002,0,0.006,0,0.019
706,0,0.032,0.002,0.002,0,0.006,0,0.019
707,0,0.032,0.002,0.002,0,0.006,0,0.019
708,0,0.032,0.002,0.002,0,0.006,0,0.019
709,0,0.032,0.002,0.002,0,0.006,0,0.019
710,0,0.032,0.002,0.002,0,0.006,0,0.019
711,0,0.032,0.002,0.002,0,0.006,0,0.019
712,0,0.032,0.002,0.002,0,0.006,0,0.019
713,0,0.032,0.002,0.002,0,0.006,0,0.019
714,0,0.032,0.002,0.002,0,0.006,0,0.019
715,0,0.032,0.002,0.002,0,0.006,0,0.019
716,0,0.032,0.002,0.002,0,0.006,0,0.019
717,0,0.032,0.002,0.002,0,0.006,0,0.019
718,0,0.032,0.002,0.002,0,0.006,0,0.019
719,0,0.032,0.002,0.002,0,0.006,0,0.019
720,0,0.032,0.002,0.002,0,0.006,0,0.019
721,0,0.032,0.002,0.002,0,0.006,0,0.019
722,0,0.032,0.002,0.002,0,0.006,0,0.019
723,0,0.032,0.002,0.002,0,0.006,0,0.019
724,0,0.032,0.001,0.002,0,0.005,0,0.019
725,0,0.032,0.001,0.002,0,0.005,0,0.019
726,0,0.032,0.001,0.002,0,0.005,0,0.019
727,0,0.032,0.002,0.002,0,0.006,0,0.019
728,0,0.032,0.001,0.002,0,0.005,0,0.019
729,0,0.032,0.001,0.002,0,0.005,0,0.019
730,0,0.032,0.001,0.002,0,0.005,0,0.019
731,0,0.032,0.001,0.002,0,0.005,0,0.019
732,0,0.032,0.001,0.002,0,0.005,0,0.019
733,0,0.032,0.001,0.002,0,0.005,0,0.019
734,0,0.032,0.001,0.002,-0.001,0.005,0,0.019
735,0,0.032,0.001,0.002,0,0.006,0,0.019
736,0,0.032,0.001,0.002,0,0.005,0,0.019
737,0,0.032,0.001,0.002,0,0.005,0,0.019
738,0,0.032,0.001,0.002,0,0.005,0,0.019
739,0,0.032,0.001,0.002,0,0.005,0,0.019
740,0,0.032,0.002,0.002,0,0.005,0,0.019
741,0,0.032,0.001,0.002,0,0.005,0,0.019
742,0,0.032,0.001,0.002,0,0.005,0,0.019
743,0,0.032,0.001,0.002,0,0.005,0,0.019
744,0,0.032,0.001,0.002,0,0.005,0,0.019
745,0,0.032,0.001,0.002,0,0.005,0,0.019
746,0,0.032,0.001,0.002,0,0.005,0,0.019
747,0,0.032,0.001,0.002,0,0.005,0,0.019
748,0,0.032,0.001,0.002,0,0.005,0,0.019
749,0,0.032,0.001,0.002,0,0.005,0,0.019
750,0,0.032,0.001,0.002,0,0.005,0,0.019
751,0,0.032,0.001,0.002,0,0.005,0,0.019
752,0,0.032,0.001,0.002,0,0.005,0,0.019
753,0,0.032,0.001,0.002,0,0.005,0,0.019
754,0,0.032,0.001,0.002,0,0.005,0,0.019
755,0,0.032,0.001,0.002,0,0.005,0,0.019
756,0,0.032,0.001,0.002,0,0.005,0,0.019
757,0,0.032,0.001,0.002,0,0.005,0,0.019
758,0,0.032,0.001,0.002,0,0.005,0,0.019
759,0,0.032,0.002,0.002,0,0.005,0,0.019
760,0.001,0.033,0.002,0.003,0.001,0.006,0.001,0.02
761,0,0.032,0.002,0.002,0,0.006,0,0.019
762,0,0.032,0.001,0.002,0,0.005,0,0.019
763,0,0.032,0.001,0.002,-0.001,0.005,0,0.019
764,0,0.032,0.001,0.002,-0.001,0.005,0,0.019
765,0,0.032,0.001,0.002,0,0.005,0,0.019
766,0,0.032,0.001,0.002,0,0.005,0,0.019
767,0,0.032,0.001,0.002,0,0.005,0,0.019
768,0,0.032,0.001,0.002,0,0.005,0,0.019
769,0,0.032,0.001,0.002,0,0.005,0,0.019
770,0,0.032,0.001,0.002,0,0.005,0,0.019
771,0,0.032,0.001,0.002,0,0.005,0,0.019
772,0,0.032,0.001,0.002,0,0.005,0,0.019
773,0,0.032,0.001,0.002,0,0.005,0,0.019
774,0,0.032,0.001,0.002,0,0.005,0,0.019
775,0,0.032,0.001,0.002,0,0.005,0,0.019
776,0,0.032,0.001,0.002,0,0.005,0,0.019
777,0,0.032,0.001,0.002,0,0.005,0,0.019
778,0,0.032,0.001,0.002,0,0.005,0,0.019
779,0,0.032,0.001,0.002,0,0.005,0,0.019
780,0,0.032,0.001,0.002,0,0.005,0,0.019
781,0,0.032,0.001,0.002,0,0.005,0,0.019
782,0,0.032,0.001,0.002,0,0.005,0,0.019
783,0,0.032,0.001,0.002,0,0.005,0,0.019
784,0,0.032,0.001,0.002,0,0.005,0,0.019
785,0,0.032,0.001,0.002,0,0.005,0,0.019
786,0,0.032,0.001,0.002,0,0.005,0,0.019
787,0,0.032,0.001,0.002,0,0.005,0,0.019
788,0,0.032,0.001,0.002,0,0.005,0,0.019
789,0,0.032,0.001,0.002,0,0.005,0,0.019
790,0,0.032,0.001,0.002,0,0.005,0,0.019
791,0,0.032,0.001,0.002,0,0.005,0,0.019
792,0,0.032,0.001,0.002,0,0.005,0,0.019
793,0,0.032,0.001,0.002,0,0.005,0,0.019
794,0,0.032,0.001,0.002,0,0.005,0,0.019
795,0,0.032,0.001,0.002,0,0.005,0,0.019
796,0,0.032,0.001,0.002,0,0.005,0,0.019
797,0,0.032,0.001,0.002,0,0.005,0,0.019
798,0,0.032,0.001,0.002,0,0.005,0,0.019
799,0,0.032,0.001,0.002,0,0.005,0,0.019
800,0,0.032,0.001,0.002,-0.001,0.005,0,0.019
801,0,0.032,0.001,0.002,0,0.005,0,0.019
802,0,0.032,0.001,0.002,0,0.005,0,0.019
803,0,0.032,0.001,0.002,0,0.005,0,0.019
804,0,0.032,0.001,0.002,0,0.005,0,0.019
805,0,0.032,0.001,0.002,0,0.005,0,0.019
806,0,0.032,0.001,0.002,0,0.005,0,0.019
807,0,0.033,0.001,0.002,0,0.005,0,0.019
808,0,0.033,0.001,0.002,0,0.005,0,0.019
809,0,0.033,0.001,0.002,0,0.005,0,0.019
810,0,0.033,0.001,0.002,0,0.005,0,0.019
811,0,0.033,0.001,0.002,0,0.005,0,0.019
812,0,0.033,0.001,0.002,0,0.005,0,0.019
813,0,0.033,0.001,0.002,0,0.005,0,0.019
814,0,0.033,0.001,0.002,0,0.005,0,0.019
815,0,0.033,0.001,0.002,0,0.005,0,0.019
816,0,0.033,0.001,0.002,0,0.005,0,0.019
817,0,0.033,0.001,0.002,0,0.005,0,0.019
818,0,0.033,0.001,0.002,0,0.005,0,0.019
819,0,0.033,0.001,0.002,0,0.005,0,0.019
820,0,0.033,0.001,0.002,0,0.005,0,0.019
821,0,0.033,0.001,0.002,0,0.005,0,0.019
822,0,0.033,0.001,0.002,0,0.005,0,0.019
823,0,0.033,0.001,0.002,0,0.005,0,0.019
824,0,0.033,0.001,0.002,0,0.005,0,0.019
825,0,0.033,0.001,0.002,0,0.005,0,0.019
826,0,0.033,0.001,0.002,0,0.005,0,0.019
827,0,0.033,0.001,0.002,0,0.005,0,0.019
828,0,0.033,0.001,0.002,0,0.005,0,0.019
829,0,0.033,0.001,0.002,0,0.005,0,0.019
830,0,0.033,0.001,0.002,0,0.005,0,0.019
831,0,0.033,0.001,0.002,0,0.005,0,0.019
832,0,0.033,0.001,0.002,0,0.005,0,0.019
833,0,0.033,0.001,0.002,0,0.005,0,0.019
834,0,0.033,0.001,0.002,0,0.005,0,0.019
835,0,0.033,0.001,0.002,0,0.005,0,0.019
836,0,0.033,0.001,0.002,0,0.005,0,0.019
837,0,0.033,0.001,0.002,0,0.005,0,0.019
838,0,0.033,0.001,0.002,0,0.005,0,0.019
839,0,0.033,0.001,0.002,0,0.005,0,0.019
840,0,0.033,0.001,0.002,0,0.005,0,0.019
841,0,0.033,0.001,0.002,0,0.005,0,0.019
842,0,0.033,0.001,0.002,0,0.005,0,0.019
843,0,0.033,0.001,0.002,0,0.005,0,0.019
844,0,0.033,0.001,0.002,0,0.005,0,0.019
845,0,0.033,0.001,0.002,0,0.005,0,0.019
846,0,0.033,0.001,0.002,0,0.005,0,0.019
847,0,0.033,0.001,0.002,0,0.005,0,0.019
848,0,0.033,0.001,0.002,0,0.005,0,0.019
849,0,0.033,0.001,0.002,0,0.005,0,0.019
850,0,0.033,0.001,0.002,0,0.005,0,0.019
