Wavelength,MilliQ,C28feb22_9mr1,C28feb22_CCTr1,C28feb22_21mr2,C28feb22_SMBr2,C28feb22_1.5mr2,C28feb22_HPBr2,C28feb22_0.1mr2,C28feb22_6mr1,C28feb22_TCTr1,C28feb22_HPBr1
309,-0.005,0.013,0.023,0.014,0.006,0.013,0.018,0.015,0.013,0.015,0.017
310,-0.005,0.012,0.023,0.013,0.005,0.013,0.017,0.014,0.013,0.015,0.016
311,-0.005,0.012,0.023,0.013,0.006,0.013,0.017,0.014,0.013,0.015,0.016
312,-0.005,0.012,0.022,0.012,0.005,0.012,0.017,0.014,0.012,0.014,0.016
313,-0.004,0.012,0.022,0.012,0.005,0.012,0.017,0.014,0.012,0.014,0.016
314,-0.005,0.011,0.021,0.012,0.005,0.011,0.017,0.013,0.012,0.014,0.015
315,-0.005,0.011,0.021,0.012,0.005,0.011,0.016,0.013,0.011,0.014,0.015
316,-0.005,0.011,0.021,0.012,0.005,0.011,0.016,0.013,0.011,0.013,0.015
317,-0.005,0.011,0.021,0.012,0.005,0.011,0.016,0.013,0.011,0.014,0.015
318,-0.005,0.011,0.02,0.011,0.005,0.011,0.016,0.012,0.011,0.013,0.015
319,-0.005,0.01,0.02,0.011,0.005,0.011,0.015,0.012,0.011,0.013,0.014
320,-0.005,0.01,0.02,0.011,0.004,0.01,0.015,0.012,0.01,0.013,0.014
321,-0.004,0.01,0.02,0.011,0.004,0.01,0.015,0.012,0.01,0.013,0.014
322,-0.004,0.01,0.019,0.01,0.004,0.01,0.015,0.012,0.01,0.013,0.014
323,-0.005,0.009,0.019,0.01,0.004,0.01,0.015,0.011,0.01,0.012,0.014
324,-0.005,0.009,0.019,0.01,0.004,0.01,0.015,0.011,0.01,0.012,0.013
325,-0.004,0.009,0.018,0.01,0.004,0.009,0.014,0.011,0.009,0.012,0.013
326,-0.005,0.009,0.018,0.009,0.004,0.009,0.014,0.01,0.009,0.012,0.013
327,-0.005,0.009,0.018,0.009,0.004,0.009,0.014,0.011,0.009,0.011,0.013
328,-0.005,0.009,0.018,0.009,0.004,0.009,0.014,0.01,0.009,0.011,0.012
329,-0.004,0.008,0.018,0.009,0.004,0.008,0.013,0.01,0.009,0.011,0.012
330,-0.004,0.008,0.017,0.009,0.004,0.008,0.013,0.01,0.008,0.011,0.012
331,-0.005,0.008,0.017,0.008,0.004,0.008,0.013,0.01,0.008,0.011,0.012
332,-0.005,0.008,0.017,0.008,0.004,0.008,0.013,0.01,0.008,0.011,0.012
333,-0.004,0.008,0.016,0.008,0.003,0.008,0.013,0.01,0.008,0.011,0.012
334,-0.005,0.008,0.016,0.008,0.003,0.008,0.013,0.009,0.008,0.011,0.011
335,-0.004,0.008,0.016,0.008,0.003,0.008,0.012,0.009,0.008,0.01,0.011
336,-0.004,0.007,0.016,0.008,0.003,0.008,0.012,0.009,0.008,0.01,0.011
337,-0.005,0.007,0.015,0.007,0.003,0.007,0.012,0.009,0.007,0.01,0.011
338,-0.004,0.007,0.015,0.007,0.003,0.007,0.012,0.009,0.007,0.01,0.011
339,-0.004,0.007,0.015,0.008,0.003,0.007,0.012,0.009,0.007,0.01,0.011
340,-0.003,0.008,0.016,0.009,0.004,0.008,0.013,0.01,0.008,0.011,0.012
341,-0.004,0.007,0.015,0.007,0.004,0.007,0.012,0.009,0.007,0.01,0.011
342,-0.004,0.006,0.014,0.007,0.003,0.007,0.011,0.009,0.007,0.01,0.01
343,-0.004,0.006,0.014,0.007,0.003,0.007,0.011,0.009,0.007,0.01,0.01
344,-0.004,0.006,0.014,0.007,0.003,0.006,0.011,0.008,0.006,0.009,0.01
345,-0.004,0.006,0.014,0.006,0.003,0.006,0.011,0.008,0.006,0.009,0.01
346,-0.004,0.006,0.014,0.006,0.003,0.006,0.011,0.008,0.006,0.009,0.01
347,-0.004,0.006,0.014,0.006,0.003,0.007,0.011,0.008,0.006,0.009,0.01
348,-0.004,0.006,0.013,0.006,0.003,0.006,0.011,0.008,0.006,0.009,0.01
349,-0.004,0.006,0.013,0.006,0.002,0.006,0.01,0.008,0.006,0.009,0.009
350,-0.003,0.006,0.013,0.006,0.003,0.006,0.01,0.008,0.006,0.009,0.009
351,-0.004,0.005,0.013,0.006,0.003,0.006,0.01,0.008,0.006,0.009,0.009
352,-0.003,0.005,0.013,0.006,0.003,0.006,0.01,0.007,0.006,0.009,0.009
353,-0.003,0.005,0.013,0.006,0.003,0.006,0.01,0.008,0.006,0.008,0.009
354,-0.004,0.005,0.012,0.005,0.002,0.005,0.01,0.008,0.006,0.008,0.009
355,-0.004,0.005,0.012,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.009
356,-0.003,0.005,0.012,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.008
357,-0.003,0.005,0.012,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.009
358,-0.004,0.005,0.012,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.008
359,-0.003,0.005,0.012,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.008
360,-0.003,0.005,0.012,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.008
361,-0.003,0.005,0.011,0.005,0.002,0.005,0.009,0.007,0.005,0.008,0.008
362,-0.003,0.004,0.011,0.005,0.002,0.005,0.009,0.007,0.005,0.007,0.008
363,-0.003,0.004,0.011,0.005,0.002,0.005,0.009,0.007,0.005,0.007,0.008
364,-0.003,0.004,0.011,0.005,0.002,0.005,0.009,0.007,0.005,0.007,0.008
365,-0.003,0.004,0.011,0.005,0.002,0.005,0.009,0.007,0.005,0.007,0.008
366,-0.003,0.004,0.011,0.005,0.002,0.005,0.008,0.007,0.005,0.007,0.008
367,-0.003,0.004,0.011,0.005,0.002,0.005,0.008,0.007,0.005,0.007,0.008
368,-0.003,0.004,0.011,0.005,0.002,0.004,0.009,0.006,0.004,0.007,0.008
369,-0.003,0.004,0.011,0.004,0.002,0.004,0.009,0.006,0.004,0.007,0.008
370,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
371,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
372,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
373,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
374,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
375,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
376,-0.003,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.006,0.007
377,-0.003,0.004,0.009,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
378,-0.002,0.004,0.01,0.004,0.002,0.004,0.008,0.006,0.004,0.007,0.007
379,-0.002,0.003,0.009,0.004,0.002,0.004,0.007,0.006,0.004,0.006,0.007
380,-0.003,0.003,0.009,0.004,0.002,0.003,0.007,0.006,0.004,0.006,0.006
381,-0.002,0.003,0.009,0.004,0.002,0.004,0.007,0.006,0.004,0.006,0.006
